Test loss: 0.4587062225671538

Format: Loss TFAnchor TFNegative 
1.219818115234375 4282_1 2074_0
0.0 48_1 13587_0
2.8226513862609863 2048_0 9214_0
0.0 1497_3 9531_1
0.8053784370422363 1895_0 11672_0
0.0 12894_0 12190_0
0.0 10168_0 12723_0
0.0 2774_0 1507_5
0.0 3844_0 7388_0
0.0 2478_1 8060_0
0.0 11892_0 4911_0
0.0 10373_0 11364_0
0.0 9834_0 11915_0
0.15264558792114258 6699_1 8617_0
0.0 5057_0 12605_0
0.0 8961_0 9821_0
0.8032917976379395 6028_0 2450_3
0.0 12894_0 9716_3
0.0 4895_0 9834_0
0.0 7016_0 6619_0
0.0 240_0 10141_0
0.0 9514_0 8086_2
0.0 11892_0 7057_5
0.0 13100_0 12734_0
2.9458417892456055 7730_0 2104_2
0.8511033058166504 2322_0 1056_0
0.0 10141_0 7887_0
0.0 809_0 9980_0
1.549072265625 1995_1 8433_0
0.3681917190551758 9955_2 12026_2
0.0 6472_0 8451_0
0.0 5398_0 11790_0
0.0 2865_0 13285_0
0.0 9829_0 11538_0
1.7618465423583984 8451_0 906_0
0.0 6382_0 7182_0
0.0 9713_1 5559_0
0.6136894226074219 9744_1 12513_0
0.0 7109_0 13848_0
0.2747840881347656 9744_1 8440_3
0.0 5306_0 9722_1
0.0 115_0 2907_0
0.30710411071777344 48_1 12190_0
0.0 5680_0 1497_1
1.4689087867736816 11892_0 13335_0
0.0 6056_3 4701_1
0.0 5683_1 9531_1
0.07257461547851562 3522_0 5498_2
0.0 9649_0 11258_0
0.0 5683_1 1847_0
0.0 2819_0 12179_0
0.0 9829_0 9547_9
0.0 8445_0 9722_3
0.0 9803_0 1895_0
0.0 1703_0 318_0
0.0 7358_0 3759_0
0.0 2865_0 9514_0
0.0 4192_0 6147_0
0.0 9686_1 13616_0
0.0 9997_0 3797_0
0.0 7751_0 865_0
0.0 13836_0 720_0
0.0 2520_0 12063_0
0.0 2907_0 6136_0
0.3284420967102051 9487_0 2749_0
2.085029125213623 5470_0 1888_0
0.0 9649_0 10012_0
0.0 1507_1 51_0
0.5263347625732422 5518_0 1896_0
0.0 9994_0 5752_2
0.0 5709_0 9679_3
0.0 9955_2 4149_0
0.0 2865_0 5699_48
0.0 6068_0 589_0
0.0 3594_0 11274_1
0.0 6028_0 7457_0
0.0 2582_0 1507_5
0.0 5518_0 4699_0
0.8461833000183105 720_0 115_0
0.30266380310058594 5709_0 10141_0
1.336446762084961 7146_1 10259_0
1.0221281051635742 1156_0 950_0
0.18847036361694336 240_0 12001_0
0.0 1507_2 5017_1
0.0 9780_0 11973_0
0.40241050720214844 9649_0 11126_1
2.7269201278686523 2695_0 13599_0
0.0 1205_0 2797_0
0.9473953247070312 7109_0 4804_0
0.0 6164_0 3654_0
0.0 13497_0 12554_0
1.9118432998657227 10372_1 7057_2
1.1833443641662598 1240_0 3609_0
0.0 633_0 4745_0
0.0 9982_0 734_5
0.0 1925_0 1998_0
0.0 11757_0 8061_0
3.152061939239502 5166_0 12014_0
0.0 1873_0 6165_0
0.005427360534667969 3633_0 13407_0
0.0 6472_0 12496_0
0.0 1054_0 8588_0
3.4761476516723633 9666_4 9387_0
0.0 3594_0 1922_0
0.0 5550_0 3023_0
0.0 8700_3 8086_2
1.2745575904846191 13833_0 1507_1
0.960017204284668 7189_0 7120_0
0.4237489700317383 4856_0 3580_0
0.43044281005859375 10176_0 10743_0
0.0 9897_1 12641_0
1.0917725563049316 624_0 1864_0
1.4229707717895508 9771_0 2384_0
0.0 5178_0 8287_0
0.0 865_0 8848_0
0.0 6382_0 11317_0
0.8037433624267578 5559_0 9622_0
0.0 7751_0 10415_0
0.0 8445_0 2002_0
0.0 2520_0 8974_0
0.0 1495_0 11739_0
0.0 9939_0 7492_5
1.7497615814208984 4969_0 5711_4
0.0 3633_0 9998_0
0.0 10752_0 1753_0
0.0 2695_0 8984_0
0.0 9780_0 11317_0
0.0 1925_0 8542_0
1.458603858947754 9389_0 9349_0
0.0 12368_0 10707_0
0.0 3206_0 5666_1
0.0 9765_0 6300_0
0.0 9771_0 7851_1
0.0 5464_0 8365_0
0.014827728271484375 668_0 1737_1
0.0 9225_0 2836_1
0.5035452842712402 5534_0 3158_0
0.0 13497_0 2520_0
0.2210392951965332 3844_0 1746_0
0.0 4462_0 993_1
3.077970504760742 9997_0 4257_0
0.0 1703_0 6983_0
0.0 13622_0 8436_0
0.0 13497_0 1960_0
0.0 9649_0 1995_2
0.0 13412_0 9716_2
0.0 13719_0 6068_0
0.0 371_0 5517_9
0.0 13836_0 3543_0
1.363865852355957 4895_0 6018_0
0.0 1507_1 3443_0
0.0 1302_0 3551_0
0.0 5398_0 4911_0
0.4029207229614258 11274_1 9694_1
0.0 10430_1 1616_2
3.865720272064209 1079_0 9780_0
0.0 10011_0 6472_0
0.5653033256530762 9514_0 10011_0
0.7146148681640625 8624_0 1205_0
0.0 4601_0 9916_0
0.0 852_0 3680_0
0.0876760482788086 9955_2 4192_0
0.0 8238_0 11603_0
0.0 1531_0 5467_0
0.0 7743_0 9405_0
0.33756160736083984 5899_0 12854_0
0.0 9936_0 1971_0
0.0 9704_0 9890_0
0.0 5467_0 318_0
0.42212486267089844 13816_0 7120_0
0.0 9313_0 1494_1
0.0 13719_0 12894_0
0.0 5473_0 11656_0
0.0 9771_0 2107_1
0.0 9955_2 9803_0
0.0 10451_0 9271_0
0.9510812759399414 8617_0 6164_0
0.0 13704_0 9547_2
0.0 2907_0 13628_0
0.0 5550_0 10068_0
0.0 9550_0 589_0
0.0 10141_0 1934_0
0.0 11738_0 9339_1
0.5107612609863281 9107_0 3076_0
0.0 7950_5 13836_0
0.0 10743_0 10752_0
0.0 9225_0 10011_0
0.3879866600036621 5518_0 9785_0
0.0 10430_1 11965_0
0.0 5759_5 9053_0
0.0 9352_1 5470_0
0.0 9622_0 3475_0
0.0 11656_0 10451_0
0.0 5519_2 3443_0
0.0 5899_0 7299_0
0.0 9676_0 5699_49
0.0 9704_0 294_0
0.0 13882_0 6144_0
1.0989408493041992 9363_0 12513_0
0.0 1302_0 12086_0
0.0 9991_0 7206_0
0.0 11656_0 7833_0
0.648322582244873 2774_0 12868_0
0.0 1507_2 10012_0
0.0 1995_1 5511_0
1.7235345840454102 4939_0 12001_0
0.0 13100_0 4505_0
2.522007942199707 10816_0 9783_0
0.0 11776_0 9686_2
0.0 1497_3 12459_2
0.0 5550_0 7206_0
0.0 10752_0 4500_0
0.0 3669_0 10451_0
0.0 2145_0 288_2
0.0 9829_0 9939_0
0.0 9939_0 11250_0
0.0 11738_0 5769_0
3.808816432952881 9981_0 8093_0
0.0 3594_0 5005_0
0.0 1497_1 1328_0
0.0 5473_0 835_0
0.0 1703_0 1156_0
2.0133519172668457 13816_0 9878_0
0.0 3669_0 13622_0
0.0 4601_0 10168_0
0.0 9897_1 734_5
0.0 48_1 54_0
2.9408159255981445 5735_0 734_5
0.0 4192_0 9754_0
0.0 12337_0 1919_0
0.0 2478_1 7954_2
0.0 318_0 11898_0
0.8563137054443359 865_0 10043_0
0.0 9550_0 852_0
0.0 11274_1 1379_0
0.0 3543_0 12102_0
0.0 4856_0 1497_1
0.0 8584_0 323_0
0.0 9765_0 1995_2
0.0 9754_0 2450_3
0.0 13836_0 8624_0
0.0 9994_0 5539_0
2.0207791328430176 1205_0 9960_1
0.0 1497_3 9700_1
1.558518409729004 5735_0 9618_0
1.2455239295959473 2695_0 1205_0
0.0 9550_0 13616_0
0.0 2123_0 1658_0
0.7240524291992188 11757_0 13033_0
1.8157682418823242 6018_0 8788_0
0.0 9803_0 8252_0
0.0 6164_0 5710_0
0.0 865_0 2962_0
0.0 6265_0 588_0
0.0 11656_0 6147_0
0.41913795471191406 9363_0 4713_0
0.0 7013_0 9754_0
0.0 5519_2 5547_1
1.844222068786621 9744_1 9708_1
0.0 7217_0 4500_0
0.0 10816_0 1494_1
0.19708633422851562 11365_0 792_0
0.900364875793457 5166_0 12110_0
0.0 1324_0 9679_3
2.0659756660461426 720_0 2951_0
0.0 3802_0 10441_3
0.3135066032409668 5306_0 10004_0
1.8131365776062012 2322_0 1820_0
0.0 2865_0 8392_0
0.0 10176_0 5559_0
0.0 865_0 4462_0
1.1857013702392578 8364_0 1156_0
0.0 5680_0 10982_0
0.0 4560_0 5759_2
0.0 7109_0 852_0
0.0 1212_0 9666_2
0.0 8974_0 7499_0
0.0 9487_0 6267_0
0.0 13497_0 5699_18
0.8449087142944336 7016_0 8143_2
0.0 8961_0 5769_0
0.0 9714_1 9547_6
0.0 9622_0 826_0
2.711338996887207 51_0 9764_0
5.003375053405762 9649_0 5017_1
0.0 7001_1 4918_0
0.0 7013_0 793_0
0.0 633_0 9980_0
0.0 3287_0 9474_0
0.0 4704_0 8961_0
0.29630470275878906 9696_1 1872_0
0.0 5683_1 12621_0
0.0 4704_0 13317_0
0.29401731491088867 3522_0 9818_0
0.0 3844_0 9972_2
0.7663984298706055 5518_0 9842_2
0.0 9794_0 8997_0
0.0 9225_0 11283_0
0.0 5057_0 9716_3
0.0 9821_0 8078_0
1.7811293601989746 720_0 11367_0
0.0 11776_0 12532_0
0.0 9696_1 10373_0
0.9892916679382324 2774_0 9820_0
0.0 9821_0 4196_0
0.809666633605957 6028_0 6147_0
0.0 9765_0 12009_0
0.22121715545654297 4601_0 1584_0
0.5497322082519531 4041_2 13186_0
0.0 13100_0 4969_0
2.6762709617614746 6068_0 2213_0
0.0 940_0 11124_0
0.0 6382_0 7358_0
0.0 2145_0 1838_0
0.0 940_0 12744_0
0.0 240_0 4939_0
0.0 10766_0 13361_0
0.0 5534_0 3373_0
1.754936695098877 9821_0 1127_0
0.0 8584_0 7144_2
6.513815402984619 4305_0 6024_0
0.660496711730957 3633_0 5453_0
0.5688400268554688 6382_0 13431_0
1.6799612045288086 10075_0 4141_0
1.8342900276184082 48_1 10016_1
0.36864185333251953 9794_0 2107_1
0.40571165084838867 1302_0 9738_1
0.04798269271850586 7584_0 8124_0
0.0 9679_5 582_2
0.9606714248657227 909_0 4911_0
0.0 9897_1 7045_2
0.0 8287_0 2857_0
1.2173938751220703 9694_1 10334_1
0.0 9700_1 7743_0
0.0 1925_0 9783_0
2.5471439361572266 288_1 4183_0
1.0641050338745117 9981_0 11087_0
0.0 3543_0 11028_0
1.5859203338623047 2260_0 6619_0
0.0 1925_0 11881_0
0.0 6515_0 12553_0
0.0 9693_0 9695_0
0.7645759582519531 4969_0 9738_1
0.0 6515_0 11722_0
0.0 9704_0 9245_0
0.0 2322_0 4872_1
0.0 10043_0 7217_0
0.4757828712463379 3844_0 5448_0
0.0 9780_0 5233_2
1.3030638694763184 1995_1 12641_0
0.0 7217_0 5724_0
0.0 13937_0 12190_0
0.0 8287_0 6619_0
1.8882818222045898 9980_0 12744_0
1.924147605895996 4918_0 13186_0
0.0 13882_0 9771_0
0.6799173355102539 470_2 2213_2
0.0 5666_1 7276_0
0.0 13833_0 7054_0
0.0 9659_0 993_1
1.3283896446228027 9714_1 10245_0
0.0 668_0 691_0
0.7031660079956055 10011_0 3759_0
0.0 5470_0 2907_0
0.01425933837890625 5899_0 5301_6
0.0 633_0 5532_0
0.0 4041_2 323_0
0.0 2865_0 10343_0
0.36212158203125 1507_4 6782_0
5.01915979385376 9649_0 10752_0
0.0 7013_0 5524_0
0.0 9936_0 1753_0
0.0 9107_0 9679_5
1.4945602416992188 5666_1 9413_1
0.0 6472_0 9693_0
0.0 11274_1 11863_0
0.0 9225_0 5877_0
4.476599216461182 9690_0 707_0
0.8288521766662598 2365_0 9885_0
1.7563705444335938 9487_0 301_1
0.0 9722_1 9668_3
3.0079779624938965 6068_0 12553_0
0.0 10743_0 7228_0
2.0619449615478516 5166_0 13214_0
0.0 2363_1 2520_0
0.48819923400878906 10042_0 1471_0
0.9042940139770508 2805_0 4361_0
0.0 1054_0 8451_0
0.6303567886352539 10075_0 12641_0
0.0 2478_1 13882_0
0.0 9834_0 12513_0
0.0 9107_0 3680_0
3.834522247314453 852_0 2362_0
0.0 6515_0 3967_0
0.0 5377_2 1300_0
0.0 10430_1 6310_2
0.0 10043_0 2836_1
0.0 9980_0 6175_0
0.0 1212_0 11186_0
0.0 5464_0 11708_0
0.5717711448669434 1324_0 8451_0
0.0 1531_0 1820_0
0.0 4829_0 10597_0
0.0 9714_1 9515_0
0.0 809_0 11320_0
0.0 4560_0 2507_0
0.0 5057_0 11408_0
0.0 4308_0 5727_0
0.0 1507_1 13267_0
0.0 13188_0 11896_0
0.0 5600_0 9972_1
0.0 10038_0 3581_0
0.48801231384277344 5377_2 720_0
1.7691903114318848 4041_2 908_0
0.0 7057_2 10179_0
0.3560500144958496 8445_0 10270_3
0.0 9659_0 5464_0
4.352754592895508 9981_0 11493_0
2.944291114807129 11365_0 5699_18
0.0 294_0 1212_0
0.0 9829_0 3678_0
1.1455693244934082 12014_0 1864_0
0.0 13412_0 5759_2
0.0 5759_5 9871_0
0.0 9754_0 2042_0
0.0 9225_0 6782_0
0.0 9771_0 11179_0
0.0 9531_1 5759_4
0.0 12275_0 150_0
2.2653985023498535 9997_0 12814_0
0.0 2530_0 9992_3
0.0 9997_0 2450_3
0.0 9700_1 7492_5
0.0 10051_0 5046_0
0.46161842346191406 11274_1 4257_0
0.0 1054_0 13317_0
0.14057540893554688 10451_0 5555_0
0.0 720_0 10038_0
3.1306533813476562 7016_0 10816_0
0.0 9514_0 9984_0
0.0 8961_0 6619_0
0.0 4795_0 10982_0
0.0 5178_0 10259_0
2.0561299324035645 13704_0 7069_0
4.517137050628662 5559_0 8451_0
0.0 1497_1 9918_0
0.0 10373_0 4422_0
0.0 7001_1 10260_0
0.0 9352_1 9618_0
