Test loss: 0.3095052464468166

Format: Loss TFAnchor TFNegative 
0.0 9713_1 4257_0
0.0 2427_0 1698_0
2.2991108894348145 9693_0 13351_0
0.0 8364_0 8617_0
0.22192788124084473 9893_0 9686_1
0.0 8233_0 5759_3
0.0 8364_0 8186_1
1.3187289237976074 6698_0 2118_0
0.6229472160339355 1727_0 11121_0
0.0 8364_0 2542_0
0.0 12619_0 10334_1
0.0 9732_0 10054_0
0.0 7247_0 13237_0
0.6247122287750244 4284_0 9926_1
0.0 9216_0 9477_0
0.0 3479_0 5946_0
0.21297645568847656 6117_0 2520_0
1.22365140914917 3634_0 1292_0
0.0 9732_0 7066_1
0.2959723472595215 1497_3 1966_0
0.0 371_0 11548_0
0.3946075439453125 3634_0 6735_0
0.0 6279_0 4322_0
1.6724941730499268 13166_0 6734_0
0.0007998943328857422 13224_0 13409_0
0.027650833129882812 2928_0 1685_0
0.0 7891_0 11647_0
0.6353311538696289 6279_0 9666_2
0.0 9353_0 9712_2
0.2811446189880371 8445_0 917_0
0.0 13217_0 9799_0
0.502851128578186 4262_0 8962_0
0.0 4262_0 11817_0
0.4239044189453125 9910_0 10058_0
0.4267001152038574 3634_0 11472_0
0.0 5521_0 9859_0
0.0 2427_0 8435_0
0.0 9696_1 1079_0
0.05913853645324707 9982_0 8362_0
0.0 4704_0 13303_0
0.532418966293335 12369_0 1906_0
0.0 5473_0 13574_0
2.0792806148529053 906_0 9715_1
0.0 1664_0 1975_0
0.0 8979_0 9713_1
0.07826876640319824 9894_0 11235_0
0.7577581405639648 1497_3 6716_0
0.6886496543884277 2363_1 9629_0
0.0 10488_0 7071_0
0.0 2948_0 5389_0
0.6099967956542969 1507_1 5739_0
0.5564048290252686 9735_2 12018_0
0.6557161808013916 4138_2 4240_0
0.6884200572967529 1507_1 410_3
0.0 11126_1 8481_0
0.5388245582580566 9686_1 13404_2
0.3196299076080322 10014_0 5744_11
0.756812572479248 10488_0 7031_0
0.41944003105163574 9686_1 8436_0
0.3350560665130615 6279_0 10488_0
0.0 10012_0 11315_0
0.215803861618042 4321_0 1302_0
0.0 1664_0 10181_0
0.09033083915710449 9735_2 1779_0
0.0 5666_5 1967_0
0.0 288_1 7817_0
0.9885506629943848 9910_0 7031_0
1.2177538871765137 3329_0 8238_0
1.2306079864501953 6698_0 470_1
0.6223452091217041 9676_0 10058_0
1.5312063694000244 4902_0 5744_4
0.6150655746459961 8736_0 10043_0
0.5302269458770752 3479_0 3043_1
0.0 8153_0 3442_0
0.0 633_0 1345_0
1.201436996459961 5855_0 13492_0
0.0 13638_0 7223_0
0.022078990936279297 1727_0 9904_0
0.0 7182_0 9789_1
0.0 7016_0 5848_1
0.15840554237365723 6890_0 6016_2
0.5659952163696289 3936_0 2582_0
0.0 1458_0 525_0
0.0 9966_0 10696_0
0.90242600440979 5389_0 3975_0
1.178539514541626 4358_0 8617_0
0.0 1151_0 5917_0
0.0 7492_8 8183_0
0.0 4560_0 1531_0
0.9078769683837891 3953_0 8291_0
0.6543066501617432 3329_0 5434_0
0.0 7221_0 9122_1
0.0 9149_0 4322_0
0.0 11069_0 7895_0
0.0 2928_0 1898_0
1.2778897285461426 7791_0 12070_0
0.7288186550140381 9967_1 6018_0
0.0 6136_0 13711_0
0.0 7109_0 8736_0
0.0 9353_0 1507_2
0.0 3244_0 4041_1
0.0 7492_8 11489_1
0.19963598251342773 10121_0 7001_1
0.0 2427_0 3656_0
0.0 7221_0 5315_0
0.0 9907_0 13723_0
0.045503854751586914 1664_0 13597_0
0.3990440368652344 3329_0 7159_0
0.15151000022888184 10488_0 11315_0
0.0 9547_6 9946_0
0.0 9930_2 9738_2
0.05083942413330078 9960_1 13360_0
1.0897371768951416 9776_1 13351_0
0.0 7780_0 13278_0
0.0 11647_0 788_0
0.0 10014_0 5517_7
0.22789382934570312 8364_0 12070_0
0.0 633_0 3115_0
0.6851849555969238 4167_0 10034_0
0.16285347938537598 7791_0 4692_0
0.0 1292_0 3693_0
0.0 8238_0 1616_2
0.21929526329040527 9897_1 3206_0
0.5122735500335693 5855_0 13597_0
0.0 9666_4 3656_0
0.0 133_0 7193_0
0.39710068702697754 9673_2 9740_1
0.3668367862701416 11126_1 6115_0
0.282132625579834 7247_0 12369_0
0.3677175045013428 13807_0 5666_5
0.9097082614898682 10260_0 12018_0
0.5616655349731445 3645_0 5744_4
0.0 2362_0 6716_0
1.37709379196167 4308_0 6310_1
0.0 13616_0 10843_2
0.0 9732_0 2582_0
0.0 9869_0 3463_2
0.0 371_0 7015_1
1.27886962890625 9693_0 3354_3
0.09303569793701172 1292_0 9666_2
0.44832897186279297 13816_0 2375_0
0.14620065689086914 6018_0 9735_2
0.5047070980072021 7109_0 3655_0
0.3642237186431885 9901_0 5683_2
0.9591464996337891 9679_1 5817_0
0.0 4048_0 5389_0
0.0 5473_0 11929_0
0.0 8145_0 1463_0
0.315814733505249 13816_0 9771_0
0.90242600440979 5389_0 3975_0
0.17875266075134277 6766_0 3418_0
1.2868432998657227 2352_3 9216_0
0.4693336486816406 3506_0 5759_4
0.0 5739_0 95_0
0.0 8979_0 11852_0
0.0 9840_0 7109_0
0.7814469337463379 54_0 1699_0
0.4417750835418701 13807_0 48_1
0.0 4041_1 5758_0
0.5949358940124512 5936_0 4749_0
0.0 2865_0 3656_0
0.0 5321_0 9897_2
0.0 1140_0 11744_0
1.239877462387085 8436_0 1603_0
0.0 5695_0 2039_0
0.9092390537261963 1876_0 10067_0
0.27991557121276855 5084_1 4160_0
0.0 13609_0 4652_0
0.0 11716_0 13598_0
0.0 12619_0 7375_0
0.0 2297_1 302_0
0.0 1497_1 260_0
0.07311296463012695 9982_0 3168_0
0.0 5281_0 4197_0
0.0 10371_0 4749_0
0.0 8078_0 9716_2
0.4666140079498291 7791_0 470_1
0.30439138412475586 1507_2 6874_0
0.08807492256164551 8445_0 13453_0
0.0 8979_0 6698_0
0.6701557636260986 8376_0 9906_0
0.05582761764526367 5530_0 9749_0
0.0 9745_0 5529_3
0.36811375617980957 1507_2 13597_0
0.0 6018_0 1492_2
1.4350454807281494 5084_1 9715_1
1.6339128017425537 906_0 3730_0
0.0 7314_0 2831_0
0.8579835891723633 9897_1 8780_0
0.0 11119_1 9943_0
0.0 13638_0 9388_0
0.0 3023_0 9404_0
0.0 12941_0 3544_0
0.5866079330444336 9967_1 11852_0
0.0 8364_0 11548_0
0.0 3244_0 9594_0
0.0 5669_0 4296_0
0.0 11716_0 470_3
0.82513427734375 9713_1 13237_0
1.0284521579742432 10488_0 12171_0
0.0 5473_0 13526_0
1.0176138877868652 9771_0 6149_2
0.0 1635_1 9732_0
0.0 9930_2 449_0
1.0146570205688477 4138_2 9743_1
0.0 5953_0 3476_0
0.0 8364_0 7791_0
0.6243352890014648 4902_0 9992_6
0.0 5655_0 5517_12
0.0 5321_0 2362_0
0.10677099227905273 3645_0 9790_1
0.0 9713_1 7686_0
0.2395033836364746 13430_0 5759_3
0.8066935539245605 5470_0 4936_0
0.0 5279_0 7788_1
0.9259836673736572 5321_0 955_0
0.0 10236_0 9712_1
0.0 9216_0 5871_0
0.0 6117_0 8709_0
0.0 2023_0 9716_2
0.0 13882_0 1531_0
0.0 9966_0 13217_0
0.019472360610961914 10552_0 11086_0
0.0 5655_0 3410_2
0.306060791015625 624_0 10700_0
0.0 12941_0 7440_0
0.0 906_0 10696_0
0.0 6734_0 1379_0
0.04823923110961914 5695_0 8078_0
0.0 9745_0 2034_0
0.0 7221_0 5699_44
0.0 10121_0 10441_3
0.0 1825_0 3927_0
0.0 13217_0 9679_3
0.0 13944_0 11254_0
0.0 13403_0 9700_1
1.2011349201202393 3506_0 2768_0
0.06725668907165527 11354_0 13586_0
0.0 8153_0 745_0
0.8858418464660645 10121_0 3567_1
0.0 5084_1 2352_3
0.0 13610_0 1898_0
0.06245231628417969 5521_0 6573_0
0.0 12527_0 4427_0
0.0 4704_0 13360_0
0.9396202564239502 4321_0 9071_0
0.0 7221_0 853_0
0.6546082496643066 8376_0 13597_0
0.0 9749_0 2033_0
1.0163853168487549 54_0 958_0
0.0 2297_1 4322_0
0.22633886337280273 4848_0 13204_0
0.2757880687713623 8104_0 303_0
0.47031283378601074 2928_0 2655_0
0.0 3456_2 6149_1
2.004671812057495 13543_0 11091_0
0.3726222515106201 906_0 7678_0
1.3605108261108398 9794_0 1497_3
0.0 5100_0 11472_0
0.0 13217_0 9819_1
0.0 4825_0 13509_0
1.4319796562194824 9673_2 8093_0
0.17001676559448242 5459_0 12488_0
0.9475140571594238 4276_0 10260_0
0.14889073371887207 5695_0 8291_0
0.0 11069_0 9668_5
0.0 1635_1 5744_1
0.016613483428955078 6117_0 3300_0
0.24046635627746582 13166_0 13360_0
0.0 7221_0 8780_0
0.0 9732_0 2507_0
0.0 11716_0 263_0
0.0 1698_0 9713_1
0.08987784385681152 5720_1 9709_0
0.0 9268_0 6053_0
0.8881299495697021 13166_0 3442_0
0.008130311965942383 8376_0 2118_0
0.0 939_0 1419_4
0.0 8233_0 8283_0
0.020400524139404297 1302_0 13353_0
0.0 2948_0 9819_1
0.0 11647_0 1674_0
0.0 6890_0 3591_0
0.0 12087_0 10696_0
0.0 1292_0 5517_12
0.0 12527_0 9910_0
1.2475590705871582 9666_4 10497_0
0.7222590446472168 3506_0 7397_0
0.788259744644165 13816_0 303_0
1.7157959938049316 920_0 9897_2
0.0 1140_0 263_0
0.7227303981781006 8093_0 8376_0
0.0 13944_0 5335_0
0.0 5855_0 13357_0
0.5516014099121094 5669_0 9122_1
0.0 4048_0 8843_0
0.0 8238_0 9668_3
0.0 12868_0 6016_2
0.7485353946685791 12369_0 6789_0
0.6687119007110596 7015_1 1856_0
0.05353403091430664 8736_0 1325_0
0.0 4262_0 5707_0
0.0 48_1 13081_0
0.0 9693_0 3844_0
0.0 3244_0 13411_0
0.06445646286010742 3676_2 9735_2
0.9112870693206787 5470_0 9582_0
0.0 10012_0 13081_0
0.8368823528289795 3418_0 13274_0
0.0 4138_1 5680_0
0.2263808250427246 4704_0 5936_0
0.0 1151_0 8012_0
0.0 9149_0 3043_4
0.11588859558105469 9713_1 2689_0
0.0 9715_1 3473_0
0.0 13944_0 3043_4
0.11245274543762207 6766_0 9764_0
0.0 624_0 6149_2
0.0 7016_0 1800_0
0.0 1507_2 4902_0
0.025061845779418945 3418_0 1739_0
0.0 9676_0 9679_2
0.025300979614257812 10054_0 3544_0
1.431947946548462 1876_0 3253_0
0.0 8435_0 48_1
0.0 1151_0 10067_0
0.0 5377_4 5713_0
0.0 4276_0 11173_0
0.07879114151000977 4308_0 12560_0
0.0 9547_6 1531_0
0.0 7678_0 5459_0
0.7273554801940918 10552_0 13403_0
0.0 9732_0 4374_0
0.8864550590515137 5899_0 10246_0
0.0 13944_0 13760_0
0.0 633_0 3079_0
1.2364106178283691 9967_1 55_0
0.0 2948_0 1292_0
0.0 2023_0 5517_7
0.0 12619_0 3091_1
1.1034133434295654 3329_0 9773_0
0.18317031860351562 7015_1 4732_0
0.0 10010_1 10014_0
0.0 819_0 5473_0
0.0 13882_0 9897_2
0.0 5398_0 10441_1
0.20987844467163086 13723_0 5302_0
0.0 2948_0 13254_0
0.21751904487609863 1507_2 10700_0
0.0 12527_0 1492_2
0.0 819_0 11178_0
0.0 5473_0 4410_0
0.0 9897_1 5699_44
0.1537611484527588 9216_0 12868_0
0.9814893007278442 6573_0 9547_6
0.0 288_2 481_0
0.5308220386505127 2774_0 13461_0
0.0 9749_0 7447_0
0.6716928482055664 5389_0 8962_0
0.06338143348693848 9705_0 9498_0
0.8744823932647705 9714_1 11397_0
1.0213673114776611 4308_0 9897_4
0.0 5377_4 4138_2
0.0 7791_0 5553_0
0.0 7440_0 12494_2
0.7745316028594971 1664_0 13406_0
0.0 13609_0 11337_0
0.0 5720_1 8592_0
0.3861980438232422 5281_0 13083_0
0.0 3287_0 13303_0
0.23812079429626465 6890_0 2903_0
0.6103272438049316 3418_0 12619_0
0.0 4262_0 9744_2
0.1474459171295166 6074_0 7397_0
0.0 10371_0 8709_0
0.0 4321_0 9668_3
0.0 9749_0 2948_0
0.0 13565_0 13204_0
0.0 3940_0 2034_0
1.079596996307373 5530_0 9894_0
0.0 11647_0 4660_0
0.06732845306396484 7961_0 3075_0
0.0 11450_0 5521_0
0.0 9732_0 4894_0
0.0 9149_0 9676_0
0.0 5423_0 449_0
0.0 9930_2 13757_0
0.0 4138_2 9663_0
0.0 9907_0 5666_5
0.17183637619018555 10260_0 7159_0
1.1422202587127686 9966_0 13574_0
0.0 12087_0 2362_0
0.0 1458_0 11548_0
0.0 8363_0 13439_0
0.9610967636108398 4902_0 260_0
0.0 8145_0 9045_0
0.6772546768188477 9696_1 11248_0
0.23888158798217773 8445_0 9388_0
0.0 9897_1 7109_0
0.3701496124267578 9713_1 7916_0
0.0 5233_2 10808_0
0.24649953842163086 4902_0 2903_0
0.0 4284_0 7371_0
0.0 9477_0 9666_4
0.0 9738_3 5302_0
0.0 4284_0 9516_0
0.0 10334_1 2513_0
0.2682476043701172 13166_0 5853_0
0.7146999835968018 7016_0 8592_0
1.2319293022155762 3645_0 5279_0
0.0 1727_0 3043_4
0.0 1943_0 3650_0
0.0 48_1 5233_2
0.0 5306_0 11119_1
0.0 9268_0 6028_0
0.5849952697753906 9894_0 3158_0
1.1457815170288086 3506_0 5857_0
1.0479004383087158 11093_0 9080_0
1.286710500717163 3418_0 13204_0
0.0 1079_0 9388_0
0.0 9897_1 9045_0
0.0 9712_2 5826_0
0.7449133396148682 5953_0 1379_0
0.6326305866241455 2716_0 1502_0
0.0 7314_0 7492_3
0.0 11069_0 7071_0
0.0 5521_0 4402_0
0.0 13885_0 8727_5
