Test loss: 0.4850402303092355

Format: Loss TFAnchor TFNegative 
0.06891965866088867 5759_4 1964_0
1.3558495044708252 9668_1 11408_0
0.32838964462280273 11704_0 11488_0
1.1723723411560059 1345_0 9730_2
0.7153373956680298 11071_0 10121_0
0.0 9744_5 5759_4
0.6535463333129883 8268_0 1472_2
0.4109938144683838 3481_0 13721_0
0.4164152145385742 8262_0 7492_2
0.19899368286132812 1707_0 10067_0
0.0 1598_0 263_0
0.3352360725402832 10777_3 2035_0
0.0988152027130127 3662_0 9679_1
1.7405110597610474 13397_0 712_0
1.1072837114334106 1928_0 5465_0
0.0 5551_0 11154_0
0.19127726554870605 8445_0 9978_0
0.14056062698364258 9705_0 7952_0
1.322500228881836 9386_0 5567_0
0.0 13411_0 1703_0
0.1943063735961914 1419_1 9750_1
0.889885663986206 1345_0 2289_0
0.314325213432312 9665_1 3266_2
1.1805574893951416 9714_1 10174_0
0.7103579044342041 8632_0 5755_1
0.0 3442_0 12843_1
0.0 11343_0 781_0
0.775766134262085 1140_0 454_0
0.9515957832336426 484_0 9128_0
0.742779016494751 9253_0 13404_1
0.7610374689102173 809_0 1541_0
0.9708406925201416 11391_0 2957_0
0.6511425971984863 11391_0 9967_2
0.5728546380996704 10217_1 7148_0
0.1399761438369751 2051_0 11424_0
0.8613556623458862 4395_0 9921_1
0.287029504776001 9253_0 8356_0
0.42627739906311035 9696_1 9353_0
0.0 8484_0 2375_0
0.6433311700820923 1707_0 5726_0
0.6924936771392822 1458_0 4002_0
0.3064720630645752 8997_0 5936_0
0.0 1495_0 2260_0
0.40583860874176025 9933_1 3081_0
2.253901958465576 920_0 11190_0
0.622779369354248 11071_0 9713_2
0.7981573343276978 6018_0 7492_3
0.0 1667_0 4749_0
0.905642032623291 7918_0 4968_0
0.723052978515625 8961_0 2694_1
0.18845272064208984 9897_1 9794_0
0.5658788681030273 5738_0 1688_0
0.0 9713_1 10075_0
0.26950645446777344 3967_0 1925_0
0.34673357009887695 9933_1 3698_1
0.0 11776_0 9751_0
0.0 12930_0 9780_0
0.4912616014480591 600_0 5036_0
0.9919519424438477 8068_0 3688_1
0.37446486949920654 8417_0 9700_1
0.0 2051_0 5889_0
0.769838809967041 9799_0 11086_0
1.0316214561462402 9705_0 3493_0
1.2614949941635132 4308_0 5710_0
0.0 11660_0 734_3
0.0 4002_0 9685_3
0.9315835237503052 13668_0 4911_0
1.2764227390289307 1079_0 2209_0
0.0 2774_0 9705_0
0.4247143268585205 2520_0 7071_0
0.0 9933_1 8619_1
0.4996650218963623 313_0 4195_0
0.0 12930_0 282_0
0.7049869298934937 9967_2 5755_1
0.0 802_0 1956_0
0.0 9930_1 7952_0
0.294968843460083 5759_4 13509_0
0.0 809_0 1151_0
0.0 9873_0 6011_0
0.0019183158874511719 9974_2 11779_0
0.7861502170562744 8417_0 9722_2
0.43099427223205566 1891_0 5759_7
0.0 12616_0 4681_0
0.0 2133_0 6792_0
0.6353317499160767 8365_0 11231_0
0.0 11660_0 8595_0
0.26491832733154297 13624_0 9780_0
0.2197251319885254 4887_0 5759_7
0.7450594902038574 9715_1 665_2
0.12583279609680176 9713_1 9857_0
0.5053298473358154 11704_0 11216_0
0.9046400785446167 4898_0 12619_0
0.0 2133_0 12082_0
0.02628159523010254 10064_0 1777_0
0.2610907554626465 9735_1 1616_1
0.0 2133_0 7250_0
0.5004751682281494 9771_0 13824_0
0.0 11660_0 3663_0
0.8792182207107544 8365_0 5567_0
0.0 5455_0 12072_0
1.1645605564117432 6983_0 9933_1
0.0 9744_5 930_0
0.5521479845046997 7491_0 7775_0
0.7746604681015015 3353_0 9691_0
0.0 5532_0 3458_0
0.2635073661804199 9879_0 2582_0
0.0 1419_1 9846_2
0.16392064094543457 9618_0 1053_0
0.7105205059051514 5534_0 5377_4
0.757758378982544 9970_0 11450_0
0.0 7687_0 5721_0
1.347870111465454 13616_0 10362_0
0.0 5759_4 12509_0
0.7777853012084961 11541_0 13492_0
0.48883330821990967 9933_1 1507_2
0.34625566005706787 9724_0 4161_0
0.0 12171_0 854_0
0.0 2146_0 7947_0
0.6166117191314697 5511_0 5905_0
0.0 1776_0 11672_0
0.0 3269_0 9414_0
0.5955778360366821 8484_0 5383_0
0.0 4401_1 600_0
0.0 2260_0 10054_0
1.2142646312713623 8376_0 2018_0
0.0 3452_0 10121_0
1.481669306755066 1419_2 1507_3
0.5271449089050293 4041_4 9933_1
0.41237783432006836 8974_0 1372_3
0.017392873764038086 2260_0 7866_0
0.36269474029541016 11135_0 282_0
1.437671422958374 230_0 3458_0
0.3286573886871338 1703_0 4395_0
0.0 12842_0 2653_0
0.0 7193_0 9820_0
0.0 8260_0 48_2
0.804801344871521 2774_0 11486_0
0.5712997913360596 9696_1 5383_0
1.0780199766159058 8997_0 3086_0
0.6856716871261597 9245_0 13734_0
1.8779431581497192 9970_0 10043_0
0.6454073190689087 11112_0 118_0
1.1554546356201172 1419_2 8156_0
0.5063018798828125 240_0 5755_1
1.3352612257003784 3481_0 8726_1
0.2798328399658203 4262_0 13624_0
0.0 11740_0 1371_0
0.597798228263855 1096_1 8997_0
0.0 12930_0 6766_0
0.450716495513916 115_0 1296_0
0.3192009925842285 2377_1 1829_0
0.6666555404663086 10054_0 1140_0
0.9881991147994995 9386_0 9735_1
0.49852681159973145 10624_0 6684_0
0.15132689476013184 10252_0 8638_0
0.14824271202087402 2955_0 10634_0
0.9698317050933838 9673_1 10018_1
0.7600362300872803 4395_0 13518_0
0.6671470403671265 7491_0 2932_0
0.8836158514022827 1458_0 11126_1
0.6356419324874878 10252_0 1345_0
0.8566679954528809 2774_0 7403_0
0.07457518577575684 11086_0 13569_0
0.9585654735565186 9253_0 5383_0
1.011275053024292 9666_4 6818_0
0.485400915145874 3353_0 1878_0
0.6984260082244873 11093_0 5861_0
0.0 8435_0 11391_0
0.37727105617523193 8417_0 1613_0
0.4902040958404541 5351_0 7492_6
0.9723540544509888 8997_0 9846_2
0.7668986320495605 1788_0 10634_0
1.3924777507781982 1869_0 11418_0
0.0 12026_1 13277_0
0.0 1598_0 11772_0
0.49193763732910156 9690_0 7492_2
0.7147655487060547 9715_1 11679_0
0.8131959438323975 4601_0 3537_1
0.0 3446_0 12930_0
0.7951865196228027 2023_0 2260_0
0.0 5738_0 5546_0
0.5040309429168701 11772_0 5739_0
1.0525833368301392 4041_2 9386_0
1.8619441986083984 920_0 4629_0
0.0 12026_1 13591_0
0.0 4887_0 5967_0
0.662161111831665 1079_0 6521_0
1.3063228130340576 8815_0 11884_0
0.09016120433807373 1995_2 9715_2
0.6132429838180542 9776_1 454_0
0.0 4893_0 13237_0
0.0 3454_0 13154_0
0.6302061080932617 10058_0 9910_0
0.0 4968_0 9740_2
0.3775503635406494 288_1 2582_0
0.0 5861_0 8436_0
0.0 2146_0 3154_0
1.1569921970367432 9970_0 4902_0
0.18269634246826172 9974_2 9665_1
0.22569811344146729 9664_1 11130_0
0.0 1776_0 4029_0
0.045107364654541016 3676_1 9147_0
0.0 4041_2 4925_0
0.0 10064_0 1378_1
0.0 1495_0 9856_2
0.6688648462295532 1898_0 12616_0
1.3873817920684814 1212_0 8770_0
0.0 8845_0 13128_0
0.361835241317749 4002_0 2457_0
0.0 11776_0 3309_0
0.5406873226165771 6983_0 5759_2
0.7070479393005371 10628_0 11103_0
0.6551939249038696 4016_0 3328_0
0.2171483039855957 1788_0 8425_0
0.7760673761367798 2955_0 4887_0
0.2515256404876709 172_0 1463_0
0.9297330379486084 9253_0 10372_2
0.853002667427063 8365_0 1127_0
0.8715143203735352 2774_0 2277_0
0.5507059097290039 10777_3 3688_1
0.28878116607666016 13721_0 11721_0
0.0 2146_0 4876_0
0.0 3662_0 719_0
1.0747536420822144 11541_0 2687_0
0.8014461994171143 10222_0 5478_0
0.479564905166626 3797_0 1788_0
0.18445968627929688 9897_1 4494_0
0.23766684532165527 6668_0 12295_0
0.0 2031_0 1620_0
0.5291579961776733 5076_0 9980_0
0.8772809505462646 4418_0 7403_0
0.0 11740_0 9690_0
1.079878330230713 8484_0 10024_0
0.0 8445_0 11206_0
0.7134640216827393 1494_1 11124_0
0.0 9715_1 8204_0
0.0 11660_0 11822_0
0.5817923545837402 10064_0 9696_1
0.4491875171661377 8417_0 13885_0
0.0632774829864502 1841_0 7071_0
0.0 9147_0 1829_0
0.2956113815307617 600_0 9673_3
0.0 1458_0 4169_0
0.3085365295410156 9882_1 325_0
0.0 11740_0 5465_0
0.3256263732910156 5552_1 3537_1
0.300640344619751 939_0 7428_0
0.0 11776_0 12732_0
1.8641587495803833 1744_0 9776_1
0.5628293752670288 172_0 9829_0
0.7996102571487427 1813_0 10022_3
0.0 1096_1 9474_0
2.141569137573242 1212_0 4153_0
0.3909417390823364 5470_0 12842_0
0.040811777114868164 12295_0 84_0
0.0 2051_0 10064_0
0.0 1463_0 11776_0
0.7734415531158447 313_0 5666_3
0.29855215549468994 5727_0 3557_0
0.10514712333679199 9734_0 2991_0
0.4534416198730469 5738_0 1716_0
0.0 8845_0 6028_0
0.0 600_0 4902_0
0.4066227674484253 9980_0 13945_0
0.9506969451904297 1995_1 13591_0
0.5377717018127441 8770_0 9925_0
0.6078518629074097 4016_0 2384_0
0.7374669313430786 5351_0 8624_0
1.0271855592727661 9714_1 9700_1
0.9860101938247681 5036_0 1813_0
0.19525587558746338 8078_0 4756_0
0.7404794692993164 11704_0 11135_0
0.8934473991394043 1345_0 12735_0
0.610424280166626 4094_0 1417_0
0.0 2133_0 2114_0
0.0 11776_0 10222_0
0.7628103494644165 3662_0 9873_0
0.9901506900787354 13668_0 5455_0
1.4385950565338135 1212_0 7803_0
0.0 3717_0 11082_0
0.10374903678894043 8484_0 11968_0
1.4351162910461426 3218_0 742_0
0.46177852153778076 10252_0 1815_0
0.07508790493011475 8961_0 1907_0
0.8987166881561279 11124_0 8291_0
0.30702972412109375 1458_0 13212_0
0.7368121147155762 1744_0 13616_0
0.8927783966064453 13524_0 12295_0
0.0 9776_1 11537_0
0.27615606784820557 12025_0 9910_0
1.311554193496704 5552_1 8453_2
0.3795645236968994 2582_0 6382_0
0.6501631736755371 1668_0 13198_0
0.0 4262_0 5385_0
0.0 5665_0 2991_0
0.0 1598_0 9834_0
0.0 9930_1 9989_0
1.1065257787704468 6983_0 9474_0
0.09013032913208008 10064_0 1339_0
0.0 6983_0 13154_0
0.0 12026_1 2716_0
1.1341837644577026 9414_0 3240_1
0.8971219062805176 5455_0 9679_2
0.42430639266967773 1703_0 1372_0
0.0 11772_0 6451_0
1.2253150939941406 11343_0 2384_0
0.40979623794555664 11124_0 1079_0
0.22778868675231934 1707_0 1507_2
1.0098904371261597 4756_0 5925_0
0.129807710647583 8453_2 1841_0
0.405933141708374 8770_0 11028_0
0.0 13624_0 1419_2
0.0 11740_0 11791_0
1.5133947134017944 2023_0 10628_0
0.0 11772_0 5567_0
0.8020632266998291 3218_0 12022_1
0.42920851707458496 1507_2 4138_1
0.0 7941_0 12547_0
0.7480342388153076 595_0 7001_3
1.0954439640045166 6775_0 5365_0
0.6534501314163208 8453_2 288_1
0.8837662935256958 13411_0 11660_0
0.4245702028274536 8078_0 1472_2
0.0 9745_0 3691_0
0.2570887804031372 9715_1 5759_2
0.0 2725_0 7492_3
0.0 8365_0 5732_0
0.9696978330612183 4418_0 3458_0
0.0 12842_0 6891_0
0.0 9649_0 11316_0
1.627791166305542 8376_0 1727_0
1.4325627088546753 2520_0 1475_0
0.7295892238616943 9673_1 13636_0
0.0 371_0 118_0
0.6246545314788818 2074_0 2213_1
0.6801166534423828 3643_0 6604_0
1.990720510482788 1345_0 1611_0
0.7030390501022339 2377_1 1891_0
0.5746132135391235 9980_0 11190_0
0.025725245475769043 8445_0 1688_0
2.0374703407287598 2363_1 9253_0
0.8138439655303955 4560_0 7440_0
0.10029208660125732 9879_0 9938_0
0.7447354793548584 10011_0 5470_0
1.209905743598938 6944_0 5389_0
1.1621536016464233 371_0 3269_0
0.0 2725_0 5759_4
0.015400171279907227 9980_0 4887_0
0.0 10231_2 13272_0
0.4219977855682373 2582_0 6123_0
0.2633863687515259 9776_1 4031_0
0.18670296669006348 1703_0 10766_0
0.0 3537_1 4161_0
0.0 3446_0 5511_0
0.0 13721_0 3353_0
0.5399355888366699 9102_0 5699_6
0.5565165281295776 6944_0 5710_0
0.7210961580276489 9696_1 5460_0
0.5645239353179932 890_0 9216_0
1.421291708946228 230_0 4138_2
1.2793526649475098 13397_0 11408_0
1.86681067943573 8068_0 4282_1
0.0 2031_0 4950_0
0.35317111015319824 9966_0 7754_0
2.1979479789733887 9666_4 11247_0
0.1464395523071289 1898_0 3353_0
0.4986076354980469 5465_0 13517_0
0.8696012496948242 1869_0 4969_0
0.0 6018_0 371_0
0.8230471611022949 8632_0 9794_0
0.0 9933_1 2666_0
0.0 4968_0 9882_1
0.7155659198760986 9799_0 2658_2
0.8614964485168457 9799_0 3623_0
0.0 4898_0 2080_0
0.6787304878234863 5511_0 10072_0
0.8124136924743652 13616_0 1697_0
0.29216575622558594 3676_1 9722_2
0.0 230_0 577_0
0.13358426094055176 1096_1 7428_0
0.27069878578186035 1492_1 9547_9
0.0 2133_0 7151_0
0.0 9714_1 2524_0
0.0 9665_1 3294_0
0.9214749336242676 8068_0 1869_0
0.6787041425704956 5448_1 2035_0
0.757361888885498 1668_0 4076_0
0.0 10687_0 930_0
0.8269524574279785 5567_0 4866_0
0.0 12616_0 9414_0
1.4475553035736084 10628_0 3316_1
0.6596875190734863 4560_0 7151_0
0.055101871490478516 8078_0 13945_0
0.14868831634521484 4138_1 4958_0
0.37609124183654785 9665_1 2907_0
0.5509107112884521 11716_0 10567_0
