Test loss: 0.6567696236971583

Format: Loss TFAnchor TFNegative 
0.0 7492_3 4115_0
0.8798561096191406 10048_1 5448_1
0.0 615_0 2201_0
1.732574462890625 2363_1 11124_0
0.0 11787_0 9921_2
0.9248132705688477 9677_1 11488_0
0.0 9705_0 7872_0
0.9789152145385742 4115_0 9709_0
0.023988723754882812 1746_0 9993_0
0.6822118759155273 10199_0 13734_0
0.0 3557_0 5720_2
0.8033084869384766 4041_4 2865_0
0.0 2082_0 10070_0
1.770838737487793 5936_0 3460_0
0.0 4312_0 11973_0
0.3188610076904297 1302_0 8762_0
1.3531904220581055 9916_0 1673_0
1.9753646850585938 4962_2 3062_0
0.0 909_0 12386_0
0.3599843978881836 4041_4 6216_0
0.0 5595_0 4854_0
1.4546995162963867 9980_0 9738_3
1.4877729415893555 4608_0 2483_0
0.0 7221_0 10270_2
0.0 9912_0 10035_0
0.17283153533935547 8592_0 3277_2
0.0 3824_0 9845_1
0.0 2520_0 529_0
0.15518951416015625 2201_0 9616_0
0.0 5518_0 3503_0
1.7254533767700195 9696_3 13385_0
0.0 5521_0 13327_0
0.0 4904_0 13304_0
1.2503442764282227 1826_0 8698_0
0.1238861083984375 4152_1 7397_0
1.3789196014404297 11271_0 2023_0
0.0 10231_4 7914_0
0.0 5301_0 12853_0
0.0 9353_0 3296_0
0.14425373077392578 2192_0 5567_0
1.9311418533325195 2829_0 1907_0
0.0 7492_3 449_0
0.0 1800_0 13220_0
0.0 9745_0 13244_0
0.0 8198_0 7042_0
0.0 3557_0 12508_0
1.335580825805664 9696_2 13363_0
0.0 1298_2 2074_0
0.0 9744_2 2373_0
0.5515775680541992 9782_0 9618_0
0.22897624969482422 5076_0 5455_0
0.589599609375 9843_5 6276_0
0.0 909_0 11263_0
0.7663345336914062 5520_1 5666_4
0.0 2520_0 2450_3
0.6073122024536133 2849_0 1585_0
0.0 1817_2 11271_0
0.0 4138_1 7678_0
0.09326171875 6382_0 909_0
0.7845048904418945 8233_0 9989_0
0.3215198516845703 9666_4 4413_0
0.0 13882_0 9668_1
0.0 11234_0 270_0
0.858464241027832 9677_1 12824_0
0.0 10597_0 6265_0
0.6682815551757812 13224_0 1671_0
1.0868034362792969 8693_0 9794_0
0.0 2666_0 6619_0
2.127042770385742 7750_0 9772_1
0.6702194213867188 5861_0 2222_0
0.22361278533935547 9658_6 10780_0
0.0 10597_0 2663_0
0.0 8194_0 6926_0
0.5877723693847656 958_0 4115_0
0.0 1494_2 4282_2
1.4335823059082031 887_0 3115_0
0.6576871871948242 8693_0 1710_0
0.16309547424316406 13544_0 8353_0
0.0 13565_0 2849_0
0.4086179733276367 4115_0 9794_0
1.2411623001098633 9353_0 7221_0
0.0 10174_0 8828_0
1.2632341384887695 6604_0 7492_6
2.827641487121582 9843_5 13319_0
0.9171781539916992 6619_0 1000_5
1.0318470001220703 2849_0 3844_0
0.0 5519_2 3656_0
2.6949853897094727 2662_0 10070_0
1.5375175476074219 2805_0 7784_0
0.38101959228515625 172_0 129_0
1.5007696151733398 5301_1 6957_0
1.903498649597168 527_0 9999_0
1.195448875427246 8086_1 9811_0
1.5916376113891602 1497_1 4282_0
0.0 9421_0 9776_1
2.4875049591064453 8233_0 10070_0
1.2253713607788086 5448_1 10121_0
0.0 7221_0 11484_0
1.0461740493774414 906_0 12043_0
0.0 45_0 9694_1
0.4941596984863281 2774_0 5877_0
0.0 9909_1 4932_0
0.0 2928_0 4041_1
1.2701044082641602 887_0 7208_0
0.07051372528076172 1816_0 4388_2
0.0 10231_4 2510_0
0.0 5519_2 2706_1
1.1155052185058594 9801_0 2679_0
0.0 1995_1 10015_0
0.5710582733154297 1507_1 3655_0
0.8176612854003906 1826_0 4932_0
0.0 7857_0 9710_0
0.1654682159423828 13713_0 9841_0
1.0209026336669922 1826_0 11173_0
0.0 10174_0 9931_2
0.0 11450_0 11086_0
0.0 9277_0 10217_2
0.608795166015625 10329_0 9989_0
0.0 3662_0 5542_0
0.0 7678_0 11230_1
1.0796890258789062 3688_2 13270_0
0.3816080093383789 5728_0 2322_0
1.5625972747802734 2374_3 1622_2
0.0 4041_4 2374_3
0.0 8194_0 8441_0
0.0 11740_0 9673_2
0.0 5683_1 2201_0
0.0 10075_0 6216_0
0.5464248657226562 129_0 5733_0
0.0 2662_0 5921_0
0.0 3669_0 10012_0
2.5643749237060547 2662_0 1816_0
1.584691047668457 2209_0 11481_0
0.0 10075_0 11121_0
1.8724603652954102 9921_2 5301_3
1.4482784271240234 2510_0 8451_0
0.8931655883789062 13668_0 2248_0
0.3252410888671875 2082_0 4002_0
1.100362777709961 10329_0 12472_0
0.0 8198_0 5728_0
1.3506650924682617 129_0 7895_0
0.0 4358_0 8828_0
0.2733306884765625 4041_1 5923_0
0.0 7492_3 11714_0
0.7391128540039062 3936_0 9277_0
0.4634895324707031 6279_0 1205_0
2.0535383224487305 2510_0 11488_0
0.0 3557_0 920_0
1.4147930145263672 3824_0 12555_0
0.0 10050_0 4459_0
0.0 11230_1 3155_0
0.0 1497_1 11292_0
0.0 8617_0 11071_0
0.8774309158325195 11086_0 2450_3
1.2087745666503906 2023_0 5683_1
0.6839008331298828 2510_0 9696_3
2.066927909851074 5520_1 5535_0
0.0 1298_2 9618_0
0.0 8198_0 6807_0
0.0 3717_0 13492_0
0.8201818466186523 9859_0 439_0
1.1728858947753906 9658_6 11329_0
1.1531238555908203 8233_0 4292_0
0.11614036560058594 6807_0 7336_0
0.0 9714_1 9668_2
2.0995969772338867 2865_0 9437_0
0.057999610900878906 9353_0 1650_0
0.0 8843_0 7900_0
1.0761871337890625 2805_0 3717_0
0.6484594345092773 7918_0 10533_2
0.5013532638549805 2192_0 5552_1
1.3754920959472656 9673_1 8261_0
1.4329004287719727 9677_1 2209_0
0.6895503997802734 920_0 5923_0
0.0 2082_0 1778_0
0.0 1494_2 13610_0
0.5789957046508789 9664_2 9948_0
0.0 2201_0 1708_0
0.0 5521_0 5730_0
0.46326732635498047 9801_0 1732_0
0.35277557373046875 9073_0 2909_0
0.8682403564453125 2079_0 13586_0
0.32177257537841797 8693_0 13366_0
0.1395883560180664 4115_0 10075_0
1.1945381164550781 2865_0 9690_0
2.3338184356689453 5301_1 1458_0
0.0 7987_0 8150_0
0.0 736_0 9831_0
0.02016162872314453 9771_0 6766_0
0.6487598419189453 2209_0 4041_4
0.0 7857_0 5511_0
0.8227920532226562 129_0 4962_1
0.2899169921875 9843_5 1298_2
0.0 2846_0 9811_0
1.4486474990844727 2377_1 1468_0
2.6339111328125 11352_1 4377_0
0.9771137237548828 11274_1 4152_1
0.0 5521_0 12555_0
0.0 9744_2 4754_0
0.16013240814208984 4871_1 10028_0
1.2161054611206055 5732_0 13294_0
1.158799171447754 4462_0 9834_0
1.3708887100219727 8484_0 529_0
0.5894279479980469 9277_0 230_0
0.0 7678_0 7042_0
1.8319530487060547 11283_0 9710_0
0.6852226257324219 11652_0 7152_0
0.0 5899_0 10451_0
0.0 10013_0 6028_0
0.5035524368286133 4041_4 6621_0
0.0 3936_0 10725_0
0.7599210739135742 6807_0 10363_0
0.0 13466_0 7918_0
0.7068929672241211 2082_0 7116_0
1.2662687301635742 9664_1 1995_2
0.4361391067504883 10329_0 8592_0
0.0 11489_1 3544_0
0.0 615_0 7030_0
0.0 8726_2 11121_0
0.0 9738_3 3656_0
1.6597375869750977 9910_0 9947_0
0.0 7221_0 5785_0
0.0 11220_0 1841_0
0.7472372055053711 9696_2 4969_0
0.45474815368652344 9107_0 2909_0
1.2760963439941406 4308_0 11456_0
0.0 3334_0 9744_2
0.0 10597_0 9846_3
1.1112823486328125 5185_0 1494_2
0.0 920_0 11173_0
0.0 9728_1 10790_0
0.0 8198_0 13413_0
1.3022575378417969 5861_0 5448_1
1.278203010559082 2070_0 6668_0
0.0 7857_0 7415_0
1.6212997436523438 4358_0 9715_2
0.9064912796020508 7899_0 4854_0
0.0 10065_0 2352_1
0.0 5523_0 7299_0
0.0 8617_0 1635_2
0.0 11071_0 4041_1
0.0 9909_1 2955_0
0.0 11230_1 9547_3
1.045781135559082 9921_2 9925_0
1.2210760116577148 1497_3 12732_0
0.0 3460_0 8143_1
1.696213722229004 2805_0 1732_0
1.5454797744750977 7750_0 12043_0
0.0 4904_0 11935_0
1.1376018524169922 10329_0 7802_0
0.0 9772_1 4195_0
0.9673175811767578 2450_2 10201_0
0.0 3334_0 11882_0
0.0 9107_0 8261_0
0.0 1726_0 2374_3
0.0 8451_0 5301_2
1.0206661224365234 11274_1 5683_2
0.07872486114501953 8238_0 2274_0
0.31241703033447266 4917_0 5546_0
0.0 1497_3 6216_0
0.0 470_3 9061_0
0.0 1497_3 9539_0
0.0 11230_1 381_0
0.0 1298_2 13928_0
1.1889753341674805 6551_0 2192_0
0.7916660308837891 1302_0 13290_0
1.558084487915039 6978_0 3899_0
0.0 5595_0 11315_0
1.0899314880371094 13713_0 8617_0
0.8775148391723633 2070_0 4304_1
1.392228126525879 6279_0 13385_0
1.4923334121704102 3824_0 5301_5
0.0 3072_0 12853_0
0.5897693634033203 1379_0 8974_0
0.0 9927_0 9666_3
0.0 8843_0 2078_0
2.3962249755859375 1898_0 8859_0
0.6108970642089844 8451_0 13616_0
0.0 5423_0 9547_3
2.4891929626464844 8150_0 11138_0
0.9446687698364258 7057_3 13492_0
0.0 11740_0 6978_0
0.0 11740_0 4968_0
0.2669191360473633 2225_0 13289_0
1.4239530563354492 9696_2 4322_0
1.726327896118164 9673_1 7147_0
0.7461490631103516 9738_3 1998_0
1.7026538848876953 9696_2 10070_0
1.2057132720947266 5076_0 4282_0
0.0 5233_1 11133_0
1.6984920501708984 9675_0 4701_1
1.228872299194336 9073_0 2674_0
1.9689750671386719 9859_0 4601_0
0.0 8726_2 13290_0
1.0944805145263672 4138_1 3057_0
0.0 11071_0 6807_0
0.0 11230_1 10982_0
0.8407421112060547 129_0 88_0
0.0 2520_0 9673_1
1.0633983612060547 1507_1 313_0
0.0 3662_0 2836_3
2.6652536392211914 1898_0 4917_0
0.3806028366088867 2374_3 6734_0
2.0022268295288086 5732_0 12025_0
0.0 5185_0 5301_0
1.3426475524902344 1497_3 9179_1
1.5953292846679688 2510_0 11246_0
0.5232925415039062 1611_0 11294_0
1.7836494445800781 4358_0 9363_0
1.9434261322021484 11274_1 1622_2
0.0 9107_0 3688_1
1.4241609573364258 10329_0 1585_0
0.6402082443237305 8086_1 13826_0
0.0 12022_2 10178_0
1.5318870544433594 9665_1 624_0
0.6050996780395508 9665_1 3558_0
0.0 3662_0 3334_0
0.0 9277_0 7987_0
0.805262565612793 7899_0 529_0
0.0 11246_0 12022_2
0.41918182373046875 2865_0 1673_0
0.0 615_0 3454_0
1.9838628768920898 8693_0 9709_0
0.0 9728_1 5149_0
0.0 11263_0 9712_2
0.0 11484_0 11927_0
0.4491701126098633 8451_0 5523_0
0.11186408996582031 2374_3 3940_0
0.9956588745117188 920_0 1020_0
0.03939342498779297 1825_0 9906_0
0.0 5521_0 3544_0
0.0 13466_0 13450_0
0.22359371185302734 2023_0 3717_0
0.0 8726_2 957_0
1.2661199569702148 9677_1 1942_0
1.192276954650879 4041_1 13327_0
1.3520402908325195 8238_0 1497_1
0.0 11740_0 3228_4
0.0 9739_1 5699_48
0.0 10174_0 4282_2
1.1547555923461914 11274_1 4322_0
0.614288330078125 8693_0 4947_0
1.462834358215332 5861_0 1618_0
0.0 2716_0 4962_1
0.31719017028808594 3456_1 3340_0
0.5764379501342773 957_0 9490_0
0.0 10597_0 11126_1
0.0 11343_0 9901_0
0.0 10050_0 4601_0
0.0 11234_0 2805_0
0.0 8194_0 2663_0
0.0 12022_2 7678_0
1.3584985733032227 11271_0 5729_0
0.0 5861_0 8485_0
1.1834745407104492 5301_1 9058_0
0.0 2192_0 410_3
1.862870216369629 2805_0 11292_0
0.44631290435791016 9107_0 1678_2
1.116480827331543 9073_0 6732_0
0.1732492446899414 2225_0 3634_0
0.8971786499023438 8150_0 9353_0
1.6066617965698242 958_0 3498_0
0.0 3557_0 1059_0
0.0 10542_1 12122_0
1.3440093994140625 9677_1 13466_0
1.2347183227539062 4462_0 10792_0
0.1319751739501953 5520_1 12184_0
0.0 12022_2 3402_0
0.0 8365_0 702_0
0.8792085647583008 9859_0 7802_0
1.2571907043457031 4917_0 5744_2
0.0 9912_0 1327_0
0.35154151916503906 8451_0 13421_0
0.20729732513427734 2510_0 1800_0
0.9979076385498047 11652_0 9129_0
0.0 8491_0 5675_2
0.0 5301_0 1711_0
1.6025981903076172 9664_2 5474_0
0.0 10050_0 929_0
0.0 1726_0 9939_0
0.0 5595_0 9668_2
0.44919395446777344 9772_1 6745_0
0.9247245788574219 4138_1 13357_0
0.4491434097290039 11093_0 4979_0
1.487619400024414 1817_2 11292_0
1.1538419723510742 6807_0 12386_0
1.779820442199707 8365_0 8618_1
2.2833452224731445 1151_0 9710_0
0.0 2353_0 8417_0
0.0 1800_0 1907_0
0.0 11246_0 9773_0
1.3733491897583008 9910_0 1841_0
1.4398136138916016 11283_0 12498_0
2.224827766418457 8484_0 8445_0
1.7972307205200195 5567_0 4282_0
0.0 2716_0 2928_0
0.0 13466_0 9903_0
3.061976432800293 7001_1 9846_3
0.0 2201_0 2450_2
0.0 4871_1 779_0
3.0375537872314453 9658_6 11292_0
0.2636909484863281 9649_0 8362_0
1.0752840042114258 5899_0 2694_1
0.7237110137939453 4041_1 9572_0
1.2319440841674805 11086_0 9912_0
0.0 2666_0 6760_0
1.1706829071044922 9831_0 7780_0
0.0 11450_0 9277_0
0.0 449_0 13602_0
0.8125476837158203 5520_1 5720_2
0.0 2065_0 9129_0
0.0 10065_0 13577_0
1.3950824737548828 7891_0 2427_0
