Test loss: 0.17288232287608374

Format: Loss TFAnchor TFNegative 
0.3326437473297119 9714_1 4401_1
0.35145092010498047 8429_0 12776_0
0.0 9781_0 9421_0
0.0 8365_0 3501_0
0.07701611518859863 6791_0 2102_0
0.0 11372_0 13833_0
0.0 5185_0 5816_0
0.7586913108825684 1995_3 4681_0
0.023720979690551758 2516_0 9730_1
0.0 12776_0 4560_0
0.0 5315_0 12171_0
0.0 48_1 7614_0
0.42833995819091797 11192_0 1357_0
0.0 5699_39 5498_2
0.0 8310_0 13641_0
0.5426003932952881 5306_0 9921_2
0.03182101249694824 2520_0 13646_0
0.0 9033_0 12806_0
0.0 9673_1 3506_0
0.0 1419_4 5732_0
0.0 8866_0 10599_0
0.0 1691_0 4944_0
0.0 4410_0 2476_0
0.0 9980_0 8665_0
0.0 9980_0 9897_2
1.0546009540557861 4705_0 5306_0
0.22472739219665527 9744_1 4138_1
0.3427908420562744 4882_0 133_0
0.0 10141_0 5711_4
0.0 4745_0 9122_2
0.0 9122_1 12824_0
0.0 3418_0 9225_0
0.9589345455169678 5233_2 4051_0
0.0 9946_0 1822_0
0.0 9266_0 7741_0
0.2317204475402832 3411_0 6122_0
0.0 318_0 5301_5
0.0 745_0 9722_4
0.0 13943_0 1212_0
0.0 115_0 9765_0
0.38175535202026367 9066_0 2248_0
0.0 9939_0 13378_0
0.0 2520_0 4882_0
0.0 13223_0 3797_0
0.0 1497_2 12896_0
0.0 9742_1 9690_0
0.0 5470_0 9122_2
0.0 1929_0 8982_0
0.0 8310_0 9487_0
0.0 12723_0 5294_0
0.7120862007141113 10038_0 9691_0
0.0 6791_0 2079_0
0.19019484519958496 2499_1 4134_0
0.0 7891_0 1054_0
0.0 11707_0 11962_0
0.0 1151_0 5552_2
1.1310157775878906 9694_1 9870_0
0.0 1898_0 1497_1
0.0 3680_0 11543_1
0.0 1481_0 10362_0
0.0 13646_0 13378_0
0.5069971084594727 9547_2 12776_0
0.0 1995_3 2786_0
0.0 11707_0 1363_0
0.0 303_0 11710_0
0.0 10795_0 5453_0
0.0 11116_0 9516_0
0.0 7388_0 12188_0
0.0 6791_0 10021_2
0.0 5899_0 4891_0
0.0 9944_0 1821_0
0.020464658737182617 8584_0 1349_0
0.0 4601_0 7001_1
0.8735179901123047 6527_0 11116_0
0.0 745_0 6703_0
0.0 3680_0 624_0
0.0 3246_0 3760_1
0.0 5315_0 9904_0
0.0 9880_1 4921_1
0.0 7944_0 6766_0
0.0 12171_0 615_0
0.34032106399536133 1497_2 1864_0
0.0 1929_0 5581_0
0.0 4358_0 11846_0
0.0 1472_1 5739_0
1.0591681003570557 11704_0 4641_3
0.32984328269958496 12112_0 11936_0
0.0 7417_0 5448_0
0.0 1531_0 9696_2
0.0 10624_0 7802_0
0.7030673027038574 5732_0 5552_1
0.0 7743_0 7197_0
0.0 13646_0 4921_1
0.9061894416809082 3418_0 10048_1
1.17391037940979 5082_0 10174_0
0.0 4410_0 2894_0
0.0 2118_0 1707_0
0.0 3362_0 9339_1
0.0 2363_1 2011_0
0.012932062149047852 4922_0 6786_0
0.0 9901_0 11216_0
0.0 2499_1 9716_1
0.0 11246_0 6056_3
0.0 1929_0 9797_0
0.0 9930_1 8088_0
0.33286571502685547 1497_2 4003_0
1.1721172332763672 115_0 11248_0
0.0 1079_0 5335_0
1.8254635334014893 11343_0 13735_0
0.0 5082_0 9462_0
0.0 7648_0 9566_0
0.0 11707_0 5517_7
0.0 7187_0 9363_0
0.0 9845_1 9658_6
0.22157716751098633 11271_0 5233_1
0.3297858238220215 745_0 4641_3
0.0 115_0 9716_1
0.0 13466_0 331_0
0.9215009212493896 9679_1 9698_0
1.9723093509674072 9216_0 1531_0
0.0 10816_0 10121_0
0.0 9664_1 12071_0
0.0 10345_0 3634_0
0.0 6791_0 3448_2
0.39963865280151367 1302_0 11213_0
0.2793395519256592 7944_0 2114_0
1.0769057273864746 5448_1 9713_2
0.0 4401_1 12113_0
0.4809567928314209 6865_0 2566_0
0.0 1995_1 439_0
0.0 11116_0 5673_2
0.0 318_0 2481_0
0.0 4745_0 10546_0
0.0 1324_0 11486_0
0.0 1379_0 10058_0
0.0 7388_0 1842_0
0.0 9901_0 9879_0
0.0 13413_0 12824_0
0.0 9799_0 5744_12
0.14981555938720703 13569_0 10026_0
0.3188943862915039 10075_0 9967_2
0.0 9690_0 9753_1
0.20149922370910645 4692_0 5974_0
0.0 7257_0 9417_0
0.5338842868804932 9696_2 2079_0
0.0 1703_0 9485_0
0.21587634086608887 11216_0 13630_0
0.0 9693_0 1357_0
0.0 2118_0 5550_0
0.0 6607_0 9686_1
0.8692309856414795 7001_1 1699_0
0.0 13466_0 2039_0
0.33052706718444824 313_0 5501_0
0.0 5511_0 9754_0
0.0 8238_0 6122_0
0.19336199760437012 5546_0 898_0
0.0 9714_1 4046_0
0.0 3362_0 4692_0
0.0 9744_1 13301_0
0.05837392807006836 4152_1 474_0
0.0742805004119873 8363_0 624_0
0.0 48_1 1591_0
0.0 10015_0 8835_0
0.0 4410_0 11216_0
0.0 1494_3 10712_0
0.0 9880_1 5149_0
0.0 9691_0 7268_0
0.0 10042_0 5511_0
0.0 2516_0 5550_0
1.87947678565979 3189_0 6848_0
0.0 5899_0 2243_0
1.4161746501922607 9363_0 9735_2
0.0 6136_0 12008_0
0.0 13223_0 2726_0
0.0 973_0 1357_0
0.0 2805_0 9939_0
1.192162275314331 5082_0 8208_1
0.0 13413_0 5559_0
0.0 3676_1 2356_0
0.0 3218_0 3688_1
0.0 2516_0 2114_0
0.36511731147766113 1374_2 1494_3
0.0 5732_0 9673_1
0.3563542366027832 115_0 390_0
0.0 3680_0 11989_0
0.0 9901_0 1819_0
0.0 4947_0 1363_0
0.0 7257_0 10363_0
0.9098024368286133 10141_0 11672_0
0.7246947288513184 7944_0 600_0
1.6415047645568848 7750_0 2566_0
0.0 12171_0 1349_0
0.2870757579803467 10141_0 3851_0
0.0 7417_0 1345_0
0.0 1419_4 5744_2
0.0 1995_1 5517_11
0.0 4138_1 5315_0
0.0 7257_0 9979_0
0.0 7743_0 9765_0
0.0 9939_0 1627_0
0.26377058029174805 10411_0 3844_0
0.0 1472_1 12171_0
0.0 9967_2 7764_0
1.494835376739502 9781_0 9474_0
0.0 1931_0 9743_1
0.0 4532_0 1898_0
0.0 1419_4 11343_0
1.087639331817627 5082_0 1616_2
0.0 9216_0 7225_0
0.15415334701538086 8700_1 707_0
0.0 13187_0 2837_0
0.0 1472_1 13331_0
0.1204366683959961 1703_0 11666_0
1.5415830612182617 13569_0 3246_0
0.0 9592_0 11558_0
0.0 9700_1 6729_0
0.3546741008758545 9715_1 9485_0
0.0 12171_0 11973_0
0.0 10121_0 12095_0
0.0 11372_0 4532_0
0.0 2865_0 3246_0
0.3737165927886963 230_0 2384_0
0.0 6745_0 5727_0
0.0 1472_1 10492_0
0.021470308303833008 12275_0 4284_0
1.116593837738037 9700_1 2964_0
0.0 1481_0 4395_0
0.1708066463470459 5448_1 3449_0
0.0 9930_1 7367_0
0.0 9984_0 10254_0
0.7800989151000977 129_0 11114_0
0.0 11704_0 9090_0
0.0 5293_0 11974_0
0.0 11704_0 4947_0
0.020051956176757812 3189_0 4871_1
0.0 3680_0 12429_0
0.0 9930_1 5699_39
0.0 9901_0 9754_0
0.0 5306_0 8877_1
0.0 4795_0 9959_0
0.0 7750_0 7492_6
0.0 5453_0 5974_0
0.0 1995_3 9122_1
0.0 7955_2 1497_2
0.0 6122_0 1531_0
0.33118367195129395 172_0 9676_0
0.0 9992_6 8588_0
0.0 9901_0 2830_1
0.0 12171_0 8194_0
0.986687421798706 5546_0 11073_0
0.0 8238_0 1933_0
0.14066028594970703 10795_0 6817_0
0.0 51_0 5745_0
0.0 3680_0 10599_0
0.0 8478_0 9848_0
2.1990914344787598 9781_0 6117_0
0.7782647609710693 12112_0 957_0
0.1682884693145752 5166_0 5292_0
0.0 10058_0 3760_1
0.0 1079_0 10411_0
0.3896021842956543 10012_0 10174_0
0.0 9888_0 5546_0
0.0 3795_0 7891_0
0.0 5552_1 1968_0
0.7906796932220459 13569_0 3814_0
1.4511125087738037 8429_0 4284_0
0.05658578872680664 9666_4 5699_48
0.0 13943_0 10546_0
0.2531285285949707 1507_1 9698_0
0.0 7187_0 924_2
0.712893009185791 9363_0 3974_0
0.0 115_0 7044_0
0.0 5737_0 5082_0
0.48517560958862305 3444_0 9493_0
0.0 3189_0 5470_0
0.0 12112_0 9994_0
0.0 9930_1 7937_0
0.0 11073_0 8369_0
0.0 7648_0 6175_0
0.0 5732_0 12472_0
0.2520897388458252 1507_2 4321_0
0.0 270_0 3359_2
0.28606367111206055 2520_0 9708_3
0.0 10015_0 8453_1
0.0 48_1 1998_0
0.7372567653656006 11216_0 8638_0
0.0 1953_1 1378_2
0.5669417381286621 11116_0 13615_0
0.0 5899_0 2248_0
0.0 4891_0 13252_0
0.0 2499_1 4947_0
0.0 12776_0 2374_1
0.0 11965_0 3626_0
0.0 10075_0 2957_0
0.0 12171_0 5699_44
0.43324708938598633 5233_1 962_0
0.0 2118_0 4738_0
0.0 5185_0 1497_2
0.9356441497802734 9664_1 11219_1
0.0 5453_0 11672_0
1.0502653121948242 9700_1 11825_0
0.19629812240600586 4152_1 9937_0
0.0 3189_0 5897_0
0.0 13187_0 331_0
0.0 9930_1 12466_0
0.6239340305328369 12386_0 11707_0
0.17631173133850098 11235_0 10490_0
0.0 1929_0 13187_0
0.0 5306_0 8104_0
0.0 5511_0 3448_2
0.0 4358_0 2998_0
0.0 5546_0 3352_0
0.41841626167297363 9694_1 9700_1
0.12486839294433594 12776_0 2894_0
1.0585649013519287 8194_0 7053_0
0.0 10038_0 4987_0
0.0 9675_0 13360_0
0.0 9533_0 13630_0
0.0 8866_0 1127_0
0.0 10015_0 2957_0
0.0 8866_0 5536_0
0.0 1531_0 8310_0
0.0 10746_1 5523_0
0.0 13646_0 2500_0
0.0 1472_1 7788_2
0.0 3189_0 9033_0
0.0 9699_0 10185_0
0.5083997249603271 11073_0 5479_0
0.0 7584_0 3952_0
0.0 2849_0 172_0
0.024045228958129883 11216_0 5233_1
0.0 10345_0 129_0
0.6208229064941406 624_0 7042_0
0.0 5470_0 5517_11
0.0 9547_2 9698_0
0.7856440544128418 9946_0 1591_0
0.9915411472320557 12112_0 4922_0
0.0 9944_0 10217_2
0.0 7417_0 11717_2
1.4038128852844238 3506_0 1601_0
0.0 13223_0 9722_1
0.0 7257_0 13531_0
0.5491847991943359 3974_0 11742_0
0.0 2084_0 5100_0
0.0 9665_1 10056_0
0.0 9845_1 11127_0
0.0 10012_0 5699_44
0.0 9888_0 390_0
0.0 7648_0 2257_0
0.0 9694_1 9545_0
0.0 3676_1 7148_0
0.0 1363_0 7941_0
0.023848295211791992 10075_0 11418_0
0.0 6791_0 13819_0
0.0 9845_1 5292_0
0.0 1929_0 3411_0
0.3993959426879883 1507_1 6924_0
0.0 1611_0 12082_0
0.0 10624_0 2566_0
0.0 1151_0 11965_0
0.0 11073_0 1497_7
0.0 1419_4 6674_0
0.0 2084_0 10599_0
0.1358327865600586 8365_0 1461_0
0.0 3795_0 443_0
0.8632950782775879 7750_0 4046_0
0.0 9658_6 5898_0
0.0 9799_0 957_0
0.16405177116394043 1374_2 13496_0
0.0 3418_0 7866_0
0.0 2865_0 11221_0
0.0 1079_0 9999_0
0.39648866653442383 7866_0 5546_0
0.19640803337097168 288_2 406_0
0.0 7743_0 5473_0
0.0 1929_0 9984_0
0.0 9698_0 11661_0
0.0 6745_0 3057_0
0.0 1481_0 4559_0
1.2084004878997803 11192_0 1472_1
0.0 5470_0 11372_0
0.0 2374_5 7722_0
0.0 9715_1 5523_0
0.6162114143371582 9353_0 9698_0
0.0 8722_0 3688_1
0.0 9066_0 4681_0
0.0 7417_0 13440_0
0.07573747634887695 9992_6 9348_1
0.4028186798095703 1616_2 11772_0
0.0 1929_0 12068_0
0.0 9700_1 2072_0
0.6716821193695068 12112_0 8455_0
0.0 5079_0 11073_0
0.0 11127_0 5732_0
0.04788613319396973 9066_0 8149_0
0.0 7257_0 8877_1
0.9729745388031006 115_0 12095_0
0.0 9901_0 1691_0
0.46408987045288086 7944_0 957_0
0.20932412147521973 11073_0 3425_0
0.0 3676_1 982_0
0.0 3218_0 4559_0
1.1732263565063477 9781_0 4428_0
0.6154525279998779 5233_1 5100_0
0.0 9745_0 5536_0
0.0 9944_0 4410_0
0.0 11704_0 9649_0
0.0 10140_1 9959_0
0.4086744785308838 1507_1 8592_0
0.27764201164245605 5448_1 172_0
0.0 1517_0 11998_0
0.0 4711_1 9718_1
0.3156728744506836 9743_1 13628_0
0.0 4532_0 11936_0
0.7903633117675781 371_0 10012_0
0.5865142345428467 5100_0 7937_0
0.0 1817_2 9410_0
1.8637547492980957 10038_0 9766_0
0.0 9745_0 12892_0
0.0 4795_0 9932_0
1.3768362998962402 9363_0 11411_0
0.0 5534_0 7942_1
0.0 5534_0 5974_0
1.186720609664917 3974_0 13317_0
0.0 5100_0 7784_0
0.0 10624_0 1967_0
0.0 10795_0 2044_2
0.0 45_0 9999_0
0.0 1517_0 13258_0
1.1329271793365479 5739_0 9066_0
0.0 3411_0 5750_0
0.0 9664_2 3982_0
0.0 9743_1 12113_0
0.39096570014953613 4395_0 6630_0
0.0 7388_0 12896_0
0.9868226051330566 9014_0 7206_0
0.0 8455_0 3953_0
0.0 9128_0 5448_1
0.9401702880859375 11192_0 624_0
0.0 1616_2 7375_0
0.21738505363464355 9107_0 1691_0
0.0 5470_0 9754_0
0.0 1531_0 13824_0
0.0 45_0 13516_0
0.0 9066_0 12486_0
0.0 3688_1 8638_0
0.0 10042_0 7410_0
