Test loss: 0.1338299808471284

Format: Loss TFAnchor TFNegative 
0.0 4196_0 11119_2
0.0 9910_0 2097_0
0.0 9700_1 8296_0
0.0 7915_0 6144_0
0.4008598327636719 9389_0 13343_0
0.0 13757_0 10939_3
0.0 12026_2 9679_5
1.3106269836425781 1302_0 8700_2
0.0 9879_0 11643_0
0.0 9948_0 13611_1
0.0 9618_0 13425_0
0.0 7742_0 1374_2
0.0 11391_0 773_0
0.0 8357_0 1774_0
0.0 4020_0 7745_0
0.0 1637_0 1080_1
0.0 11274_2 4734_0
1.3611183166503906 7918_0 2510_0
0.9961543083190918 5241_0 9849_1
0.0 2145_0 5546_0
0.0 3716_0 12275_0
0.0 5285_0 9843_4
0.0 13823_0 1055_0
0.0 6957_0 13304_0
0.0 5419_0 9413_1
0.0 7057_3 9868_0
0.0 5769_0 10174_0
0.0 3780_0 3716_0
0.16399097442626953 3474_0 1734_0
0.0 5453_0 2135_0
0.0 4873_0 4721_0
0.0 2846_0 3543_0
0.0 2463_0 1151_0
0.9927768707275391 4641_1 9957_0
0.0 2257_0 3783_0
0.0 11653_1 6637_0
0.0 9137_0 7225_0
0.0 7780_0 577_0
0.0 8268_0 7343_0
0.0 8727_4 9547_4
0.0 9666_1 13889_0
0.0 12851_0 5756_0
0.0 4344_0 13592_0
0.0 11489_1 1014_0
0.0 11206_0 2164_0
0.0 2846_0 12459_2
2.446993350982666 1497_1 12556_0
0.0 6515_0 10741_0
0.0 9686_2 8700_1
0.0 4167_0 2424_0
0.0 1697_0 7899_0
0.7649364471435547 4282_2 2737_1
0.0 9931_2 2941_0
0.7159976959228516 88_0 13516_0
0.0 9708_1 5567_0
0.0 7286_0 13090_0
0.0 13544_0 9984_0
0.0 6144_0 1765_0
0.0 240_0 13839_0
0.0 5479_0 11546_0
0.0 9672_0 3543_0
0.0 9463_0 9655_0
0.0 7109_0 1712_1
0.0 13221_0 1995_2
0.0 7606_0 6744_0
0.0 2070_0 8007_0
0.0 1801_0 4248_0
0.0 1961_1 1329_0
0.0 8376_0 11643_0
0.0 1569_0 2654_2
0.6792507171630859 9745_0 1678_3
0.0 2450_2 4257_0
0.03012704849243164 8369_0 9856_2
1.8918743133544922 10766_0 9930_2
0.0 54_0 8664_0
0.0 11754_0 993_1
0.0 1601_0 1502_0
0.0 13403_0 10042_0
0.0 5559_0 13721_0
0.0 940_0 5350_0
0.0 4041_1 2013_0
0.10815143585205078 5241_0 5755_1
0.0 6144_0 5951_0
0.0 10840_0 1472_3
0.0 6671_2 7009_0
0.0 9926_2 9888_0
0.0 1238_0 11212_0
0.0 4893_0 1983_0
0.0 9870_0 3264_0
0.0 3474_0 13582_0
0.0 4153_0 13422_0
0.0 9693_0 4284_0
1.8792695999145508 9714_2 248_0
0.0 5855_0 3329_0
0.0 13726_0 8179_0
0.44797325134277344 9033_0 1738_0
0.0 7492_1 7944_0
0.0 10174_0 9064_0
0.0 10411_0 13569_0
0.0 4559_0 10792_0
0.0 13717_0 5385_0
0.0 8143_3 2885_0
0.0 9821_0 8182_0
0.0 7223_0 2396_0
0.0 10231_3 2146_0
0.0 10175_0 9815_0
0.0 9743_1 2518_0
0.0 11652_0 3466_0
0.550755500793457 445_0 9822_0
0.0 9935_0 13822_0
0.0 9730_1 7948_0
0.0 11093_0 8583_0
0.07758665084838867 9945_0 2716_0
0.0 2530_0 1292_0
0.0 6699_1 8349_0
0.0 4138_2 2112_0
2.1239380836486816 9757_0 9713_1
0.0 2706_1 8205_0
0.0 13466_0 2095_0
0.0 8337_0 7678_0
0.0 9819_1 10868_0
0.0 13665_0 9104_0
0.0 11124_0 10624_0
1.2171077728271484 1876_0 1502_0
0.0 10004_0 13785_0
0.0 4041_4 6203_0
0.0 8330_0 9018_0
0.0 5727_0 9572_0
0.5397162437438965 5241_0 1421_0
0.0 9774_0 5936_0
0.0 9225_0 3940_0
0.0 9906_0 6744_0
0.0 6763_0 13836_0
0.0 12843_1 4738_0
0.0 3264_0 9760_0
0.0 40_0 9489_0
0.0 9073_0 3264_0
0.0 6056_1 2449_0
0.0 7803_0 9686_2
0.0 13829_0 6604_0
0.0 9927_0 5313_1
0.0 7743_0 7333_0
0.437192440032959 11091_0 5472_0
0.0 184_0 12065_0
0.0 9629_0 3095_0
0.0 11391_0 4410_0
0.0 9699_0 1876_0
0.1560811996459961 9658_6 1458_0
0.0 595_0 5656_2
3.5028176307678223 9735_1 1779_0
0.0 7754_0 10729_0
0.0 9658_2 9843_4
0.0 9930_1 11420_0
0.0 9014_0 13544_0
0.0 9107_0 8287_0
0.0 1995_3 13188_0
0.0 5732_0 2737_1
0.0 2928_0 11546_0
0.0 9632_0 3667_1
0.0 4681_0 13411_0
0.0 9547_2 720_0
0.0 7743_0 4921_1
0.0 2129_0 2027_0
0.0 8584_0 2374_3
0.0 8199_0 12078_0
0.0 5680_0 5975_0
0.0 6122_0 3634_0
0.0 10224_0 12512_0
0.0 2928_0 13271_0
0.0 5855_0 13356_0
0.0 2222_0 7284_0
0.0 2499_1 12552_0
0.0 9915_0 3953_0
0.0 1127_0 5383_0
0.0 6874_0 12475_0
0.7349348068237305 9516_0 5407_0
0.0 7440_0 5816_0
0.0 633_0 2675_0
0.0 9754_0 9971_0
0.0 10000_0 11149_2
0.0 541_0 9464_0
0.0 10764_2 12499_2
0.0 7146_1 3104_0
0.0 9993_0 4950_0
0.0 6699_1 13624_0
0.0 9317_0 11787_0
0.0 1872_0 4153_0
0.0 2033_0 2128_0
0.0 1822_0 6073_0
0.0 11127_0 470_3
0.0 9771_0 12845_0
0.0 11787_0 2952_0
0.0 957_0 8700_1
0.0 9765_0 8337_0
0.0 9893_0 1728_0
0.0 8153_0 6348_0
0.0 3562_0 4097_0
0.0 12941_0 13888_0
0.0 2213_1 1699_0
0.0 3956_0 6969_0
1.1874456405639648 3482_0 5178_0
0.0 595_0 8990_0
0.0 7057_2 905_0
0.1322164535522461 9889_0 10373_0
0.0 11787_0 12498_0
0.0 1584_0 8665_0
0.4783792495727539 6668_0 1906_0
0.0 9743_2 534_0
0.0 2883_0 451_0
0.2465062141418457 4401_1 13221_0
0.0 2297_1 9493_0
0.0 8815_0 11119_1
0.0 7918_0 1332_0
1.050633430480957 9679_1 828_0
0.0 9806_0 10645_0
0.0 7751_0 5465_0
0.0 11093_0 5532_0
0.0 6056_3 5544_0
0.0 12022_1 12558_0
0.0 3500_0 4859_0
0.0 3730_0 3515_0
0.0 1339_0 2768_0
1.1106390953063965 3474_0 5748_0
0.0 9913_0 5668_4
0.0 6073_0 2979_0
0.0 8199_0 8727_5
0.0 13726_0 11205_0
0.0 7944_0 9709_0
0.0 9463_0 7799_0
0.0 7937_0 143_0
0.0 5520_1 5281_0
0.0 3587_0 1799_0
0.0 13100_0 10372_1
0.0 10254_0 12001_0
0.9669327735900879 8449_0 4042_0
0.0 3244_0 4094_0
0.0 9812_0 3170_0
0.0 9547_3 12488_0
0.0 1025_0 5977_0
1.2493391036987305 5301_2 9885_0
0.0 3353_0 3373_0
0.9192261695861816 9668_3 1828_0
0.0 9789_1 11086_0
0.0 13829_0 4284_0
0.5058321952819824 11415_2 13204_0
0.0 1904_3 7415_0
0.7859039306640625 9908_1 7008_0
0.0 5737_0 9881_0
0.13988018035888672 48_2 11650_0
0.0 6164_0 1693_1
0.0 4418_0 12483_0
0.0 2377_1 4652_0
0.0 589_0 13383_0
1.591184139251709 4947_0 9847_0
0.0 1507_2 9923_0
0.0 8102_0 742_0
0.0 2133_0 2374_4
0.0 13817_0 5958_0
0.0 11271_0 929_0
0.0 9993_0 5407_0
0.0 11655_0 9679_4
0.0 11213_0 7213_0
0.0 8449_0 7057_4
0.0 13466_0 4138_1
0.8834543228149414 5076_0 1906_0
0.0 5520_1 9373_0
0.0 2846_0 1818_0
0.0 9387_0 13496_0
0.0 13822_0 9673_5
0.5971035957336426 5738_0 6809_0
0.0 9955_2 13942_0
0.0 5706_0 13227_0
0.0 9931_2 1949_0
0.0 6890_0 10868_0
0.0 3622_0 3043_4
0.0 6018_0 5460_0
0.0 9708_1 11082_0
3.7959985733032227 1507_4 10022_1
0.0 8104_0 6258_0
0.0 9948_0 2065_0
0.0 9126_0 11662_0
0.0 3081_0 2481_0
0.0 1995_1 1287_0
0.0 9799_0 1062_0
0.0 2559_0 9699_0
0.0 9696_7 4380_1
0.0 4804_0 2457_0
0.0 11112_0 12853_0
0.0 9898_0 9670_2
0.0 5676_0 12058_0
0.0 11167_0 4031_0
0.0 4887_0 3062_0
0.0 9868_0 6733_0
0.0 303_0 6055_0
2.0883679389953613 8262_0 11935_0
2.173515796661377 10746_1 2559_0
0.6074056625366211 1876_0 5748_0
0.0 2507_0 8099_0
0.0 9253_0 9331_0
0.0 5149_0 11087_0
0.0 2201_0 5181_0
0.0 11396_0 898_0
0.0 1817_2 9215_0
1.6315746307373047 9567_1 10267_0
0.0 4282_1 1632_0
0.4514493942260742 9729_0 11932_0
0.0 8651_0 8929_0
0.0 11178_0 7009_0
0.0 7894_0 9414_0
0.0 13635_1 2881_0
0.0 11234_0 7163_0
0.0 3588_0 6971_0
0.0 2928_0 5700_1
0.6998696327209473 9699_0 4880_0
0.0 7941_0 7865_0
0.0 4804_0 5131_0
0.0 10567_0 4505_0
0.0 11365_0 1919_0
0.0 13128_0 11840_0
0.7525606155395508 5546_0 1039_0
0.0 9349_0 9939_0
0.0 6300_0 1946_3
0.0 13882_0 865_0
0.0 11263_0 707_0
0.0 7803_0 5425_0
0.0 11212_0 9161_0
0.0 1813_0 2993_0
0.0 8700_3 8631_0
0.0 8309_0 9253_0
0.0 3114_2 4741_0
0.0 1616_1 3844_0
0.0 8104_0 1079_0
0.0 4911_0 11451_0
0.0 2374_4 3691_0
0.7708792686462402 4380_1 9628_1
0.0 9931_2 2952_0
0.0 5469_0 3331_0
0.0 4711_1 3662_0
0.0 2018_0 1779_0
0.0 5556_0 8075_0
0.0 10628_0 13297_0
0.0 8632_0 11872_0
0.0 6160_0 2815_0
0.0 8003_0 12669_0
0.0 4138_4 13314_0
0.0 2705_0 9658_5
0.0 9677_1 115_0
0.4284811019897461 8287_0 5505_0
0.0 9489_0 13610_0
0.0 9879_0 8626_0
0.0 5509_0 11123_0
0.0 1967_0 3010_0
0.0 1421_0 10071_0
0.0 7721_0 8485_0
0.0 7790_0 6164_0
0.0 9530_0 1322_0
0.0 601_0 7974_0
0.0 7946_0 11945_0
0.0 1690_0 2322_0
0.0 3034_0 11015_2
0.0 5553_0 2985_0
0.0 10056_0 6618_0
0.0 2725_0 9971_0
0.0 13225_0 5171_0
0.0 7730_0 9721_0
0.1995992660522461 13403_0 8149_0
0.0 4152_1 8979_0
0.0 12619_0 8146_0
0.0 5005_0 2034_0
0.0 7001_2 13597_0
0.0 9547_6 7185_0
0.0 9852_0 4445_0
0.0 11348_0 5877_0
0.0 2605_0 3658_0
0.0 7013_0 13574_0
0.0 9810_0 8262_0
0.5937376022338867 8592_0 8439_0
0.0 5516_0 3769_0
0.40053749084472656 9177_0 13372_0
0.0 1826_0 6282_0
0.0 9389_0 5543_0
0.0 4641_1 2236_0
0.0 11784_0 5785_0
0.0 9966_0 668_0
0.0 8121_0 11_0
0.0 8484_0 4963_0
0.0 4825_0 1707_0
0.0 13829_0 40_0
0.0 7195_0 3739_0
0.0 920_0 1878_0
0.0 9790_1 1743_0
0.0 4976_0 1807_0
0.0 11827_0 4744_0
0.0 6573_0 7942_1
0.0 7873_0 10011_0
0.0 13715_0 6175_0
0.0 395_0 124_0
0.0 10840_0 1693_1
0.0 3340_0 11089_0
0.0 8771_0 9721_0
0.0 589_0 13338_0
0.0 10921_0 12459_2
0.0 268_1 4811_0
0.0 1242_0 4811_0
0.06209421157836914 5479_0 1950_0
0.0 9715_1 9931_2
0.0 9547_6 4041_4
0.0 10634_0 8722_0
0.0 947_0 11398_0
0.0 8198_0 5519_2
0.0 13544_0 13851_0
0.0 5377_4 10725_0
0.0 4873_0 9884_0
0.0 7217_0 1545_0
0.0 4641_2 4874_0
0.0 7492_6 715_1
0.3094215393066406 3294_0 5995_0
0.0 7393_0 10141_0
0.0 4918_0 6149_1
0.0 2297_2 2831_0
0.0 7788_1 5699_24
0.0 10174_0 11351_0
0.0 6382_0 1903_2
0.0 8121_0 6699_1
0.0 9734_0 2811_0
0.0 11232_0 10622_0
0.4785189628601074 7492_1 3709_1
0.0 1492_1 13325_0
0.0 9657_0 2201_0
0.0 4711_1 1630_0
0.0 7741_0 1698_0
0.0 2948_0 4234_0
0.0 3287_0 3288_0
0.0 1856_0 3396_1
0.0 4871_1 7820_0
1.794924259185791 184_0 10430_1
0.0 13944_0 9191_0
0.0 13544_0 4704_0
0.0 1542_0 2197_0
0.0 9935_0 1637_0
0.0 3704_0 2048_0
0.0 2146_0 12615_0
0.0 9930_2 5973_1
0.9598784446716309 5559_0 12073_0
0.23398065567016602 3709_1 8592_0
0.0 13626_0 4022_0
0.0 5113_0 10056_0
0.0 4559_0 9666_2
0.0 7193_0 11907_0
0.0 3645_0 9916_0
0.0 5224_0 3688_3
0.0 2831_0 9913_0
0.0 2883_0 9668_2
0.23722219467163086 48_1 10622_0
0.0 950_0 10628_0
0.0 1419_1 8204_0
0.0 4711_2 1531_0
0.0 2805_0 11320_0
0.0 7147_0 11233_0
0.0 4418_0 5425_0
0.0 1436_0 5750_0
0.0 9134_0 5692_0
0.10341644287109375 2895_0 2408_0
0.0 13524_0 3982_0
1.6706275939941406 950_0 12854_0
0.0 9966_0 7422_0
0.0 9724_0 1257_0
0.0 9926_2 2626_0
1.4149589538574219 9812_0 9744_3
0.0 1079_0 1080_1
0.0 3669_0 13537_0
0.0 7780_0 6149_2
