Test loss: 0.20565026789211313

Format: Loss TFAnchor TFNegative 
0.0 5516_0 10330_0
0.0 4795_0 5550_0
0.0 1703_0 7954_5
0.0 9769_0 8292_0
0.0 7013_0 3587_0
0.5640394687652588 5551_0 5720_1
0.0 11489_1 7899_0
0.0587007999420166 7790_0 40_0
0.0 5149_0 909_0
1.1220641136169434 11710_0 3474_0
0.40705370903015137 11254_0 1746_0
0.0 2372_0 3087_0
0.2912406921386719 5743_0 1916_0
0.0 9521_0 2017_0
0.036980390548706055 3824_0 3598_0
1.1781561374664307 3264_0 4505_0
0.0 12868_0 3443_0
0.012797355651855469 11114_0 7379_0
0.0 1995_2 9921_1
0.0 5707_0 7333_0
0.0 5293_0 13636_0
0.09105968475341797 8238_0 3099_0
0.012160062789916992 6944_0 4701_1
0.0 11283_0 3208_0
1.6348304748535156 5198_0 9122_2
0.0 9893_0 6136_0
0.0 5721_0 7954_5
0.0 13882_0 5875_0
0.07717013359069824 9668_3 2836_3
0.0 11408_0 12820_1
0.0 13640_0 1924_0
0.3545534610748291 4954_0 6791_0
0.0 8153_0 7875_0
0.0 2559_0 5954_0
0.0 750_1 9621_0
0.6002371311187744 9781_0 7855_0
0.0 9673_6 7648_0
0.0 9225_0 318_0
0.0 9954_0 470_2
0.0 9421_0 1078_0
0.0 1698_0 5699_10
0.0 11414_0 10342_1
0.0 9930_2 5224_0
0.3666090965270996 6699_1 9847_0
0.0 1867_0 3100_0
0.0 1205_0 4985_2
0.3719346523284912 9712_1 9347_0
0.0 13759_0 10939_1
0.0 11343_0 2466_0
0.08343362808227539 4358_0 10741_0
0.0 6073_0 12022_3
0.0 3575_0 2878_0
0.0 9409_0 2961_0
0.0 7881_0 3281_0
0.0 9531_1 10342_1
0.7446334362030029 7146_1 12002_0
0.0 4316_0 9724_0
0.0 1079_0 5516_0
0.0 3717_0 9963_4
0.0 268_1 11956_0
0.2547330856323242 302_0 2525_0
0.0 6763_0 1899_0
0.0 3684_2 7367_0
0.0 2359_0 2775_0
0.0 2213_1 4702_0
0.41394567489624023 7950_1 9624_0
0.0 7491_0 1188_0
0.0 6607_0 526_0
0.8019580841064453 4240_0 9670_1
0.49568939208984375 4282_2 9658_2
0.0 6759_1 9796_2
1.2242581844329834 12552_0 6821_0
0.0 11722_0 11028_0
0.6893832683563232 5285_0 1633_0
0.17310237884521484 9714_3 11274_1
0.4278290271759033 9313_0 5301_0
0.4842050075531006 7440_0 6023_0
0.0 13829_0 9907_0
0.620234489440918 4041_4 5668_4
0.0 13717_0 1964_0
0.752819299697876 13937_0 8143_4
0.5015988349914551 2037_1 9735_3
0.052078962326049805 10043_0 791_0
0.0 5036_0 4958_0
0.0 8369_0 13451_0
0.4637107849121094 1627_0 9696_7
0.0 9410_0 9882_2
0.0 445_0 11274_1
0.0 7743_0 8978_0
0.0 742_0 10004_0
0.0 10921_0 5551_0
1.095693826675415 10567_0 51_0
0.0 12851_0 926_0
0.0 1632_0 4192_0
0.6310391426086426 5448_2 6115_0
0.4096720218658447 9631_0 955_0
0.38645362854003906 9962_4 12545_0
0.6418905258178711 8262_0 2792_0
0.5968232154846191 13626_0 7754_0
0.0 11232_0 13057_0
0.0 13396_0 13946_0
0.6692647933959961 2662_0 1903_1
0.49671244621276855 5551_0 7449_0
0.0 9954_0 4422_0
0.03454327583312988 7189_0 10153_1
0.0 10014_0 10209_0
0.0 12797_0 6928_0
0.5235309600830078 9530_0 2836_1
0.3477787971496582 2819_0 9870_0
0.6399273872375488 9277_0 1951_0
0.13356971740722656 11271_0 53_0
0.0 11655_0 11219_1
0.0 13466_0 2737_1
0.8379428386688232 4641_1 7055_1
0.48751211166381836 5464_0 13453_0
0.0 5130_0 9962_4
0.9080095291137695 8429_0 9804_2
0.4220247268676758 11178_0 9767_3
1.6646208763122559 11119_1 7764_0
0.413715124130249 4954_0 1788_0
0.6076183319091797 9749_0 8832_0
0.0 11235_0 5678_0
0.09209275245666504 4153_0 10000_0
0.07556319236755371 7016_0 7449_0
0.0 6619_0 3900_0
0.0 12296_0 11089_0
0.0 2082_0 5517_3
0.11210846900939941 12343_2 2864_0
0.0 48_1 9314_0
0.0 11254_0 3798_0
0.0 1025_0 9666_2
0.3198974132537842 11274_2 1953_1
0.5533113479614258 88_0 3277_1
0.0 11651_0 7884_0
0.0 8143_3 3501_0
0.5384411811828613 9772_1 9014_0
0.0 1974_1 8929_0
0.0 9677_1 3273_0
0.0 908_0 2481_0
0.0 35_0 729_0
0.15314173698425293 6699_1 4934_2
0.0 2510_0 3680_0
0.46170496940612793 9767_1 1631_0
0.0 626_0 12630_0
0.0 1472_3 11556_0
0.0 1436_0 3331_0
0.0 13723_0 1943_0
0.0 9421_0 13280_0
0.9524974822998047 8120_0 13581_0
0.0 947_0 4655_0
0.11049199104309082 7751_0 5112_0
0.9464755058288574 7780_0 10217_2
0.40065932273864746 10015_0 11117_0
0.0 9672_0 4048_0
0.0 5328_0 5537_0
0.4314424991607666 3294_0 3021_0
0.0 3633_0 1984_0
0.5057125091552734 920_0 375_0
0.0 8102_0 4560_0
0.38803815841674805 9834_0 13272_0
0.0 3444_0 2274_0
0.0 2592_0 13507_0
0.0 11423_0 9865_0
1.024583101272583 11274_2 13340_0
0.0 10513_0 5675_1
0.0 13224_0 9751_0
0.24377012252807617 11271_0 8153_0
0.0 8145_0 11492_0
0.2231767177581787 12741_0 7268_0
0.0 11371_0 2909_0
0.0 1540_0 750_1
0.0 5516_0 583_0
0.0 2991_0 7348_0
0.5698165893554688 9672_0 1981_0
0.0 6267_0 4113_0
0.0 3562_0 7678_0
1.1278784275054932 1801_0 4047_0
0.0 1658_0 2479_0
0.0 13716_0 3567_1
0.0 3643_0 1472_3
0.0 8153_0 7884_0
0.09239506721496582 4896_0 10700_0
0.0 13524_0 10371_0
0.490755558013916 8453_2 1906_0
0.7026205062866211 6165_0 9918_0
0.6774139404296875 4184_0 7788_2
0.0 1903_1 9413_1
0.0 9732_0 5530_0
0.0 2666_0 9649_0
0.0 6904_0 12384_0
0.0 3645_0 3698_2
0.5912296772003174 10000_0 12844_0
0.4896824359893799 3456_2 9485_0
0.0 11231_0 3019_0
0.0 9421_0 1617_0
0.0 11337_0 6165_0
0.47553324699401855 10939_3 589_0
1.0598323345184326 7057_3 13394_0
0.41640305519104004 9776_1 7195_0
0.0 7195_0 1928_0
1.0319890975952148 9714_1 9624_0
0.0 12527_0 484_0
0.6688084602355957 13616_0 3418_0
0.0 4327_0 3350_0
0.0 4747_0 5975_0
0.0 10329_0 5744_7
0.33426952362060547 11541_0 2979_0
0.0 9732_0 3277_2
0.6088786125183105 541_0 1899_0
0.0 9722_2 12445_2
0.0 10963_0 12096_0
0.07547879219055176 9277_0 4549_0
0.07749366760253906 9815_0 1695_0
0.7783076763153076 9631_0 1078_0
0.8178513050079346 2708_0 12014_0
0.0 916_2 2000_0
0.22339725494384766 1302_0 8440_5
0.5202398300170898 484_0 4603_0
0.0 2082_0 4549_0
0.3910231590270996 7820_0 7451_0
0.0 3072_0 9992_7
0.7396314144134521 2209_0 11173_0
0.2685210704803467 7013_0 5166_0
0.8623640537261963 5223_0 10545_0
0.0 9812_0 3092_0
0.0 2265_0 12016_0
0.0 7950_4 9225_0
0.0 13713_0 3482_0
0.5386013984680176 10042_0 3710_0
0.0 6604_0 9800_1
0.0 5516_0 4652_0
0.3602890968322754 1417_0 10840_0
0.0 10971_2 5204_0
0.0 3868_0 9697_0
0.4744601249694824 10052_0 331_0
0.22993874549865723 1569_0 13397_0
0.43274688720703125 8121_0 13304_0
0.0 5185_0 12488_0
0.0 10546_0 13430_0
0.0 8726_1 13819_0
0.0 1687_0 5675_2
0.0 5084_1 9953_1
0.6331171989440918 6775_0 54_0
0.0 9658_2 11231_0
1.1170103549957275 4361_0 2093_0
0.10758423805236816 11066_0 8207_0
0.0 1156_0 13258_0
0.0 4138_2 10226_0
0.8766903877258301 4262_0 9388_0
0.11493253707885742 7977_0 4958_0
0.4201021194458008 268_1 8771_0
0.47040891647338867 2359_0 6278_0
0.0 13665_0 7189_0
0.0 6348_0 13212_0
0.595944881439209 2074_0 4842_0
0.0 9045_0 1905_0
0.4443178176879883 7457_0 9714_3
0.47525644302368164 9129_0 11028_0
0.0 7987_0 2768_0
0.27599334716796875 3844_0 10056_0
0.0 2353_0 9967_1
0.3240697383880615 7614_0 6073_0
0.0 12527_0 9628_1
1.4614005088806152 6056_2 3688_3
0.0 2372_0 6789_0
0.0 10014_0 8665_0
0.5132241249084473 5532_0 5666_3
0.4275553226470947 12343_2 13292_0
0.0 9971_0 5699_26
0.0 1660_0 626_0
0.0 12022_1 10372_2
0.22223615646362305 9107_0 8230_0
0.23599672317504883 148_0 5974_0
0.4014580249786377 7299_0 5525_0
0.2492685317993164 8121_0 7049_0
1.0767693519592285 2499_1 7339_0
0.0 2037_1 13666_0
0.0 908_0 950_0
0.0 11661_0 8143_1
0.0 9734_0 9677_2
0.14788579940795898 4041_2 9253_0
0.0 1685_0 6164_0
0.36669254302978516 11343_0 7125_0
0.3137376308441162 819_0 13394_0
0.02021002769470215 11541_0 13848_0
0.0 11231_0 5759_3
0.0 10066_0 8428_0
0.0 4856_0 12635_0
0.0 11738_0 7863_0
0.32614946365356445 8727_4 11938_0
0.25316667556762695 1863_0 12741_0
0.02324962615966797 13129_0 11775_0
0.0 10054_0 9930_2
0.048212289810180664 4738_0 1828_0
0.0 10012_0 13453_0
0.0 12855_0 3766_0
0.0707554817199707 12382_0 590_0
0.1742725372314453 9712_2 13251_0
0.0 9913_0 2901_1
1.3067564964294434 3952_0 7288_0
0.33301281929016113 5559_0 7148_0
0.24158048629760742 1690_0 11015_1
0.4218916893005371 2895_0 12071_0
1.9002933502197266 10395_0 10971_2
0.7216312885284424 10236_0 13519_0
0.8386468887329102 616_0 9544_1
0.0 11372_0 5532_0
0.6065967082977295 2063_0 3694_0
0.0 302_0 3078_0
0.0 12382_0 9843_4
0.3164224624633789 9232_0 5699_50
0.0 8268_0 6360_0
0.06605339050292969 4652_0 7722_0
0.0 9666_4 6716_0
0.30027151107788086 8468_0 484_0
0.19463753700256348 9955_2 10746_3
0.004324913024902344 5149_0 10067_0
0.0 13717_0 9515_0
0.5070400238037109 7987_0 5366_0
0.0 9933_1 5904_0
0.0 3034_0 13499_0
0.43953990936279297 5233_2 9657_0
0.0 9816_1 11455_0
0.0 8736_0 4331_0
0.24729704856872559 9753_1 11127_0
0.0 9271_0 13712_0
0.994926929473877 7015_1 9655_0
0.0 4308_0 8183_0
0.20003533363342285 8626_0 13910_0
0.0 8451_0 2395_2
0.0 7286_0 13610_0
0.0 13224_0 8060_0
0.7017776966094971 9410_0 9767_2
0.3656151294708252 9821_0 9859_0
0.18854427337646484 2586_0 2566_0
0.0 7491_0 8966_0
0.0 10816_0 7238_0
0.002346515655517578 4895_0 7165_0
0.21540236473083496 9943_0 10231_2
0.5743024349212646 9980_0 5377_2
0.0 11372_0 6018_0
0.10703492164611816 10868_0 975_0
0.7754590511322021 6018_0 2297_3
0.0 4918_0 8124_0
0.0 626_0 8693_0
0.0 8145_0 9911_0
0.04560518264770508 4192_0 750_2
0.07364749908447266 2605_0 1765_0
0.448108434677124 10005_0 11423_0
0.0 1545_0 2626_0
0.0 7763_0 5769_0
0.0 3760_2 9686_2
0.013753175735473633 4042_0 9741_1
1.323192834854126 9774_0 11403_0
0.0 8417_0 7066_2
0.0 12026_1 8392_0
0.35308122634887695 9716_1 9064_0
0.0 8210_0 11365_0
0.0 3446_0 10058_0
0.0 5113_0 10010_2
0.24876904487609863 7790_0 1828_0
0.014098644256591797 7001_2 2993_0
0.0 9948_0 11135_0
0.08533287048339844 9807_1 1708_0
0.0 5731_0 11819_0
0.0 7492_3 3715_0
1.8125061988830566 690_0 8727_3
0.0 9814_0 2197_0
0.3360872268676758 9870_0 9686_2
0.9380025863647461 7057_2 11929_0
0.0 3622_0 8375_0
0.0 11662_0 12623_0
0.0 3588_0 4741_0
0.0 939_0 11367_0
0.21390819549560547 9134_0 4079_0
0.0 8684_0 13827_0
0.0 13725_0 1374_2
0.0 7873_0 10040_1
0.12430262565612793 9806_0 11486_0
0.4379274845123291 9757_0 3972_0
0.27816295623779297 13616_0 1714_0
0.43237805366516113 3824_0 4418_0
0.0 601_0 3273_0
0.7800512313842773 3456_1 1492_2
0.3948047161102295 10140_1 4332_1
0.0 3591_0 12564_0
8.559226989746094e-05 8859_0 13946_0
0.0 11086_0 13446_0
0.11698055267333984 2909_0 3395_0
0.3835890293121338 9715_1 4002_0
0.25396084785461426 9796_2 10022_4
0.0 10046_0 9949_0
0.08852934837341309 2027_0 3611_0
0.0 3269_0 9547_10
0.3289649486541748 13833_0 5211_0
0.0 1421_0 1569_0
0.0 13466_0 8443_0
0.0 1140_0 12735_0
0.0 13343_0 9491_0
0.0 2350_0 3624_0
0.16119718551635742 13526_0 11138_0
0.0 5301_1 5666_2
0.6718201637268066 1876_0 13460_0
0.0 5655_0 10016_1
0.0 9741_1 3622_0
0.042510986328125 1287_0 2020_0
0.0 7884_0 37_0
0.0 7743_0 7872_0
0.23967599868774414 8626_0 5703_0
0.0 10179_0 5211_0
0.0 13833_0 819_0
0.0 9692_0 1737_3
0.43894457817077637 9353_0 3103_0
0.10103321075439453 9972_1 924_1
0.0 3669_0 13714_0
0.30969905853271484 9796_2 10022_1
0.7042009830474854 5223_0 1000_7
0.0 4693_0 1494_3
0.2227156162261963 371_0 8186_1
0.030738353729248047 4851_0 9857_0
0.14441871643066406 3500_0 9922_0
0.6564888954162598 4608_0 2760_0
0.41619348526000977 3411_0 12471_0
0.0 12022_3 11329_0
0.0 11455_0 12459_2
