Test loss: 0.085974155665088

Format: Loss TFAnchor TFNegative 
0.0 4954_0 1601_0
1.137491226196289 4215_0 8636_0
0.0 6964_0 8491_0
0.0 11408_0 4047_0
0.0 3402_0 13342_0
0.0 1096_1 5328_0
0.0 9685_3 3717_0
3.2282981872558594 6619_0 9452_0
0.0 2865_0 13838_0
0.0 8961_0 6703_0
0.0 3418_0 5917_0
0.0 1287_0 9897_2
0.0 4608_0 12087_0
0.6783781051635742 5366_0 5977_0
0.0 7918_0 11320_0
0.0 13406_0 1037_0
0.269927978515625 8961_0 5955_1
0.0 9487_0 10252_0
0.0 5419_0 10746_1
0.0 3411_0 11367_0
0.0 7950_1 9743_2
0.0 1497_2 10231_1
0.0 9824_0 13785_0
0.0 1738_0 7754_0
0.0 4652_0 10142_0
0.0 1995_3 13385_0
0.0 13716_0 6275_0
0.0 7393_0 9764_0
0.0 6664_0 3549_0
0.0 9960_1 7263_0
0.0 4257_0 9632_0
0.0 4641_2 3169_0
0.0 3734_0 595_0
0.0 13640_0 2507_0
0.0 6519_0 7974_0
0.0 5680_0 7278_0
0.0 9714_3 4825_0
0.0 7066_1 9910_0
0.0 3567_1 3396_2
0.0 5279_0 13226_0
0.0 4560_0 11993_0
0.0 7791_0 4022_0
0.0 7742_0 1372_0
0.0 3334_0 1883_2
0.0 8455_0 1327_0
0.0 9389_0 4636_0
0.0 11787_0 12820_2
0.5884809494018555 4215_0 6806_0
0.0 3456_1 2070_0
0.0 1205_0 9947_0
0.0 9979_0 5928_0
0.0 4886_2 8203_0
0.0 7915_0 9875_0
0.0 9134_0 4872_2
0.0 11787_0 10746_3
0.0 11300_0 4968_0
0.0 88_0 11115_0
0.2524709701538086 2333_0 5499_0
0.0 4041_2 7195_0
0.0 9935_0 8378_0
0.0 3482_0 6983_0
0.0 8632_0 8815_0
3.6547088623046875 7614_0 6367_0
0.0 10783_0 2009_0
0.0 4312_0 1349_0
0.0 1825_0 2236_0
0.061328887939453125 2663_0 5732_0
0.0 7388_0 3868_0
0.0 2027_0 11707_0
0.0 232_0 13496_0
0.0 4748_0 303_0
0.0 9868_0 924_1
0.0 3474_0 4734_0
0.0 3479_0 9757_0
0.0 4292_0 7333_0
0.0 5731_0 12544_0
0.0 7953_0 11652_0
0.0 1644_0 11233_0
0.0 13759_0 2508_0
0.0 9709_0 5706_0
0.0 4699_0 3182_0
0.0 4826_0 8012_0
0.0 3660_1 9741_2
0.0 8199_0 13261_0
0.0 4693_0 6699_1
0.0 48_2 1631_0
0.0 9271_0 10114_0
0.0 9708_1 1480_0
0.0 743_0 11126_2
0.0 7918_0 5716_0
0.0 5224_0 3925_0
0.0 11415_2 10881_0
0.0 13885_0 3737_0
0.0 9967_1 7977_0
0.0 5877_0 8753_2
0.0 8727_5 11415_2
0.0 4388_3 1903_2
0.0 9809_0 5178_0
0.0 9931_1 2225_0
1.263871192932129 2363_1 6401_0
0.0 9616_0 11852_0
0.0 1363_0 4597_0
0.0 4167_0 115_0
0.0 2353_0 4276_0
0.0 1690_0 7148_0
0.0 9714_1 5301_0
0.0 4918_0 10065_0
0.0 541_0 13579_0
0.0 3656_0 5459_0
0.0 3967_0 2760_0
0.0 11469_0 9807_2
0.0 7146_1 3362_0
0.0 8238_0 10741_0
0.9906606674194336 7866_0 8003_0
0.0 10321_0 9003_0
0.0 5479_0 5954_0
0.0 9908_1 7492_5
0.0 8961_0 9875_0
0.0 9992_5 395_0
0.0 3206_0 4063_0
0.0 2846_0 5314_0
0.0 3656_0 5317_0
0.0 1238_0 9819_1
0.0 5898_0 3340_0
0.0 9686_1 13273_0
0.0 5504_0 4391_0
0.0 1995_3 844_0
0.0 12855_0 6957_0
0.0 9686_1 13344_0
0.0 9049_0 9313_0
0.0 925_1 9950_0
0.0 3442_0 1956_0
0.0 9955_2 12192_0
0.0 8003_0 13331_0
0.0 1961_1 5291_2
0.0 13609_0 395_0
0.0 9945_0 4138_4
0.0 3656_0 7146_1
0.0 9277_0 3114_2
0.0 1961_1 2509_0
0.0 1569_0 2427_0
0.0 13519_0 4413_0
0.0 10963_0 5518_0
0.0 2819_0 2964_0
0.0 4859_0 8199_0
0.0 9080_0 12472_0
0.0 4321_0 3446_0
0.0 10345_0 2078_0
0.0 1472_1 9931_1
0.007503509521484375 2374_3 13633_0
0.0 2582_0 1737_2
0.0 3475_0 7312_0
0.0 3418_0 11121_0
0.0 6073_0 10047_1
0.0 2450_3 4276_0
0.0 5366_0 11407_1
0.0 9948_0 10071_0
0.0 1726_0 12083_0
0.0 9033_0 7784_0
0.0 5732_0 2449_0
0.0 1726_0 2374_5
0.0 7071_0 9796_3
0.0 4138_4 8843_0
0.0 2450_3 585_0
0.0 12114_0 443_0
0.0 5670_0 12473_0
0.0 11469_0 5728_0
0.0 9352_1 12487_0
0.0 10056_0 5888_0
0.0 5469_0 2096_0
0.0 7116_0 13846_0
0.0 10746_1 4368_0
0.0 6073_0 13223_0
0.0 11125_0 13635_1
0.0 4601_0 1926_0
0.0 3081_0 1774_0
0.0 3353_0 3246_0
0.0 7687_0 7326_0
0.0 9700_1 4713_0
0.0 4138_2 7001_1
0.0 5534_0 13378_0
0.0 6056_2 3661_0
0.0 7881_0 10718_0
0.0 11271_0 5666_1
0.0 11274_2 7057_4
0.0 7109_0 2666_0
0.0 9730_1 11823_0
0.0 5742_0 9515_0
0.3462200164794922 5797_0 6279_0
0.0 8417_0 9717_0
0.9376802444458008 9339_1 6056_3
0.0 9485_0 5321_0
0.0 1507_5 421_0
0.0 5419_0 9045_0
0.0 9962_4 12451_0
0.0 9666_2 8832_0
0.005950927734375 13816_0 6926_0
0.0 1156_0 11087_0
0.0 9796_2 5699_48
0.0 6734_0 13537_0
0.0 9735_1 11661_0
0.0 2362_0 1694_0
0.0 8376_0 13334_0
0.0 8086_1 2581_0
0.0 1472_1 10209_0
0.0 7764_0 11949_0
0.0 9632_0 788_0
0.0 13712_0 1679_0
0.0 1542_0 1049_0
0.0 7950_1 4954_0
0.0 2297_1 4963_0
0.0 5707_0 1497_1
0.0 1738_0 10184_0
0.0 4196_0 8375_0
0.0 1990_0 1127_0
0.0 7899_0 11889_0
0.0 10554_0 13405_0
0.0 5744_1 8596_2
0.0 1378_1 2667_0
0.0 2020_0 7185_0
0.0 4711_2 13235_0
0.0 6056_3 12488_0
0.0 2079_0 3072_0
0.20392322540283203 10014_0 8866_0
0.0 3418_0 10446_0
0.0 7764_0 11213_0
0.0 9735_3 7891_0
0.0 8198_0 268_1
0.0 2663_0 9333_0
0.0 1983_0 1240_0
0.0 2017_0 13226_0
0.0 9812_0 8143_4
0.0 1907_0 7324_0
0.0 1096_1 2716_0
0.0 3454_0 7413_0
0.0 11254_0 2110_0
0.0 10871_1 3845_2
0.0 13717_0 6971_0
0.0 4745_0 5478_0
0.0 4418_0 5692_0
0.0 1287_0 2689_0
0.0 13836_0 13344_0
0.0 7884_0 11824_0
0.0 2257_0 9693_0
0.0 13526_0 2656_0
0.0 1881_0 12483_0
0.0 5743_0 303_0
0.0 8788_0 2712_0
0.0 1542_0 7071_0
0.0 11710_0 462_0
0.0 4322_0 9912_0
0.0 8150_0 1339_0
0.25206470489501953 54_0 11232_0
0.37569618225097656 4848_0 9835_1
0.0 11651_0 2530_0
2.278204917907715 395_0 1825_0
0.7154130935668945 6056_1 7042_0
0.0 4896_0 13944_0
0.0 11352_1 12188_0
0.0 4754_0 2037_2
0.0 9280_0 9843_1
0.6962785720825195 10939_3 5448_0
0.0 9879_0 2034_0
0.0 11450_0 8337_0
0.0 7393_0 13285_0
0.0 10008_1 11982_0
0.0 3244_0 4811_0
0.0 1127_0 7064_0
0.0 8966_0 5867_0
0.0 1497_3 7132_0
0.0 6671_1 2322_0
0.0 3693_0 5518_0
0.0 9677_1 4851_0
0.0 9955_1 5727_0
0.6204996109008789 5224_0 4886_2
0.0 4380_1 10939_3
0.0 5877_0 11744_0
0.0 10766_0 3473_0
0.0 10252_0 3281_0
0.0 2129_0 4871_3
0.0 13716_0 1693_1
0.0 3684_2 7120_0
0.0 12855_0 11100_0
0.0 8369_0 11327_0
0.4640007019042969 11647_0 2133_0
0.0 5709_0 10725_0
0.0950307846069336 11127_0 11122_0
0.0 3795_0 9784_0
0.0 3340_0 7788_2
0.0 4560_0 5542_0
0.0 5729_0 9516_0
0.0 7116_0 10871_2
0.0 9339_1 7217_0
0.0 8626_0 9631_0
0.0 3329_0 5567_0
0.0 4196_0 1678_2
0.0 8364_0 633_0
0.0 7894_0 13245_0
0.0 3396_1 11232_0
0.0 13557_0 6034_0
0.0 1904_3 9980_0
0.0 9921_2 13226_0
0.0 7678_0 9843_4
0.0 5521_0 4003_0
0.0 2033_0 1497_2
0.0 9982_0 13817_0
0.0 13715_0 9749_0
0.0 9894_0 3460_0
0.21843624114990234 10014_0 7362_0
0.0 9734_0 11168_0
0.0 3716_0 9215_0
0.0 8651_0 10035_0
0.0 12552_0 3709_1
0.0 1382_0 1842_0
0.0 4748_0 9714_1
0.336273193359375 9776_1 6521_0
0.0 1540_0 13711_0
0.0 10840_0 4119_0
0.0 4693_0 6265_0
0.0 10476_0 11246_0
0.0 1726_0 12344_0
0.0 11086_0 5517_3
0.0 10746_1 13358_0
0.0 11450_0 10142_0
0.0 4327_0 9849_2
0.0 3444_0 1678_3
0.0 1470_0 12496_0
0.0 7457_0 1691_0
0.0 9907_0 10894_0
0.0 1685_0 10371_0
0.0 12619_0 2811_0
0.0 10752_0 11927_0
0.0 4754_0 2045_0
0.0 5281_0 2961_0
0.0 7742_0 1883_2
0.0 9792_0 1691_0
0.0 3288_0 2836_1
0.0 12717_0 8727_3
2.852975845336914 184_0 2991_0
0.0 5149_0 955_0
0.0 10971_2 12532_0
0.0 9049_0 7432_0
0.0 8455_0 9943_0
1.0401849746704102 8068_0 11557_0
0.0 11651_0 2726_0
0.0 4934_4 13372_0
0.0 9188_0 13716_0
0.0 11263_0 13526_0
0.0 9783_0 1470_0
0.621281623840332 9700_1 5720_3
0.0 7393_0 262_4
0.0 9781_0 5517_3
0.0 152_0 4459_0
0.0 3795_0 13342_0
0.0 9822_0 8584_0
0.0 4641_1 9963_4
1.2276992797851562 1616_1 11920_0
0.0 2674_0 13543_0
0.0 1378_1 3329_0
0.0 6791_0 11655_0
0.0 6904_0 10522_0
0.0 9927_0 4276_0
0.0 6791_0 5509_0
0.0 4312_0 13285_0
0.0 4284_0 975_0
0.0 743_0 5655_0
0.0 5759_5 5335_0
0.0 4316_0 12369_0
0.0 9673_5 1382_0
0.0 9933_1 6789_0
0.0 3543_0 1693_1
0.0 4660_0 12561_0
0.0 13823_0 9875_0
0.0 13193_0 1033_0
0.0 10022_1 3475_0
0.0 5551_0 7336_0
0.0 2530_0 4126_0
0.0 10488_0 4968_0
0.0 8245_0 8268_0
0.0 7687_0 7017_0
0.0 10752_0 11213_0
0.46460437774658203 3482_0 10114_0
0.0 11645_0 9618_0
0.0 2705_0 11803_0
0.5579910278320312 2359_0 5755_1
0.0 10024_0 1182_0
0.0 5744_1 13600_0
2.500216484069824 9897_2 5448_1
0.0 9765_0 7045_4
0.0 1816_0 11327_0
0.0 232_0 8985_0
0.0 3329_0 13255_0
0.0 143_0 9789_1
0.0 908_0 9822_0
0.0 7395_0 12480_0
0.0 13212_0 3421_2
0.9125814437866211 4756_0 4862_0
0.0 7678_0 3455_0
0.0 12345_0 1062_0
0.0 9715_1 1306_0
0.9920196533203125 484_0 11962_0
0.0 4041_4 9946_0
0.0 11086_0 8978_0
2.828244209289551 9953_1 9790_2
0.0 10050_0 5017_1
0.0 6165_0 13628_0
0.0 7873_0 13380_0
0.0 13225_0 7375_0
0.8104009628295898 9807_1 5166_0
0.0 2363_1 3115_0
0.0 7217_0 5522_0
0.0 10056_0 9815_0
0.0 10022_1 9122_2
0.4973602294921875 8104_0 2656_0
0.0 11645_0 443_0
0.5510625839233398 1497_3 4380_1
0.0 4738_0 9101_0
1.2508106231689453 1738_0 11973_0
0.06674575805664062 2374_3 13314_0
0.22200584411621094 1339_0 7057_2
0.0 7751_0 3789_0
0.0 887_0 2009_0
0.0 12844_0 206_0
1.3827247619628906 4410_0 3396_1
0.0 9743_1 7050_4
0.0 9735_2 2712_0
0.0 4711_2 1337_0
0.0 13616_0 8007_0
0.0 7857_0 8709_0
0.0 3023_0 2384_0
0.0 742_0 9945_0
1.1144733428955078 9705_0 6968_0
0.0 6275_0 3625_0
0.0 9658_2 3967_0
0.0 9277_0 5498_2
0.0 12855_0 8101_0
0.0 5732_0 11415_2
0.0 5389_0 10005_0
0.0 12334_0 8440_3
0.0 9812_0 9912_0
0.0 10012_0 12137_0
0.0 3952_0 9766_0
0.0 9992_6 12337_0
0.0 9618_0 1480_0
0.0 9796_2 5899_0
0.0 1690_0 1848_0
0.0 8349_0 1188_0
0.0 5670_0 9664_2
0.0 1817_2 8076_0
0.0 10707_0 8113_0
0.3090333938598633 12844_0 9769_0
0.0 7918_0 13410_0
0.0 616_0 2979_0
0.0 9489_0 9845_4
0.0 7109_0 11820_0
0.0 11343_0 6391_0
0.0 1816_0 7788_1
0.0 10005_0 925_2
0.0 3294_0 8092_0
0.0 9767_1 8440_1
0.0 5509_0 8984_0
0.0 8309_0 13937_0
0.0 11324_0 11489_1
0.0 9352_2 4248_0
0.0 6890_0 1907_0
0.0 6734_0 3100_0
0.0 1733_0 12335_0
0.0 6056_3 8726_1
0.0 3334_0 2082_0
0.0 5470_0 7030_0
0.0 715_1 11542_0
0.0 7950_4 2701_0
0.0 1151_0 167_0
0.0 1644_0 3911_0
0.0 13403_0 13338_0
0.0 1995_3 8757_0
0.0 1848_0 2705_0
0.0 6164_0 13533_0
