Test loss: 0.21137026121396107

Format: Loss TFAnchor TFNegative 
0.0 4851_0 6331_1
0.0 13829_0 2792_0
0.0 9626_0 10184_0
1.3778393268585205 11212_0 2865_0
0.0 9927_0 11233_0
0.013359546661376953 12385_0 4401_1
0.0 7977_0 13603_0
0.0 9631_0 1502_0
0.0 3625_0 4374_0
0.0 9912_0 10499_0
0.5757352113723755 6056_2 4427_0
0.39375996589660645 3614_0 7820_0
0.13909482955932617 6664_0 11897_0
0.0 2770_0 9715_1
0.19707536697387695 5520_1 3648_0
0.0 6144_0 13348_0
0.5785346031188965 7457_0 7069_0
0.44768404960632324 10330_0 5759_2
0.9043405055999756 11414_0 4003_0
0.0 11274_2 526_0
0.9197820425033569 12114_0 12535_0
0.0 13716_0 11775_0
0.0 9617_0 5699_30
0.9104646444320679 7745_0 3846_0
0.29422473907470703 5178_0 4276_0
1.401350975036621 3353_0 1903_2
0.12466311454772949 5758_0 9743_2
0.8016989231109619 9796_2 9730_1
0.0 2662_0 10761_0
0.0 9122_1 5759_2
0.7493129968643188 7763_0 13229_0
0.0 7228_0 7013_0
0.0 9232_0 9891_0
0.0 9780_0 11349_0
0.019130229949951172 3269_0 1774_0
0.0 10764_2 11889_0
0.7016568183898926 4152_1 5517_12
0.6058926582336426 1545_0 13668_0
0.0 8262_0 9807_1
0.0 9410_0 866_0
0.45260560512542725 4395_0 3676_2
0.9746593236923218 13937_0 8978_0
0.0 1664_0 7146_1
0.7664183378219604 1687_0 1037_0
0.0 2846_0 10250_0
0.2521705627441406 4418_0 13723_0
0.0 6668_0 7773_0
0.0 8337_0 5740_1
0.6936855316162109 1881_0 12548_0
0.0 8468_0 3305_0
0.2058560848236084 8979_0 4388_1
0.7524256706237793 1975_0 3974_0
0.0 6926_0 11882_0
0.0 10777_3 12459_2
0.0 736_0 9033_0
0.0 9904_0 7109_0
0.0 1822_0 9807_2
0.39915168285369873 11337_0 12517_0
0.0 9769_0 13513_0
0.0 9870_0 5995_0
0.0 2865_0 6964_0
0.0 9781_0 13278_0
0.0 9128_0 9897_1
0.0 2063_0 10503_0
0.0 3716_0 8120_0
1.0109715461730957 4934_4 9843_4
0.6092163324356079 6671_1 5556_0
0.0 12334_0 7420_0
0.0 7946_0 2093_0
0.0 2510_0 6519_0
0.0 9814_0 13634_0
0.0 779_0 2450_2
0.0 10764_2 5310_0
0.0 993_1 11776_0
0.19131088256835938 8238_0 5302_0
0.0 1842_0 949_0
0.0 8357_0 5454_0
0.0 2427_0 4873_0
0.0 7791_0 9955_1
1.1560180187225342 9753_1 1821_0
0.0 5521_0 1679_0
0.0 2450_2 8877_1
0.0 268_1 12113_0
0.7086217403411865 4048_0 451_0
0.0 10345_0 13350_0
0.0 9885_0 4861_0
0.0 13726_0 5928_0
0.38271355628967285 7944_0 1059_0
0.5581158399581909 11300_0 1577_0
0.0 6300_0 5743_0
0.08524250984191895 2297_2 3340_0
0.0 3704_0 4053_2
0.0 13403_0 1545_0
0.0 12717_0 13504_0
0.0 13544_0 924_1
0.1251087188720703 8330_0 2737_1
0.0 1822_0 1703_0
0.0 10795_0 1916_0
0.0 7899_0 13315_0
0.0 6265_0 13302_0
1.2995458841323853 1616_1 12080_0
0.07867956161499023 12843_1 10488_0
0.6593546867370605 10634_0 8877_1
0.9696400165557861 51_0 13513_0
0.5697031021118164 3353_0 10021_1
0.0 1747_1 9807_3
0.0 9463_0 11714_0
0.26233506202697754 5498_2 9750_1
0.4151468276977539 11405_0 11650_0
0.0 3553_0 13506_0
0.11328649520874023 5744_2 5364_0
1.0969804525375366 5532_0 2805_0
0.0 4968_0 5453_0
0.7254884243011475 11892_0 9796_3
0.0 2510_0 184_0
0.0 3101_0 7873_0
0.0 7299_0 9712_1
0.0 9814_0 7430_0
0.0 2123_0 4792_2
1.4671412706375122 9821_0 3607_0
0.7715352773666382 5455_0 333_0
0.06629586219787598 4641_2 4985_1
1.3792319297790527 1685_0 4331_0
0.24078774452209473 9741_1 2528_0
0.0 1584_0 4152_1
0.0 2297_5 7326_0
0.04538369178771973 4418_0 9163_0
0.0 11541_0 11127_0
0.0 5517_1 10530_0
0.4925649166107178 4418_0 11899_0
0.0 11271_0 5685_0
0.6691880226135254 1494_1 1188_0
0.0 10871_2 940_0
0.0 2297_5 1969_0
0.0 6056_2 13430_0
0.4388916492462158 9696_7 334_0
0.5788275003433228 5279_0 1470_0
0.0 9754_0 4412_0
0.20294857025146484 5727_0 11418_0
0.0 2350_0 3643_0
0.0 7492_3 3709_1
0.8336968421936035 11213_0 3170_0
0.8943160772323608 9931_1 8376_0
0.0 9163_0 12190_0
0.0 5241_0 6821_0
0.0 2265_0 4395_0
0.0 5293_0 7884_0
0.0 449_0 7454_0
0.0 8365_0 8124_0
0.9325751066207886 10628_0 2481_0
0.0 5550_0 11935_0
0.0 5729_0 4747_0
0.0 1636_0 9314_0
0.0 4636_0 1689_0
0.0 9810_0 3537_2
0.0 7891_0 3396_1
0.0 13635_1 9796_2
0.0 5744_1 4152_2
0.0 10222_0 8291_0
0.16170501708984375 1287_0 10068_0
0.022626876831054688 8815_0 8508_0
0.0 7961_0 13822_0
0.5434497594833374 10052_0 3678_0
0.0 1657_0 10226_0
0.0 9414_0 10764_2
0.0 8210_0 3758_0
0.3223295211791992 4756_0 778_0
0.6045534610748291 958_0 11891_0
0.0 2359_0 7791_0
0.24671542644500732 6664_0 1492_1
0.7815519571304321 11126_1 3575_0
0.5481405258178711 13735_0 8997_0
0.6019818782806396 12369_0 2756_0
0.0 8592_0 5756_0
0.6863517761230469 8143_1 3359_2
0.0 9982_0 13214_0
0.0 13285_0 8086_1
0.19647622108459473 11372_0 9673_4
0.0 9463_0 6224_0
0.42790424823760986 7017_0 13606_0
0.0 11488_0 2864_0
0.0 10022_1 4425_0
0.0 143_0 9474_0
0.433826208114624 9897_2 1657_0
0.0 288_1 8727_1
1.1033693552017212 5293_0 11354_0
0.0 2070_0 1814_1
0.0 5198_0 5543_0
0.28206682205200195 3340_0 3416_0
0.0 9658_2 13424_0
0.0 9666_2 445_0
0.019726276397705078 7057_2 6983_0
0.18025803565979004 8310_0 13944_0
0.22822213172912598 9926_2 308_0
0.0 6734_0 5699_41
0.0 9912_0 1708_0
0.0 11738_0 8440_2
0.6487852334976196 10011_0 13212_0
0.0 10231_3 4738_0
0.0 8722_0 11186_0
0.4384891986846924 11271_0 7228_0
0.2290630340576172 5742_0 11545_0
0.5270806550979614 1729_0 1461_0
0.0 6664_0 8657_0
0.43775153160095215 4871_1 1298_2
0.0 2265_0 4192_0
0.0 9547_4 11273_1
0.0 10229_0 11653_2
0.0 7746_0 2363_1
0.0 1983_0 2705_0
0.026287078857421875 5953_0 11927_0
0.0 2065_0 11911_0
0.5433913469314575 4711_2 5685_0
1.7499794960021973 11212_0 2513_0
0.8035192489624023 1494_1 9161_0
0.0 12275_0 1950_0
0.0 11371_0 2101_0
1.4732398986816406 4051_0 5454_0
1.3568787574768066 13184_0 10186_0
0.0 10121_0 11851_0
0.9975599050521851 1820_0 925_2
0.5528767108917236 3633_0 7163_0
0.4468421936035156 5848_1 10265_0
0.971776008605957 8186_1 11100_0
0.0 9921_1 10618_0
0.0 2374_2 3418_0
0.0 7857_0 11173_0
0.0 11028_0 3402_0
0.0 7899_0 9692_0
0.13876771926879883 6527_0 2428_0
0.0 7955_2 4723_0
0.0 1156_0 898_0
0.0 3543_0 206_0
0.0 5223_0 13639_0
0.8583031892776489 10404_0 9906_0
0.0 4041_4 8353_0
0.11739850044250488 13713_0 5711_3
2.023777961730957 9673_2 1330_0
0.3843352794647217 9352_1 12843_1
0.0 1726_0 8805_0
0.0 3245_0 10154_0
0.0 887_0 11803_0
0.8777561187744141 5798_1 10783_0
0.0 9885_0 3600_0
0.7836332321166992 11300_0 308_0
0.0 9137_0 5897_0
0.0 1436_0 4619_0
0.013052225112915039 742_0 6971_0
0.0 2129_0 2695_0
0.0 5542_0 12562_0
0.19263601303100586 2928_0 13350_0
0.5838096141815186 2027_0 13241_0
0.0 9927_0 9946_0
0.7665306329727173 4601_0 2481_0
0.6085028648376465 4344_0 9475_0
0.9910836219787598 1545_0 11332_1
0.3052307367324829 11414_0 2695_0
0.5631148815155029 4804_0 10373_0
0.0 12619_0 6458_0
0.0 3553_0 13944_0
0.0 3844_0 2126_0
0.0 4795_0 837_0
0.5226049423217773 1182_0 11126_1
0.0 1777_0 7443_0
1.614450216293335 445_0 9921_1
0.6176103353500366 10222_0 6300_0
0.0 1944_0 12040_0
0.0 5407_0 9147_0
0.0 10229_0 1801_0
0.3467128276824951 5100_0 4801_0
0.0 10362_0 5384_0
0.49644947052001953 8979_0 4848_0
0.6533329486846924 10871_1 9933_2
0.0 2265_0 9796_3
0.0 1151_0 1494_2
0.7851407527923584 7057_3 1985_0
0.0 2948_0 3244_0
0.0 9769_0 11776_0
0.0 4322_0 1188_0
0.0 4947_0 13517_0
0.6248246431350708 9694_1 8101_0
0.0 2265_0 7066_2
0.0 3329_0 1933_0
0.7195119857788086 9682_0 9686_2
0.0 9910_0 1494_3
0.0 10573_0 2297_4
0.0 7780_0 7001_1
0.0 5328_0 5043_0
1.2918682098388672 8736_0 9714_3
0.09416162967681885 10054_0 10939_1
0.0 10411_0 1584_0
0.6149264574050903 11414_0 3600_0
1.2199124097824097 3294_0 4316_0
0.7976868152618408 4410_0 2656_0
0.0 5389_0 7319_0
0.0 6775_0 13377_0
0.0 973_0 5211_0
0.0 303_0 54_0
0.8449839353561401 9635_0 9730_1
0.762967586517334 9636_0 9923_0
0.0 1497_7 5455_0
0.6004306077957153 4138_1 9673_2
0.0 3868_0 6745_0
0.5125933885574341 1687_0 4985_2
0.0 5130_0 55_0
0.0 6890_0 9913_0
0.5017673969268799 11489_1 3916_0
0.0 7001_2 1539_0
0.3482999801635742 341_0 13291_0
0.0 890_0 9875_0
0.0 7424_0 7492_3
0.0 13221_0 1000_5
0.0 3352_0 11717_2
0.8680275678634644 3287_0 9708_1
0.0 3456_1 1814_2
0.0 2297_1 5727_0
0.6167119741439819 3474_0 3277_1
0.0 10921_0 10700_0
0.0 10056_0 5899_0
0.23693466186523438 10042_0 5720_2
0.0 7751_0 1914_0
0.0 10687_0 3760_2
0.0 9441_0 8485_0
0.0 1697_0 7987_0
0.6072322130203247 484_0 4549_0
0.0 6279_0 13194_0
0.0 5707_0 10881_0
0.0 1848_0 11089_0
0.0 7915_0 11450_0
0.0 9489_0 9215_0
0.0 5084_1 9724_0
0.0 2510_0 2694_3
0.6472107172012329 2566_0 2687_0
0.0 908_0 1801_0
0.0 4322_0 5211_0
0.707150936126709 720_0 2297_1
0.47508156299591064 2070_0 4152_1
0.906876802444458 6964_0 11127_0
0.8850749731063843 5706_0 11122_0
0.06827569007873535 2201_0 13636_0
0.6453053951263428 4895_0 9631_0
0.0 8638_0 9666_4
0.0 626_0 5699_20
0.40157222747802734 3264_0 9843_4
0.0 10014_0 8199_0
0.0 7217_0 4934_2
0.0 10871_1 11_0
0.820157527923584 9349_0 10035_0
0.39498579502105713 7873_0 10416_0
0.5247087478637695 5898_0 13333_0
0.4142487049102783 9673_2 8337_0
0.0 9714_2 10412_0
0.6223258972167969 8451_0 11469_0
0.0 5301_2 2513_0
0.5713663101196289 4922_0 2362_0
0.0 6267_0 11371_0
0.0 2450_2 12026_2
0.2685443162918091 3780_0 6122_0
0.0 7042_0 7915_0
0.0 908_0 6705_0
0.0 4856_0 3087_0
0.6153556108474731 11135_0 9019_0
0.6307015419006348 1744_0 3135_0
0.0 3967_0 7336_0
0.0 5888_0 11111_0
0.0 51_0 3845_1
0.0 7195_0 10308_0
1.7006579637527466 2377_1 715_2
0.7735723257064819 2883_0 5699_16
0.0 8143_3 3684_2
0.0 1708_0 12022_2
0.400127649307251 3034_0 13757_0
0.34386909008026123 1891_0 1801_0
0.0 2774_0 4916_0
1.0251659154891968 1736_0 10792_0
0.0 1848_0 12635_0
0.0 48_1 9547_2
0.0 35_0 9713_1
1.3158833980560303 9906_0 4321_0
0.0 8349_0 9530_0
0.46757209300994873 3114_2 5043_0
0.0 9347_0 9789_1
0.0 1707_0 13356_0
0.0 2450_2 13592_0
0.0 13198_0 10939_1
0.0 3442_0 9417_0
0.0 7176_0 10005_0
0.0 2836_2 925_2
0.0 3442_0 9772_1
0.35941433906555176 1545_0 13623_0
0.37398791313171387 107_0 2213_2
0.0 2297_4 13723_0
0.0 10205_0 10392_0
0.08447098731994629 5279_0 3717_0
0.28941988945007324 2146_0 5921_0
0.0 2002_0 5917_0
0.0 2559_0 8727_4
0.0 9846_1 2668_0
0.31201672554016113 6846_0 13348_0
0.33967089653015137 10894_0 10939_3
0.07501602172851562 9794_0 11154_0
0.5466510057449341 9938_0 4640_0
0.0 5548_0 2525_0
0.0 4896_0 387_0
0.0 13373_0 12083_0
0.0 13543_0 2559_0
0.0 2082_0 11890_0
0.8095530271530151 7614_0 887_0
0.07228708267211914 2928_0 11332_4
0.0 9489_0 12527_0
0.0020360946655273438 5509_0 4420_0
0.0 5785_0 499_0
0.05179095268249512 13719_0 11914_0
0.0 2020_0 3062_0
0.0 8309_0 2213_0
0.0 7176_0 5419_0
0.0 4652_0 11403_0
0.0 4149_0 7934_0
0.0 8268_0 9673_6
0.7356150150299072 11213_0 9916_0
0.7463892698287964 9815_0 5322_0
0.0 8866_0 1697_0
0.010622501373291016 9992_1 5974_0
0.1434919834136963 5735_0 9714_4
0.0 8198_0 10395_0
0.322551965713501 1507_3 13942_0
0.2533334493637085 341_0 8091_0
0.36214637756347656 288_1 4993_0
0.0 6122_0 6149_1
0.8514786958694458 5084_1 3680_0
0.0 1995_3 9962_4
