Test loss: 0.6042976554569717

Format: Loss TFAnchor TFNegative 
1.840261459350586 958_0 13757_0
0.4927787780761719 10035_0 7116_0
0.0 5521_0 10321_0
1.2699193954467773 6549_0 9790_2
0.0 2377_1 7518_0
0.0 5521_0 9947_0
0.24356460571289062 5473_0 11794_0
1.2169036865234375 5288_0 318_0
1.0490922927856445 7066_1 2883_0
0.7141561508178711 9699_0 11738_0
0.0 13944_0 10140_1
0.0 9699_0 9705_0
1.487931251525879 5559_0 12843_3
0.0 6968_0 13510_0
0.0 10347_0 1320_0
1.723008155822754 1916_0 691_0
0.607879638671875 6865_0 1616_2
0.0 11661_0 5112_0
0.0 2725_0 4282_1
0.7441930770874023 1458_0 11414_0
1.2519683837890625 707_0 1212_0
0.5304117202758789 5737_0 2374_3
0.4501981735229492 3294_0 11246_0
0.0 6961_0 4150_0
0.7064428329467773 9353_0 13297_0
0.0 2725_0 13515_0
0.39945030212402344 9196_0 12020_0
1.4810571670532227 3662_0 5721_0
1.1866235733032227 9649_0 9794_0
1.9517946243286133 1816_0 1830_0
0.39121246337890625 5315_0 8617_0
0.30734729766845703 10066_0 9831_0
0.38278770446777344 11216_0 3287_0
0.0 4871_1 11890_0
0.3222503662109375 5921_0 4795_0
0.0 8357_0 9679_2
0.0 1929_0 9921_2
0.547271728515625 1667_0 7221_0
0.47626304626464844 1497_3 5855_0
0.27805042266845703 1492_1 3072_0
0.10867500305175781 6763_0 1881_0
0.0 9673_5 9508_0
0.45619678497314453 5288_0 13516_0
0.3259906768798828 10035_0 3676_2
0.38768577575683594 9797_0 10910_0
0.0 6791_0 3553_0
2.239504814147949 9722_1 8990_0
0.0 11738_0 4377_0
1.3565797805786133 4804_0 10766_0
0.24926280975341797 8339_0 13569_0
2.343167304992676 5936_0 7369_0
0.3209342956542969 2566_0 3474_0
1.6736574172973633 3362_0 4608_0
1.904231071472168 1916_0 13640_0
0.47252941131591797 6382_0 13611_2
0.498321533203125 9992_6 1729_0
0.0 6961_0 7388_0
0.0 13623_0 5112_0
0.7293100357055664 8990_0 1337_0
0.0 6957_0 9893_0
0.0 7042_0 9673_5
1.4124441146850586 7071_0 9629_0
1.4336671829223633 5288_0 262_3
0.0 11488_0 2374_4
1.4816246032714844 1242_0 13492_0
1.1779413223266602 7754_0 4894_0
0.8826484680175781 3482_0 3233_0
1.820927619934082 8631_0 9709_0
0.0 4344_0 11337_0
0.0 11653_2 1806_0
1.2260675430297852 8149_0 10254_0
0.0 9668_1 11656_0
0.0 9870_0 9128_0
1.0882501602172852 10066_0 7942_1
2.008413314819336 1881_0 3253_0
0.0 3287_0 1984_0
0.8689022064208984 4652_0 3963_0
0.29036521911621094 1829_0 13422_0
0.0 2075_0 9744_4
1.3037996292114258 1667_0 1496_0
1.0441904067993164 9693_0 10211_0
1.2885160446166992 6451_0 13437_0
0.0 12022_3 9869_0
0.0 9790_2 1974_1
1.0403938293457031 318_0 7914_0
0.6694555282592773 7741_0 216_0
1.2211542129516602 6763_0 10559_0
1.2790851593017578 4321_0 3362_0
0.0 11093_0 9266_0
0.46678638458251953 5288_0 9960_1
0.0 6791_0 1703_0
1.399017333984375 9676_0 9129_0
1.1906414031982422 9699_0 4726_0
0.0 4871_1 10395_0
0.0 7016_0 5753_0
0.8802194595336914 6451_0 10062_0
0.0 13422_0 1382_0
0.0 9413_2 4395_0
0.05872344970703125 7395_0 9696_5
0.4958629608154297 9280_0 13464_0
0.0 720_0 8120_0
1.0192317962646484 3952_0 1673_0
0.0 11093_0 4835_0
1.0664424896240234 9677_1 1792_0
0.0 9389_0 45_0
0.0 7146_1 5389_0
1.546433448791504 1240_0 9893_0
1.0244178771972656 4608_0 3189_0
0.0 1929_0 1000_2
1.025294303894043 5729_0 1800_0
0.1112985610961914 9797_0 4192_0
0.0 8429_0 2694_1
0.9375066757202148 4652_0 258_0
0.9411182403564453 9831_0 4002_0
1.3666315078735352 5546_0 11539_0
0.8496236801147461 9745_0 6904_0
0.0 13212_0 5317_0
0.0 6148_0 11103_0
0.7523660659790039 7754_0 9840_0
0.6607437133789062 2694_1 4660_0
0.07507991790771484 8261_0 13543_0
1.4524173736572266 1242_0 9728_3
0.6377944946289062 9636_0 499_0
0.1938323974609375 7057_3 10963_0
0.7348489761352539 9677_1 5671_0
0.0 9673_1 11329_0
0.31242847442626953 8365_0 8201_0
0.0 9196_0 1610_0
1.020705223083496 9690_0 12171_0
1.4363679885864258 8631_0 2048_0
0.6313657760620117 10411_0 5290_0
0.3133401870727539 2118_0 2363_1
1.2289228439331055 12844_0 11537_0
0.0 3287_0 1507_3
0.27333927154541016 9722_1 10209_0
0.0 10430_1 7348_0
0.9934673309326172 9353_0 9347_0
1.2695398330688477 9992_1 1507_6
3.2341737747192383 6983_0 10063_0
0.9977855682373047 6451_0 11221_0
1.8291807174682617 5315_0 9989_0
1.1178178787231445 9696_1 3662_0
1.097412109375 4041_4 4560_0
0.36426353454589844 13664_0 8631_0
0.5534582138061523 9831_0 11942_0
1.4515657424926758 9686_1 11939_0
0.0 13611_1 9818_0
0.0 3269_0 4936_0
0.0 11235_0 11704_0
0.0 9709_0 2508_0
0.4470710754394531 8194_0 9363_0
0.0 1729_0 7803_0
0.0 9700_1 9870_0
1.7923431396484375 8631_0 3581_0
0.5069465637207031 2051_0 1974_2
1.2802562713623047 7116_0 9673_5
1.0040531158447266 7001_2 8584_0
0.7752695083618164 7042_0 9816_1
0.0 10347_0 7753_0
0.14813709259033203 3844_0 5036_0
0.0 9277_0 5168_0
0.0 3189_0 1984_0
0.13077831268310547 5293_0 5005_0
0.0 5448_1 9508_0
0.2956380844116211 11469_0 5498_2
1.4050722122192383 1302_0 5556_0
0.0 9709_0 11910_0
1.0902175903320312 9668_1 1610_0
0.0 5204_0 7741_0
0.9095296859741211 9649_0 258_0
1.8299522399902344 484_0 10168_0
0.0 13557_0 1320_0
0.8304252624511719 11066_0 1497_3
1.307875633239746 13640_0 7369_0
0.0 1729_0 12137_0
0.8280925750732422 1856_0 8828_0
1.4761381149291992 9514_0 6666_0
1.465083122253418 9714_1 866_0
0.0 6300_0 2084_0
1.0608186721801758 9831_0 9676_0
1.001814842224121 3362_0 13492_0
0.0 1729_0 2815_0
0.0 3287_0 10529_0
0.7161979675292969 9904_0 12510_0
0.3956584930419922 7146_1 6755_0
0.831202507019043 3730_0 9824_0
1.8741960525512695 9696_1 13513_0
0.44315052032470703 7764_0 3244_0
0.0 10066_0 10014_0
0.0 11661_0 9696_1
0.0 7016_0 1881_0
0.0 1507_2 10182_0
0.0 9690_0 1610_0
0.0 7001_2 9027_0
0.1854419708251953 12721_0 1533_0
0.0 12022_3 10222_0
0.0 3575_0 9891_0
0.8934116363525391 11126_1 9744_1
0.0 12616_0 11415_1
0.5083551406860352 3482_0 9824_0
1.746877670288086 1242_0 4987_0
0.9654645919799805 1856_0 13369_0
0.0 7001_2 4045_0
0.0 5521_0 1814_1
0.0 4962_1 1331_0
0.0 8143_3 10250_0
0.0 8592_0 5704_0
0.0 9268_0 4002_0
1.1281843185424805 5473_0 13838_0
0.0 1929_0 9755_0
0.0 10178_0 4944_0
0.0 1667_0 13721_0
0.015218734741210938 5453_0 1667_0
0.22684192657470703 11216_0 11233_0
0.0 5204_0 13280_0
0.2246837615966797 3715_0 12156_0
0.971196174621582 2520_0 302_0
0.04946422576904297 9869_0 9964_2
1.478515625 7146_1 4296_0
0.30032920837402344 11216_0 595_0
0.9087533950805664 4917_0 9690_0
0.37400150299072266 10766_0 1688_0
1.2039766311645508 4652_0 2363_2
0.5773820877075195 3715_0 10321_0
1.4766111373901367 5936_0 5711_2
0.0 7217_0 1635_1
0.7423238754272461 1151_0 9897_4
0.0 9547_2 10022_3
1.3573246002197266 4322_0 6668_0
3.1681814193725586 9649_0 7741_0
0.5330171585083008 10066_0 3605_0
1.8927335739135742 4041_4 2768_2
0.0 5759_2 7937_0
0.0 2909_0 7369_0
1.1093015670776367 6300_0 4652_0
0.4931526184082031 11469_0 1470_0
2.0325937271118164 2051_0 11328_0
0.0 12868_0 7722_0
0.06826019287109375 7741_0 10921_0
0.0 7221_0 10795_0
0.0 9910_0 6921_0
0.16808605194091797 3454_0 4640_0
1.3755512237548828 1492_1 4192_0
0.07390689849853516 9107_0 10011_0
0.0 5448_1 10704_0
1.0444164276123047 4652_0 3603_0
1.2633075714111328 6671_1 3963_0
0.0 11738_0 2213_2
1.7226018905639648 3952_0 1324_0
0.7345237731933594 2082_0 11704_0
0.12090778350830078 1419_1 12022_3
1.1227998733520508 4321_0 6668_0
0.4718303680419922 5546_0 10182_0
0.8166351318359375 5351_0 10222_0
0.0 9713_1 7116_0
0.0 5297_0 13437_0
0.0 2566_0 3036_0
0.0 9389_0 11910_0
1.4315385818481445 9696_1 862_0
0.5250205993652344 3634_0 1302_0
1.5026559829711914 5936_0 581_0
1.524855613708496 9842_1 9677_2
1.0342731475830078 2909_0 9857_0
1.4651193618774414 9694_1 1371_0
0.0 9714_1 13944_0
0.0 6791_0 642_0
1.1435003280639648 7891_0 802_0
0.10933685302734375 11066_0 8356_0
0.0 1507_2 3454_0
0.0 9790_2 2811_0
1.5544500350952148 1302_0 95_0
1.0123682022094727 10254_0 1377_0
0.7793369293212891 9790_2 262_3
0.2765226364135742 10035_0 5036_0
0.0 3634_0 268_2
1.0152101516723633 4002_0 9623_0
1.0133275985717773 4332_1 6148_0
1.638810157775879 9937_0 9196_0
0.0 8143_3 3233_0
0.0 2955_0 5057_0
0.0 13557_0 11865_0
1.2507314682006836 7754_0 1855_0
0.8842678070068359 2694_1 2479_0
0.0 2377_1 9910_0
0.7043666839599609 3362_0 4594_0
1.8110370635986328 8651_0 958_0
0.0 819_0 779_0
1.751129150390625 9676_0 9925_0
0.820648193359375 2118_0 4660_0
0.6862430572509766 5546_0 10751_0
1.3393020629882812 9885_0 12043_0
0.2746305465698242 3715_0 7056_1
0.09138011932373047 10049_0 10121_0
1.2918996810913086 13640_0 1054_0
0.5965776443481445 1492_1 11126_2
0.9803991317749023 9694_1 3095_0
0.0 499_0 9831_0
0.3934183120727539 8357_0 5711_2
0.0 9972_1 7176_0
0.7283849716186523 4894_0 6786_0
0.8858299255371094 9107_0 9314_0
0.0 13557_0 13944_0
0.6346645355224609 1287_0 12721_0
1.6413383483886719 7042_0 13369_0
1.395132064819336 9668_5 1454_0
0.9758338928222656 9616_0 3208_0
0.5836782455444336 9904_0 9411_0
0.3140888214111328 1287_0 3769_0
0.6647157669067383 9616_0 2201_0
0.0 9790_2 9668_5
0.6296062469482422 10404_0 4911_0
0.0 2213_2 5112_0
0.0 2592_0 12499_1
0.0 11235_0 5498_2
0.0 3506_0 7764_0
0.0 1729_0 9865_0
0.0 5448_1 11157_0
0.0 5556_0 5670_0
1.7040786743164062 707_0 7321_0
0.13115310668945312 8310_0 2725_0
1.782435417175293 11126_1 11300_0
1.7814693450927734 4358_0 9565_0
0.5274190902709961 4917_0 8153_0
0.32653045654296875 5921_0 2716_0
0.0 4321_0 2705_0
0.0 9745_0 3072_0
1.2173433303833008 6451_0 8207_0
1.6478204727172852 232_0 11923_0
0.0 4871_1 6127_0
0.1047372817993164 9700_1 6921_0
0.07552814483642578 9885_0 9411_0
0.0 8357_0 6740_0
0.0 9080_0 1656_0
0.612767219543457 4410_0 6127_0
0.0 9268_0 7066_1
0.0 7891_0 5473_0
2.175726890563965 3482_0 12616_0
0.7357463836669922 5855_0 5351_0
0.0 595_0 12519_0
0.0 1929_0 624_0
0.4866476058959961 10035_0 2614_0
0.0 7066_1 9964_2
0.9165763854980469 8631_0 6451_0
0.0 702_0 6430_0
0.0 5297_0 2955_0
0.0 4608_0 9673_6
0.6228303909301758 8451_0 2614_0
0.5501651763916016 1856_0 3603_0
0.5653705596923828 11216_0 890_0
0.36647510528564453 10049_0 12496_0
0.7123212814331055 8451_0 11352_1
0.23376750946044922 3662_0 5057_0
0.0 10178_0 5057_0
1.4164142608642578 9870_0 8230_0
0.0 13944_0 6154_0
0.023729324340820312 6983_0 8449_0
0.0 1729_0 9693_0
1.2832765579223633 2118_0 4962_1
0.0 1788_0 9677_2
0.0 9699_0 5057_0
1.4318885803222656 9696_1 51_0
0.0 7042_0 9783_0
1.0304946899414062 9722_1 5699_17
1.1924200057983398 10035_0 5550_0
0.0 8617_0 2716_0
1.3723316192626953 288_1 12843_3
0.49709606170654297 3575_0 2837_0
0.9703187942504883 9859_0 7899_0
1.0360946655273438 7066_1 5448_1
0.0 6763_0 12006_0
0.025175094604492188 7057_3 2468_0
0.0 1829_0 9547_2
0.0 12022_3 11603_0
0.0 4344_0 1673_0
0.0 595_0 11738_0
0.5424413681030273 8592_0 2260_0
2.1160449981689453 9776_1 2082_0
0.0 3734_0 7333_0
0.0 9859_0 7116_0
0.6663036346435547 3734_0 9704_0
0.1310262680053711 10430_1 1454_0
0.0 11066_0 1497_2
0.8722257614135742 2909_0 13589_0
0.8286972045898438 595_0 1331_0
1.2224674224853516 2694_1 11779_0
0.131500244140625 8339_0 1881_0
0.7064447402954102 7741_0 10545_0
0.0 6961_0 10766_0
0.0 7764_0 8617_0
1.4660520553588867 12717_0 45_0
0.3894071578979492 6763_0 4927_0
1.1158208847045898 9668_1 1640_0
2.576183319091797 9679_1 9668_5
1.1500005722045898 9694_1 2520_0
0.1371774673461914 9665_1 1240_0
0.8488254547119141 5936_0 13711_0
0.0 10766_0 1816_0
0.0 5204_0 2592_0
1.4795951843261719 7741_0 3644_0
1.3173866271972656 3634_0 9664_1
0.0 6300_0 13434_0
0.0 3244_0 8181_0
1.2509698867797852 6957_0 9413_2
1.1995019912719727 10035_0 6671_1
0.5865583419799805 12844_0 11489_1
