Test loss: 0.12138751905103556

Format: Loss TFAnchor TFNegative 
0.2628999352455139 9216_0 5541_0
0.15889886021614075 5281_0 12159_0
0.06353460252285004 1733_0 1888_0
0.20201650261878967 7016_0 2500_0
0.16617611050605774 9631_0 9690_0
0.15344446897506714 4754_0 6806_0
0.0 7791_0 8753_2
0.24796581268310547 9908_1 13295_0
0.11702559888362885 5877_0 10513_0
0.14418423175811768 7916_0 7362_0
0.11561363935470581 13569_0 13278_0
0.02329733967781067 4138_1 5888_0
0.18796485662460327 48_1 371_0
0.14107561111450195 4699_0 12447_0
0.2280915379524231 5532_0 5593_0
0.0 7791_0 577_0
0.12247848510742188 9317_0 11212_0
0.15057501196861267 10058_0 1851_2
0.08388659358024597 5084_1 13431_0
0.17718294262886047 5759_5 5699_17
0.18907172977924347 13186_0 5668_4
0.11452507972717285 318_0 9782_0
0.0 1531_0 3442_0
0.22771182656288147 5084_1 2486_0
0.03715762495994568 3352_0 13335_0
0.0 10013_0 12171_0
0.1660051941871643 10022_4 1151_0
0.1578972041606903 5100_0 8199_0
0.2411496639251709 4395_0 5178_0
0.13992449641227722 9317_0 6584_0
0.0 268_3 1494_1
0.24068889021873474 9735_1 1888_0
0.21331217885017395 5448_1 4041_2
0.20044690370559692 2970_0 5713_0
0.03241986036300659 4829_0 4002_0
0.1048528254032135 5453_0 9734_0
0.0 268_3 8305_0
0.14515793323516846 1867_0 6668_0
0.30545589327812195 3797_0 12491_0
0.2700073719024658 9735_1 1793_0
0.06506583094596863 6607_0 9915_0
0.1453283131122589 8104_0 5166_0
0.07679471373558044 1507_5 13333_0
0.0 5680_0 5517_3
0.10384610295295715 4308_0 9704_0
0.0 626_0 1793_0
0.1605861783027649 9679_1 4196_0
0.1010570228099823 8484_0 13336_0
0.16666176915168762 9493_0 5301_2
0.26399919390678406 5335_0 714_0
0.03889751434326172 9714_2 13622_0
0.115416020154953 5509_0 207_0
0.18817192316055298 3676_1 2662_0
0.0 11216_0 4699_0
0.12455537915229797 9545_0 4804_0
0.10933375358581543 1690_0 4880_0
0.1565125584602356 9713_1 3307_0
0.18155865371227264 9909_2 8194_0
0.22855418920516968 4138_1 8183_0
0.1288670003414154 4138_1 13600_0
0.15521076321601868 9933_1 9529_0
0.21648620069026947 240_0 5215_0
0.0618283748626709 9617_0 5542_0
0.09373030066490173 8619_1 3269_0
0.14133960008621216 2164_0 6957_0
0.04901444911956787 4395_0 1786_0
0.1443849503993988 9842_1 7606_0
0.17786690592765808 115_0 9567_3
0.17883992195129395 288_2 6465_0
0.0123177170753479 2819_0 10012_0
0.12793943285942078 13836_0 6058_0
0.0 1603_0 9960_1
0.033383965492248535 6430_0 7721_0
0.1533268392086029 9679_1 7440_0
0.0776129961013794 7017_0 11082_0
0.23195096850395203 9634_0 2520_0
0.0 5680_0 13374_0
0.14425745606422424 10022_4 10488_0
0.0 714_0 10259_0
0.20223242044448853 1876_0 3462_0
0.2666817605495453 3730_0 8815_0
0.11969372630119324 4699_0 2530_0
0.1863153576850891 13713_0 6806_0
0.1593189835548401 5281_0 1995_1
0.13977941870689392 5281_0 13227_0
0.1557328701019287 11073_0 7961_0
0.32029345631599426 2805_0 3758_0
0.21138885617256165 2970_0 5668_4
0.3087008595466614 288_1 9754_0
0.07921308279037476 9933_1 4196_0
0.07999476790428162 1497_1 7974_0
0.0 9122_1 2876_0
0.1238059401512146 1995_2 5178_0
0.17391136288642883 13529_0 5469_0
0.2697913646697998 2970_0 13295_0
0.0 9317_0 3477_0
0.0 4748_0 6028_0
0.2218456119298935 9700_1 10011_0
0.16656580567359924 2509_0 5744_9
0.13887852430343628 9909_2 13640_0
0.1766134351491928 9909_2 10219_0
0.08320572972297668 5523_0 9832_0
0.08937805891036987 9693_0 11288_0
0.0 3868_0 13453_0
0.0814943015575409 5523_0 4681_0
0.22241762280464172 9672_0 13285_0
0.2070418894290924 5448_1 8428_0
0.07032057642936707 1302_0 13186_0
0.18860673904418945 5335_0 12491_0
0.07302713394165039 1975_0 9744_1
0.12960731983184814 9676_0 1786_0
0.2269943356513977 2768_0 4041_1
0.16120707988739014 2265_0 12855_0
0.18006357550621033 5861_0 2164_0
0.06878712773323059 2164_0 5262_0
0.11146637797355652 3082_0 7977_0
0.03469967842102051 11274_1 2837_0
0.10401815176010132 10012_0 2353_0
0.0 6957_0 3658_0
0.18708118796348572 5509_0 2281_0
0.23873084783554077 11114_0 12517_0
0.2251819670200348 9994_0 2374_1
0.1375412940979004 2164_0 240_0
0.1677287518978119 9672_0 5699_28
0.037810951471328735 8736_0 5737_0
0.007944494485855103 9992_5 9097_0
0.0 626_0 3575_0
0.0995795726776123 10226_0 7339_0
0.13194987177848816 713_0 4866_0
0.11844810843467712 5737_0 6745_0
0.1850905418395996 9107_0 302_0
0.08943107724189758 8102_0 8183_0
0.03864988684654236 3680_0 6734_0
0.0 1963_0 4975_0
0.20499646663665771 11073_0 4002_0
0.0 925_2 11179_0
0.029904723167419434 9698_0 12488_0
0.13894280791282654 1494_1 4699_0
0.20492476224899292 10022_4 3410_1
0.07716497778892517 8261_0 7161_0
0.10047242045402527 9921_1 6983_0
0.09350618720054626 9444_0 11662_0
0.1876700222492218 6430_0 13713_0
0.14556583762168884 11112_0 6267_0
0.1382254660129547 713_0 9916_0
0.16437363624572754 5675_1 1679_0
0.09035766124725342 2051_0 10373_0
0.19360703229904175 9907_0 11526_0
0.11476287245750427 3716_0 1707_0
0.06998792290687561 541_0 6584_0
0.0 4976_0 1603_0
0.22082656621932983 2970_0 11065_0
0.24588745832443237 11073_0 2836_2
0.20051336288452148 6382_0 1302_0
0.0 4748_0 5076_0
0.0 10022_1 11989_0
0.1691839098930359 2450_3 5875_0
0.24690617620944977 1867_0 9263_0
0.2273419350385666 11216_0 3083_0
0.052925288677215576 1881_0 6957_0
0.06210219860076904 1707_0 10226_0
0.20813849568367004 9698_0 1793_0
0.08877173066139221 5534_0 4936_0
0.0 3868_0 8929_0
0.18147167563438416 8058_0 1079_0
0.0 268_3 8979_0
0.16416768729686737 10012_0 3297_0
0.07395151257514954 9744_1 9954_0
0.0 11112_0 470_1
0.03307422995567322 5084_1 12855_0
0.02514234185218811 3676_2 7491_0
0.06674939393997192 5675_1 9842_1
0.237516850233078 10236_0 921_3
0.14777116477489471 13186_0 9770_0
0.0 4976_0 11936_0
0.1466488242149353 484_0 9026_0
0.007426798343658447 11738_0 6607_0
0.07356983423233032 1497_1 5076_0
0.0003908872604370117 7803_0 470_1
0.15336093306541443 1481_0 288_2
0.1551794409751892 10226_0 10028_0
0.12624379992485046 9960_1 128_0
0.15303048491477966 6607_0 13516_0
0.10439780354499817 7195_0 7803_0
0.13123050332069397 8305_0 7195_0
0.07104295492172241 1140_0 2374_5
0.14442092180252075 616_0 6945_4
0.0 9724_0 6745_0
0.11000579595565796 5861_0 9477_0
0.0823659598827362 5523_0 11115_0
0.1610434353351593 288_2 3633_0
0.17599767446517944 2530_0 4880_0
0.0 7223_0 11704_0
0.1116933524608612 3676_2 9834_0
0.2986464202404022 3974_0 9719_0
0.06467011570930481 7741_0 2507_0
0.05812045931816101 9780_0 4043_0
0.0 1963_0 7666_0
0.12460523843765259 9782_0 13509_0
0.1334208846092224 5875_0 11526_0
0.0 1733_0 8365_0
0.15743473172187805 9901_0 9444_0
0.12953141331672668 7918_0 10373_0
0.0 268_3 9897_1
0.14338690042495728 240_0 7494_0
0.17999163269996643 6515_0 9686_1
0.147883802652359 9735_1 4652_0
0.20360460877418518 12275_0 5087_0
0.099616140127182 8468_0 8440_3
0.180620938539505 10011_0 10493_1
0.13634172081947327 2970_0 1372_0
0.0 13836_0 10_0
0.0694991946220398 8451_0 9906_0
0.22820918262004852 230_0 9713_3
0.0 4652_0 9386_0
0.22962123155593872 9735_1 13759_0
0.0 470_1 9907_0
0.05956271290779114 3982_0 2510_0
0.2569708824157715 1713_0 12517_0
0.15348388254642487 9744_1 9812_0
0.07814362645149231 9386_0 3034_0
0.09723734855651855 8305_0 7061_2
0.12591353058815002 1881_0 12547_0
0.0 5423_0 1985_0
0.05584841966629028 4308_0 11216_0
0.14152288436889648 5542_0 12085_0
0.18248668313026428 2970_0 1699_0
0.20791475474834442 11212_0 4726_0
0.07443398237228394 9700_1 1699_0
0.14350539445877075 5281_0 11912_0
0.12018108367919922 714_0 9916_0
0.08330519497394562 3680_0 11493_0
0.2126895785331726 9673_2 9679_5
0.17500531673431396 1995_1 5473_0
0.19746580719947815 3974_0 6957_0
0.0 2018_0 3354_2
0.09607920050621033 1777_0 7780_0
0.15763190388679504 1699_0 5297_0
0.17040184140205383 1713_0 3499_0
0.11283093690872192 7195_0 2377_1
0.0 9122_1 484_0
0.1440703570842743 9659_0 148_0
0.24139323830604553 1507_4 6465_0
0.20408561825752258 3974_0 9767_2
0.13313862681388855 11216_0 4679_0
0.030710041522979736 5877_0 4138_2
0.13503748178482056 184_0 1662_2
0.09092465043067932 9722_3 2956_0
0.0 1963_0 9704_0
0.12876325845718384 9994_0 445_0
0.11680406332015991 1481_0 9909_2
0.15633872151374817 5534_0 1761_0
0.09719628095626831 4192_0 7666_0
0.0 9910_0 12491_0
0.13040179014205933 7918_0 1079_0
0.14380675554275513 4395_0 5699_4
0.026187002658843994 6763_0 8727_4
0.18768587708473206 2070_0 5676_0
0.1727769374847412 11274_1 4968_0
0.06344395875930786 3676_2 7364_0
0.19879557192325592 1302_0 3982_0
0.15610089898109436 8305_0 2377_1
0.13675782084465027 9911_0 2297_2
0.011831551790237427 3676_2 8974_0
0.05514192581176758 3680_0 7791_0
0.1043086051940918 5877_0 11158_0
0.0 714_0 9664_2
0.11182853579521179 2051_0 6149_2
0.18772095441818237 9709_0 3454_0
0.08376401662826538 3352_0 4896_0
0.0 5875_0 9673_2
0.17177939414978027 9714_2 8513_0
0.23771223425865173 9444_0 4713_0
0.21093136072158813 7001_1 10236_0
0.047826409339904785 1507_4 4215_0
0.18238303065299988 9142_0 8337_0
0.24824336171150208 5335_0 4311_0
0.21098265051841736 2805_0 9911_0
0.2191285789012909 2849_0 1793_0
0.0 6515_0 1881_0
0.23847037553787231 4138_1 1885_1
0.06798219680786133 9901_0 1054_0
0.12627556920051575 1691_0 10038_0
0.11689484119415283 3676_1 7393_0
0.17023923993110657 5509_0 3956_0
0.09282225370407104 8736_0 9547_7
0.05857011675834656 5509_0 13600_0
0.05021807551383972 9698_0 4754_0
0.0 7223_0 9686_1
0.0752212405204773 1140_0 2520_0
0.05652877688407898 973_0 2520_0
0.20609578490257263 7016_0 601_0
0.2382599264383316 8365_0 10982_0
0.0 11738_0 11869_0
0.15871016681194305 9545_0 1891_0
0.13605552911758423 9933_1 1699_0
0.05002889037132263 5509_0 4311_0
0.0 6957_0 1182_0
0.13760344684123993 11112_0 3522_0
0.045835405588150024 8484_0 5737_0
0.15537288784980774 1699_0 12486_0
0.1406823694705963 8058_0 320_0
0.09334778785705566 11455_0 5294_0
0.1526854932308197 10058_0 9411_0
0.20721867680549622 9634_0 8974_0
0.13630104064941406 9649_0 7364_0
0.20350199937820435 5448_1 9757_0
0.0544794499874115 5877_0 5855_0
0.0 9782_0 5281_0
0.10841983556747437 8261_0 9714_5
0.08028519153594971 7195_0 7161_0
0.2139250785112381 1458_0 4866_0
0.040322303771972656 2374_5 7941_0
0.0885244607925415 5523_0 3522_0
0.0 11271_0 9921_1
0.11224573850631714 5084_1 11704_0
0.1417924463748932 9696_2 320_0
0.1548600047826767 5523_0 8337_0
0.0656905472278595 9799_0 11704_0
0.061460256576538086 8194_0 3295_0
0.14485886693000793 9911_0 10048_1
0.0 626_0 3057_0
0.0008685588836669922 9906_0 9915_0
0.19669821858406067 9921_1 12517_0
0.04794210195541382 11455_0 9944_0
0.1561659872531891 9780_0 3100_0
0.12325865030288696 3716_0 7803_0
0.19949433207511902 12275_0 13166_0
0.009404569864273071 9317_0 13057_0
0.20642265677452087 4395_0 2363_1
0.09107279777526855 9626_0 7161_0
0.2831939160823822 3294_0 13335_0
0.19218555092811584 2079_0 2004_0
0.08029535412788391 10011_0 3730_0
0.12938827276229858 3844_0 7420_0
0.17514032125473022 11216_0 2004_0
0.15319274365901947 11112_0 8194_0
0.2183600664138794 3844_0 10732_0
0.17351719737052917 1713_0 5676_0
0.0 925_2 7202_0
0.10535460710525513 9649_0 11213_0
0.1223878264427185 1881_0 750_2
0.1372843086719513 2265_0 9696_2
0.0 318_0 9634_0
0.18660986423492432 9901_0 12070_0
0.12067840993404388 9992_5 13942_0
0.22824439406394958 2805_0 5543_0
0.1251227855682373 9937_0 1531_0
0.08904242515563965 5281_0 6056_1
0.15366172790527344 9634_0 4704_0
0.0 12087_0 9926_1
0.0 4248_0 2542_0
0.13702818751335144 3730_0 13329_0
0.10659435391426086 9679_1 5166_0
0.20030054450035095 1995_3 2096_0
0.2255760133266449 1699_0 11149_2
0.10960784554481506 616_0 4560_0
0.058121293783187866 2143_0 12182_0
0.0 13225_0 6865_0
0.14094731211662292 1876_0 13449_0
0.16651767492294312 10022_4 2051_0
0.23762384057044983 2530_0 302_0
0.139934703707695 9832_0 10011_0
0.16329805552959442 13186_0 4804_0
0.12446609139442444 9744_1 6817_0
0.1485329121351242 9386_0 5423_0
0.0 2894_0 4829_0
0.10134857892990112 4754_0 1961_2
0.1631123125553131 9664_2 2222_0
0.11372441053390503 11274_1 3354_2
0.24941757321357727 6430_0 4282_1
0.21174365282058716 1995_1 6671_1
0.0 4829_0 1497_6
0.17571714520454407 4377_0 11456_0
0.0 470_1 8736_0
0.016621649265289307 9910_0 5556_0
0.12162831425666809 9137_0 8665_0
0.1459628939628601 5306_0 13235_0
0.07186087965965271 8102_0 10182_0
