Test loss: 0.52868204255931

Format: Loss TFAnchor TFNegative 
0.0 11710_0 4402_0
0.0 5683_1 13515_0
0.7976150512695312 11414_0 1382_0
0.0 925_3 12499_1
0.0 7881_0 2130_0
0.0 7217_0 5293_0
0.0 3754_0 9714_2
1.688232421875 1497_1 4462_0
0.6755027770996094 3460_0 8143_1
5.564399719238281 1324_0 5542_0
0.0 5723_0 9875_0
0.0 1079_0 12661_2
0.0 4955_0 2849_0
0.0 5285_0 3658_0
0.0 9696_2 3766_0
0.5458431243896484 1876_0 4358_0
0.1615161895751953 9664_1 12499_1
0.2552375793457031 9974_2 5157_0
5.389581680297852 3587_0 854_0
1.2674293518066406 10018_1 13584_0
0.0 10597_0 947_0
0.0 7299_0 13128_0
1.9902229309082031 7804_0 9003_0
0.0 9819_1 9224_0
0.0 9666_4 3986_0
0.0 2716_0 10010_2
0.0 13725_0 7266_0
0.06978416442871094 7873_0 2970_0
1.7412548065185547 9664_1 12508_0
0.0 9128_0 9890_0
0.0 4402_0 1878_0
3.407360076904297 5301_1 5517_7
1.8473472595214844 7804_0 6968_0
1.4443187713623047 828_0 642_0
0.0 7894_0 10059_2
0.0 5683_1 752_0
0.0 10395_0 11661_0
0.0 9655_0 5466_0
0.0 10764_2 4276_0
0.0 10624_0 9816_1
0.0 13829_0 7679_0
0.0 10058_0 7223_0
0.0 2020_0 8440_3
1.0445995330810547 852_0 8594_0
2.115629196166992 9533_0 13367_0
1.7712631225585938 1151_0 9856_2
1.0267219543457031 1492_1 920_0
1.2274131774902344 9107_0 4292_0
0.0 10597_0 5867_0
0.0 12030_0 54_0
0.0 9722_3 13606_0
0.0 3498_0 11710_0
0.8268108367919922 3645_0 4494_0
0.0 2654_2 470_2
0.0 3101_0 48_2
0.0 3101_0 2903_0
2.7511672973632812 5899_0 3482_0
0.0 9749_0 4031_0
0.5557365417480469 2363_1 8638_0
0.0 11742_0 12853_0
0.0 9772_2 9705_0
1.4171829223632812 13735_0 1801_0
0.05223274230957031 6136_0 3299_0
0.0 6160_0 1497_1
0.0 925_3 5539_0
0.0 2074_0 5149_0
0.28424644470214844 1242_0 2903_0
0.0 1242_0 5699_13
0.0 210_0 9666_4
0.0 4856_0 6763_0
0.0 7803_0 9722_3
0.0 11742_0 4262_0
0.0 5723_0 3264_0
0.0 4681_0 9967_1
0.0 3754_0 9666_4
0.0 2374_1 925_3
4.468541145324707 6136_0 2042_0
0.0 1497_5 11920_0
0.0 3956_0 8757_0
0.0 9567_1 7185_0
1.0790328979492188 2654_2 1674_0
0.0 9722_3 8238_0
1.1961231231689453 527_0 6801_0
0.0 10643_0 837_0
7.461915016174316 13937_0 11797_0
0.0 2970_0 4918_0
0.0 534_0 5759_5
0.0 1703_0 4464_0
0.0 4887_0 6643_2
0.0 7492_6 4871_1
0.0 4002_0 7881_0
0.0 2051_0 918_0
0.0 1497_5 11414_0
0.0 925_3 5744_2
1.1125755310058594 9664_1 10331_0
0.0 9339_1 1266_0
0.0 4887_0 439_0
0.0 3754_0 7015_1
0.7147655487060547 9953_1 13584_0
0.0 7804_0 1815_0
0.0 9992_6 13162_0
0.0468597412109375 6801_0 3206_0
1.1723690032958984 1995_2 1821_0
0.6311378479003906 13817_0 11086_0
0.9710521697998047 9567_1 6519_0
2.008596420288086 230_0 13842_0
0.31329345703125 527_0 10766_0
0.0 9582_0 13712_0
0.0 1079_0 7057_8
0.0 8310_0 4017_0
1.9791984558105469 5936_0 8339_0
0.0 7116_0 809_0
0.23343276977539062 318_0 3482_0
0.0 7167_0 7606_0
0.0 3754_0 5294_0
0.0 7492_6 4031_0
0.0 1601_0 5084_2
0.4031486511230469 10634_0 8205_0
4.371131896972656 2377_1 534_0
0.0 13726_0 1807_0
0.0 1800_0 2695_0
6.018894195556641 4880_0 5523_0
0.0 3506_0 6615_0
0.0 9908_1 6144_0
1.4940567016601562 10018_1 282_0
0.0 11273_1 107_0
0.0 1707_0 10003_0
1.1892070770263672 1492_1 11919_0
0.0 371_0 8727_3
0.0 12030_0 7331_0
0.0 9908_1 9811_0
0.0 6791_0 1588_0
0.0 9277_0 5699_31
0.0 2774_0 7820_0
0.0 11086_0 5683_1
0.0 11742_0 11112_0
0.0 10631_0 9918_0
0.5225105285644531 5523_0 2993_0
0.0 13726_0 9664_1
0.07471466064453125 1995_1 3562_0
0.9537506103515625 341_0 1675_0
0.0 1995_2 5966_2
0.0 4871_1 4292_0
1.30316162109375 2363_1 918_0
0.0 3506_0 6136_0
0.0 9128_0 5157_0
0.29476356506347656 3633_0 8617_0
3.6879758834838867 9772_2 13943_0
0.0 7915_0 9729_0
0.0 9749_0 636_0
1.9636554718017578 4042_0 3737_0
0.0 4871_1 4134_0
0.0 1079_0 7518_0
0.7643890380859375 2363_1 3460_0
0.0 5542_0 5559_0
2.060373306274414 13829_0 1059_0
0.0 9765_0 5716_0
1.375101089477539 5100_0 115_0
1.2713031768798828 5301_1 2956_0
0.7755556106567383 3506_0 10373_0
1.0722789764404297 13396_0 11799_0
2.1216812133789062 10175_0 6968_0
0.0 13615_0 11865_0
2.140575408935547 2663_0 5674_0
0.0 318_0 6759_1
0.0 9722_3 3780_0
0.0 1079_0 4134_0
0.0 7754_0 6968_0
0.0 9107_0 1594_0
0.0 2363_1 1309_0
0.0 4880_0 8075_0
0.0 2716_0 1807_0
0.0 7881_0 8594_0
0.0 534_0 4344_0
0.0 8365_0 4969_0
0.0 1934_0 268_3
0.1965465545654297 13735_0 4955_0
0.0 13221_0 2775_0
0.0 9668_1 5539_0
0.0 9906_0 2885_0
0.0 7894_0 12344_0
0.0 3754_0 5517_7
0.0 2020_0 9097_0
0.0 11086_0 5727_0
0.9009990692138672 13735_0 947_0
0.0 9906_0 2694_1
0.16222763061523438 4042_0 4795_0
0.47452545166015625 9974_2 2695_0
0.0 12275_0 9488_0
0.0 9925_0 107_0
0.0 3506_0 4927_0
0.0 3608_0 3671_0
0.0 5473_0 3912_0
0.0 4002_0 9632_0
0.0 2970_0 9904_0
0.0 2074_0 3714_0
3.1697587966918945 9533_0 13725_0
0.0 2222_0 248_0
0.15464019775390625 9664_1 1706_0
0.0 9658_2 3633_0
0.0 2133_0 10787_0
1.3548259735107422 5720_1 11403_0
7.316239356994629 6136_0 11907_0
0.0 3956_0 11456_0
0.0 1800_0 8088_0
0.0 7894_0 13584_0
0.4585895538330078 10634_0 10270_3
0.0 5100_0 13816_0
1.8471508026123047 1363_0 3760_1
0.6359424591064453 11414_0 5273_1
0.0 9982_0 11354_0
0.0 230_0 4292_0
2.773357391357422 9980_0 8453_1
0.0 1995_2 4022_0
0.0 288_1 12508_0
0.0 5285_0 3446_0
0.0 13735_0 2118_0
0.0 906_0 9728_3
0.0 5285_0 13316_0
0.0 2020_0 13175_0
0.0 5665_0 5383_0
2.7636680603027344 2222_0 10058_0
0.0 9744_4 3730_0
5.052833557128906 1995_1 11661_0
0.0 5285_0 5861_0
0.0 9856_2 11827_0
0.0 341_0 2130_0
0.0 5723_0 9582_0
0.0 2663_0 2108_0
0.0 9533_0 9954_0
0.0 4282_2 9908_1
0.0 9901_0 2740_0
0.0 5707_0 13424_0
0.0 1934_0 9767_2
1.015787124633789 10634_0 5383_0
0.0 313_0 4932_0
0.0 2074_0 12442_0
0.0 925_3 13704_0
5.252712249755859 10018_1 9772_2
1.6230945587158203 6801_0 10624_0
0.0 4327_0 13266_0
0.0 4401_1 2450_1
0.0 9216_0 2566_0
0.0 4152_1 4134_0
0.0 3446_0 5151_0
0.0 1079_0 5744_10
0.0 3754_0 5723_0
0.0 3460_0 7951_2
0.0 9967_1 10641_0
0.0 3189_0 10504_0
0.0 12275_0 1637_0
0.0 11086_0 1212_0
0.0 10058_0 13350_0
0.0 2654_2 8238_0
0.4450359344482422 8744_0 11127_0
0.0 3754_0 9767_1
0.0 2020_0 5100_0
0.0 4955_0 11112_0
0.0 4955_0 9712_3
0.0 4327_0 10218_2
0.0 5744_2 2363_1
1.5748729705810547 13816_0 10624_0
0.19303512573242188 10894_0 11799_0
0.0 11343_0 1975_0
0.0 1324_0 837_0
0.0 5532_0 11367_0
0.0 10064_0 1944_0
0.0 1078_0 4402_0
0.0 1507_4 7894_0
0.0 3645_0 5752_2
0.0 8455_0 9730_1
0.0 7182_0 9943_0
0.0 11235_0 9714_2
0.0 9705_0 8617_0
0.0 3498_0 35_0
0.0 9567_1 13166_0
2.260282516479492 2654_2 5917_0
0.9203548431396484 9933_1 2689_0
6.051570892333984 5936_0 2374_1
0.0 4152_1 5466_0
0.0 5744_2 8444_0
0.0 3441_0 2716_0
0.0 10175_0 5759_5
1.8249435424804688 8638_0 2051_0
0.0 9994_0 7321_0
0.0 1943_0 9974_2
0.0 9533_0 6519_0
0.0 3633_0 4134_0
0.0 11742_0 3087_0
1.2463855743408203 4804_0 12444_0
0.0 13725_0 9819_1
0.0 8102_0 11403_0
1.2176742553710938 527_0 3845_1
0.0 5301_1 4138_1
4.8552961349487305 9799_0 5149_0
5.886300086975098 9363_0 35_0
0.0 13100_0 11772_0
0.0 13829_0 13833_0
0.0 8365_0 9706_0
0.0 9188_0 13057_0
0.0 10925_0 9845_1
2.658130645751953 852_0 10010_2
0.0 5994_0 9454_0
0.0 10002_2 1959_0
1.4384803771972656 1242_0 5699_21
0.9759902954101562 4871_1 3084_0
2.7969284057617188 4042_0 9620_0
0.0 7961_0 7806_0
0.3017921447753906 9666_4 3264_0
0.0 1363_0 48_1
0.0 3717_0 12717_0
0.0 1800_0 4215_0
0.0 7217_0 2450_1
0.0 9679_1 5936_0
0.0 9277_0 9673_2
0.0 3608_0 1266_0
0.0 12022_2 5005_0
0.17846298217773438 5936_0 6382_0
0.0 3608_0 5946_0
0.0 9658_2 10218_2
0.0 5532_0 3587_0
0.0 10925_0 1507_2
1.233285903930664 4041_2 7057_1
0.0 1497_1 8449_0
2.8226394653320312 11710_0 2481_0
0.8298969268798828 5301_2 9870_0
0.0 9655_0 2775_0
0.0 5532_0 6348_0
0.5324668884277344 4871_1 546_0
0.038837432861328125 9910_0 2524_0
2.6091060638427734 43_0 12510_0
0.0 10058_0 1703_0
0.0 9658_2 107_0
0.0 7916_0 5974_0
0.8405170440673828 11354_0 5448_1
1.2021675109863281 10643_0 2716_0
0.0 9715_1 8205_0
0.0 9897_1 9271_0
0.0 11343_0 11420_0
0.0 2074_0 2500_0
0.0 10624_0 10634_0
0.0 3441_0 8429_0
0.0 7894_0 13943_0
0.0 9994_0 10169_0
0.0 7916_0 10199_0
3.078531265258789 1324_0 12484_0
0.4482250213623047 10634_0 13602_0
0.0 7780_0 2080_0
0.0 9632_0 1606_0
0.0 1497_1 9728_1
3.1863842010498047 9933_1 3925_0
0.0 9925_0 7388_0
0.0 9655_0 5273_1
0.8794097900390625 10042_0 4887_0
0.0 318_0 9954_0
1.6780281066894531 8638_0 5756_0
0.0 7167_0 11958_0
1.2430801391601562 7754_0 1664_0
0.0 12717_0 11911_0
0.0 4042_0 2993_0
0.0 11352_1 3422_0
2.20867919921875 43_0 4856_0
3.119596481323242 4282_2 1921_0
0.0 11348_0 10270_3
5.345001220703125 925_3 9713_1
4.129650115966797 1151_0 43_0
0.6930599212646484 7915_0 5005_0
0.0 3482_0 13712_0
2.1965885162353516 852_0 13602_0
0.0 13943_0 107_0
1.6169967651367188 2004_0 7852_0
0.0 1703_0 9487_0
0.0 2377_1 451_0
0.6293411254882812 7804_0 9890_0
0.37674522399902344 9196_0 9714_1
0.0 7916_0 5744_10
0.9300498962402344 6056_2 2513_0
0.0 210_0 3912_0
4.934525489807129 9722_3 642_0
5.813904762268066 8365_0 7754_0
2.5903873443603516 1961_1 5301_2
0.0 8210_0 5716_0
1.7835235595703125 9967_1 7951_2
3.4430999755859375 43_0 4131_0
2.257436752319336 4880_0 6519_0
0.0 288_1 2903_0
1.0037689208984375 9676_0 5525_0
0.0 9353_0 2667_0
0.0 9696_2 10002_2
0.0 9705_0 2450_2
0.0 7916_0 11742_0
0.0 7780_0 9705_0
0.9577827453613281 4804_0 9870_0
0.0 9622_0 13412_0
0.7061500549316406 906_0 1497_5
0.0 9933_1 12721_0
1.2254676818847656 9363_0 9712_3
0.0 9658_2 13350_0
0.546905517578125 5377_3 13576_0
0.0 2042_0 4681_0
0.0 6160_0 9856_2
0.0 5285_0 9664_1
0.0 9339_1 7415_0
0.0 318_0 13205_0
0.0 7116_0 3634_0
0.0 3446_0 9843_1
0.0 5377_3 3658_0
0.32347869873046875 10631_0 3737_0
0.9902610778808594 9582_0 4395_0
0.0 7894_0 152_0
5.570962905883789 1995_1 1881_0
0.0 313_0 9806_0
0.0 8974_0 13609_0
0.0 4152_1 13833_0
5.27874755859375 4041_2 7913_0
0.0 1497_5 9982_0
0.0 4152_1 6056_2
0.0 5509_0 3035_0
0.0 948_1 11720_0
0.0 9622_0 11093_0
3.173786163330078 9974_2 5517_7
0.0 5675_1 12078_0
0.0 9313_0 7817_0
0.0 5542_0 43_0
0.0 5293_0 9875_0
0.0 2363_1 7182_0
0.0 8102_0 809_0
0.0 1507_4 7015_1
1.3017826080322266 9974_2 11666_0
0.0 9982_0 9386_0
0.2364521026611328 5936_0 890_0
0.0 4856_0 2130_0
1.6816253662109375 9216_0 1884_0
6.295768737792969 1151_0 1995_2
1.0688762664794922 1363_0 5726_0
0.11256980895996094 2222_0 3498_0
0.7521800994873047 1324_0 9765_0
0.0 230_0 13165_0
2.7406110763549805 230_0 5739_0
0.6248130798339844 5936_0 313_0
2.2475433349609375 2363_1 11661_0
0.0 2374_1 11216_0
0.8653678894042969 9953_1 11797_0
0.0 1934_0 9796_2
0.0 3446_0 7780_0
0.0 1876_0 6791_0
0.0 2716_0 9514_0
