Test loss: 0.35046991923253384

Format: Loss TFAnchor TFNegative 
0.0 950_0 10254_0
1.117976188659668 714_0 5699_44
0.0 2297_1 12620_0
0.6838798522949219 5861_0 445_0
0.2846369743347168 9943_0 12555_0
0.0 9398_0 10686_0
0.0 9963_2 6671_1
0.0 7803_0 5335_0
0.0 5291_1 2099_0
0.0 2018_0 9722_4
0.26848745346069336 6573_0 10231_4
0.15889310836791992 318_0 3674_0
1.9884567260742188 5301_1 7054_0
0.0 9705_0 8365_0
0.8345627784729004 5301_1 10000_0
0.7567019462585449 11086_0 7686_0
0.0 11093_0 1932_0
1.139453411102295 11119_1 1746_0
1.440277099609375 7247_0 9664_1
0.5495185852050781 2679_0 371_0
0.0 2018_0 9982_0
1.5493559837341309 9664_1 13577_0
0.0 1691_0 9679_2
0.0 4898_0 6716_0
1.5563840866088867 2222_0 2831_0
0.0 8617_0 3676_2
0.0 1585_0 6382_0
0.0 9547_5 586_0
0.788060188293457 1703_0 9676_0
0.0 4327_0 5949_0
0.0 4898_0 13603_0
2.776660919189453 9741_1 3446_0
0.0 11086_0 4020_0
1.6278328895568848 7916_0 11234_0
0.0 5785_0 4874_0
0.35369205474853516 9666_4 9631_0
0.7075037956237793 9799_0 9937_0
1.3610835075378418 8413_0 9666_1
0.0 2829_0 1458_0
0.790320873260498 9831_0 9676_0
0.8755874633789062 9621_0 2363_1
0.0 1585_0 8376_0
0.0 13759_0 10599_0
0.0 2018_0 10277_0
0.0 6745_0 9787_0
0.0 5695_0 4608_0
1.967785358428955 1545_0 3228_4
0.0 4152_1 5668_2
1.2075023651123047 1379_0 12369_0
0.5143260955810547 10199_0 5366_0
0.3162961006164551 4932_0 3010_0
0.10062456130981445 2363_1 5465_0
0.0 9852_0 1301_2
0.0 1635_1 1298_2
0.0 13817_0 9925_0
0.8817219734191895 318_0 9715_2
0.0 4138_1 11283_0
0.0 12334_0 11443_0
0.0 2363_1 13603_0
0.868898868560791 11093_0 10048_1
0.0 13628_0 6846_0
0.15580463409423828 8238_0 9675_0
0.0 9398_0 9663_0
0.1756916046142578 5739_0 5353_0
1.6780357360839844 9128_0 4851_0
0.0 1699_0 7491_0
0.0 7788_1 48_1
0.0 9629_0 7666_0
0.0 11093_0 1188_0
0.0 1736_0 948_1
0.7360920906066895 852_0 1907_0
0.6361470222473145 3633_0 5699_30
3.2369725704193115 9686_1 6123_0
0.0 6124_0 8369_0
0.7694377899169922 4693_0 7686_0
0.0 6667_0 13515_0
0.0 6573_0 12275_0
2.1959564685821533 8484_0 13243_0
1.0837969779968262 10493_1 1458_0
0.0 5695_0 7169_0
0.0 9049_0 9196_0
0.0 10372_2 12192_0
0.0 13726_0 587_0
0.17705821990966797 9749_0 6029_0
0.0 5291_1 4464_0
0.0 9743_2 2102_0
0.5028924942016602 6607_0 1497_5
1.0783729553222656 6300_0 7045_3
1.057694911956787 9696_2 454_0
0.0 9766_0 1820_0
0.0 1470_0 13212_0
0.0 1820_0 6573_0
1.0233254432678223 9897_1 8194_0
0.0 2831_0 13524_0
0.0 7803_0 4427_0
1.6722230911254883 7247_0 11817_0
0.3725614547729492 10476_0 10005_0
0.0 1820_0 9722_4
0.0 3844_0 5519_2
0.0 2082_0 9962_5
0.0 1531_0 734_1
0.0 7614_0 11257_0
0.6048498153686523 13628_0 9959_0
0.0 3844_0 8462_0
0.29093360900878906 8093_0 1096_1
1.0139060020446777 7759_0 13759_0
0.0 9693_0 11213_0
0.33855772018432617 3506_0 2042_0
0.0 2679_0 5457_0
0.27233409881591797 2829_0 5927_0
0.0 9677_1 2694_1
0.7113895416259766 3730_0 2716_0
0.0 9676_0 9668_1
0.0 9955_1 10982_0
1.0647764205932617 12172_0 1981_0
0.0 5291_1 9988_0
0.8071551322937012 5899_0 13665_0
0.0 9666_4 4305_0
0.12172603607177734 9663_0 3411_0
0.0 2222_0 5166_0
0.0 1815_0 1820_0
0.0 13838_0 4391_0
0.0 10372_2 10199_0
0.0 9898_0 4308_0
0.0 8309_0 925_2
0.0 1727_0 4119_0
1.121657371520996 714_0 4464_0
0.0 4976_0 10185_0
0.0 11093_0 7788_1
0.0 1324_0 890_0
0.0 13719_0 10252_0
0.8300561904907227 51_0 10777_3
0.0 6890_0 3266_1
1.4673542976379395 4041_2 2829_0
0.0 10012_0 5699_33
0.0 9675_0 10021_1
0.29798173904418945 9894_0 10599_0
0.6285057067871094 8093_0 3728_0
0.0 9757_0 3228_4
0.9606328010559082 2365_0 1848_0
0.0 7788_1 11907_0
0.12181520462036133 1662_2 1044_0
1.7268986701965332 852_0 1848_0
0.0 2909_0 9676_0
0.0 11352_1 10982_0
0.0 10042_0 8583_0
0.0 3936_0 590_0
0.0 4842_0 6890_0
0.0 9417_0 12095_0
0.0 1708_0 9679_4
0.0 9730_1 12192_0
0.5737934112548828 1995_1 2044_2
0.46898794174194336 10199_0 5904_0
0.0 9757_0 7686_0
0.0 5899_0 8700_3
0.4936695098876953 9972_1 924_1
0.0 13759_0 4402_0
0.6296052932739258 6607_0 8726_2
0.17526721954345703 3506_0 8262_0
0.0 1943_0 9849_1
0.0 288_1 2673_0
0.0 3081_0 8339_0
0.0 12930_0 1349_0
2.3510398864746094 11213_0 597_0
0.0 5534_0 7355_0
0.6616849899291992 9665_1 1599_0
1.9850749969482422 10631_0 11707_0
0.005076408386230469 7614_0 597_0
0.0 288_1 6300_0
0.0 3411_0 2042_0
0.0 294_0 9128_0
0.33391237258911133 9705_0 1943_0
0.0 9963_2 11817_0
0.0 3680_0 1411_0
0.0 13726_0 9287_0
0.0 3680_0 1697_0
1.19205904006958 4041_1 9544_1
0.0 7788_1 9666_1
0.0 1697_0 6607_0
0.0 10476_0 6716_0
1.2131600379943848 51_0 2192_0
0.25408315658569336 3506_0 9722_2
0.8521857261657715 282_0 5752_2
0.0 4856_0 8262_0
0.0 2385_0 1703_0
0.0 3189_0 1100_0
0.0 9417_0 2425_0
0.516911506652832 7759_0 9679_4
0.0 10404_0 8627_0
2.008117914199829 11414_0 6607_0
0.0 3936_0 9749_0
0.3562655448913574 1995_2 8093_0
0.39265918731689453 3730_0 3104_0
1.0550498962402344 9757_0 1339_0
0.0 3760_2 10012_0
0.0 9664_1 13634_0
1.125892162322998 11213_0 1738_0
0.6506338119506836 13615_0 9743_1
0.0 2222_0 9810_0
0.0 1585_0 12182_0
1.8003807067871094 1995_1 12003_0
0.0 1635_1 7679_0
0.0 1205_0 6607_0
0.0 2123_0 13816_0
1.2196979522705078 3730_0 89_0
0.0 11086_0 8262_0
0.0 3669_0 11844_0
0.0 4327_0 88_0
1.5204906463623047 9547_3 10504_0
1.0828771591186523 5301_1 6020_0
1.4863762855529785 12797_0 12564_0
0.0 12851_0 4119_0
1.3665943145751953 9675_0 1780_0
0.0 13635_2 8413_0
0.0 9909_1 11923_0
0.0 1366_0 2410_0
1.1486539840698242 8238_0 2450_2
0.9910416603088379 9666_4 5746_0
0.0 9665_1 10121_0
0.0 13635_2 7679_0
0.14186906814575195 8093_0 7321_0
0.4282689094543457 2018_0 4856_0
1.1816039085388184 1738_0 9649_0
0.0 11352_1 9263_0
0.19568157196044922 8455_0 2128_0
0.0 11352_1 9531_1
0.0 2257_0 5857_0
0.0 9700_1 7299_0
0.5507469177246094 3730_0 10015_0
2.84529972076416 13838_0 4629_0
0.0 6619_0 9039_0
0.036495208740234375 11414_0 2148_0
1.2786455154418945 9967_1 10470_0
0.0 1995_2 11257_0
0.0 9705_0 11100_0
0.0 9766_0 7948_0
0.04010581970214844 4002_0 7745_0
3.8792543411254883 2246_0 5383_0
0.0 1815_0 6519_0
0.0 10372_2 1632_0
0.0 6745_0 6615_0
0.0 13635_2 1057_0
0.0 2385_0 481_0
0.0 8309_0 8602_0
0.0 6716_0 13334_0
0.0 1815_0 9992_8
0.20212268829345703 4184_0 5517_3
1.0760316848754883 8436_0 12334_0
0.0 11489_1 11091_0
0.4792971611022949 51_0 4749_0
0.0 13636_0 7801_0
1.0238370895385742 9696_2 7054_0
0.0 1943_0 5302_0
2.397918224334717 1738_0 13640_0
1.0919232368469238 9755_0 10252_0
2.9937992095947266 10631_0 12844_0
0.0 9812_0 890_0
0.678959846496582 9664_1 13759_0
0.0 3498_0 13524_0
0.3123798370361328 10011_0 12182_0
1.222264289855957 2246_0 412_0
1.4340643882751465 4041_1 4240_0
0.0 4871_1 9039_0
0.0 2297_1 4856_0
0.0 13524_0 3674_0
0.0 9691_0 4874_0
1.987534523010254 1736_0 3228_4
0.0 11125_0 6551_0
0.850499153137207 2246_0 6055_0
0.0 3411_0 5857_0
0.0 9705_0 13262_0
0.0 9693_0 1509_0
0.0 3957_0 11545_0
0.0 13343_0 11710_0
0.0 925_2 2297_1
0.0 9743_2 2123_0
0.6010646820068359 7759_0 9755_0
0.0 9049_0 1906_0
0.0 5706_0 10252_0
0.0 10493_1 6300_0
1.3654680252075195 10259_0 11907_0
0.0 1815_0 1699_0
0.0 9107_0 3331_0
0.0 9410_0 587_0
0.0 51_0 4076_0
0.02875995635986328 11213_0 11391_0
0.0 9398_0 7801_0
0.0 9507_0 2108_0
2.302495002746582 11213_0 1481_0
0.0 3189_0 8805_0
1.5763802528381348 1736_0 13289_0
0.15006399154663086 4976_0 9410_0
0.6850986480712891 852_0 5096_0
0.5381841659545898 8631_0 12487_0
0.0 3957_0 8632_0
0.0 1635_1 4464_0
0.0 2363_1 389_0
0.4027285575866699 668_0 13229_0
1.3255081176757812 288_1 12192_0
0.0 10372_2 2102_0
0.0 8143_2 10186_0
0.0 9757_0 13261_0
1.0391879081726074 852_0 11153_0
0.0 9547_5 5735_0
0.7539501190185547 9709_0 6926_0
0.5569734573364258 4152_1 9249_1
0.6327767372131348 11093_0 10218_2
0.045207977294921875 2614_0 11998_0
1.3930230140686035 8093_0 12739_0
0.0 9686_1 9741_1
0.0 10001_0 9908_1
0.0 1736_0 11352_1
0.0 13713_0 13204_0
0.10239934921264648 9831_0 4003_0
0.24954795837402344 9766_0 2385_0
0.0 12855_0 2082_0
0.40053367614746094 9700_1 11802_0
0.8588237762451172 12369_0 4459_0
0.21372365951538086 3730_0 5017_1
0.0 9668_1 8513_0
0.0 1820_0 12562_0
1.2418770790100098 9666_4 11945_0
0.0 10372_2 5706_0
0.0 2831_0 9663_0
0.0 8631_0 3957_0
0.26803135871887207 10048_1 12814_0
0.986823558807373 9686_1 1481_0
0.0 10231_4 3091_2
0.0 6573_0 184_0
0.1394500732421875 5559_0 7259_0
0.0 1324_0 9817_1
0.0 11455_0 4445_0
0.48444223403930664 10404_0 5335_0
0.0 4395_0 10001_0
1.6711535453796387 10199_0 481_0
0.05347776412963867 9797_0 9658_7
0.0 11119_1 9982_0
0.0 5519_2 13816_0
0.49800729751586914 12172_0 1995_1
1.5222082138061523 890_0 4220_0
0.0 1995_2 8309_0
0.0 5389_0 1339_0
0.0 10493_1 9685_4
0.0 9666_4 4921_2
0.0 48_1 10002_1
0.0 10012_0 2164_0
0.2016158103942871 8309_0 5559_0
0.0 445_0 5367_0
0.0 10048_1 13816_0
0.0 9705_0 2074_0
0.0 3957_0 2497_0
0.0 6944_0 13404_2
0.0 2243_0 10493_1
0.0 2082_0 5699_36
2.464069366455078 4693_0 4271_0
1.4628362655639648 852_0 3425_0
0.27121877670288086 5744_2 373_2
1.8255972862243652 2246_0 9161_0
1.1172714233398438 9897_1 10043_0
0.0 2363_1 1497_1
1.9238181114196777 6944_0 7954_2
0.3853292465209961 4041_1 3498_0
1.1169843673706055 2363_1 1531_0
0.0 10121_0 12495_0
0.3610057830810547 12172_0 10186_0
3.3264617919921875 7780_0 13759_0
0.0 13719_0 4402_0
0.6884980201721191 9128_0 9834_0
0.42408227920532227 5301_1 9679_2
0.0 1585_0 7492_5
0.0 4327_0 10012_0
0.8092803955078125 6573_0 5535_0
1.0956263542175293 9743_2 7939_0
0.0 4464_0 4873_0
0.0 288_1 9488_0
0.0 5389_0 2080_0
0.0 950_0 7780_0
0.0 5769_0 11086_0
0.0 2385_0 9107_0
0.13080596923828125 8631_0 7801_0
0.0 1727_0 5521_0
0.0 3498_0 9937_0
0.0 12851_0 10634_0
0.0 7116_0 7001_2
0.0 6944_0 4851_0
0.0 3189_0 4880_0
0.0 5519_2 5728_0
0.7072105407714844 852_0 11119_1
0.01797628402709961 6607_0 5302_0
0.0 9757_0 9404_0
0.0 3760_2 13422_0
0.0 9629_0 462_0
0.0 12851_0 4395_0
0.0 2909_0 8337_0
0.0 1820_0 8726_2
0.0 5293_0 12814_0
0.0 9722_1 5465_0
0.0 1470_0 9618_0
0.0 4882_0 11213_0
1.3920555114746094 6573_0 5542_0
2.6590051651000977 8436_0 1774_0
0.0 10231_4 10021_1
1.177905559539795 9665_1 9842_1
0.6120719909667969 9686_1 9663_0
0.0 10048_1 3029_0
0.0 3844_0 7863_0
0.18505048751831055 8309_0 12555_0
1.1233067512512207 5729_0 10012_0
0.0 12930_0 2579_0
0.0 9766_0 6300_0
0.6538505554199219 4842_0 5301_6
1.1170144081115723 5695_0 1715_0
0.0 9507_0 13198_0
4.549856185913086 51_0 7353_0
0.0 8617_0 11658_0
0.0 9963_2 4560_0
0.0 9722_1 7491_0
0.0 3957_0 9649_0
0.0 3957_0 9475_0
1.3891558647155762 4932_0 2039_0
0.0 4856_0 5302_0
0.3055710792541504 7529_0 11125_0
0.0 11352_1 5166_0
0.0 12851_0 11119_1
0.114654541015625 1736_0 9962_1
0.0 5519_2 9682_0
0.0 7788_1 12148_0
0.289886474609375 4152_1 10599_0
0.0 1627_0 1014_0
0.0 13611_1 4240_0
0.0 3498_0 11391_0
0.40564489364624023 8436_0 9493_0
0.0 2222_0 1151_0
