Test loss: 0.6067627915847887

Format: Loss TFAnchor TFNegative 
0.7030577659606934 9977_0 4904_0
0.45062193274497986 7390_0 5366_0
0.7843055725097656 4692_0 3090_0
0.4478745460510254 11071_0 5215_0
0.6205575466156006 1668_0 7045_4
0.6035397052764893 9971_0 2666_0
0.5594992637634277 4041_2 9188_0
0.44190025329589844 4981_2 2123_0
0.3693179488182068 182_0 8204_0
0.8093394637107849 13530_0 1496_0
0.1827700138092041 7857_0 7707_0
0.3425043225288391 7454_0 1715_0
1.0464669466018677 6807_0 4220_0
0.9149486422538757 13635_2 1687_0
0.5471663475036621 5366_0 1636_0
0.24232006072998047 9547_1 4183_0
0.49717098474502563 3475_0 3626_0
1.0442736148834229 133_0 13723_0
0.0 4046_0 9804_1
1.3254485130310059 10252_0 9137_0
0.021207332611083984 9072_0 9622_0
0.28487417101860046 5580_0 2775_0
0.2988370656967163 10002_1 10018_1
0.7107508778572083 5107_0 7763_0
0.13122820854187012 1421_0 9962_4
0.1929662823677063 182_0 1975_0
0.7573256492614746 1644_0 4857_0
0.03543812036514282 4641_2 4215_0
0.7082048654556274 9980_0 8592_0
0.4439429044723511 10048_2 37_0
0.5185824632644653 3034_0 919_0
0.6902735233306885 10168_0 9997_0
0.2789952754974365 908_0 10622_0
1.2311418056488037 9649_0 4911_0
0.9211215376853943 2374_1 1959_0
0.22291475534439087 6267_0 13470_0
1.1307859420776367 9232_0 3925_0
0.13430023193359375 1205_0 13165_0
0.6302054524421692 6698_0 5699_6
1.276146411895752 4882_0 8757_0
0.4164851903915405 13411_0 9107_0
0.8657567501068115 10631_0 925_2
0.5892654657363892 802_0 5666_2
0.40264493227005005 11116_0 9973_0
0.570290207862854 9531_1 2079_0
0.11659276485443115 5470_0 341_0
1.1140023469924927 4652_0 9829_0
0.07271456718444824 3588_0 6921_0
0.20553410053253174 9280_0 9695_0
0.9573365449905396 288_2 10552_0
0.5685399770736694 1507_4 2586_0
0.06492102146148682 5530_0 4445_0
0.0 9621_0 5241_0
0.2705945372581482 3982_0 4682_0
0.455827534198761 8417_0 1987_0
0.9440619945526123 9280_0 2694_1
0.1577928066253662 1776_0 9665_3
0.5550796985626221 11066_0 11868_0
0.0 9690_0 2970_0
1.258699893951416 8859_0 3688_1
0.7781635522842407 5550_0 2477_0
0.5215224027633667 8149_0 7730_0
0.022234737873077393 13882_0 4174_0
0.0 9888_0 4161_0
0.788526713848114 2374_1 7208_0
0.9723884463310242 10542_1 995_0
0.0 3730_0 5716_0
0.0048714280128479 1730_0 5726_0
0.0 13270_0 5680_0
0.23638856410980225 7742_0 2107_1
0.05314767360687256 5936_0 9673_5
0.8110939264297485 2145_0 6430_0
0.3874918222427368 9852_0 5699_49
0.2176445722579956 4532_0 6763_0
0.6114753484725952 4608_0 10529_0
1.0881156921386719 4138_2 5529_1
0.9192533493041992 2201_0 7890_0
1.1128385066986084 10746_2 207_0
0.8015300035476685 3498_0 9699_0
0.7162940502166748 890_0 7864_2
0.07411974668502808 12343_1 1971_0
0.5973727107048035 920_0 3023_0
0.7888245582580566 1240_0 3553_0
0.7118079662322998 4699_0 11907_0
0.8768563866615295 4115_0 11799_0
0.07952642440795898 2883_0 13439_0
0.0 9626_0 8086_3
0.33503907918930054 9901_0 9970_0
0.4399943947792053 1324_0 10373_0
0.2699657678604126 1298_2 11354_0
0.7452204823493958 1382_0 322_0
0.5478149652481079 589_0 3596_0
0.6282888054847717 5735_0 7415_0
0.47373151779174805 6604_0 9413_2
1.074650764465332 7017_0 3714_0
0.9923778176307678 1682_1 5687_0
0.035703063011169434 12847_0 13450_0
1.0709421634674072 9632_0 5714_0
0.7009230852127075 8369_0 7492_4
0.4347907304763794 1747_1 2143_0
0.2715449333190918 10059_1 8996_0
0.8760122656822205 2333_0 11337_0
0.0 9974_2 10701_0
1.2072646617889404 4871_1 9709_0
0.8090528845787048 9801_0 8145_0
0.8995639681816101 8617_0 1825_0
0.7298212051391602 13225_0 9452_0
0.8548123240470886 5552_1 583_0
1.0122015476226807 10252_0 5542_0
0.48136425018310547 2895_0 12823_2
0.7450168132781982 10795_0 1628_0
0.5196691751480103 9967_2 13609_0
0.4339526891708374 1808_0 6056_3
0.4042279124259949 9977_0 3072_0
1.1831626892089844 5526_0 3402_0
0.7733452916145325 5769_0 9837_0
1.1411136388778687 8198_0 12014_0
1.1590275764465332 11216_0 9636_0
0.7660316228866577 5294_0 9666_1
0.8243659734725952 1240_0 10622_0
1.244316577911377 1981_0 6136_0
0.3272726535797119 7891_0 13582_0
0.4322335720062256 6164_0 9971_0
1.6335601806640625 9179_2 11167_0
0.4376120865345001 10358_0 3500_0
1.0711634159088135 11206_0 10140_3
1.0181292295455933 3760_2 3899_0
1.0809321403503418 9853_0 13404_2
0.04659003019332886 5595_0 5744_4
0.5601741075515747 6056_2 2297_1
0.8216532468795776 947_0 1819_0
0.9316748380661011 6275_0 11149_2
0.680580735206604 1707_0 9409_0
0.9094738960266113 10236_0 1942_0
1.1727792024612427 5559_0 5769_0
0.0 9849_1 2706_1
1.1513864994049072 920_0 9673_3
0.5999465584754944 5877_0 13158_0
0.8735609650611877 8632_0 7050_3
0.1416151523590088 9937_0 7915_0
0.6692100763320923 586_0 11852_0
0.0 2374_3 3496_0
0.9213143587112427 13211_0 11295_0
0.5195902585983276 9618_0 2516_0
0.0 11453_0 6874_0
1.236384391784668 5567_0 9352_1
0.40886199474334717 9909_1 7144_2
0.5659419894218445 13188_0 11791_0
0.7185637950897217 10260_0 852_0
0.44301629066467285 4976_0 5848_1
0.6417007446289062 6944_0 2954_0
0.048378944396972656 11312_0 9622_0
0.6229478120803833 13610_0 9807_1
0.487440824508667 12277_0 828_0
0.47793859243392944 4699_0 4813_2
0.738334059715271 5567_0 1961_2
0.8095731139183044 2592_0 6029_0
0.7387338280677795 5315_0 6821_0
0.1833200454711914 5759_4 707_0
0.6529916524887085 3294_0 4322_0
0.7521452307701111 1825_0 2616_0
0.8480591773986816 8982_0 4914_0
0.26254868507385254 3610_0 636_0
0.13650435209274292 11391_0 308_0
1.0217363834381104 1906_0 1626_0
0.7202314138412476 8309_0 5378_0
0.022801995277404785 9888_0 2350_0
0.9117509722709656 3643_0 1517_0
0.4040989875793457 9780_0 10061_0
0.7743902802467346 48_2 9981_0
0.8177449107170105 13635_2 5758_0
0.0 4641_2 12277_0
0.49595069885253906 887_0 9058_0
0.9574390649795532 10035_0 13719_0
0.6981801986694336 2070_0 1944_0
0.0 6983_0 9485_0
0.7300055623054504 5351_0 2350_0
1.4036996364593506 5526_0 10780_0
0.5043909549713135 4257_0 10050_0
0.5204722881317139 9819_1 5695_0
1.0592371225357056 13298_0 3562_0
0.0 7894_0 5313_2
0.0 1699_0 5530_0
0.6121433973312378 9567_1 115_0
0.22414791584014893 9722_3 984_1
1.0131784677505493 10939_3 260_0
0.42412567138671875 9837_0 12844_0
0.11501848697662354 7751_0 5127_0
0.5029946565628052 9738_3 2135_0
1.190260410308838 2770_0 515_0
0.8147679567337036 9142_0 10704_0
0.3771559000015259 7160_0 10424_0
0.6146608591079712 1212_0 13704_0
0.5287097692489624 9790_2 8444_0
0.49040597677230835 10005_0 13238_0
1.1289236545562744 9673_1 8436_0
0.5978190898895264 9967_2 9740_1
1.1565704345703125 12030_0 1325_0
0.9974042177200317 9705_0 1900_0
0.6934688091278076 371_0 8632_0
1.143244981765747 2708_0 3299_0
0.7523578405380249 2516_0 1993_0
0.7551959156990051 1995_3 9799_0
1.177046537399292 10236_0 8187_0
0.4977385997772217 8693_0 5769_0
0.0 3636_0 4442_0
0.2898428440093994 10488_0 4234_0
0.0 11371_0 7069_0
0.5540623068809509 9740_1 3454_0
0.8376827836036682 4826_0 1747_2
0.6943024396896362 10168_0 9962_5
0.8098788857460022 6619_0 9962_4
0.4665592908859253 8210_0 4045_0
0.0 3246_0 1736_0
0.9827039837837219 3710_0 10451_0
0.021654605865478516 9698_0 5742_0
0.3166894316673279 10783_0 3294_0
0.6001937389373779 5675_1 3893_0
0.8801125288009644 12385_0 13889_0
1.198225498199463 1616_2 13295_0
1.1777708530426025 713_0 7977_0
0.4998025894165039 9815_0 8651_0
1.19290292263031 4891_0 7763_0
0.1876346468925476 49_0 10497_0
0.9382793307304382 1497_1 1870_0
0.0 1800_0 3449_0
0.3063923716545105 6664_0 9991_0
0.8543811440467834 6117_0 450_0
1.05072021484375 9741_1 10946_0
0.3394542336463928 5683_1 1059_0
0.19190889596939087 1421_0 9472_0
1.0769466161727905 11466_0 5521_0
0.786236047744751 7961_0 3936_0
0.4826527237892151 4031_0 3474_0
1.4189841747283936 5554_0 13205_0
0.0 9658_2 13589_0
0.6996213793754578 4282_2 9347_0
0.7723307609558105 9967_1 918_0
0.013808608055114746 11364_0 11480_1
0.941573977470398 4955_0 2450_3
0.09959453344345093 5595_0 7217_0
0.7251628637313843 9992_6 5443_0
0.6754125356674194 714_0 11041_0
0.2956175208091736 6165_0 12266_0
0.0 6961_0 4002_0
1.0480819940567017 9629_0 3633_0
0.8013061285018921 8700_3 6983_0
0.5859439373016357 13837_0 7743_0
0.8991184234619141 13404_1 2611_0
0.21623355150222778 8149_0 9547_2
0.5978696942329407 5467_0 12068_0
0.9459357261657715 9997_0 2070_0
0.16413164138793945 12847_0 1854_0
0.00757288932800293 7911_0 9694_1
0.0 9491_0 10056_0
0.8787968158721924 13640_0 6453_0
0.6719077229499817 3245_0 9658_5
1.5035359859466553 9943_0 12744_0
1.6581439971923828 1507_5 12014_0
0.0 9936_0 13428_0
0.7419371008872986 13615_0 11263_0
0.8381529450416565 9703_0 9296_0
0.2614736557006836 5521_0 10219_0
0.530405580997467 4895_0 6587_0
0.07245570421218872 9692_0 11332_1
0.4937155246734619 8451_0 11316_0
0.9819871187210083 541_0 12896_0
0.9563696384429932 5517_1 7057_8
0.5626457929611206 5517_1 4100_0
0.7373062372207642 9386_0 7952_0
1.2193292379379272 1925_0 2395_1
0.843919038772583 11271_0 12114_0
0.24563461542129517 1998_0 10777_3
0.07689929008483887 7911_0 7057_5
0.6009494066238403 7147_0 2706_1
0.3667551875114441 9933_1 6127_0
0.5571446418762207 3500_0 12113_0
0.0 5680_0 11415_1
0.45600855350494385 7440_0 11655_0
0.7797027230262756 8961_0 10530_0
0.5666406750679016 7916_0 7353_0
0.08479833602905273 13413_0 8440_2
0.8680588006973267 4149_0 12627_0
0.8758254647254944 745_0 6278_0
0.5929858684539795 9049_0 9908_2
0.9788901805877686 1697_0 2366_0
0.7675261497497559 8078_0 2037_2
0.7573709487915039 8310_0 9489_0
0.8587107062339783 3475_0 11963_0
0.39954257011413574 6978_0 12546_0
1.2023472785949707 6957_0 474_0
1.377158522605896 2079_0 10001_0
1.1166471242904663 240_0 7900_0
0.5009608268737793 4693_0 8690_0
0.6332253813743591 5720_1 1932_0
0.5497281551361084 10840_0 2616_0
0.0 1637_0 1981_0
0.22134041786193848 9870_0 8141_0
0.5485113263130188 9911_0 7899_0
0.7356607913970947 12619_0 2110_0
0.6942160129547119 3974_0 5871_0
0.8182705044746399 13717_0 9915_0
0.6849177479743958 2450_3 6810_0
0.7004154920578003 7017_0 11744_0
0.45253318548202515 7911_0 11716_0
0.6111088991165161 8369_0 13284_0
1.1673455238342285 1585_0 13404_1
1.0094491243362427 7189_0 11320_0
0.0 13187_0 10402_0
0.7684473991394043 3940_0 1922_0
0.0 2103_0 9962_5
0.730861246585846 4872_1 5567_0
0.0 3543_0 5940_0
0.7312097549438477 2037_1 5751_0
0.8044591546058655 7820_0 9988_0
0.49571025371551514 4936_0 6020_0
1.1418284177780151 9781_0 11186_0
0.9615653157234192 9693_0 11647_0
0.7741817235946655 4401_1 12842_0
0.7758913040161133 1080_1 6470_0
0.0 49_0 3977_0
0.9966228008270264 7492_5 12506_0
0.0 2740_0 13219_0
0.25147461891174316 7857_0 6284_1
1.1424667835235596 3936_0 4398_0
0.8535460233688354 9955_2 3072_0
0.759930431842804 13721_0 11923_0
0.5254069566726685 11206_0 3715_0
0.932466447353363 1382_0 597_0
0.652999758720398 10199_0 8722_0
0.8639374375343323 9679_5 10795_0
0.6510872840881348 9714_4 13317_0
0.0 4748_0 9669_0
0.7338212132453918 1471_0 2093_0
0.4880722761154175 9936_0 1545_0
0.9731160998344421 5315_0 9705_0
0.7132137417793274 9884_0 3531_0
0.7639187574386597 3353_0 8141_0
1.0263826847076416 9617_0 9191_0
0.0 10371_0 7447_0
0.6851134300231934 9699_0 9677_2
0.0 1675_0 4212_0
0.7807472944259644 8657_0 6759_1
0.11454039812088013 13885_0 12021_0
1.0089058876037598 8584_0 13295_0
0.667840301990509 3694_0 3501_0
0.3194999694824219 11343_0 11492_0
0.0 10217_1 5759_5
1.1912117004394531 313_0 4248_0
0.02386295795440674 9658_2 4016_0
0.6694926023483276 2770_0 11015_2
0.9565594792366028 1777_0 13277_0
1.0973315238952637 9658_6 4721_0
0.6098901629447937 10939_3 8771_0
0.8945542573928833 10373_0 11754_0
0.8449838757514954 4312_0 8722_0
1.0714879035949707 2663_0 12637_0
0.3456469178199768 9126_0 1808_0
0.0 2427_0 1369_0
1.157414436340332 5875_0 1421_0
0.45402419567108154 3880_0 11100_0
0.5668133497238159 3936_0 13240_0
0.3877389430999756 8210_0 5142_0
0.6948958039283752 5315_0 906_0
0.52781081199646 11311_0 8619_2
0.9342917799949646 6018_0 10451_0
0.7770975828170776 2018_0 5517_12
0.8778403997421265 4601_0 11827_0
0.4866693615913391 3982_0 11186_0
0.30416977405548096 5523_0 5570_0
0.8115103840827942 13217_0 5241_0
1.1155929565429688 6527_0 2497_0
0.0 3802_0 9853_0
1.0174951553344727 6015_0 9817_2
