Test loss: 0.11892537095039747

Format: Loss TFAnchor TFNegative 
0.0 5288_0 10058_0
0.0 9767_2 13719_0
0.0 9744_2 487_0
0.0 11235_0 12275_0
0.0 5709_0 624_0
0.0 9977_0 6607_0
0.0 9893_0 707_0
0.0 9774_0 143_0
0.0 7750_0 9567_1
0.0 10347_0 11271_0
2.303408622741699 9831_0 3696_0
0.6783599853515625 3940_0 9417_0
0.0 9741_2 9673_5
0.0 5532_0 13406_0
0.0 1881_0 5676_0
0.0 7247_0 4048_0
0.0 9706_0 1891_0
0.0 9107_0 13083_0
0.0 3500_0 7955_2
0.0 1929_0 12616_0
0.0 5861_0 6430_0
0.0 10013_0 9906_0
0.0 13415_0 2143_0
0.0 2996_0 10761_0
0.6209030151367188 11124_0 4826_0
2.1954946517944336 13757_0 7057_2
0.0 9673_3 5366_0
0.0 3623_0 5504_0
0.0 13526_0 3916_0
0.0 12527_0 9714_1
0.0 7529_0 10005_0
0.0 916_2 13411_0
0.0 12275_0 11127_0
0.0 1299_0 11352_4
0.3435955047607422 9880_1 2695_0
0.0 9971_0 9064_0
0.054279327392578125 9677_1 2679_0
0.0 11271_0 2063_0
0.0 10000_0 736_0
0.0 5498_2 10894_0
0.0 3444_0 4149_0
0.0 7001_2 5288_0
0.0 803_0 6267_0
0.0 4795_0 3411_0
0.0 13184_0 9810_0
0.0 10045_0 3017_0
0.0 5335_0 4705_0
0.0 9953_1 2662_0
0.0 6664_0 2063_0
0.0 2352_3 13165_0
0.0 1468_0 9959_0
0.0 3082_0 6300_0
0.0 9699_0 9797_0
0.0 13194_0 9521_0
0.0 4932_0 3353_0
0.0 12179_0 9783_0
1.4465417861938477 6068_0 5744_1
0.0 4464_0 8815_0
0.0 8194_0 9767_1
1.2047462463378906 5453_0 11116_0
0.0 8145_0 9696_1
0.0 318_0 1658_0
0.0 5888_0 624_0
0.0 5731_0 4756_0
0.0 9679_4 2079_0
0.0 7884_0 11235_0
0.0 13166_0 12383_0
0.0 1419_1 11254_0
0.0 4939_0 12030_0
0.0 232_0 4842_0
0.0 819_0 13627_0
0.0 4048_0 4051_0
2.274386405944824 5100_0 2213_2
0.0 4872_1 1531_0
0.0 4138_2 2080_0
0.0 9474_0 7393_0
0.0 7066_1 1682_1
0.0 8357_0 7375_0
0.0 6451_0 2836_2
0.0 8238_0 10066_0
0.30931758880615234 5532_0 1707_0
0.0 10430_1 10371_0
0.0 1961_1 5707_0
0.0 12723_0 9530_0
0.0 230_0 12022_3
0.0 11216_0 11739_0
0.0 8744_0 13635_2
0.0 13411_0 5521_0
0.0 6122_0 3972_0
0.0 10963_0 957_0
0.0 9743_2 35_0
0.0 13726_0 1585_0
0.0 5737_0 9897_1
0.0 3082_0 7173_0
0.0 7788_1 248_0
0.0 3623_0 12385_0
0.0 9738_3 9794_0
0.0 11402_0 2895_0
0.0 9767_2 4962_1
0.0 12382_0 9188_0
0.0 9801_0 10231_4
0.0 10038_0 3444_0
0.0 13128_0 5953_0
0.0 12179_0 4939_0
3.764383316040039 230_0 10024_0
0.0 4738_0 8429_0
0.0 5285_0 9264_0
0.0 7750_0 1079_0
0.0 3362_0 4282_2
0.0 1662_2 3608_0
2.2804527282714844 6619_0 4754_0
0.0 7299_0 10252_0
0.0 11892_0 51_0
0.0 9967_1 1974_1
0.0 10599_0 8088_0
0.0 13816_0 10795_0
0.0 5532_0 13415_0
0.0 9965_0 1637_0
0.0 9694_1 8979_0
0.0 9997_0 12619_0
0.0 5727_0 5743_0
0.0 445_0 10259_0
0.0 9816_1 13530_0
0.0 9735_2 1975_0
0.0 642_0 11892_0
0.0 3643_0 7257_0
0.0 5546_0 9734_0
0.0 302_0 9064_0
0.0 720_0 7788_1
0.0 11396_0 11221_0
0.0 7614_0 9916_0
0.0 5729_0 9720_0
0.05123710632324219 6300_0 4704_0
0.0 1829_0 920_0
0.0 12855_0 10238_0
0.0 3709_1 1707_0
0.0 5366_0 9635_0
0.0 4041_4 9973_0
0.0 10004_0 9515_0
0.0 3659_0 13538_0
0.0 779_0 5728_0
0.0 454_0 4842_0
0.0 1643_0 4358_0
0.0 13942_0 3557_0
0.0 5958_0 4749_0
0.0 2427_0 2865_0
1.2670097351074219 4282_2 9669_0
0.0 9889_0 1471_0
0.0 5518_0 3730_0
0.0 1916_0 7741_0
0.0 2297_3 9766_0
0.0 9884_0 10018_1
0.37601470947265625 1981_0 10050_0
0.0 133_0 5321_0
0.0 3802_0 5423_0
2.291415214538574 1497_1 2363_1
0.0 2674_0 2353_0
0.10073375701904297 10321_0 37_0
0.0 586_0 10066_0
0.0 8651_0 8349_0
0.0 10554_0 9984_0
0.0 7013_0 5524_0
0.0 1829_0 7440_0
0.0 9715_1 1897_0
0.0 1690_0 8566_0
0.0 5212_0 13836_0
0.5898618698120117 5389_0 9672_0
0.0 9049_0 13206_0
0.0 5744_1 3676_1
0.0 1470_0 6604_0
0.0 9729_0 9389_0
0.0 248_0 1848_0
0.0 9790_1 7941_0
0.0 11234_0 11274_1
0.0 13712_0 8484_0
0.0 5473_0 5936_0
0.0 10236_0 7759_0
0.0 9531_1 9829_0
0.0 9959_0 12087_0
0.0 10058_0 9968_1
0.0 27_0 11352_4
0.0 4976_0 9826_0
0.0 5315_0 715_1
0.0 9865_0 10373_0
0.0 9918_0 8078_0
0.0 13885_0 10634_0
0.0 4981_2 5473_0
0.33337879180908203 10698_0 4856_0
0.0 9515_0 5666_1
0.0 13634_0 5291_1
0.0 10254_0 10488_0
0.0 12776_0 9735_2
0.0 11740_0 2486_0
0.0 2330_0 4882_0
0.0 6549_0 10025_2
0.0 13221_0 3824_0
0.0 3396_1 2099_0
0.0 1872_0 10064_0
0.0 1507_6 9694_1
0.0 11230_1 1324_0
0.0 9673_5 4681_0
0.0 318_0 9149_0
0.0 6549_0 9943_0
0.0 6148_0 9935_0
0.0 9550_0 9831_0
0.0 2017_0 2091_0
0.0 5888_0 13496_0
0.0 5511_0 9846_1
0.0 10687_0 865_0
0.0 13623_0 5709_0
0.0 10816_0 7678_0
0.0 13350_0 5122_0
0.0 9673_3 2042_0
0.0 8143_2 8727_5
1.0564050674438477 5543_0 13721_0
0.0 13343_0 11135_0
0.0 9911_0 13626_0
0.0 2080_0 600_0
0.0 13616_0 13205_0
0.7828216552734375 4856_0 11716_0
0.0 9163_0 5107_0
0.0 5735_0 4380_1
0.0 1863_0 9722_3
0.0 9926_1 4821_0
0.0 12343_2 8626_0
0.35662269592285156 5321_0 4896_0
0.0 8003_0 3411_0
0.0 5826_0 7751_0
0.0 10141_0 1873_0
0.0 5518_0 1864_0
0.0 9547_8 10035_0
0.0 10868_0 9933_1
0.0 3287_0 1829_0
0.6274433135986328 230_0 2530_0
0.0 6515_0 4115_0
0.0 3780_0 3452_0
0.0 2017_0 2260_0
0.0 11126_1 4608_0
0.0 1660_0 2439_0
0.0 8631_0 13666_0
0.9304447174072266 9966_0 1497_3
0.39645957946777344 6122_0 11466_0
0.0 12844_0 9819_1
0.0 3352_0 10871_1
0.0 2097_0 2070_0
0.0 10002_1 2123_0
0.26381587982177734 5546_0 1800_0
0.0 2377_1 5729_0
0.0 13719_0 3266_1
0.7684335708618164 4138_2 4711_1
0.0 9702_0 9869_0
0.0 9216_0 10185_0
0.24252605438232422 10002_1 5743_0
0.0 7066_1 10231_1
0.4150552749633789 5936_0 5301_3
0.0 11109_0 6729_0
0.0 4851_0 9714_1
0.0 1841_0 1374_2
0.0 9734_0 4826_0
0.0 1628_0 4686_0
0.0 12296_0 10178_0
0.0 9033_0 11965_0
0.0 5699_39 4395_0
1.6811151504516602 8592_0 7299_0
0.0 4312_0 3088_1
0.0 5758_0 10372_1
0.0 9313_0 6056_3
0.0 10067_0 12930_0
0.0 9968_1 1801_0
0.0 4891_0 11127_0
0.0 45_0 9216_0
0.0 9708_1 13945_0
0.0 9514_0 1497_7
0.0 1737_2 9769_0
0.0 9137_0 5728_0
0.0 10597_0 9898_0
0.0 9749_0 13716_0
0.26327037811279297 487_0 13885_0
0.0 10002_1 5683_1
0.0 9474_0 9080_0
0.0 9547_8 2129_0
0.0 9349_0 7223_0
0.0 690_0 5656_2
0.0 51_0 8453_1
0.0 4321_0 3245_0
0.0 13824_0 9102_0
0.0 7454_0 13404_2
0.8054656982421875 9898_0 3506_0
0.0 8075_0 4041_1
0.0 819_0 1419_3
0.0 909_0 9826_0
0.0 925_3 4652_0
0.0 3442_0 10446_0
0.0 13716_0 9955_1
0.0 9767_2 11126_1
0.0 9672_0 5580_0
0.0 9845_1 5200_0
0.0 9126_0 9809_0
0.0 12843_1 5200_0
0.0 3454_0 3633_0
0.0 534_0 9686_1
2.3097028732299805 5084_1 7017_0
0.0 12296_0 9142_0
0.0 3591_0 5321_0
0.0 2297_4 10015_0
0.0 1531_0 12277_0
0.0 4811_0 8186_1
0.0 7013_0 715_1
2.3617305755615234 8436_0 9740_1
0.0 3760_2 10707_0
0.0 2002_0 9253_0
0.0 12105_0 4704_0
0.0 925_3 6164_0
0.0 589_0 6549_0
0.0 2774_0 3802_0
0.0 9959_0 8619_1
0.0 8207_0 1345_0
0.0 9245_0 3218_0
0.0 9673_1 6944_0
0.0 8364_0 9545_0
0.0 7144_2 1507_5
1.6203174591064453 1475_0 9649_0
0.0 10430_2 1873_0
0.0 1664_0 11135_0
0.0 6348_0 5735_0
0.0 3206_0 4636_0
0.0 9700_1 2322_0
0.0 4401_1 10013_0
0.0 5285_0 11167_0
0.0 3634_0 9521_0
0.0 7355_0 7746_0
0.0 9696_1 2427_0
0.0 13412_0 10066_0
0.0 11402_0 7820_0
0.0 387_0 2737_1
0.07127189636230469 8075_0 10373_0
0.0 5742_0 2091_0
0.0 13403_0 9655_0
0.0 9845_1 11658_0
0.0 3218_0 11352_2
0.0 1463_0 9277_0
0.0 1298_2 9745_0
0.0 7066_1 13526_0
0.0 9730_1 6968_0
0.0 4902_0 11484_0
0.0 928_0 7745_0
0.0 1904_3 9617_0
0.0 4361_0 3627_0
0.0 9907_0 1417_0
0.8855552673339844 5543_0 3608_0
0.0 152_0 11343_0
0.0 9926_1 1687_0
1.2018890380859375 9649_0 11450_0
0.0 6763_0 9514_0
0.0 12721_0 1492_1
0.0 474_0 925_2
0.0 6068_0 13413_0
0.0 2257_0 3598_0
0.4437379837036133 6818_0 6604_0
0.0 9884_0 8638_0
0.6672449111938477 2095_0 4138_2
0.0 8588_0 5122_0
0.0 2080_0 9266_0
0.0 8075_0 395_0
0.0 5759_4 7001_2
0.0 3010_0 3634_0
0.0 9696_1 3625_0
0.0 8638_0 6573_0
0.0 6016_2 10222_0
0.0 9938_0 1777_0
0.8565425872802734 9815_0 10035_0
0.0 449_0 12527_0
0.0 6068_0 9753_1
0.0 5898_0 10746_2
0.0 8435_0 9800_1
0.0 10286_0 2084_0
0.0 2849_0 9764_0
0.0 4284_0 1366_0
0.0 9673_1 9921_2
0.0 13725_0 13410_0
0.0 1733_0 1829_0
0.0 7791_0 9700_1
0.0 5735_0 5899_0
0.0 4184_0 4705_0
0.0 1906_0 9621_0
0.0 12776_0 779_0
0.0 387_0 3693_0
0.0 13712_0 4893_0
0.0 9389_0 9676_0
1.1343746185302734 13217_0 8584_0
0.0 4402_0 9266_0
0.0 6382_0 8592_0
0.0 10513_0 10259_0
0.0 5521_0 2907_0
0.9513397216796875 184_0 11348_0
0.0 5855_0 11354_0
0.32244396209716797 7803_0 9530_0
0.0 13829_0 11653_2
0.0 3017_0 13624_0
0.0 48_1 3623_0
0.0 8588_0 3684_2
0.0 12797_0 318_0
0.0 1929_0 905_0
0.0 8262_0 4344_0
0.0 1635_1 13723_0
1.1999969482421875 9686_1 7257_0
0.0 8262_0 9659_0
0.0 10045_0 7388_0
0.0 8429_0 470_2
0.0 10373_0 6607_0
0.0 803_0 13666_0
0.0 10321_0 7899_0
0.0 5366_0 4962_1
0.0 10707_0 5728_0
2.899393081665039 9904_0 13412_0
0.0 9767_2 302_0
0.0 3594_0 940_0
1.3255882263183594 2328_0 2051_0
0.0 1628_0 449_0
0.0 5769_0 3245_0
0.0 5759_2 9271_0
0.0 10226_0 8143_3
0.0 7741_0 3244_0
0.0 779_0 2955_0
1.390519142150879 1727_0 3474_0
0.0 7015_1 11028_0
0.0 9666_4 3734_0
0.0 1738_0 9812_0
0.0 3082_0 7299_0
0.0 10687_0 5936_0
0.0 9921_2 1305_0
0.0 7015_1 4738_0
0.0 5107_0 11655_0
0.0 9889_0 5301_1
0.0 6604_0 4041_2
0.0 11213_0 1974_1
0.0 10783_0 13634_0
0.7726812362670898 395_0 10267_0
0.0 9669_0 8982_0
0.0 13942_0 6430_0
0.0 4641_1 940_0
0.0 9253_0 13634_0
0.0 2123_0 9814_0
0.0 9904_0 484_0
0.0 616_0 6527_0
0.0 9716_1 487_0
0.0 7961_0 7217_0
0.0 11250_0 6148_0
0.0 9064_0 9744_1
0.0 12295_0 10058_0
0.0 13719_0 9908_1
0.0 8003_0 12026_2
0.0 6549_0 6740_0
1.7860078811645508 8592_0 9722_3
0.0 8770_0 920_0
0.0 13942_0 1458_0
0.0 9783_0 8997_0
0.5422334671020508 5107_0 1691_0
1.4015674591064453 5877_0 4262_0
3.481748580932617 4601_0 9521_0
0.0 9485_0 6519_0
0.0 12868_0 2297_4
0.0 8264_0 2468_0
0.0 2996_0 1815_0
0.0 11221_0 10925_0
0.0 1891_0 5335_0
0.0 3017_0 210_0
0.0 184_0 7742_0
0.0 143_0 12386_0
0.0 9939_0 1967_0
0.0 5241_0 2948_0
0.0 11452_0 12368_0
0.0 11300_0 8638_0
0.0 5759_7 10816_0
0.0 4003_0 9772_1
0.0 7915_0 6515_0
0.0 371_0 2297_3
