Test loss: 0.3166542844971553

Format: Loss TFAnchor TFNegative 
0.0 2374_5 6619_0
0.0 6926_0 9073_0
0.1359262466430664 8770_0 9730_1
0.7440567016601562 11466_0 2486_0
0.0 8736_0 4312_0
0.0 45_0 9764_0
0.0 499_0 2297_3
1.175551414489746 4560_0 10174_0
0.0 5200_0 291_2
1.2889108657836914 10476_0 2468_0
0.23624038696289062 13719_0 10238_0
1.9655790328979492 6699_1 3017_0
0.0 916_2 10056_0
0.0 4911_0 1497_7
0.0 9740_1 2297_1
0.2111797332763672 3696_0 11213_0
1.9303903579711914 4292_0 4968_0
0.6371927261352539 4939_0 6957_0
0.0 5551_0 5385_0
0.3732013702392578 9738_3 779_0
0.0 5469_0 4939_0
0.41932106018066406 9852_0 9782_0
0.43132972717285156 7791_0 9812_0
0.09654521942138672 819_0 10260_0
0.0 5532_0 7492_6
0.0 8638_0 5524_0
0.0 5233_2 1869_0
0.0 13343_0 5958_0
0.6988134384155273 925_3 690_0
0.0 9994_0 2143_0
0.0 2384_0 129_0
0.39581775665283203 4891_0 10608_0
0.0 1497_3 13083_0
0.0 6016_2 7742_0
0.24745655059814453 11892_0 8264_0
1.1616077423095703 925_3 1345_0
0.0 148_0 3598_0
0.9958658218383789 5556_0 11658_0
0.3121604919433594 4019_0 11167_0
0.0 6331_2 4196_0
0.8763294219970703 2515_0 3454_0
0.0 13404_2 7942_1
0.33365440368652344 7916_0 11232_0
0.5123739242553711 1507_1 2592_0
0.0 1078_0 6968_0
0.0 13212_0 4608_0
0.0 1419_4 1662_2
0.3323659896850586 2033_0 9840_0
0.0 12295_0 5546_0
0.0 2586_0 3824_0
0.0 12369_0 11364_0
0.0 11273_2 7648_0
1.6155595779418945 11965_0 7417_0
1.347137451171875 9939_0 2679_0
0.33751392364501953 1182_0 9757_0
0.0 1324_0 12368_0
0.0 9409_0 3329_0
0.0 1345_0 210_0
0.0 8624_0 12616_0
0.0 6619_0 6968_0
0.0 9734_0 5321_0
0.0 5727_0 4873_0
0.0 13129_0 9592_0
0.0 12171_0 1507_3
0.6277952194213867 9939_0 6573_0
0.0 9846_1 4981_2
0.41793251037597656 5168_0 993_1
1.2400636672973633 13377_0 13226_0
0.0 5084_1 9967_1
0.0 4851_0 2297_4
0.0 982_0 9665_5
0.0 3500_0 1053_0
0.0 5727_0 9767_3
0.8483991622924805 6549_0 13565_0
1.2131738662719727 3481_0 1627_0
0.0 1240_0 11216_0
0.0 9485_0 8453_1
0.023557662963867188 9997_0 1059_0
0.0 4880_0 1929_0
0.0 240_0 5465_0
0.0 7146_1 10002_1
0.0 12847_0 11230_1
0.1184988021850586 6348_0 1078_0
0.26555824279785156 7001_2 12171_0
0.0 5732_0 1212_0
0.04242992401123047 9994_0 5212_0
0.0 4886_2 184_0
0.030800819396972656 8453_1 5580_0
0.0 4388_2 1776_0
1.9092216491699219 9724_0 11716_0
0.33785247802734375 589_0 10631_0
0.0 13414_0 8086_1
0.0 3034_0 7492_1
1.56475830078125 1096_1 11472_0
2.770679473876953 9491_0 9753_1
2.0607728958129883 3627_0 11409_2
0.0 9980_0 1881_0
0.0410003662109375 5547_1 6604_0
0.0 5465_0 5898_0
0.8939228057861328 10018_1 2846_0
0.09360885620117188 4921_1 2374_1
0.0 9873_0 4895_0
0.0 12179_0 4196_0
0.1232004165649414 865_0 6740_0
0.0 10002_3 10012_0
0.9910011291503906 11408_0 1657_0
0.4162101745605469 11126_1 4332_1
0.0 4505_0 9837_0
0.0 2129_0 698_0
1.020613670349121 9865_0 7375_0
0.0 3246_0 10599_0
0.18836688995361328 13128_0 9885_0
0.0 5695_0 5112_0
0.0 11652_0 7870_0
0.0 6265_0 9161_0
0.0 7580_0 1238_0
0.0 8238_0 12845_0
0.3676576614379883 1891_0 6716_0
0.7111454010009766 1922_0 13377_0
0.0 6034_0 9789_1
0.0 779_0 1898_0
0.0 7686_0 3218_0
0.0 3562_0 6978_0
0.9811639785766602 5353_0 8484_0
0.35860443115234375 11127_0 6946_0
0.0 9266_0 5521_0
0.0 6165_0 9421_0
0.0 1103_0 5464_0
0.0 10816_0 1817_2
0.0 10372_1 9666_4
0.0 6267_0 1494_3
0.0 589_0 230_0
0.6055517196655273 5759_4 11091_0
0.7780742645263672 9533_0 2046_0
0.0 9893_0 5464_0
0.0 8979_0 9967_1
0.0 3246_0 11127_0
1.0601940155029297 5469_0 1963_0
0.0 9668_2 9901_0
0.6223268508911133 4041_1 7417_0
0.0 1788_0 7257_0
0.3340463638305664 7454_0 9649_0
0.0 12894_0 294_0
1.0035762786865234 3916_0 9735_3
0.07300853729248047 4041_1 9547_8
0.0 11276_0 9871_0
0.791752815246582 8813_1 1601_0
0.0 10059_1 107_0
0.11063861846923828 1907_0 10334_1
0.0 2520_0 4167_0
0.0 9670_1 3760_2
0.0 4505_0 2033_0
0.0 4030_0 3795_0
1.2269620895385742 12369_0 9547_2
0.0 1876_0 13262_0
0.0 9664_1 12112_0
0.0 6957_0 3446_0
0.0 9968_1 1475_0
0.0 1961_1 6279_0
0.0 9409_0 9658_5
0.5062074661254883 10476_0 9735_1
0.46708202362060547 1417_0 11354_0
0.0 4692_0 5208_0
0.0 4848_0 9352_1
0.0 5389_0 11127_0
0.0 9766_0 5470_0
0.0 9663_0 3916_0
0.0 819_0 7492_1
1.9231805801391602 1925_0 8771_0
1.7735443115234375 9960_1 4641_3
0.07789039611816406 1627_0 13204_0
0.8065271377563477 5744_1 10043_0
0.0 4284_0 2359_0
0.0 11230_1 1636_0
1.0173301696777344 9134_0 9840_0
0.7038497924804688 1904_3 10022_1
0.0 2046_0 9045_0
0.9641275405883789 3591_0 5728_0
0.7176532745361328 10894_0 3081_0
0.3970527648925781 1801_0 2706_1
0.0 13829_0 9992_1
1.2344045639038086 1054_0 1869_0
0.8672075271606445 9666_4 11167_0
0.600773811340332 9107_0 13814_0
0.0 13165_0 445_0
0.0 1841_0 5550_0
0.0 13698_0 10372_2
0.0 5958_0 913_0
0.0 10121_0 8233_0
0.0 13623_0 7803_0
0.0 7750_0 2492_0
0.0 12854_0 9963_4
0.0 916_2 7268_0
0.0 11263_0 8813_1
0.0 9514_0 8264_0
0.0 11352_2 9774_0
0.0 11216_0 11484_0
0.0 13611_1 529_0
0.9887981414794922 9618_0 5294_0
1.185434341430664 3734_0 13822_0
0.0 707_0 4292_0
0.5798940658569336 5888_0 2374_5
0.12278366088867188 3456_1 2909_0
0.363006591796875 9702_0 302_0
0.9654960632324219 2515_0 12845_0
0.0 10013_0 7870_0
1.444148063659668 8966_0 1240_0
0.3471508026123047 9953_1 8770_0
0.6704835891723633 12527_0 3441_0
1.362497329711914 9547_6 9754_0
1.4015512466430664 6056_3 6698_0
0.6661214828491211 534_0 7417_0
0.0 3362_0 9073_0
0.25710105895996094 9859_0 1472_1
0.0 8436_0 5204_0
0.0 9677_1 9618_0
1.7057199478149414 5294_0 10068_0
0.0 2708_0 4955_0
0.0 1825_0 6740_0
0.0 2836_2 5725_0
0.11128902435302734 3454_0 9149_0
1.8334770202636719 8337_0 12345_0
1.2089252471923828 5542_0 1475_0
0.0 9945_0 3317_0
0.0 4896_0 1305_0
0.0 1212_0 9266_0
0.33866214752197266 3824_0 1928_0
0.0 3442_0 5200_0
0.2371225357055664 9716_1 1848_0
0.773158073425293 4149_0 8700_3
0.0 10141_0 9879_0
0.0 4002_0 10746_2
0.0 2805_0 13205_0
0.0 12894_0 913_0
0.0 9974_2 10752_0
0.0 9904_0 5888_0
0.5517091751098633 9353_0 9853_0
0.0 1298_2 3218_0
0.0 9672_0 12030_0
0.37331104278564453 9735_3 3507_0
0.0 9668_2 4851_0
0.0 5084_1 9739_1
0.0 11109_0 10231_3
1.6462593078613281 2209_0 11167_0
0.0 3824_0 10766_0
0.5603713989257812 7393_0 8309_0
0.0 1475_0 9339_1
0.0 1127_0 736_0
0.1342916488647461 9668_2 9792_0
0.0 7109_0 9755_0
0.8823947906494141 1707_0 957_0
1.4586448669433594 230_0 11711_0
0.0 1733_0 4406_0
0.4141216278076172 10260_0 3734_0
1.0994281768798828 8974_0 736_0
0.4293022155761719 11216_0 9264_0
0.0 5699_15 1691_0
0.0 2374_1 8086_1
1.6723356246948242 9592_0 2145_0
0.5330944061279297 10254_0 7057_5
0.0 5556_0 3189_0
1.7274103164672852 8429_0 13262_0
1.2912216186523438 445_0 10334_1
0.0 7454_0 586_0
0.0 9485_0 5548_0
0.0 1872_0 3678_0
0.0 9781_0 5459_0
0.0 10254_0 3575_0
1.4856443405151367 5706_0 11658_0
0.0 9927_0 3189_0
0.0 9547_1 13377_0
0.8255157470703125 13411_0 13817_0
0.0 9107_0 13698_0
0.0 11246_0 4848_0
0.0 11348_0 6699_1
0.06037139892578125 8744_0 4380_1
0.0 10939_3 7362_0
1.2619104385375977 9715_2 7890_0
0.5182018280029297 5076_0 2123_0
0.0 11343_0 1305_0
0.0 4560_0 11230_1
0.0 1436_0 920_0
1.8838958740234375 2614_0 1934_0
0.0 8845_0 7386_0
2.047287940979004 9997_0 1475_0
0.0 9846_1 10064_0
0.0 9313_0 2830_1
1.5881156921386719 13721_0 13373_0
0.0 8102_0 7001_1
0.0 9849_1 8093_0
0.0 2123_0 10045_0
0.0 11348_0 1822_0
2.131013870239258 184_0 40_0
0.0 9740_1 1737_2
0.0 642_0 2509_0
0.0 5149_0 7884_0
0.0 13704_0 1944_0
0.0 10231_3 7173_0
0.0 13165_0 9948_0
0.6426305770874023 4914_0 2042_0
0.0 6527_0 9994_0
0.7045106887817383 9955_1 3824_0
0.0 1744_0 1379_0
0.0 906_0 4804_0
0.0 9720_0 1674_0
0.0 9992_1 9772_1
0.044727325439453125 13635_1 10372_2
1.4693498611450195 5389_0 9988_0
0.0 3608_0 10046_0
0.0 1733_0 11343_0
0.0 1981_0 6430_0
0.0 13262_0 10513_0
0.20466995239257812 12295_0 10321_0
0.0 5683_1 9722_2
0.0 11093_0 9957_0
1.1920661926269531 6957_0 1644_0
1.4456758499145508 1995_3 7730_0
0.4748058319091797 3017_0 9485_0
0.0 13206_0 11324_0
0.0 11231_0 12851_0
0.0 10552_0 8309_0
0.0 2046_0 5553_0
0.0 1884_0 4019_0
0.75006103515625 4955_0 9981_0
1.0208721160888672 9960_1 9514_0
1.2580556869506836 9794_0 9414_0
0.15415096282958984 11093_0 2297_3
1.2716646194458008 1829_0 1636_0
0.0 5076_0 9245_0
0.2885770797729492 11716_0 8534_0
0.0 7584_0 947_0
0.0 1497_3 1961_1
0.0 9702_0 4183_0
0.8675861358642578 9960_1 915_0
0.0 9626_0 9384_0
2.509190559387207 9547_6 5288_0
1.7339544296264648 8436_0 11408_0
0.0 9918_0 9389_0
0.0 5204_0 7167_0
0.0 626_0 9927_0
0.0 12159_0 13717_0
0.9171438217163086 9474_0 9253_0
0.5285320281982422 9744_4 12842_0
0.0 7144_2 9962_4
0.0 5699_39 5130_0
0.0 9893_0 3594_0
0.9937810897827148 9906_0 9621_0
0.0 11300_0 9859_0
1.408951759338379 1813_0 6430_0
0.8297452926635742 1507_2 9884_0
0.0 5732_0 7916_0
0.7900791168212891 4936_0 11352_4
0.13100337982177734 9774_0 1922_0
0.0 5306_0 7066_1
0.0 1103_0 10002_3
0.6442241668701172 6451_0 9960_1
0.5753622055053711 9870_0 11423_0
0.0874176025390625 2365_0 11716_0
0.0 288_1 3936_0
0.0 2002_0 8102_0
0.2610750198364258 5288_0 7915_0
1.6878032684326172 9353_0 9658_2
2.6679458618164062 11754_0 6668_0
1.013188362121582 318_0 9616_0
0.3305673599243164 9409_0 9744_5
1.859705924987793 4871_1 1916_0
0.9217386245727539 4262_0 7454_0
0.0 5670_0 9582_0
0.0 9567_1 8150_0
0.15404319763183594 4936_0 3575_0
0.607844352722168 11396_0 1967_0
0.0 11248_0 9313_0
0.3211641311645508 1801_0 1494_3
0.23246097564697266 12112_0 906_0
0.0 4684_0 5301_1
0.0 1863_0 4754_0
0.01580524444580078 7109_0 1928_0
0.0 7961_0 1542_0
0.0 5113_0 3678_0
0.2398691177368164 1869_0 8592_0
1.4796380996704102 248_0 2948_0
0.061206817626953125 9894_0 4922_0
0.0 2017_0 13187_0
0.0 12345_0 6604_0
0.7427282333374023 6619_0 1817_2
0.0 1822_0 8310_0
0.5245389938354492 5301_3 828_0
1.7728233337402344 5389_0 3710_0
0.0 9845_1 8330_0
1.1392555236816406 4030_0 5293_0
1.1039619445800781 4681_0 10217_1
0.0 2486_0 957_0
0.0 11352_3 13211_0
1.0871925354003906 5855_0 5953_0
2.4239540100097656 9682_0 9845_1
0.0 11231_0 8726_2
0.47815608978271484 9547_2 2080_0
0.857213020324707 10001_0 4918_0
0.0 4851_0 9735_1
0.6080665588378906 9953_1 9582_0
0.3709545135498047 9487_0 947_0
0.0 4851_0 9677_1
0.5008277893066406 1345_0 11722_0
0.0 9714_1 7873_0
1.757162094116211 2955_0 13565_0
0.0 11452_0 11409_2
0.0 7614_0 13406_0
0.0 8638_0 9789_1
0.0 12383_0 9930_1
0.0 7491_0 908_0
0.0 474_0 13194_0
0.7966842651367188 3623_0 3734_0
0.0 5130_0 9963_1
0.7823495864868164 4738_0 2222_0
0.0 4896_0 4705_0
1.1435546875 9916_0 5301_1
0.6570262908935547 1788_0 9668_3
1.1845741271972656 9772_2 5731_0
0.0 9744_2 5377_3
0.0 4981_2 5224_0
0.0 6699_1 9897_2
0.0 6968_0 7393_0
0.07023239135742188 993_1 6763_0
0.0 2592_0 9673_1
0.6216135025024414 668_0 3507_0
1.2137880325317383 1507_2 9621_0
0.0 1685_0 7955_1
0.008970260620117188 3957_0 13816_0
0.0 2213_1 5542_0
0.007144927978515625 4401_1 1378_1
