Test loss: 0.0979741803451726

Format: Loss TFAnchor TFNegative 
0.0 9801_0 13187_0
0.0 2374_1 7891_0
0.0 9845_1 9582_0
0.0 11757_0 11337_0
0.0 925_2 1928_0
0.0 1869_0 13719_0
1.6052675247192383 3634_0 9617_0
0.0 7057_3 5100_0
0.0 11234_0 9960_1
0.0 3678_0 7358_0
0.0 2095_0 9490_0
0.0 1507_4 5082_0
2.0368919372558594 1632_0 5223_0
0.0 7961_0 9897_2
0.0 7648_0 10001_0
0.0 2384_0 10205_0
0.0 1417_0 4726_0
0.0 9253_0 5377_3
0.0 11397_0 2297_3
0.0 10035_0 2359_0
0.0 7974_0 13698_0
0.0 2365_0 10375_0
0.6829204559326172 1507_1 624_0
0.0 2836_2 3444_0
0.0 10018_1 3456_1
0.0 1507_3 9735_1
1.3729867935180664 9743_1 115_0
0.0 294_0 1746_0
0.0 5666_1 3957_0
0.0 3659_0 2033_0
0.0 13616_0 5744_1
0.0 1746_0 3957_0
0.08263826370239258 1898_0 5100_0
0.0 4886_2 5666_1
0.0 6549_0 291_2
0.0 9163_0 11772_0
0.0 9313_0 1339_0
0.0 1963_0 715_1
0.0 9957_0 10008_1
0.0 5518_0 1366_0
0.0 4684_0 615_0
0.0 5737_0 9744_4
0.0 3693_0 11757_0
0.13744449615478516 9767_1 1507_4
0.0 5301_3 13616_0
0.0 1324_0 4873_0
0.0 2192_0 9669_0
0.0 6018_0 8425_0
1.2165889739990234 9955_1 11655_0
0.0 4284_0 10622_0
0.0 1507_1 1658_0
0.0 9712_1 11704_0
0.0 10840_0 8584_0
0.0 5899_0 9776_1
0.0 5543_0 1472_3
0.0 12343_2 9937_0
0.0 9253_0 49_0
0.0 9968_1 3034_0
0.1619124412536621 12369_0 3010_0
0.0 9670_1 5554_0
0.0 1929_0 10766_0
0.0 6451_0 707_0
0.0 1707_0 957_0
0.0 9767_2 1872_0
0.0 9669_0 10631_0
0.0 7764_0 11653_2
0.0 5094_0 13716_0
0.0 1656_0 8369_0
0.27980470657348633 8376_0 12343_2
0.1740732192993164 1831_0 13430_0
0.0 10014_0 11352_4
0.0 2895_0 4636_0
0.0 9682_0 6978_0
0.0 1156_0 7759_0
0.0 10038_0 9967_1
0.0 2830_2 9353_0
0.0 7057_2 9982_0
0.0 1481_0 13698_0
0.0 2133_0 2260_0
0.0 499_0 1637_0
0.0 4292_0 1470_0
0.0 9708_1 10546_0
0.0 9663_0 10375_0
0.0 2830_2 3636_0
0.7762975692749023 1738_0 1324_0
0.0 9635_0 12941_0
0.0 12345_0 9994_0
0.0 4652_0 2363_1
0.38950347900390625 9783_0 277_0
0.0 3456_1 7221_0
0.0 1934_0 1507_4
0.0 4955_0 11198_0
0.0 3588_0 4686_0
0.0 7042_0 11127_0
0.0 854_0 9842_1
0.0 5168_0 9722_3
0.0 5301_1 9818_0
0.0 4887_0 11480_1
0.0 4017_0 2070_0
0.0 1635_1 7955_1
0.26384639739990234 1685_0 1636_0
0.0 4608_0 10286_0
0.0 5742_0 9955_2
0.0 4902_0 12616_0
0.0 6671_2 6699_1
0.0 9712_1 9516_0
0.0 9715_1 5122_0
0.0 1904_3 9982_0
0.0 7001_2 5377_4
0.0 1975_0 8638_0
0.0 2674_0 1995_2
0.0 642_0 1931_0
0.0 4312_0 9714_1
0.0 3780_0 1881_0
3.390629768371582 9734_0 1698_0
0.0 1601_0 9064_0
0.0 5130_0 10488_0
0.0 6604_0 9963_4
0.0 7247_0 7042_0
0.0 4955_0 2039_0
0.012260913848876953 12894_0 6699_1
0.0 9954_0 13822_0
0.0 3454_0 7780_0
0.0 8445_0 9819_1
0.0 3940_0 8588_0
0.0 13668_0 2039_0
0.0 11466_0 9712_1
0.0 1746_0 2297_2
0.0 8104_0 3218_0
0.0 3334_0 9617_0
0.0 8078_0 1841_0
0.0 7803_0 1078_0
0.0 9898_0 6964_0
0.0 11352_1 51_0
0.0 5707_0 3957_0
0.0 9253_0 11452_0
0.0 6300_0 9527_0
0.0 9734_0 7017_0
0.0 11235_0 13712_0
1.676344871520996 8979_0 6015_0
0.0 7015_1 2663_0
0.0 7393_0 9657_0
0.0 2654_2 1953_1
0.6117119789123535 1916_0 10358_0
0.0 9743_1 3598_0
0.0 2374_4 8086_1
0.0 1363_0 11232_0
1.143578052520752 9980_0 9937_0
0.0 9668_3 5670_0
1.1802959442138672 7614_0 10025_2
0.0 3264_0 9988_0
0.0 9493_0 5519_1
0.0 6165_0 10372_1
0.0 3643_0 9722_2
0.0 10252_0 9738_3
0.0 950_0 277_0
0.0 4891_0 10554_0
0.0 1975_0 13221_0
0.0 9744_4 5855_0
0.0 909_0 8143_2
0.0 4282_1 2146_0
0.0 8210_0 1817_2
0.0 9673_5 9901_0
0.0 7890_0 12854_0
0.0 6527_0 9080_0
0.0 9649_0 37_0
1.400270938873291 5453_0 5519_1
0.0 8736_0 11232_0
0.0 9921_1 1374_2
0.0 6016_2 3266_1
1.5693373680114746 10121_0 13193_0
0.0 9474_0 3475_0
0.0 7745_0 1127_0
0.0 9621_0 11232_0
0.0 9134_0 10025_2
0.0 9738_3 11216_0
0.0 13885_0 2614_0
0.0 9216_0 9177_0
0.0 5759_2 9657_0
0.0 4891_0 5279_0
0.0 5548_0 9679_4
0.0 8429_0 8364_0
0.0 5735_0 13403_0
0.0 3101_0 2359_0
0.0 1079_0 2365_0
0.0 6551_0 11757_0
0.0 10038_0 9755_0
0.0 9816_1 5072_0
0.9647774696350098 9676_0 2829_0
0.0 8961_0 4842_0
0.0 7144_2 8843_0
0.0 11452_0 9714_3
0.0 1643_0 13669_0
0.0 12386_0 3446_0
0.0 371_0 973_0
0.0 11480_1 12383_0
0.0 7961_0 5699_39
0.0 9907_0 3475_0
0.0 12344_0 11423_0
0.0 916_2 13565_0
0.0 10347_0 2048_0
0.0 4505_0 3101_0
0.0 5241_0 2023_0
0.0 5130_0 6729_0
1.560708999633789 9547_3 8120_0
0.0 9714_3 4936_0
0.0 4332_1 10687_0
0.0 8429_0 2363_1
0.0 11213_0 1691_0
0.0 12552_0 1054_0
0.0 12159_0 9696_2
0.0 9696_1 7955_2
0.0 13759_0 2586_0
0.0 5706_0 9921_1
0.0 5517_1 6348_0
0.0 4312_0 8376_0
0.0 7866_0 9738_3
0.44138431549072266 10554_0 5224_0
0.0 13411_0 13538_0
0.0 9409_0 2774_0
0.0 13193_0 13083_0
0.6329774856567383 10010_1 5204_0
0.0 8651_0 3562_0
0.0 7268_0 4153_0
0.0 9749_0 5036_0
0.0 11352_3 12171_0
0.0 9705_0 9179_2
0.0 9049_0 12112_0
0.0 2674_0 4282_2
0.0 1931_0 4894_0
0.0 13414_0 10544_0
0.0 5731_0 9953_1
0.0 13721_0 2146_0
0.0 1699_0 9977_0
0.0 9913_0 2079_0
0.0 1995_3 13610_0
0.0 9665_1 1801_0
0.0 1054_0 1472_1
0.0 3562_0 9849_1
0.0 11234_0 9547_1
0.0 13822_0 11772_0
0.0 13623_0 2123_0
0.3406968116760254 9909_1 6267_0
0.0 1660_0 5744_2
0.0 9686_1 1020_0
0.0 13404_2 13188_0
0.5884332656860352 5517_1 3972_0
0.0 5107_0 9907_0
0.0 4939_0 9714_1
0.0 13184_0 11168_0
0.0 9696_1 4898_0
0.0 8376_0 10372_1
0.0 2463_0 54_0
0.0 1463_0 9147_0
0.0 3300_0 13646_0
0.0 9869_0 8451_0
0.0 4636_0 1080_1
0.0 3633_0 1382_0
0.0 129_0 589_0
0.6756820678710938 4856_0 3957_0
0.0 5511_0 2374_5
1.1976628303527832 1981_0 12843_1
0.0 13217_0 12087_0
0.0 9930_1 13713_0
0.0 12854_0 3402_0
0.0 1468_0 9931_2
0.0 3967_0 10015_0
0.0 2365_0 12797_0
0.0 9771_0 920_0
0.0 248_0 10252_0
0.0 8700_3 3218_0
0.9700984954833984 4981_2 13838_0
0.0 9790_2 9196_0
0.0 9994_0 2330_0
0.0 11710_0 828_0
2.01326847076416 9696_1 1127_0
0.0 288_2 1096_1
0.0 7491_0 9869_0
0.0 7788_1 10411_0
0.0 129_0 1627_0
0.0 2374_4 1140_0
0.0 2192_0 9384_0
0.0 1961_1 3101_0
0.0 9126_0 3588_0
0.0 1746_0 7803_0
0.0 3362_0 5335_0
0.0 3957_0 9753_1
0.0 6573_0 6734_0
0.0 10871_1 1421_0
1.4943251609802246 5861_0 9702_0
0.0 5470_0 2091_0
0.0 1826_0 148_0
0.0 12845_0 1815_0
2.3662281036376953 11213_0 1891_0
0.0 3474_0 268_2
0.0 11352_1 7790_0
1.233243465423584 9696_1 9921_2
0.0 5149_0 1096_1
0.0 1497_7 9545_0
0.0 5419_0 2694_1
0.0 6056_2 1776_0
0.0 9845_1 947_0
0.0 9621_0 9772_2
0.0 7299_0 1632_0
1.1295137405395508 4051_0 152_0
0.17001771926879883 13186_0 7721_0
0.0 454_0 982_0
0.0 9754_0 11216_0
0.0 318_0 8592_0
0.0 54_0 11704_0
0.0 920_0 6016_2
0.0 9967_1 13221_0
0.0 4896_0 5888_0
2.4386448860168457 2033_0 8436_0
0.0 8238_0 702_0
0.0 7584_0 8186_1
0.0 5695_0 13610_0
1.2116479873657227 4401_1 13128_0
0.0 925_1 8700_1
0.0 4898_0 5082_0
0.0 633_0 11827_0
0.0 11352_1 9801_0
0.0 6519_0 11178_0
0.0 2909_0 1298_2
0.0 7759_0 12776_0
0.0 9191_0 1916_0
0.0 13609_0 5279_0
0.0 9677_1 6519_0
0.0 9550_0 8584_0
0.0 12386_0 7031_0
0.0 5656_2 12368_0
0.0 3456_1 1497_7
0.0 7492_1 4361_0
0.0 589_0 5523_0
0.0 6136_0 5669_0
0.0 9547_1 7899_0
0.0 6018_0 3454_0
0.0 13083_0 4882_0
0.0 8997_0 9967_1
0.0 9773_0 3218_0
0.0 13128_0 9982_0
0.0 8638_0 1682_1
0.0 7741_0 13186_0
0.0 8088_0 1603_0
0.0 5521_0 12277_0
0.0 13726_0 7894_0
0.0 5107_0 4601_0
0.0 2297_4 957_0
0.0380406379699707 9741_2 9807_1
0.9938712120056152 115_0 4894_0
0.0 9349_0 4046_0
0.0 4842_0 10567_0
0.0 9659_0 10141_0
0.0 2374_4 7228_0
0.0 9889_0 12022_3
0.24558353424072266 9884_0 13757_0
0.0 9631_0 7358_0
0.0 6874_0 5725_0
0.0 11250_0 10608_0
0.0 2084_0 230_0
0.0 9253_0 5953_0
0.0 11716_0 11343_0
0.0 7146_1 9938_0
0.0 9663_0 3034_0
0.0 13343_0 11230_1
0.0 13609_0 8150_0
0.9682741165161133 9714_1 8145_0
0.0 9417_0 9973_0
0.3939371109008789 8425_0 8337_0
0.0 12552_0 7286_0
0.0 9514_0 6056_1
0.0 9363_0 9694_1
0.0 2257_0 1826_0
0.0 1240_0 9670_1
1.5709738731384277 4705_0 9266_0
0.0 2883_0 11827_0
0.0 4284_0 13403_0
0.0 12854_0 2065_0
0.0 9107_0 7950_1
0.0 11246_0 9856_1
0.0 9789_1 9673_6
1.334611415863037 6668_0 6926_0
0.0 12087_0 484_0
0.0 9679_1 9810_0
0.2751617431640625 445_0 11396_0
0.0 6766_0 184_0
0.0 10254_0 5718_0
0.0 11109_0 4932_0
0.0 9927_0 690_0
0.0 9845_1 13226_0
0.0 8120_0 7312_0
0.0 5742_0 1182_0
0.0 3456_1 1298_2
0.0 9829_0 1470_0
0.0 8143_3 7314_0
0.0 13188_0 4425_0
0.0 8309_0 7247_0
0.0 10054_0 3760_2
0.0 8736_0 11283_0
0.0 11276_0 13497_0
0.594080924987793 2192_0 1240_0
0.0 906_0 294_0
0.0 10552_0 3557_0
0.0 11652_0 8631_0
0.0 9829_0 5223_0
0.0 1744_0 9744_2
0.0 4842_0 10573_0
0.8920016288757324 9753_1 9849_1
0.0 2836_2 1995_3
0.0 3010_0 4969_0
0.0 2353_0 6056_2
0.0 7791_0 2222_0
0.0 4981_2 690_0
0.0 3264_0 8990_0
0.10631132125854492 2297_2 3442_0
0.0 13628_0 2020_0
0.0 13616_0 7918_0
0.0 13715_0 8264_0
0.0 803_0 10921_0
0.0 1674_0 5744_2
0.0 9954_0 779_0
0.0 1627_0 10049_0
2.7957963943481445 9547_2 9965_0
0.0 3456_1 1814_2
0.0 819_0 499_0
0.0 9963_4 12847_0
0.0 1292_0 12854_0
0.0 5655_0 940_0
0.4983205795288086 11119_1 5455_0
0.0 9626_0 1242_0
0.0 615_0 9216_0
0.0 9853_0 8330_0
0.0 5130_0 9967_1
0.0 9677_1 1967_0
0.0 10375_0 8566_0
0.0 6015_0 9699_0
0.0 529_0 11710_0
0.0 11408_0 11364_0
0.0 947_0 8726_2
0.0 9033_0 9865_0
0.0 4745_0 10179_0
0.0 5559_0 9547_2
0.0 10012_0 3967_0
3.101785182952881 10446_0 586_0
0.0 1628_0 2666_0
0.0 1302_0 2070_0
0.0 13129_0 6165_0
0.0 3442_0 11408_0
0.0 9963_4 1777_0
0.0 633_0 3475_0
0.0 2679_0 12275_0
0.0 9277_0 37_0
0.0 7584_0 12345_0
0.0 7144_2 909_0
0.0 3034_0 9129_0
0.0 7764_0 1928_0
0.0 13410_0 9908_1
0.0 3418_0 9772_1
0.0 1974_1 5744_1
0.0 10178_0 12847_0
0.0 2706_1 4897_0
0.0 4804_0 9196_0
0.0 1813_0 7042_0
2.2222132682800293 10766_0 5200_0
0.0 586_0 9678_0
0.0 3506_0 10608_0
0.0 12369_0 10513_0
0.0 7743_0 1463_0
0.0 8417_0 4406_0
0.0 13496_0 2716_0
0.0 1744_0 5706_0
0.0 5744_2 908_0
0.0 9933_1 1876_0
0.0 7144_2 9807_1
0.0 6331_2 9757_0
0.0 9926_1 13946_0
0.0 9666_1 1674_0
