Test loss: 0.32215447459683166

Format: Loss TFAnchor TFNegative 
0.0 4262_0 4893_0
0.0 7751_0 10446_0
1.2383160591125488 526_0 9631_0
0.652104377746582 9682_0 4897_0
1.0124387741088867 5520_1 5554_0
0.782588005065918 8592_0 2768_0
0.0 1585_0 925_1
0.0 7492_1 13626_0
0.0 6056_3 1103_0
0.2946728467941284 1891_0 4934_4
0.0 2033_0 5504_0
0.4899423122406006 5168_0 6759_1
0.1609196662902832 13083_0 9507_0
0.0 7454_0 4183_0
1.4606796503067017 7916_0 10168_0
2.456498146057129 9066_0 6074_0
0.7293936610221863 10056_0 9815_0
0.0 5699_39 4138_2
0.0 12105_0 10075_0
0.0 8700_3 2079_0
1.3494603633880615 5288_0 8260_0
0.0 7144_2 10018_1
0.0 7375_0 1287_0
0.0 6699_1 7375_0
0.0 13193_0 5285_0
0.0 115_0 2017_0
0.4770207405090332 4048_0 10783_0
2.4317448139190674 8617_0 9801_0
0.0 8813_1 7941_0
0.0 9216_0 11710_0
1.273503303527832 1531_0 11364_0
0.0 9797_0 11656_0
0.0 11660_0 5285_0
0.0 9080_0 13225_0
0.44878268241882324 9889_0 9913_0
1.0292408466339111 3352_0 13822_0
0.3057122230529785 2955_0 5459_0
0.0 1738_0 1685_0
0.0 7001_2 10411_0
1.054519534111023 11704_0 8075_0
0.2930605411529541 5727_0 6664_0
0.33168840408325195 3396_1 9960_1
0.0 10554_0 9799_0
1.0282824039459229 2805_0 4934_4
0.4223151206970215 1906_0 9907_0
0.0 291_2 4748_0
0.0 9909_2 9898_0
0.0 1020_0 5448_1
0.0 12171_0 11722_0
0.09169697761535645 2374_4 3704_0
0.0 13403_0 2849_0
0.405364990234375 10707_0 13646_0
0.0 8700_3 2018_0
0.052579641342163086 9738_3 9829_0
1.045880675315857 690_0 11235_0
1.0363421440124512 4895_0 2774_0
0.43613195419311523 9743_1 9389_0
0.639906644821167 13396_0 11662_0
0.11806106567382812 7743_0 5212_0
0.6263668537139893 9676_0 803_0
0.21752214431762695 7873_0 1776_0
0.0 3352_0 9856_1
0.2166457176208496 3454_0 4882_0
0.0 2133_0 7208_0
0.9011226892471313 10185_0 9632_0
0.0 819_0 4895_0
0.9746320247650146 13184_0 1531_0
0.0 11216_0 1492_1
0.0 1753_0 3730_0
0.0 7529_0 5519_1
0.0 13634_0 5758_0
0.0 4636_0 9732_0
0.5797722339630127 4882_0 6818_0
0.706028938293457 6668_0 11343_0
1.9641788005828857 9474_0 803_0
0.28966569900512695 11300_0 2046_0
0.0 9253_0 7440_0
0.0 9631_0 2123_0
0.0 9677_1 4981_2
0.0 13198_0 3264_0
0.0 9592_0 5301_3
0.0 5580_0 6763_0
0.0 7759_0 7393_0
0.0 8961_0 12385_0
0.5945320129394531 1826_0 4891_0
0.263796329498291 1079_0 8859_0
0.0 586_0 8369_0
0.0 10840_0 282_0
0.0 7803_0 10185_0
0.0 2051_0 4262_0
0.0 2836_2 9277_0
0.0 4976_0 7780_0
0.0 8632_0 6604_0
0.0 4041_1 13945_0
0.0 5419_0 819_0
0.47640085220336914 11704_0 9882_1
0.0 5036_0 13565_0
0.1181344985961914 11352_3 6144_0
0.0 2097_0 11231_0
0.0 5759_7 9945_0
0.0 6926_0 4138_4
0.0 9253_0 10002_3
0.0 12022_3 4560_0
0.0 7741_0 9842_1
0.2311403751373291 8376_0 1974_1
0.3730349540710449 4939_0 2530_0
0.0 3218_0 11213_0
0.0 11324_0 5725_0
0.2950162887573242 4871_1 9686_1
0.0 3264_0 9507_0
0.3259611129760742 13083_0 9179_2
0.22989654541015625 6699_1 12022_2
0.0 4976_0 7375_0
0.0 5281_0 1800_0
0.0 5744_1 470_1
0.0 7375_0 5706_0
0.0 779_0 9865_0
0.0 3418_0 9893_0
0.0 8584_0 13885_0
0.0 2374_2 8866_0
0.1107778549194336 3936_0 1649_1
0.0 9547_1 13543_0
0.016427040100097656 1733_0 3760_2
0.268790602684021 9107_0 11772_0
0.1532595157623291 5826_0 9946_0
0.0 6265_0 8186_1
1.085956335067749 7116_0 9691_0
0.0 9954_0 3688_1
0.0 6160_0 288_1
0.589106559753418 4641_1 13412_0
0.0 909_0 9910_0
1.4061167240142822 8093_0 5550_0
0.0 10746_1 5464_0
0.0 9918_0 5936_0
1.518002986907959 2805_0 9663_0
0.0 1864_0 10411_0
0.0 2145_0 9064_0
0.0 10049_0 7941_0
1.851595163345337 3353_0 1053_0
0.0 3481_0 10186_0
0.0 9280_0 4962_1
0.0 10004_0 7820_0
0.0 12030_0 5551_0
0.11891770362854004 13557_0 8337_0
0.49936652183532715 3916_0 1841_0
0.0 11220_0 6136_0
0.846297025680542 9363_0 9773_0
0.0 1929_0 1637_0
0.760246753692627 9487_0 9801_0
0.14656352996826172 9266_0 6122_0
0.0 10446_0 940_0
0.17185330390930176 4681_0 13396_0
0.0 4388_2 9741_2
0.8231778144836426 1876_0 1895_0
0.0 3676_1 11274_1
0.25002121925354004 11397_0 3479_0
0.0 10599_0 2084_0
0.5697486400604248 2909_0 1998_0
0.0 4262_0 5509_0
0.0 9672_0 2737_1
0.0 5699_39 10746_2
0.0 9280_0 10752_0
1.109326958656311 7918_0 51_0
0.6997075080871582 9216_0 7015_1
0.0 909_0 1345_0
0.8520851135253906 1507_2 9664_1
0.0 12527_0 13624_0
0.0 5666_1 7746_0
1.0522334575653076 2362_0 11784_0
0.0 3940_0 2322_0
0.0 10963_0 11403_0
0.31823253631591797 9794_0 13270_0
0.0 2768_0 13224_0
0.473818302154541 3610_0 2042_0
1.1368188858032227 819_0 129_0
0.5465366840362549 9137_0 11396_0
0.0 10573_0 6165_0
0.0 12616_0 9196_0
0.0 8451_0 11787_0
1.1322479248046875 5453_0 9826_0
0.0 9714_3 1897_0
0.1699693202972412 9771_0 2372_0
0.29782581329345703 3688_2 4464_0
0.0 5709_0 3081_0
0.0 9720_0 5291_1
1.2902719974517822 1703_0 7678_0
0.4332543611526489 7057_2 6957_0
0.25562191009521484 10011_0 7759_0
0.0 3418_0 470_2
0.0 5113_0 5532_0
0.07328450679779053 13406_0 9621_0
0.0 7375_0 6267_0
0.2500605583190918 5419_0 13188_0
0.0 1975_0 9735_3
0.0 5759_5 10783_0
0.3165287971496582 4608_0 6668_0
0.4794950485229492 1707_0 3709_1
0.0 9696_5 13270_0
0.6311912536621094 9487_0 9948_0
2.5380971431732178 5084_1 4887_0
0.0 9487_0 1708_0
0.0 3717_0 3411_0
0.9587783813476562 2586_0 11397_0
0.0 2051_0 2829_0
0.5284061431884766 5798_1 5524_0
0.4152107238769531 3591_0 9835_1
0.0 633_0 9490_0
2.373363733291626 7648_0 1867_0
1.4245604276657104 3680_0 9764_0
0.0650181770324707 852_0 3676_1
0.0 13628_0 5676_0
0.0 9743_2 4981_2
0.0 2948_0 1730_0
0.0 9814_0 8727_4
0.06248140335083008 6015_0 6074_0
0.0 13726_0 9822_0
0.0 9938_0 9665_1
0.0 9781_0 4692_0
0.0 12868_0 7584_0
0.0 9931_2 10894_0
0.0 5149_0 10628_0
0.2507988214492798 713_0 3460_0
1.341191053390503 10939_3 11742_0
0.2616286277770996 9911_0 3688_2
0.0 10236_0 13638_0
0.0 9997_0 9477_0
0.8814897537231445 3676_2 10761_0
1.6079187393188477 8264_0 5036_0
0.3112192153930664 2020_0 13544_0
0.08918130397796631 6136_0 12385_0
0.0 4388_2 1497_1
0.0 9965_0 8449_0
0.0 11178_0 7193_0
0.0 3693_0 1690_0
0.7967777252197266 6056_2 9722_2
0.0 13757_0 1978_0
0.0 5759_2 11655_0
0.0 9744_2 13760_0
0.0 4886_2 4406_0
0.0 9954_0 9926_1
0.0 3625_0 9846_3
1.0072555541992188 12941_0 9744_4
0.42566919326782227 11450_0 7942_1
1.130048394203186 2654_2 10004_0
0.0 11408_0 8815_0
0.0 947_0 484_0
0.0 10174_0 1690_0
0.42000794410705566 449_0 10599_0
0.0 7116_0 11212_0
0.0 6619_0 13627_0
0.0 7790_0 9673_5
0.0 8859_0 13616_0
0.0 13090_0 3294_0
0.0 3474_0 9668_2
1.869949221611023 54_0 7606_0
0.11038470268249512 5995_0 1299_0
1.6209030151367188 7355_0 445_0
0.0 10178_0 2706_1
0.0 9679_4 9264_0
0.2654082775115967 1998_0 13090_0
0.0 2018_0 3694_0
0.0 11450_0 5669_0
0.7938849925994873 10631_0 589_0
0.0 9676_0 11662_0
0.8057358264923096 6957_0 11066_0
2.186495065689087 3352_0 9933_1
0.0 13404_2 5542_0
0.30362725257873535 10059_1 11710_0
0.0 5448_2 7529_0
0.15947020053863525 9819_1 1302_0
1.4498004913330078 4017_0 12368_0
1.0106840133666992 5470_0 9409_0
0.7681536674499512 8771_0 8194_0
0.0 6519_0 586_0
0.0 13611_1 8700_1
0.0 1382_0 499_0
0.0 10002_1 3443_0
0.0 6968_0 2883_0
0.3433738946914673 12385_0 10012_0
0.9704887866973877 702_0 9692_0
1.548262119293213 4856_0 742_0
0.0 9531_1 1636_0
0.0 3760_2 2333_0
0.0 2592_0 9790_1
0.0 5353_0 9926_1
0.0 5683_1 10783_0
0.21722769737243652 2362_0 10939_3
0.0 5706_0 601_0
0.0 10252_0 6056_2
0.0 3218_0 5666_5
0.0 9547_6 13033_0
0.364093542098999 9980_0 9743_1
0.0 4898_0 8966_0
2.7975425720214844 7900_0 2297_3
0.0 9722_3 809_0
0.1730794906616211 1324_0 1507_1
0.0 6745_0 6759_1
0.8721523284912109 4051_0 11403_0
0.0 9790_1 11652_0
0.0 6551_0 3575_0
0.0 133_0 10231_1
0.0 7955_1 4641_1
0.0 13165_0 1737_2
1.1660220623016357 4395_0 1967_0
1.890160083770752 5233_2 1078_0
1.0334579944610596 4184_0 9626_0
0.0 3957_0 9547_3
0.37515580654144287 4284_0 13377_0
0.20858073234558105 9954_0 11472_0
0.0 9670_1 13403_0
0.0 143_0 10643_0
0.0 9968_1 8210_0
0.0 4898_0 9789_1
0.0 2716_0 7257_0
0.0 8859_0 11450_0
1.643295168876648 9893_0 270_0
0.0 9709_0 4897_0
0.0 7751_0 13634_0
0.15608692169189453 9749_0 2895_0
0.0 9547_1 13640_0
0.0 1974_1 3694_0
0.0 2350_0 8305_0
0.0 1078_0 9665_5
0.0 9163_0 7803_0
0.0 13611_1 9414_0
0.4666365385055542 9313_0 9918_0
0.0 1869_0 2865_0
0.16851806640625 9921_2 13623_0
0.4055699110031128 10687_0 1967_0
0.7976462841033936 9773_0 13410_0
0.0 7001_1 11216_0
0.0 5556_0 7863_0
0.540698766708374 4138_2 7950_4
0.0 5759_5 4918_0
0.0 5542_0 3795_0
0.4416024684906006 5212_0 9634_0
0.3025023937225342 1931_0 12022_1
0.0 9789_1 3023_0
0.0 7687_0 4395_0
1.5331382751464844 9715_1 10174_0
0.0 1363_0 8626_0
0.0 4795_0 9691_0
0.0 3734_0 13838_0
0.9563417434692383 9926_1 9706_0
1.2446434497833252 51_0 12112_0
0.31495189666748047 10205_0 3507_0
0.0 9107_0 10373_0
1.5969449281692505 5341_0 7788_1
0.0 12616_0 5899_0
0.0 9846_1 11115_0
0.0 8961_0 13817_0
1.1052775382995605 4051_0 4401_1
0.737370491027832 8966_0 9191_0
0.0 4684_0 270_0
0.5265982151031494 8093_0 11408_0
0.0 5546_0 12296_0
0.0 1436_0 6763_0
0.5719552040100098 9977_0 2330_0
0.7739734649658203 5157_0 1831_0
1.3476567268371582 8700_3 9973_0
0.6732645034790039 11408_0 2359_0
1.1170830726623535 11250_0 1080_1
0.0 4464_0 10939_3
0.0 1140_0 5699_15
0.0 2213_1 9740_1
1.4017914533615112 8455_0 720_0
0.25609850883483887 12844_0 277_0
0.9025676250457764 9757_0 6926_0
0.0 3623_0 10075_0
0.0 10373_0 8363_0
0.09257137775421143 2039_0 9724_0
0.8507111072540283 5543_0 7031_0
0.0 13403_0 6034_0
0.4100552797317505 8104_0 6763_0
0.0 9740_1 742_0
0.7621195316314697 9767_2 9781_0
0.0 13526_0 8078_0
0.7395288944244385 3353_0 6472_0
0.0 10971_2 10222_0
1.2692948579788208 6619_0 3688_1
2.0253500938415527 8264_0 13712_0
0.31061697006225586 6968_0 9179_2
0.0 5335_0 11739_0
0.029010295867919922 4880_0 54_0
1.5825046300888062 2297_2 13166_0
0.0 11652_0 13640_0
0.0 1656_0 8843_0
1.2606232166290283 1481_0 6331_3
0.7184485197067261 9744_1 9880_1
0.06453204154968262 10746_1 7678_0
0.5590789318084717 6056_2 5377_4
0.28491735458374023 1703_0 7866_0
0.0 9911_0 10001_0
0.0 10205_0 6382_0
0.0 10372_1 13669_0
0.48037266731262207 2654_2 1826_0
0.0 3610_0 4726_0
1.2888448238372803 10059_1 9147_0
1.3174653053283691 12723_0 1363_0
0.0 10554_0 7358_0
0.06656312942504883 2654_2 9772_1
0.0 2427_0 10795_0
0.04532814025878906 9744_1 8455_0
0.0 2080_0 9658_6
1.565762996673584 1907_0 714_0
0.8351644277572632 9188_0 7001_1
0.0 4939_0 4380_1
0.0 1419_4 4322_0
0.0 9398_0 9668_2
1.8194694519042969 8068_0 6729_0
0.0 1934_0 3317_0
0.0 9516_0 5532_0
0.0 9767_1 2359_0
0.0 9245_0 2080_0
0.0 5552_1 5899_0
1.6883944272994995 2996_0 10012_0
0.0 9271_0 7863_0
0.026070713996887207 9853_0 7974_0
0.0 5744_2 5301_3
0.0 3329_0 10222_0
0.6667966842651367 13225_0 9188_0
0.0 13757_0 1079_0
0.0 6160_0 9491_0
0.3632633686065674 8363_0 9840_0
0.0 7955_1 11206_0
0.18135285377502441 5699_39 9859_0
0.5886828899383545 11396_0 8376_0
0.0 11234_0 2468_0
0.0 1080_1 5744_2
0.0 4041_4 8974_0
