Test loss: 0.04845919542665078

Format: Loss TFAnchor TFNegative 
0.0 3659_0 9507_0
0.5332636833190918 8310_0 10476_0
0.0 5306_0 49_0
0.0 4954_0 6740_0
0.10435724258422852 3730_0 3936_0
0.0 13406_0 10004_0
0.0 1929_0 3264_0
0.0 8075_0 4636_0
0.0 5580_0 1738_0
0.0 13496_0 1903_1
0.0 1800_0 10530_0
0.0 9764_0 10375_0
0.0 7393_0 6068_0
0.0 2666_0 1929_0
0.0 6122_0 5279_0
0.0 4327_0 8727_4
0.0 9790_2 1690_0
0.0 282_0 2439_0
0.0 6890_0 11337_0
0.0 13406_0 10011_0
0.0 1507_4 5542_0
0.0 4138_1 9705_0
0.0 7974_0 8617_0
0.0 5530_0 9994_0
0.0 4003_0 5204_0
0.0 5550_0 9904_0
0.0 9735_1 8264_0
0.0 1481_0 1468_0
0.0 4704_0 5546_0
0.0 9673_5 5797_0
0.0 13415_0 8455_0
0.0 1697_0 908_0
0.0 7491_0 1481_0
0.08565211296081543 9129_0 10024_0
0.0 5288_0 928_0
0.0 9547_8 4747_0
0.0 13083_0 8815_0
0.0 10205_0 1324_0
0.0 4811_0 1961_1
0.0 2145_0 13569_0
0.0 11273_2 4425_0
0.805612325668335 9679_1 9673_6
0.0 690_0 1815_0
0.13223552703857422 3696_0 7763_0
0.0 13223_0 7759_0
0.0 454_0 7961_0
0.41602420806884766 5473_0 2213_1
0.0 13712_0 10787_0
0.0 2955_0 4705_0
0.0 4880_0 10008_1
0.0 10698_0 9966_0
0.0 9771_0 10067_0
0.3153681755065918 12171_0 2017_0
0.0 12941_0 1944_0
0.0 4934_4 11489_1
0.0 5559_0 4149_0
0.0 1869_0 10059_1
0.0 5548_0 10513_0
0.0 3676_1 7492_6
0.0 5732_0 10746_2
0.0 5729_0 2352_3
0.0 12868_0 9277_0
0.0 9722_3 4894_0
0.0 5453_0 10347_0
0.612607479095459 5518_0 9960_1
0.3245943784713745 10963_0 9771_0
0.0 13725_0 1713_0
0.0 13669_0 11213_0
0.0 10049_0 7866_0
0.0 10430_1 9889_0
0.0 736_0 7257_0
0.0 5448_2 8736_0
0.0 1904_3 11704_0
0.0 2297_3 10634_0
0.0 2509_0 13198_0
0.0 10372_2 1813_0
0.7627763748168945 3627_0 294_0
0.0 13945_0 9913_0
0.0 2103_0 9545_0
0.07880687713623047 12552_0 1864_0
0.0 9735_3 11423_0
0.0 1863_0 3594_0
0.3361928462982178 11213_0 2679_0
0.0 9670_1 2427_0
0.0 9889_0 5321_0
0.0 9980_0 13262_0
0.0 3475_0 2209_0
0.0 13526_0 8566_0
0.12707114219665527 8088_0 3643_0
0.05079174041748047 4002_0 2846_0
0.0 6607_0 8058_0
0.0 5419_0 88_0
0.22316217422485352 2074_0 9745_0
0.0 7750_0 7803_0
0.0 3684_2 9672_0
0.0 11484_0 10894_0
0.0 9679_1 10430_2
0.0 10446_0 10067_0
0.0 9739_1 1873_0
0.0 4344_0 906_0
0.0 2046_0 9417_0
0.0 8770_0 11653_2
0.0 4954_0 2297_3
0.0 9954_0 6279_0
0.0 6015_0 7358_0
0.0 9915_0 3454_0
0.0 8093_0 1903_1
0.0 13343_0 3446_0
0.0 3287_0 10008_1
0.0 2352_3 10217_1
0.0 11216_0 12105_0
0.0 4887_0 11071_0
0.22349882125854492 1656_0 2909_0
0.0 9958_0 8102_0
0.0 13350_0 4327_0
0.0 5301_1 5728_0
0.1810286045074463 4505_0 4886_2
0.0 7257_0 8617_0
0.0 11397_0 11739_0
0.0 4921_1 7730_0
0.0 2063_0 4160_0
0.0 9515_0 288_2
0.8683376312255859 9280_0 11220_0
0.0 6348_0 9790_1
0.0 9521_0 1470_0
0.0 3936_0 1627_0
0.0 3716_0 11407_1
0.0 2330_0 13217_0
0.0 2322_0 7386_0
0.0 5559_0 7900_0
0.0 12836_0 3264_0
0.0 2095_0 3780_0
0.0 6668_0 13726_0
0.0 1963_0 4153_0
0.0 10000_0 6028_0
0.0 10963_0 5720_1
0.0 4652_0 248_0
0.0 736_0 11397_0
0.0 7339_0 5094_0
0.0 4051_0 11198_0
0.0 9421_0 1658_0
0.0 615_0 10231_1
0.0 9280_0 5595_0
0.0 9915_0 6983_0
0.0 9163_0 13204_0
0.0 12843_1 7746_0
0.3343214988708496 5732_0 1944_0
0.0 8078_0 9699_0
0.0 7961_0 51_0
0.0 5469_0 11652_0
0.0 9694_1 5112_0
0.0 10347_0 10729_0
0.0 9790_1 4894_0
0.0 2070_0 11965_0
0.0 13623_0 9147_0
0.670121431350708 2706_1 4282_1
0.6696975231170654 9977_0 12014_0
0.0 11827_0 4895_0
0.0 9994_0 8484_0
0.0 9744_1 9715_1
0.0 449_0 5656_2
0.6697611808776855 5294_0 3916_0
0.0 7001_1 6136_0
0.538449764251709 2909_0 1897_0
0.0 4308_0 5683_1
0.0 12854_0 1707_0
0.0 5465_0 4115_0
0.0 11466_0 4601_0
0.0 4745_0 1507_4
0.0 4976_0 9865_0
0.0 7648_0 4922_0
0.0 9783_0 9741_1
0.0 1635_1 133_0
0.0 2297_4 5532_0
0.0 9126_0 905_0
0.0 9792_0 5389_0
0.0 12105_0 7686_0
0.0 4795_0 5523_0
0.0 2363_1 5877_0
0.0 1881_0 2486_0
0.0 8455_0 12137_0
0.0 9997_0 12344_0
0.0 9134_0 9846_3
0.0 12854_0 5542_0
0.0 9691_0 6729_0
0.0 9853_0 5036_0
0.0 4410_0 13165_0
0.5211868286132812 9753_1 288_1
0.0 9514_0 13422_0
0.0 13557_0 4282_1
0.0 2209_0 8866_0
0.0 4882_0 7614_0
0.0 5759_5 4754_0
0.04925870895385742 12776_0 8310_0
0.0 5735_0 2265_0
0.0 9955_1 1212_0
0.0 13623_0 9014_0
0.0 1995_3 1928_0
0.0 12105_0 10542_1
0.0 5168_0 4308_0
0.0 9700_1 5744_12
0.11831450462341309 541_0 7790_0
0.10706877708435059 6164_0 5279_0
0.0 5683_1 3594_0
0.0 9753_1 7294_0
0.0 499_0 1961_1
0.0 13623_0 2023_0
0.0 5666_1 13719_0
0.0 9774_0 1660_0
0.0 626_0 4921_1
0.19890153408050537 11710_0 9740_1
0.0 3634_0 2065_0
0.1437075138092041 7803_0 5423_0
0.0 8726_2 3444_0
0.46042299270629883 11343_0 3972_0
0.0 5518_0 1096_1
1.2896738052368164 11093_0 2352_3
0.0 4887_0 2805_0
0.0 9980_0 4848_0
0.0 4282_1 13224_0
0.0 2322_0 7146_1
0.6830601692199707 10259_0 9970_0
0.0 8813_1 6148_0
0.0 2017_0 8078_0
0.0 8102_0 5321_0
0.0 9782_0 13262_0
0.0 9971_0 1627_0
0.0 12087_0 1974_1
0.4546849727630615 12552_0 6664_0
0.0 5419_0 13822_0
0.0 7071_0 2091_0
0.0 13129_0 8484_0
0.0 4327_0 3446_0
0.0 9796_2 11787_0
0.0 2663_0 10068_0
0.0 6671_2 9789_1
0.0 2080_0 1906_0
0.0 1497_7 7001_1
0.0 1697_0 4705_0
0.0 5306_0 9831_0
0.0 8455_0 9972_1
0.0 9931_2 5709_0
0.0 10052_0 906_0
0.0 5731_0 5759_4
0.5287232398986816 9635_0 9547_1
0.0 9659_0 8425_0
0.0 10014_0 11414_0
0.0 9957_0 1378_1
0.0 8617_0 9398_0
0.0 9735_1 3587_0
0.0 11662_0 4795_0
0.0 1848_0 6382_0
0.0 526_0 3334_0
0.0 4308_0 1547_0
0.0 13166_0 13569_0
0.0 4795_0 4380_1
0.004522085189819336 3633_0 9884_0
0.0 3591_0 4902_0
0.0 947_0 13413_0
0.0 12385_0 8238_0
0.0 8436_0 9686_2
0.0 8632_0 12337_0
0.0 6745_0 1813_0
0.0 2605_0 7071_0
0.0 1703_0 12385_0
0.0 13166_0 9913_0
0.4347188472747803 9696_1 10008_1
0.0 3396_1 148_0
0.0 5699_15 9767_3
0.0 8143_1 2846_0
0.0 10010_1 7146_1
0.0 11651_0 11658_0
0.0 4041_1 3709_1
0.0 8982_0 2427_0
0.0 12345_0 5861_0
0.0 9363_0 13404_2
0.0 5877_0 3760_2
0.0 4848_0 8143_1
0.0 9767_2 1925_0
0.0 10056_0 10362_0
0.0 1863_0 9982_0
0.0 9945_0 11742_0
0.38065028190612793 1907_0 10217_2
0.0 4962_1 10868_0
0.0 5743_0 3023_0
0.0 10921_0 1298_2
0.0 9673_5 9794_0
0.0 8435_0 12114_0
1.1026678085327148 288_1 2004_0
0.0 7071_0 8632_0
0.0 10141_0 8245_0
0.0 1733_0 9657_0
0.0 11391_0 1080_1
0.0 9635_0 3402_0
0.0 1636_0 7759_0
0.0 1644_0 6515_0
0.0 9801_0 1801_0
0.0 8435_0 9134_0
0.0 9618_0 13090_0
0.0 2081_0 9744_1
0.0 9893_0 9616_0
0.0 9743_1 5718_0
0.0 11198_0 12058_0
0.0 9618_0 9735_2
0.0 282_0 5532_0
0.0 9936_0 8684_0
0.0 45_0 7173_0
0.0 9910_0 10062_0
0.0 10599_0 7417_0
0.0 5559_0 12847_0
0.3596162796020508 8592_0 10260_0
0.0 2768_0 5353_0
0.0 7299_0 9666_4
0.0 9958_0 2091_0
0.0 11405_0 2260_0
0.0 282_0 8990_0
0.0 12843_1 9682_0
0.0 9991_0 7742_0
0.0 5366_0 9871_0
0.0 1916_0 8104_0
0.213789701461792 624_0 9982_0
0.0 9547_1 7941_0
0.2329730987548828 9992_6 12776_0
0.23138761520385742 7116_0 12171_0
0.0 8068_0 750_1
0.0 6018_0 2830_1
0.0 1664_0 2663_0
0.0 1497_3 24_0
0.0 1934_0 7918_0
0.0 13757_0 2439_0
0.0 950_0 5455_0
0.0 12616_0 5848_1
0.0 9706_0 54_0
0.0 1628_0 13836_0
0.0 809_0 7031_0
0.0 9894_0 10573_0
0.0 1744_0 1774_0
0.0 2080_0 9812_0
0.0 1299_0 4160_0
0.0 9787_0 2384_0
0.0 11213_0 8700_1
0.0 9873_0 9921_1
0.0470128059387207 2708_0 2427_0
0.0 2530_0 9993_0
0.0 13194_0 2679_0
0.0 1944_0 294_0
0.0 4738_0 7247_0
0.2593710422515869 5995_0 906_0
0.414386510848999 3627_0 9774_0
0.0 4608_0 4284_0
0.0 13616_0 3072_0
0.0 3780_0 9859_0
0.0 9773_0 13414_0
0.0 7393_0 9673_3
0.031064510345458984 4936_0 133_0
0.6605327129364014 4873_0 4932_0
0.0 2384_0 7614_0
0.0 11135_0 13496_0
0.0 5552_1 6164_0
0.0 1507_4 5279_0
0.0 9906_0 387_0
0.0 10546_0 10971_2
0.0 6740_0 13226_0
0.0 7013_0 2133_0
0.0 1662_2 9781_0
0.0 2265_0 9766_0
0.0 6745_0 10059_1
0.0 11402_0 9901_0
0.0 600_0 2695_0
0.392040491104126 9741_1 9797_0
0.0 5168_0 2004_0
0.0 6664_0 4821_0
0.0 13635_1 616_0
0.29296445846557617 3627_0 4316_0
0.0 4871_1 9507_0
0.0 5898_0 1995_2
0.0 11352_3 9988_0
0.0 4898_0 10002_2
0.0 12030_0 3953_0
0.0 589_0 9014_0
0.385669469833374 7891_0 9908_1
0.0 11248_0 8120_0
0.0 1507_4 1691_0
0.0 7745_0 9955_1
0.0 11704_0 13723_0
0.0 3676_1 13669_0
0.0 9592_0 10707_0
0.0 2297_4 13415_0
0.0 5465_0 12843_1
0.0 11662_0 2353_0
0.0 5301_1 5377_4
0.28136634826660156 9649_0 7071_0
0.0 12179_0 9893_0
0.0 11365_0 526_0
0.0 4192_0 2559_0
0.405256986618042 8150_0 10015_0
0.0 1995_3 3082_0
0.0 925_3 13224_0
0.0 6791_0 4754_0
0.2945559024810791 11653_3 3481_0
0.0 1644_0 9769_0
0.0 5285_0 11167_0
0.0 13198_0 2530_0
0.0 9744_2 7746_0
0.0 713_0 3625_0
0.0 9963_4 9910_0
0.0 12343_2 13530_0
0.0 9754_0 5530_0
0.0 10226_0 387_0
0.0 7015_1 9658_1
0.0 5341_0 3352_0
0.4626729488372803 9487_0 2297_4
0.0 10554_0 702_0
0.0 4641_1 9958_0
0.9514455795288086 9547_2 9547_8
0.0 4308_0 13530_0
0.0 2297_4 1419_2
0.4147418737411499 5699_15 2017_0
0.0 6068_0 1897_0
0.0 920_0 2384_0
0.0 9073_0 1826_0
0.0 2909_0 11423_0
0.0 9417_0 7678_0
0.0 9245_0 8121_0
0.0 4848_0 11653_3
0.0 7393_0 10446_0
0.0 2909_0 4894_0
0.2510397434234619 4358_0 12014_0
0.0 9992_1 1708_0
0.0 5936_0 9491_0
0.0 13397_0 4692_0
0.0 1664_0 10018_1
0.0 4911_0 1733_0
0.0 624_0 1825_0
0.0 1995_2 8736_0
0.0 11343_0 9955_2
0.0 7375_0 1953_1
0.0 1916_0 720_0
0.0 1744_0 6382_0
0.0 6957_0 9918_0
0.0 11234_0 8309_0
0.0 4276_0 5149_0
0.0 5995_0 11220_0
0.0 9912_0 4322_0
0.0 12527_0 9745_0
0.0 8626_0 9514_0
0.0 9898_0 916_2
0.0 13611_1 668_0
0.0 11651_0 3481_0
0.0 5706_0 13946_0
0.0 9880_1 9906_0
0.0 9742_1 9968_1
0.47479701042175293 1662_2 3916_0
0.0 1127_0 2586_0
0.0 1907_0 7894_0
0.0 11662_0 10058_0
0.0 10871_1 9634_0
0.0 45_0 5675_1
0.0 11352_2 9714_4
0.0 6265_0 595_0
0.0 268_3 13212_0
0.0 8632_0 303_0
0.0 1657_0 5224_0
0.0 3693_0 10634_0
0.0 1080_1 10066_0
0.675666093826294 4652_0 9829_0
0.0 9622_0 9266_0
0.0 3010_0 303_0
0.0 9906_0 1906_0
1.0253422260284424 3633_0 9884_0
0.0 133_0 9658_6
0.0 5122_0 7955_2
0.0 5517_1 270_0
0.0 8651_0 9873_0
