Test loss: 0.2131507379777558

Format: Loss TFAnchor TFNegative 
0.0 11827_0 8997_0
0.29104483127593994 7268_0 9102_0
0.16460996866226196 1800_0 13715_0
0.09732615947723389 9815_0 1690_0
0.08332985639572144 2033_0 3704_0
0.15823084115982056 10777_3 11754_0
0.0 8260_0 13942_0
0.0 1884_0 5511_0
0.16855400800704956 5861_0 8982_0
0.43738681077957153 4693_0 5301_3
0.40235471725463867 2374_4 54_0
0.3314807116985321 9744_1 6160_0
0.039733707904815674 8982_0 5168_0
0.4963471293449402 8429_0 230_0
0.0029001832008361816 4017_0 6874_0
0.04118901491165161 11248_0 9809_0
0.32754141092300415 11710_0 4873_0
0.538263201713562 12030_0 3411_0
0.0 11230_1 9142_0
0.2807728052139282 5769_0 1963_0
0.0 13526_0 13816_0
0.27865010499954224 2662_0 9720_0
0.13547641038894653 7900_0 11776_0
0.23309406638145447 3396_1 10573_0
0.0 1656_0 720_0
0.048260629177093506 4327_0 529_0
0.035388827323913574 7742_0 2996_0
0.2985009551048279 1983_0 9789_1
0.08481794595718384 6016_2 13823_0
0.460834801197052 8093_0 9734_0
0.09761011600494385 9966_0 12721_0
0.0 742_0 2530_0
0.24316707253456116 9771_0 9819_1
0.19100624322891235 6791_0 5208_0
0.0 10375_0 2996_0
0.21123862266540527 5241_0 4464_0
0.158143550157547 27_0 4425_0
0.0 11772_0 5517_1
0.0 11651_0 8997_0
0.10706451535224915 4955_0 9818_0
0.3750845491886139 4898_0 8974_0
0.12788870930671692 12343_2 2725_0
0.465579628944397 9909_1 9812_0
0.0 13623_0 2246_0
0.4037734866142273 9897_1 10345_0
0.0 1685_0 12114_0
0.11457335948944092 9904_0 11662_0
0.3131033778190613 7066_1 6791_0
0.41095542907714844 6265_0 2836_2
0.29903313517570496 541_0 11784_0
0.2027316689491272 909_0 13128_0
0.0 13634_0 2865_0
0.4775492250919342 3189_0 5112_0
0.4978165030479431 6165_0 8700_1
0.1961398720741272 5699_39 11415_2
0.19441545009613037 7900_0 13829_0
0.5994586944580078 2516_0 11167_0
0.0 9735_3 5107_0
0.22265732288360596 8451_0 750_1
0.0 1628_0 9696_1
0.30588245391845703 8075_0 13646_0
0.2010650634765625 3824_0 10707_0
0.4096335172653198 445_0 9971_0
0.2919864058494568 1240_0 7884_0
0.4507162868976593 8120_0 13204_0
0.28750303387641907 9677_1 10008_1
0.2678282558917999 1961_1 5301_3
0.12846511602401733 9812_0 13885_0
0.36987578868865967 3034_0 9966_0
0.0 12383_0 9514_0
0.0 4276_0 2450_2
0.0 4641_1 5084_1
0.09174621105194092 13716_0 8238_0
0.0 11246_0 13544_0
0.4708288311958313 10024_0 13204_0
0.10761141777038574 9954_0 13945_0
0.0 6160_0 7955_2
0.2309005856513977 10871_1 9912_0
0.22587913274765015 9797_0 5655_0
0.13961952924728394 1468_0 4856_0
0.20909646153450012 9958_0 5743_0
0.14284497499465942 10014_0 5729_0
0.2484114170074463 2074_0 668_0
0.40813112258911133 4019_0 9421_0
0.17468303442001343 3680_0 5149_0
0.030860185623168945 11402_0 2895_0
0.6685656309127808 993_1 5669_0
0.40693286061286926 9547_2 4051_0
0.37315288186073303 8744_0 9953_1
0.2192021608352661 9772_1 4327_0
0.24394971132278442 9931_1 4321_0
0.3546435236930847 10217_2 487_0
0.019501328468322754 865_0 1494_3
0.30122095346450806 8736_0 1649_1
0.3868146240711212 9744_4 9766_0
0.17099261283874512 5301_1 6122_0
0.24258771538734436 9694_1 1662_2
0.463179349899292 1419_4 454_0
0.3010323643684387 4361_0 1540_0
0.43421801924705505 9913_0 2439_0
0.0038489103317260742 1826_0 5291_1
0.15421521663665771 13698_0 10404_0
0.13394397497177124 1240_0 7648_0
0.03533649444580078 13716_0 210_0
0.15790855884552002 7001_1 9993_0
0.3666028082370758 6766_0 5335_0
0.17347997426986694 6034_0 4312_0
0.3242400288581848 10816_0 534_0
0.08048214018344879 3352_0 4898_0
0.2760165333747864 2679_0 6148_0
0.0 13414_0 11213_0
0.0 742_0 9679_1
0.5397195816040039 9897_1 9911_0
0.4645395278930664 720_0 2372_0
0.16501390933990479 9649_0 13615_0
0.0 9911_0 88_0
0.3297881782054901 2080_0 595_0
0.0 9277_0 2805_0
0.2921966016292572 9744_5 9663_0
0.3824775218963623 4932_0 9742_1
0.5168587565422058 9955_1 9912_0
0.012564331293106079 3082_0 11704_0
0.1771571934223175 6056_2 8974_0
0.12041044235229492 7146_1 9668_3
0.19910547137260437 4138_2 2297_4
0.09195154905319214 4636_0 9870_0
0.0 3802_0 13626_0
0.0 7884_0 3441_0
0.21785277128219604 6698_0 7721_0
0.3852461576461792 13816_0 1869_0
0.2614781856536865 8813_1 9277_0
0.045709311962127686 3482_0 8120_0
0.4812895953655243 2374_4 6734_0
0.03158301115036011 7454_0 9743_1
0.054495155811309814 7918_0 8453_1
0.13610774278640747 3444_0 7730_0
0.35989120602607727 8632_0 13666_0
0.0 3680_0 12868_0
0.0 7915_0 6807_0
0.06677800416946411 5453_0 7955_2
0.3084465563297272 4401_1 3189_0
0.08461034297943115 10002_1 1517_0
0.26800036430358887 9757_0 1463_0
0.0 3442_0 702_0
0.0 3418_0 2213_2
0.3427380323410034 947_0 1975_0
0.26273593306541443 9676_0 9913_0
0.29162973165512085 6818_0 7746_0
0.1617181897163391 12105_0 3245_0
0.0 9547_8 9679_4
0.0 4684_0 9764_0
0.38880670070648193 2679_0 5953_0
0.3010302782058716 1096_1 13373_0
0.12406700849533081 2374_4 3218_0
0.47403284907341003 9664_1 9516_0
0.5622380971908569 803_0 3023_0
0.2381003201007843 9672_0 13734_0
0.3196779787540436 8700_1 9663_0
0.24816888570785522 3352_0 10236_0
0.38635560870170593 8770_0 13225_0
0.29157164692878723 10347_0 3072_0
0.07352417707443237 5233_2 9582_0
0.06238552927970886 2039_0 4660_0
0.27375921607017517 9277_0 5826_0
0.32163989543914795 7146_1 3246_0
0.0 10013_0 9147_0
0.2970128059387207 8449_0 4756_0
0.2497449815273285 8143_2 1059_0
0.31043630838394165 9708_1 1691_0
0.15292006731033325 10347_0 9783_0
0.45850712060928345 5732_0 819_0
0.20708194375038147 9790_2 11178_0
0.5347556471824646 9531_1 9313_0
0.3780790865421295 2004_0 143_0
0.17791369557380676 2002_0 13128_0
0.0 13635_1 6791_0
0.0 9485_0 3734_0
0.38397759199142456 9916_0 6549_0
0.08021759986877441 8086_1 10404_0
0.0938979983329773 9699_0 9982_0
0.27045753598213196 9547_8 2846_0
0.2777474522590637 13184_0 7937_0
0.07685428857803345 12179_0 9755_0
0.407088041305542 803_0 668_0
0.025606632232666016 10746_2 3676_1
0.1050211489200592 8207_0 5958_0
0.2642187476158142 1417_0 9547_2
0.0 12723_0 1470_0
0.0 6926_0 4149_0
0.22027340531349182 5241_0 9417_0
0.064083993434906 2265_0 9973_0
0.2627277970314026 10795_0 7071_0
0.22143760323524475 13422_0 5729_0
0.46056264638900757 920_0 8638_0
0.3512915372848511 10321_0 9384_0
0.4393484592437744 8700_3 8086_1
0.45680516958236694 9073_0 1978_0
0.28885748982429504 13640_0 13033_0
0.321493536233902 10012_0 9908_1
0.13019919395446777 2002_0 702_0
0.10122370719909668 5107_0 928_0
0.5193784236907959 371_0 4041_1
0.1013898253440857 6034_0 12022_1
0.5543155670166016 6740_0 6015_0
0.0 1363_0 12026_2
0.1392931044101715 9955_1 11283_0
0.10798591375350952 5543_0 5744_2
0.0 8120_0 4918_0
0.20218288898468018 10939_3 4641_1
0.5072493553161621 9658_1 3553_0
0.10121488571166992 633_0 6265_0
0.39118918776512146 3676_1 4322_0
0.25101152062416077 9744_5 10871_1
0.4225972890853882 1727_0 3189_0
0.29510805010795593 2836_2 11415_2
0.13961249589920044 1020_0 9122_1
0.22012537717819214 6165_0 4692_0
0.0 9790_1 129_0
0.6311129927635193 9582_0 2297_1
0.2964344620704651 12022_3 9690_0
0.3298763036727905 6619_0 7015_1
0.18777137994766235 10038_0 7492_1
0.20634041726589203 11754_0 9533_0
0.332223117351532 5212_0 973_0
0.013524472713470459 5669_0 1707_0
0.3510988652706146 947_0 8425_0
0.41640257835388184 9679_1 7950_1
0.0 4262_0 12159_0
0.3067719638347626 10868_0 9745_0
0.36456364393234253 5281_0 7741_0
0.234130859375 9767_2 7707_0
0.25875622034072876 1363_0 6515_0
0.0 12721_0 9629_0
0.0 10375_0 5453_0
0.3131525218486786 3456_1 8376_0
0.24946948885917664 2605_0 9856_2
0.0 13403_0 9957_0
0.5273376703262329 7891_0 9973_0
0.38116899132728577 7916_0 210_0
0.2192351222038269 2883_0 9698_0
0.14750909805297852 736_0 702_0
0.27404850721359253 9716_1 1822_0
0.0 9790_1 1707_0
0.21221628785133362 7001_1 9673_2
0.48385319113731384 4601_0 10622_0
0.0 13496_0 3614_0
0.21817082166671753 2353_0 4711_2
0.5283980369567871 10059_1 615_0
0.0 9893_0 474_0
0.286761999130249 8632_0 6619_0
0.33000582456588745 10222_0 5470_0
0.5111719965934753 12844_0 3643_0
0.10243678092956543 9916_0 8357_0
0.22400116920471191 12776_0 9700_1
0.14517253637313843 5707_0 5554_0
0.2718949019908905 9767_2 7017_0
0.030265629291534424 8624_0 12721_0
0.31186142563819885 4886_2 1801_0
0.036968350410461426 1898_0 11892_0
0.31261515617370605 5707_0 2592_0
0.24333322048187256 1691_0 4859_0
0.3177947998046875 13704_0 1664_0
0.5337631106376648 7424_0 9870_0
0.065521240234375 4891_0 10012_0
0.28737202286720276 13412_0 4361_0
0.5559127330780029 1374_2 1953_1
0.0 7915_0 11206_0
0.42683786153793335 9911_0 9859_0
0.3366050124168396 6136_0 7417_0
0.0 6056_3 10375_0
0.38631951808929443 4873_0 6331_3
0.27393630146980286 1995_2 5308_0
0.0 7208_0 3694_0
0.0 3654_0 9690_0
0.0 925_2 12843_1
0.050417304039001465 2666_0 8566_0
0.45536720752716064 4681_0 5675_1
0.1574707329273224 13350_0 11371_0
0.3435026705265045 1826_0 4882_0
0.2921832501888275 2907_0 9142_0
0.11345750093460083 541_0 10787_0
0.3942856192588806 7790_0 3575_0
0.0 10372_2 4939_0
0.2975640892982483 4002_0 13420_0
0.0 2330_0 5076_0
0.3113994002342224 5759_5 9147_0
0.009773820638656616 9782_0 616_0
0.24524608254432678 10064_0 5727_0
0.023629188537597656 148_0 2829_0
0.23013174533843994 4887_0 9783_0
0.07504379749298096 5301_3 11274_1
0.41291025280952454 1632_0 7492_5
0.0727652907371521 6549_0 8584_0
0.2763591408729553 3676_2 8584_0
0.30037784576416016 9696_5 1601_0
0.017563939094543457 1481_0 8684_0
0.2575864791870117 13411_0 642_0
0.3885996341705322 11704_0 854_0
0.2549971044063568 11066_0 2145_0
0.0 1468_0 7057_3
0.4080214500427246 6619_0 3553_0
0.0 8260_0 6275_0
0.14589151740074158 1156_0 3587_0
0.001600891351699829 8260_0 1664_0
0.07114005088806152 12616_0 9967_1
0.3581687808036804 12527_0 13404_1
0.23268824815750122 9797_0 10544_0
0.08831483125686646 9545_0 13270_0
0.6101629137992859 1944_0 13403_0
0.13561466336250305 7941_0 9772_2
0.0 9398_0 2836_2
0.0910797119140625 1687_0 2213_2
0.4770875871181488 6745_0 3730_0
0.19813954830169678 10002_1 9592_0
0.4431639611721039 8078_0 2042_0
0.366542249917984 3633_0 240_0
0.211897075176239 10000_0 1540_0
0.0 1298_2 5877_0
0.2714007794857025 4681_0 9487_0
0.0 3442_0 5797_0
0.0 9629_0 9414_0
0.30818259716033936 4891_0 13945_0
0.1216537356376648 1240_0 3264_0
0.4378715455532074 9493_0 11235_0
0.2971457242965698 4851_0 8453_1
0.0 10008_1 1320_0
0.08304840326309204 9816_1 947_0
0.41176825761795044 8813_1 11784_0
0.0317646861076355 3562_0 8143_1
0.03356793522834778 9712_1 9918_0
0.24071142077445984 4891_0 2805_0
0.5439193248748779 9665_1 13544_0
0.3567017912864685 8770_0 3481_0
0.16321468353271484 7417_0 2123_0
0.45287853479385376 3591_0 9865_0
0.0 3780_0 9807_1
0.0 9045_0 7492_8
0.04903879761695862 11415_2 4896_0
0.2918201684951782 12296_0 5341_0
0.0 3802_0 9958_0
0.0 9893_0 9547_6
0.08049678802490234 3411_0 9706_0
0.29742544889450073 9743_1 2065_0
0.06386953592300415 5448_2 11466_0
0.21447879076004028 9744_1 5224_0
0.19428205490112305 9514_0 13188_0
0.0 13622_0 1127_0
0.32740116119384766 9664_1 9807_1
0.3829977512359619 7146_1 5301_2
0.3235410451889038 10217_2 9622_0
0.00023984909057617188 2192_0 3441_0
0.0 11740_0 2708_0
0.0 2129_0 10597_0
0.4774177372455597 3454_0 7257_0
0.18487396836280823 9686_1 2662_0
0.2658573389053345 11757_0 13626_0
0.38295459747314453 3300_0 13090_0
0.0 1628_0 1096_1
0.3772600293159485 10222_0 4922_0
0.4043924808502197 4962_1 11784_0
0.2343546748161316 1801_0 6515_0
0.0 11231_0 1873_0
0.09024190902709961 9967_1 1825_0
0.0 7955_2 5695_0
0.32970935106277466 9767_1 11784_0
0.18548446893692017 12382_0 10622_0
0.47264543175697327 8429_0 11655_0
0.12157195806503296 2907_0 10446_0
0.15953880548477173 5107_0 6957_0
0.0 11135_0 9349_0
0.19029685854911804 6164_0 9715_1
0.12205666303634644 11274_1 5739_0
0.5499067306518555 6734_0 10075_0
0.0 13271_0 2815_0
0.0 3082_0 6763_0
0.42819687724113464 2123_0 809_0
0.0 11234_0 1660_0
0.0 2103_0 7017_0
0.2644387483596802 9807_1 11231_0
0.3445844054222107 4395_0 5742_0
0.24800321459770203 7941_0 1674_0
0.20302876830101013 5552_1 12058_0
0.0 2213_1 10783_0
0.20983189344406128 7918_0 5504_0
0.1753230094909668 48_1 12369_0
