Test loss: 0.019133506768772676

Format: Loss TFAnchor TFNegative 
0.0 4344_0 13217_0
0.0 11892_0 8310_0
0.0 2592_0 803_0
0.0 9787_0 12386_0
0.0 2605_0 5448_2
0.0 9792_0 3331_0
0.0 9720_0 9673_6
0.0 7941_0 4464_0
0.0 13262_0 3634_0
0.0 8149_0 11650_0
0.0 2805_0 10554_0
0.0 3680_0 11484_0
0.0 8617_0 9776_1
0.0 11892_0 5389_0
0.0 1507_6 11776_0
0.0 4962_1 13626_0
0.0 10064_0 616_0
0.0 1848_0 1656_0
0.0 7759_0 5419_0
0.0 11066_0 474_0
0.0 8376_0 9930_1
0.0 9921_2 13610_0
0.0 10012_0 10766_0
0.0 2520_0 5656_2
0.0 2297_4 913_0
0.0 11116_0 9147_0
0.0 1664_0 11167_0
0.0 11716_0 5224_0
0.0 8771_0 4641_3
0.0 13817_0 1379_0
0.0 2095_0 13343_0
0.0 12854_0 13836_0
0.0 13188_0 13713_0
0.0 10260_0 2362_0
0.0 5509_0 1925_0
0.0 13083_0 9720_0
0.0 11343_0 11198_0
0.0 1320_0 11354_0
0.0 11405_0 454_0
0.0 12845_0 993_1
0.0 10597_0 1929_0
0.0 9977_0 5665_0
0.0 9744_4 5301_1
0.0 4601_0 4955_0
0.0 13713_0 1814_2
0.0 474_0 11415_2
0.0 3676_1 9743_2
0.0 1820_0 4652_0
0.0 3688_1 4276_0
0.0 9491_0 4560_0
0.0 13814_0 10530_0
0.0 4880_0 10766_0
0.0 9629_0 5530_0
0.0 9635_0 2928_0
0.0 9188_0 9972_1
0.0 6664_0 4886_2
0.0 9959_0 10222_0
0.0 6766_0 7221_0
0.0 9927_0 8990_0
0.0 4608_0 291_2
0.0 720_0 10217_1
0.0 5094_0 3329_0
0.0 9188_0 9487_0
0.0 2257_0 5459_0
0.0 9673_5 10252_0
0.0 13083_0 10631_0
0.0 9755_0 7863_0
0.0 9859_0 7686_0
0.0 4138_1 9477_0
0.0 11220_0 1238_0
0.0 5288_0 2192_0
0.0 9696_5 9970_0
0.0 13186_0 4914_0
0.0 6551_0 947_0
0.0 8104_0 13610_0
0.0 13217_0 11248_0
0.0 5281_0 288_2
0.0 3709_1 1699_0
0.0 11343_0 240_0
0.0 8068_0 3300_0
0.0 7873_0 13714_0
0.0 10226_0 9730_1
0.0 11216_0 2374_5
0.0 9216_0 3331_0
0.0 3362_0 12843_1
0.0 7015_1 9873_0
0.0 10058_0 4898_0
0.0 11198_0 13627_0
0.0 4138_1 5554_0
0.0 9712_1 7386_0
0.0 7109_0 4183_0
0.0 9352_1 854_0
0.0 9716_1 1978_0
0.0 12159_0 9713_1
0.0 11722_0 11300_0
0.0 1891_0 9493_0
0.0 7742_0 12797_0
0.0 10840_0 6331_3
0.0 5769_0 5212_0
0.0 6926_0 8700_1
0.0 5353_0 3680_0
0.0 11093_0 5335_0
0.0 11415_2 7017_0
0.0 7803_0 1656_0
0.0 10012_0 7886_0
0.0 9846_1 4240_0
0.0 4505_0 5389_0
0.0 9129_0 7987_0
0.0 9764_0 1898_0
0.0 9673_1 6671_2
0.0 12382_0 5366_0
0.0 7001_1 8684_0
0.0 9080_0 9313_0
0.0 9676_0 3411_0
0.0 6034_0 1975_0
0.0 5743_0 11484_0
0.0 9980_0 541_0
0.0 2133_0 4848_0
0.0 2530_0 7870_0
0.0 10746_2 12619_0
0.0 5742_0 5936_0
0.0 9705_0 8364_0
0.0 1864_0 1876_0
0.0 8194_0 2450_2
0.0 745_0 7016_0
0.0 6668_0 11754_0
0.0 9720_0 4914_0
0.0 10050_0 7918_0
0.0 1497_3 9769_0
0.0 2865_0 9696_1
0.0 1825_0 13836_0
0.0 2486_0 9831_0
0.0 11178_0 4402_0
0.0 13128_0 7614_0
0.0 4282_2 4934_4
0.0 8453_1 9824_0
0.0 3716_0 11402_0
0.0 10552_0 9743_2
0.0 4749_0 1873_0
0.0 1685_0 11716_0
0.0 4704_0 1345_0
0.0 7899_0 1481_0
0.0 10871_1 11399_0
0.0 7790_0 4686_0
0.0 1324_0 9792_0
0.0 7955_1 11423_0
0.0 13083_0 2374_1
0.0 1458_0 950_0
0.0 690_0 4149_0
0.0 865_0 11652_0
0.0 7750_0 9188_0
0.0 6382_0 1895_0
0.0 13413_0 3936_0
0.0 5759_5 5517_1
0.0 9668_3 10024_0
0.0 13885_0 3717_0
0.0 2265_0 5479_0
0.0 9622_0 9080_0
0.0 3730_0 707_0
0.0 1685_0 10476_0
0.0 11480_1 2123_0
0.0 9349_0 9679_4
0.0 1507_3 973_0
0.0 8150_0 13636_0
0.0 5281_0 9669_0
0.0 9271_0 4872_1
0.0 9679_4 1632_0
0.0 9686_1 10358_0
0.0 1601_0 9871_0
0.0 5453_0 10141_0
0.0 9709_0 318_0
0.0 5759_2 1025_0
0.0 5335_0 3072_0
0.0 3500_0 9884_0
0.0 5130_0 11722_0
0.0 5084_1 10321_0
0.0 2063_0 4321_0
0.0 4262_0 4051_0
0.0 8210_0 4943_0
0.0 1507_5 12114_0
0.0 6759_1 11254_0
0.0 4344_0 4388_2
0.0 13698_0 9191_0
1.2747535705566406 3034_0 2928_0
0.0 8736_0 11711_0
0.4218435287475586 9673_1 8284_0
0.0 445_0 7221_0
0.0 6068_0 7791_0
0.0 9122_1 7013_0
0.0 3340_0 2694_1
0.0 1746_0 4282_1
0.0 9686_2 9966_0
0.0 5666_1 2133_0
0.0 7900_0 1675_0
0.0 9821_0 3362_0
0.0 54_0 1697_0
0.20912742614746094 7057_3 8150_0
0.0 4825_0 302_0
0.0 4282_1 4153_0
0.0 11263_0 2737_1
0.0 9735_2 11787_0
0.0 3694_0 1302_0
0.0 5559_0 13413_0
0.0 10000_0 7116_0
0.0 6136_0 5521_0
0.0 9033_0 12844_0
0.0 9686_2 7071_0
0.0 9137_0 10358_0
0.0 7866_0 303_0
0.0 11742_0 5666_1
0.0 1507_1 1636_0
0.0 11352_2 7066_1
0.0 13184_0 11787_0
0.0 3456_1 3246_0
0.0 9735_2 586_0
0.0 13415_0 13565_0
0.0 9515_0 4048_0
1.7899885177612305 5233_2 4019_0
0.0 642_0 3553_0
0.0 1140_0 10205_0
0.0 9933_1 3678_0
0.0 5546_0 5072_0
0.0 6265_0 1814_2
0.0 2450_2 13206_0
0.0 8238_0 13128_0
0.0 7742_0 4316_0
0.0 4138_1 9757_0
0.0 1727_0 745_0
0.0 9530_0 7786_0
0.0 586_0 9837_0
0.0 6382_0 8120_0
0.0 13396_0 9732_0
0.0 9974_2 11352_3
0.0 5548_0 9692_0
0.0 600_0 11115_0
0.0 7268_0 1953_1
0.0 487_0 5100_0
0.0 8592_0 7944_0
0.0 9064_0 10002_2
0.0 9735_1 9658_4
0.0 8859_0 1628_0
0.0 713_0 5743_0
0.0 5732_0 1841_0
0.0 8417_0 1876_0
0.0 3662_0 13377_0
0.0 1690_0 11415_2
0.0 9696_2 2509_0
0.0 13413_0 9963_4
0.0 1644_0 529_0
0.0 4361_0 2716_0
0.0 1813_0 8121_0
0.0 9845_1 9853_0
0.0 5212_0 12137_0
0.0 5759_7 12296_0
0.0 9531_1 5551_0
0.0 626_0 7894_0
0.0 4873_0 9955_1
0.0 925_2 5453_0
0.0 11115_0 11466_0
0.0 13668_0 6807_0
0.0 3218_0 9064_0
0.0 9686_1 3734_0
0.0 5076_0 2805_0
0.0 9963_4 10002_2
0.0 470_2 6124_0
0.0 8453_1 1931_0
0.0 3101_0 13622_0
0.0 3693_0 9980_0
0.0 9277_0 1497_3
0.0 7247_0 4896_0
0.0 8435_0 2209_0
0.0 6136_0 4939_0
0.007124900817871094 10446_0 5107_0
0.0 9567_1 8305_0
0.0 1691_0 9842_1
0.0 9134_0 742_0
0.0 11271_0 8143_1
0.0 10018_1 1953_1
0.0 5281_0 3101_0
0.0 49_0 13721_0
0.0 8435_0 1881_0
0.0 9673_1 5122_0
0.0 9913_0 10065_0
0.0 10783_0 1848_0
0.0 11071_0 1820_0
0.0 13640_0 1238_0
0.0 1744_0 2439_0
0.0 3716_0 40_0
0.0 9712_1 7987_0
0.0 1829_0 152_0
0.0 11710_0 10752_0
0.0 9516_0 9635_0
0.0 7866_0 5301_0
0.0 6068_0 8068_0
0.0 8684_0 10628_0
0.0 11391_0 9692_0
0.0 7001_1 10205_0
0.0 529_0 10038_0
0.0 4968_0 9963_1
0.0 5556_0 1974_1
0.0 4240_0 2666_0
0.0 4738_0 2123_0
0.0 10373_0 707_0
0.0 49_0 9634_0
0.0 3676_2 8102_0
0.0 11704_0 13544_0
0.0 3760_2 7375_0
0.2940397262573242 9673_1 1080_1
0.0 5469_0 1801_0
0.0 4041_2 1419_3
0.0 230_0 615_0
0.0 10777_3 4918_0
0.0 10052_0 5898_0
0.0 9493_0 9799_0
0.0 8369_0 9530_0
0.0 5498_2 4418_0
0.0 4954_0 9943_0
0.0 6160_0 3266_1
0.0 5469_0 240_0
0.0 5877_0 9845_1
0.0 10002_1 2509_0
0.0 1687_0 9741_2
0.0 9807_1 1727_0
0.0 3475_0 9772_2
0.0 1492_1 916_2
0.0 12296_0 7788_1
0.0 13397_0 10372_2
0.0 2849_0 5470_0
0.0 1904_3 9491_0
0.0 1822_0 10010_1
0.0 7791_0 9745_0
0.0 7208_0 7890_0
0.0 4401_1 4660_0
0.0 3362_0 1662_2
0.0 5366_0 9658_5
0.0 3594_0 12797_0
0.0 12369_0 5861_0
0.0 9966_0 2129_0
0.0 13814_0 6890_0
0.0 3456_1 5511_0
0.0 13945_0 4402_0
0.0 2004_0 2805_0
1.6838197708129883 9734_0 9849_1
0.0 13726_0 616_0
0.0 11484_0 7492_7
0.0 5168_0 5666_5
0.0 11116_0 8624_0
0.0 4811_0 11109_0
0.0 1517_0 11655_0
0.0 10430_2 9973_0
0.0 9781_0 5281_0
0.0 1898_0 9871_0
0.0 1096_1 4003_0
0.0 3562_0 8700_3
0.0 12843_1 8287_0
0.0 9709_0 7584_0
0.0 3294_0 7721_0
0.0 12385_0 4418_0
0.0 4276_0 1507_6
0.0 9253_0 13723_0
0.0 4895_0 12843_1
0.0 2520_0 11653_3
0.0 8075_0 11066_0
0.0 9812_0 9673_6
0.0 7221_0 13198_0
0.0 4749_0 3972_0
0.0 2359_0 8093_0
0.0 9907_0 10375_0
0.0 9913_0 13188_0
0.0 11739_0 1662_2
0.0 1699_0 12941_0
0.0 9722_3 7015_1
0.0 9126_0 1682_1
0.0 6668_0 10010_1
0.0 1690_0 11216_0
0.0 1531_0 3694_0
0.0 6160_0 5389_0
0.0 9313_0 9714_3
0.0 13198_0 9781_0
0.0 148_0 4684_0
0.0 4914_0 7362_0
0.0 10038_0 3694_0
0.0 2948_0 10236_0
0.6042776107788086 10868_0 5223_0
0.0 7013_0 2257_0
0.0 10035_0 9818_0
0.0 11178_0 12776_0
0.0 3418_0 11273_2
0.0 10372_2 9709_0
0.0 4939_0 12855_0
0.0 13717_0 2082_0
0.0 5731_0 2463_0
0.0 35_0 1103_0
0.0 9353_0 8845_0
0.0 11742_0 4962_2
0.0 6716_0 10186_0
0.0 9129_0 9944_0
0.0 3676_2 3610_0
0.0 1079_0 45_0
0.0 9514_0 13610_0
0.0 9421_0 2774_0
0.0 13225_0 9745_0
0.0 7491_0 13033_0
0.0 7899_0 268_3
0.0 10761_0 1507_3
0.0 4051_0 13212_0
0.0 736_0 9712_1
0.0 626_0 7950_1
0.0 2365_0 5759_4
0.0 5498_2 7492_5
0.5215530395507812 9735_2 720_0
0.0 2063_0 487_0
0.0 5958_0 7492_7
0.0 9349_0 4276_0
0.0 3633_0 13184_0
0.0 10634_0 3598_0
0.0 9790_1 1820_0
0.0 5759_2 9818_0
0.0 8337_0 10052_0
0.0 1298_2 1904_3
0.0 2042_0 10054_0
0.0 3730_0 8268_0
0.0 9971_0 7894_0
0.0 5670_0 9745_0
0.0 10014_0 12179_0
0.0 1691_0 2559_0
0.0 3362_0 5353_0
0.0 13814_0 37_0
0.0 3625_0 4380_1
0.0 720_0 4934_4
0.0 1826_0 1746_0
0.0 13223_0 12058_0
0.0 9829_0 865_0
0.0 5122_0 2894_0
0.0 11740_0 5306_0
0.0 5469_0 9547_8
0.0 9936_0 9824_0
0.0 8376_0 3287_0
0.0 3340_0 7678_0
0.0 4240_0 1492_1
0.0 1825_0 13945_0
0.0 745_0 5294_0
0.0 5548_0 3637_0
0.0 13565_0 779_0
0.0 2955_0 4726_0
0.0 9790_2 9901_0
0.0 9673_5 3331_0
0.0 10259_0 9841_0
0.0 2039_0 9945_0
0.0 9663_0 1601_0
0.0 9245_0 11231_0
0.0 9485_0 9884_0
0.8372945785522461 9066_0 12776_0
0.0 9974_2 9911_0
0.0 6382_0 2333_0
0.0 8744_0 2586_0
0.0 2023_0 8684_0
0.0 6056_3 4976_0
0.0 240_0 11754_0
0.0 7764_0 9916_0
0.0 6056_2 9913_0
0.0 4282_2 13271_0
0.0 282_0 3610_0
0.0 13704_0 5523_0
0.0 10746_2 9963_1
0.0 49_0 10777_3
0.0 11740_0 1697_0
0.0 11740_0 1916_0
0.0 10043_0 1292_0
0.0 2509_0 4410_0
0.0 11337_0 3479_0
0.0 12776_0 1492_1
0.0 6165_0 13198_0
0.0 4395_0 268_2
0.0 7974_0 10252_0
0.0 925_2 4017_0
0.0 10573_0 982_0
0.0 6527_0 9801_0
0.0 4936_0 3659_0
0.0 1662_2 10075_0
0.0 9550_0 4377_0
0.0 9753_1 1737_2
0.0 3294_0 2492_0
0.0 10334_1 4560_0
0.0 11653_3 7562_0
0.0 11235_0 13496_0
0.0 3709_1 8436_0
0.0 9129_0 1472_1
0.0 9815_0 916_2
0.0 5321_0 8153_0
0.0 10372_1 9743_1
0.0 10430_2 9816_1
