Test loss: 0.2105932112046915

Format: Loss TFAnchor TFNegative 
0.0 3500_0 4641_3
0.0 4327_0 1649_1
0.37832510471343994 8150_0 9743_2
0.15608888864517212 13397_0 3402_0
0.14512374997138977 9690_0 9974_2
0.0 129_0 11409_2
0.7136003375053406 12776_0 13557_0
0.27948760986328125 4939_0 13757_0
0.0 2605_0 5285_0
0.12937605381011963 3916_0 7017_0
0.46815454959869385 4308_0 13565_0
0.017664700746536255 11739_0 1876_0
0.41256922483444214 7491_0 2675_0
0.0 9963_1 303_0
0.7411547899246216 2883_0 2996_0
0.0 6957_0 13838_0
0.33087408542633057 8638_0 1507_2
0.0 600_0 11116_0
0.17575694620609283 12894_0 586_0
0.21230149269104004 2948_0 1664_0
0.1163928210735321 9772_2 5385_0
0.10287326574325562 1417_0 2768_0
0.0 5301_3 5683_1
0.0 2374_5 642_0
0.020720601081848145 626_0 3730_0
0.262298047542572 9177_0 9622_0
0.0 3760_2 1492_1
0.031037211418151855 1746_0 9739_1
0.0 7355_0 9685_3
0.11443030834197998 13128_0 5453_0
0.0 13262_0 5669_0
1.8998265266418457 9933_1 10544_0
0.0 2706_1 9714_1
1.0962220430374146 10010_1 10530_0
0.0 9766_0 7788_1
1.1412065029144287 702_0 9977_0
0.0 1507_3 3454_0
0.0 7686_0 10963_0
0.0976448580622673 13165_0 1507_4
0.0 11484_0 13404_1
0.0 8700_3 1156_0
0.0 11271_0 9049_0
0.06139218807220459 9670_1 13373_0
0.0 10018_1 13543_0
0.0 11271_0 10005_0
0.10931038856506348 8997_0 470_1
0.20174258947372437 8617_0 7873_0
0.8097878098487854 8364_0 8727_4
0.378578245639801 7492_8 1632_0
0.38798272609710693 2883_0 9852_0
0.0 11213_0 10179_0
0.0 13271_0 5530_0
0.0 9744_4 4754_0
0.09973463416099548 10871_1 10599_0
0.0 11739_0 5720_1
0.49550527334213257 624_0 1517_0
0.029881536960601807 9894_0 8194_0
0.1407347023487091 7388_0 6734_0
0.0 601_0 9749_0
0.015261650085449219 6607_0 595_0
0.0 2046_0 601_0
0.15360082685947418 6148_0 743_0
0.18924038112163544 9801_0 13816_0
0.0 9930_1 10238_0
0.0 9716_1 5759_2
0.0 9700_1 1419_2
0.0 8770_0 9049_0
0.0 2907_0 9931_2
0.14517301321029663 9943_0 7109_0
0.1410568356513977 1691_0 5113_0
0.0 9926_1 9957_0
1.5523120164871216 3294_0 7780_0
0.2186744213104248 5877_0 10787_0
0.6093957424163818 12385_0 1298_2
0.0 9714_3 8566_0
0.5032992959022522 152_0 626_0
0.18054437637329102 5877_0 9669_0
0.0 9673_5 8364_0
0.1525406837463379 8626_0 10371_0
1.1797401905059814 3824_0 8631_0
0.10321131348609924 9734_0 13413_0
0.40643778443336487 6890_0 9741_1
0.6777544617652893 9991_0 8445_0
0.0 13262_0 1922_0
0.17665167152881622 11740_0 4138_1
0.0 3717_0 1697_0
0.0 7057_3 13622_0
0.7661924362182617 8310_0 5559_0
0.0 9514_0 1974_1
0.15514081716537476 7116_0 7247_0
0.2786952257156372 9014_0 11739_0
0.0 8194_0 2679_0
0.0 10513_0 4276_0
0.0 1975_0 13609_0
0.0 2023_0 3637_0
0.0 4902_0 3940_0
0.0 13623_0 10075_0
1.4807401895523071 8700_1 2385_0
1.3758704662322998 13090_0 13217_0
0.0 9735_3 828_0
0.0 13406_0 9547_6
0.047057271003723145 9349_0 1825_0
0.27342259883880615 8363_0 13420_0
0.0 947_0 9790_1
0.41633710265159607 9349_0 4316_0
0.3213447332382202 7116_0 387_0
0.0 3506_0 12026_1
0.0 10513_0 4051_0
0.07360827922821045 9859_0 5826_0
0.0 8626_0 5335_0
1.1085420846939087 7071_0 9490_0
1.4452667236328125 7648_0 1632_0
0.0 13206_0 9626_0
0.0 4641_2 9567_1
0.0 1547_0 1867_0
0.0 10783_0 1675_0
0.26667022705078125 9745_0 4943_0
1.3994327783584595 4361_0 7788_1
0.04413306713104248 5200_0 5737_0
0.0 5769_0 742_0
0.0 1825_0 9714_1
0.5810233354568481 13717_0 7899_0
0.0 13814_0 2080_0
0.16231384873390198 9971_0 9409_0
0.0 13634_0 586_0
0.20395150780677795 2706_1 9691_0
0.0 6607_0 10430_2
0.0 2023_0 7492_5
0.31309324502944946 11452_0 13343_0
0.6485192775726318 4358_0 8966_0
0.0 11221_0 1776_0
0.17026251554489136 9909_1 8770_0
0.0 3456_1 11466_0
0.2755882740020752 11352_1 526_0
1.234317660331726 6607_0 387_0
0.3449395000934601 9807_1 1379_0
0.360870897769928 9772_1 5676_0
0.19550597667694092 9959_0 4041_2
0.0 13634_0 9715_2
0.30109429359436035 5448_2 1822_0
0.0 6671_2 10698_0
0.0 12616_0 1345_0
0.0 9421_0 9713_1
0.0 8584_0 13526_0
0.0 9974_2 1813_0
0.20501087605953217 5293_0 9724_0
0.0 5100_0 6122_0
0.0 9931_1 8727_5
0.15642233192920685 1628_0 5861_0
0.16808578372001648 3500_0 1140_0
0.0 8261_0 1864_0
0.5719232559204102 8979_0 3636_0
0.6564016938209534 2679_0 11352_4
0.13940347731113434 10373_0 10729_0
0.0 9745_0 10628_0
0.0 9672_0 5100_0
0.09383922815322876 803_0 5530_0
1.34605073928833 8632_0 1800_0
0.0 5315_0 4692_0
0.0 10631_0 9974_2
0.20759141445159912 13640_0 1305_0
0.002760589122772217 4939_0 920_0
0.15976974368095398 6519_0 4608_0
0.39577579498291016 2297_2 1471_0
0.45257505774497986 3625_0 10222_0
0.0020769834518432617 13226_0 6946_0
0.0 9931_2 7057_5
0.0 9921_1 9545_0
0.0 3625_0 12058_0
0.22069281339645386 6957_0 13628_0
0.5017914772033691 51_0 7955_1
0.14038920402526855 6068_0 8417_0
0.0 487_0 9271_0
0.0 9073_0 5385_0
0.0 2509_0 3506_0
0.0 5469_0 11754_0
0.0 6926_0 3608_0
0.1588776707649231 288_1 2510_0
0.0 9722_3 10643_0
0.3500729501247406 10597_0 3573_0
0.2356012463569641 2362_0 12930_0
0.0 5157_0 7745_0
0.0 2039_0 8534_0
0.0 13396_0 12026_1
0.0 10573_0 8436_0
0.0 9567_1 8349_0
0.08785544335842133 9744_4 13726_0
0.8716956973075867 8429_0 9225_0
0.0 13759_0 8727_4
0.0 12022_3 12334_0
0.0 9814_0 6699_1
0.0 13410_0 3411_0
0.0 3266_1 10186_0
0.0 8078_0 7355_0
0.0 2297_4 9714_1
0.9706604480743408 3588_0 9353_0
0.0 5335_0 5509_0
0.0 9696_2 9981_0
0.45726633071899414 5389_0 2365_0
1.0045785903930664 5769_0 8086_1
0.10174643993377686 9670_1 9738_3
0.07492445409297943 4851_0 5958_0
0.0 10260_0 8684_0
1.4764350652694702 9064_0 9527_0
0.0 4804_0 9491_0
0.01470339298248291 1746_0 4308_0
0.0 1632_0 9489_0
0.6803187131881714 690_0 9245_0
0.0 3352_0 12721_0
0.0 9901_0 1481_0
0.0 184_0 13759_0
0.17293661832809448 1995_3 12842_0
0.0 11119_1 4276_0
0.0 10599_0 45_0
0.0 7759_0 2374_2
0.15729214251041412 13083_0 4380_1
0.0 13223_0 9799_0
0.0 1507_5 7863_0
0.0 4886_2 8866_0
0.0 12894_0 4184_0
0.0 1547_0 1944_0
0.0 4851_0 1632_0
0.0 10698_0 6766_0
0.0 3676_1 1998_0
1.1455638408660889 13611_1 12295_0
0.7920859456062317 9702_0 4138_4
0.3973647356033325 10012_0 10816_0
0.08247220516204834 13721_0 1475_0
0.03414320945739746 5744_12 852_0
0.219850555062294 8363_0 925_3
1.1399205923080444 6818_0 13350_0
0.0 3936_0 5057_0
0.05917982757091522 4811_0 1382_0
1.2108194828033447 8210_0 5699_31
0.0 7057_2 2023_0
0.0 10871_1 11135_0
0.0 9709_0 11071_0
0.11057066917419434 3334_0 1507_5
0.0 5743_0 8143_1
0.4246605634689331 10546_0 9147_0
0.0 13377_0 45_0
0.0 8184_0 4418_0
0.0 13396_0 4358_0
0.18868330121040344 9666_4 6348_0
0.0 9957_0 3034_0
0.0 925_3 3684_2
0.0 4601_0 2374_5
0.0 10205_0 9521_0
0.0 11234_0 8194_0
1.6200679540634155 9901_0 3340_0
0.40963220596313477 2333_0 10375_0
0.0 54_0 5423_0
0.16577103734016418 9970_0 2079_0
0.25013989210128784 9845_1 9794_0
0.002695024013519287 6165_0 13760_0
0.0 11274_1 9658_5
0.2627624571323395 9352_1 10372_2
0.21925269067287445 4882_0 2080_0
0.0 8260_0 9816_1
0.0 5548_0 9177_0
0.4998682737350464 9776_1 7820_0
0.0 1685_0 3693_0
0.050209641456604004 11300_0 9970_0
0.0 10067_0 5744_12
1.291399598121643 11754_0 11220_0
0.0 11337_0 12343_2
0.0 5498_2 11220_0
0.0 8813_1 11348_0
0.0 6890_0 9658_5
0.0 5655_0 7355_0
0.7627935409545898 9188_0 6348_0
1.8257770538330078 3557_0 9191_0
0.0 3456_1 11091_0
0.05959606170654297 2586_0 11423_0
0.0 11178_0 5532_0
0.0 4019_0 2566_0
0.0 2377_1 35_0
0.0 4745_0 9832_0
0.0 395_0 13396_0
0.0 13414_0 541_0
0.1646660566329956 5861_0 7866_0
0.0 13350_0 2725_0
0.0 10552_0 10231_3
0.0 9812_0 10018_1
0.0 6551_0 12941_0
0.0 1656_0 13942_0
0.28737807273864746 8429_0 10286_0
0.2270720899105072 13719_0 7955_2
0.0 12343_2 9741_1
0.1357405185699463 7803_0 13184_0
0.0 1974_1 13411_0
0.6236323118209839 5168_0 2004_0
0.8717553615570068 1644_0 8726_2
0.0 2955_0 4804_0
0.0 6698_0 13221_0
0.0 2260_0 3266_1
0.0 11710_0 6740_0
0.0 13129_0 8726_2
1.3430912494659424 9831_0 5321_0
0.0 10174_0 1298_2
0.0 8845_0 5709_0
0.13898217678070068 11071_0 526_0
0.0 4756_0 4911_0
0.0 9898_0 13719_0
0.0 9781_0 13211_0
0.028983473777770996 11124_0 2520_0
0.0 589_0 5669_0
0.7457002997398376 1814_2 4962_1
0.210894376039505 4934_4 10634_0
0.0 9988_0 1904_3
1.2646796703338623 7791_0 13217_0
0.15965384244918823 1934_0 6671_2
0.0 13726_0 9188_0
0.5851547718048096 9708_1 8150_0
0.0 9547_1 9744_4
0.21536856889724731 11652_0 9735_3
0.3655656576156616 13628_0 9521_0
0.0 940_0 2374_2
0.0 12844_0 13569_0
0.17620012164115906 3294_0 51_0
0.0 5448_2 5511_0
0.0 4932_0 9485_0
0.0 10698_0 9709_0
0.8673792481422424 9790_1 12723_0
0.0 371_0 1059_0
0.01831263303756714 1078_0 7742_0
0.0 13415_0 12717_0
0.0 13814_0 534_0
0.02124607563018799 5455_0 5898_0
0.582168698310852 3588_0 7268_0
0.0 6056_2 318_0
0.0 8120_0 10010_1
0.0 5877_0 6015_0
0.0 7388_0 12022_1
0.2137547731399536 9741_1 10372_1
0.0 2928_0 4641_2
0.0 4184_0 2674_0
0.007863819599151611 7686_0 9916_0
0.16180865466594696 9856_2 8261_0
0.0 9485_0 2080_0
0.1929967701435089 9714_3 288_1
0.0 1753_0 852_0
0.0 3441_0 8305_0
0.033122628927230835 2129_0 10698_0
0.5948275923728943 9280_0 13822_0
0.6843818426132202 3588_0 534_0
0.435717910528183 852_0 6430_0
0.00999709963798523 10052_0 4902_0
0.1728774756193161 2213_1 10231_4
0.22528916597366333 11263_0 10066_0
0.0 736_0 7950_4
0.0 854_0 9742_1
0.0 2080_0 6699_1
0.0 9163_0 9832_0
0.0 11235_0 6964_0
0.2169741988182068 7899_0 7886_0
0.0 4962_1 9490_0
0.0 9960_1 4560_0
0.0 4681_0 852_0
0.0 9797_0 9909_1
1.544293761253357 9666_1 9547_1
0.0 852_0 4002_0
0.1318734586238861 4976_0 6698_0
0.0 9313_0 6983_0
0.18025445938110352 3444_0 7362_0
1.6856755018234253 10513_0 9673_6
0.0768132209777832 11452_0 8619_1
0.2676442861557007 1934_0 11651_0
0.0 49_0 10404_0
0.0 13414_0 9939_0
0.0 12171_0 1103_0
0.2865633964538574 9673_1 9955_2
0.4275241494178772 819_0 7580_0
0.0 11415_2 3669_0
0.0 1963_0 3610_0
0.3674588203430176 1657_0 9668_2
1.0765674114227295 9774_0 9490_0
0.0 230_0 1324_0
0.0 2768_0 8727_4
0.0 13557_0 9696_5
0.0 6068_0 9790_2
0.0 4705_0 4934_4
0.12998521327972412 9738_3 7820_0
0.0 5758_0 5675_1
0.0 2051_0 9916_0
0.0 3643_0 4377_0
0.0 865_0 1471_0
0.0 3189_0 10372_2
0.0 1869_0 9567_1
0.0 9865_0 7955_1
0.0 11892_0 4358_0
0.04773399233818054 9712_1 5122_0
0.0 5759_7 3418_0
0.0 12855_0 9621_0
0.0 4138_1 586_0
0.3229736089706421 6348_0 925_3
0.0 4976_0 5953_0
1.020810604095459 624_0 7974_0
0.26382768154144287 9738_3 5953_0
0.0 7071_0 642_0
0.0 9938_0 4962_1
0.0 1298_2 6766_0
0.0 10430_1 12026_1
1.1330147981643677 1156_0 9682_0
0.3075941801071167 4262_0 7016_0
0.0 7741_0 1690_0
0.0 6604_0 3916_0
0.0 13422_0 4138_2
0.0 9918_0 487_0
0.0 3780_0 5826_0
0.38931524753570557 318_0 707_0
0.0 12721_0 13628_0
0.0 371_0 9984_0
0.40325987339019775 8859_0 13698_0
0.39821672439575195 5739_0 2328_0
0.0 6331_2 9033_0
0.2107071876525879 3627_0 7109_0
0.0 9658_1 9724_0
1.3630950450897217 13824_0 5301_3
0.0 12179_0 2463_0
0.0 277_0 4183_0
0.0 5321_0 3693_0
0.08487048745155334 5551_0 11653_1
0.7039999961853027 13184_0 2023_0
0.01514047384262085 1848_0 5306_0
1.6163322925567627 9939_0 6745_0
0.0 9107_0 5656_2
