Test loss: 0.22384659683378738

Format: Loss TFAnchor TFNegative 
0.0 3246_0 909_0
0.0 2004_0 8859_0
0.0 10347_0 10054_0
0.0 13822_0 2468_0
0.7064573764801025 4932_0 4048_0
0.0 282_0 7764_0
0.0 3716_0 8726_2
0.5166416168212891 10259_0 9685_4
0.815361499786377 950_0 10446_0
0.0 5826_0 9787_0
0.0 129_0 2359_0
0.0 6527_0 13165_0
0.0 302_0 2213_1
0.0 2297_2 5057_0
0.0 8638_0 3957_0
0.0 5511_0 3678_0
0.0 2145_0 9822_0
0.0 9474_0 10783_0
0.0 5759_4 4652_0
1.7907166481018066 1507_2 10868_0
0.0 12527_0 6801_0
0.0 7208_0 12277_0
1.325937032699585 12868_0 10286_0
0.0 9790_2 11415_2
1.2350149154663086 6957_0 5744_1
0.7529416084289551 8592_0 470_2
0.9033160209655762 9686_2 9800_1
0.0 9812_0 2134_0
0.0 12723_0 5855_0
0.0 1869_0 1471_0
0.06516408920288086 9700_1 2002_0
0.7371041774749756 8363_0 1906_0
0.20598769187927246 11652_0 925_1
0.0 2213_2 1531_0
1.6805882453918457 4308_0 9744_4
0.787125825881958 9163_0 1953_1
0.0 10777_3 5465_0
0.0 9845_1 8417_0
0.6887130737304688 1656_0 8305_0
0.7509021759033203 9715_2 9959_0
0.0 7687_0 1417_0
0.0 1995_2 10567_0
0.0 2450_2 6964_0
0.0 9107_0 5353_0
0.0 1674_0 11892_0
0.0 5453_0 1922_0
0.9230208396911621 11892_0 10050_0
0.0 9673_1 12797_0
0.0 3693_0 3633_0
0.0 11246_0 10939_3
2.0146331787109375 9767_1 5732_0
0.0 5149_0 6074_0
0.0 3591_0 915_0
0.0 9663_0 7208_0
0.0 11248_0 9772_1
0.3563511371612549 10373_0 9049_0
0.0 11484_0 9744_4
0.0 9264_0 1339_0
0.0 9916_0 1713_0
0.0 8145_0 9821_0
0.8649215698242188 11754_0 9064_0
0.0 1497_1 9865_0
0.19056034088134766 4641_1 7763_0
0.0 4308_0 8330_0
0.016284704208374023 1240_0 3608_0
0.0 2907_0 9937_0
0.0397343635559082 3916_0 6016_2
0.0 9690_0 9414_0
0.0 9893_0 7918_0
0.0 9967_1 10178_0
0.1456012725830078 9873_0 210_0
0.18986296653747559 6740_0 7788_1
0.9008517265319824 6300_0 7730_0
0.5189700126647949 4826_0 1733_0
0.0 9629_0 5729_0
0.0 5695_0 1967_0
1.4236807823181152 10746_1 11248_0
0.0 5504_0 1080_1
0.817429780960083 1324_0 7745_0
0.0 9970_0 11710_0
0.5649499893188477 928_0 5448_2
0.0 10008_1 7001_2
0.0 7221_0 6018_0
0.3027057647705078 1687_0 9444_0
0.0 6430_0 11484_0
0.0 4361_0 13719_0
0.0 2095_0 5407_0
0.9633159637451172 2566_0 11135_0
0.0 288_2 3678_0
0.26307058334350586 8617_0 11127_0
0.0 9933_1 11071_0
0.0 9708_1 2836_2
0.0 7791_0 11168_0
1.0384509563446045 9720_0 1863_0
2.0175282955169678 9807_1 8093_0
0.0 1507_2 9521_0
0.0 11652_0 4684_0
0.45817041397094727 3340_0 12527_0
0.0 3627_0 2146_0
0.0 10375_0 779_0
0.0 9911_0 8631_0
1.0464699268341064 2516_0 7492_7
0.4439067840576172 5559_0 11652_0
0.0 1820_0 3329_0
0.0 10004_0 4985_1
0.0 5448_1 11787_0
0.0 9787_0 10260_0
0.0 1925_0 6699_1
0.1560959815979004 11754_0 5301_2
0.10508489608764648 3245_0 8149_0
1.06233549118042 2909_0 9700_1
0.0 10050_0 9958_0
0.0 589_0 8632_0
0.8335716724395752 8484_0 7160_0
0.0 3680_0 9714_3
0.0 7417_0 10186_0
0.0 5036_0 7013_0
0.9392867088317871 993_1 8310_0
0.0 7886_0 11405_0
0.0 4149_0 11273_2
0.0 11710_0 2103_0
0.07242441177368164 2774_0 6028_0
1.944521188735962 9781_0 12159_0
0.0 9137_0 10252_0
0.0 9014_0 9740_1
0.0 11651_0 5720_1
0.0 8617_0 5168_0
0.0 7891_0 8363_0
0.0 11452_0 1864_0
0.0 9967_2 2829_0
2.4171576499938965 6348_0 595_0
0.0 54_0 8436_0
0.0 4332_1 1419_2
0.0 13410_0 5848_1
0.0 1691_0 10371_0
0.0 7417_0 9678_0
0.9252033233642578 2566_0 7393_0
0.4557979106903076 9712_1 13198_0
0.0 9992_1 4377_0
0.16763734817504883 5888_0 10058_0
0.8603639602661133 2774_0 4410_0
0.8798723220825195 9955_1 1995_3
1.7157700061798096 809_0 2530_0
0.0 7417_0 4652_0
0.6452658176422119 152_0 13373_0
0.6327440738677979 5552_1 9676_0
1.0037851333618164 133_0 4981_2
0.0 11263_0 10746_2
0.0 6890_0 9673_1
0.0 5448_1 1664_0
0.7215530872344971 5285_0 9790_1
0.0 9679_1 4873_0
1.4455134868621826 3557_0 3625_0
0.16766071319580078 7042_0 1305_0
0.0 8149_0 10049_0
0.0 8264_0 1627_0
2.229912757873535 6056_2 8736_0
1.441072702407837 2708_0 10371_0
0.7492110729217529 8445_0 3623_0
0.0 8744_0 10008_1
0.0 589_0 1419_1
0.0 11124_0 6763_0
0.0 925_2 10544_0
0.0 2260_0 8143_2
0.0 1547_0 4968_0
0.0 8143_1 9137_0
0.0 9064_0 10513_0
0.45936131477355957 9673_5 9921_1
0.0 2865_0 1649_1
0.0 3591_0 9814_0
0.0 9943_0 9988_0
0.0 10141_0 9931_1
0.0 9821_0 8866_0
0.0 9741_2 1876_0
0.20148634910583496 9064_0 4388_2
1.2458083629608154 3588_0 7492_7
0.4825739860534668 2384_0 9264_0
0.0 12723_0 1540_0
0.0 9744_1 9865_0
0.0 5204_0 633_0
0.10582637786865234 11116_0 4898_0
0.0 10054_0 11213_0
0.0 13165_0 10939_3
0.0 11827_0 9835_1
0.0 1644_0 615_0
0.0 642_0 2836_2
0.0 13090_0 8003_0
0.0 9771_0 7388_0
1.5587451457977295 288_1 1831_0
0.0 8284_0 1378_1
0.0 8624_0 13420_0
0.0 3266_1 10752_0
0.17740154266357422 8369_0 1419_2
0.11495733261108398 13757_0 6763_0
0.0 1345_0 9675_0
0.005839347839355469 4051_0 8982_0
0.0 7764_0 10816_0
0.9656093120574951 11127_0 7745_0
0.0 10546_0 702_0
0.6439299583435059 11757_0 3676_1
0.0 1707_0 2046_0
0.7381815910339355 8284_0 12114_0
0.6342611312866211 3633_0 1379_0
0.6337466239929199 2063_0 1419_1
0.0 9313_0 9389_0
0.0 8068_0 4316_0
0.0 9767_1 713_0
0.0 5076_0 2530_0
0.3518509864807129 12112_0 1079_0
0.0 1517_0 4051_0
0.0 1419_3 11399_0
0.26555681228637695 1733_0 4608_0
0.0 45_0 3637_0
0.6179714202880859 9742_1 7606_0
0.0 3264_0 1842_0
0.0 2350_0 11271_0
0.0019383430480957031 12030_0 11220_0
1.6464550495147705 5543_0 9884_0
0.06900596618652344 6957_0 3402_0
0.2368154525756836 9992_6 4745_0
0.0 4684_0 10554_0
0.0 9832_0 3352_0
0.0 8262_0 8287_0
0.0 9696_2 2509_0
1.1718764305114746 9980_0 5953_0
0.5407633781433105 9773_0 7221_0
1.0866363048553467 10546_0 13829_0
0.6729006767272949 3475_0 8468_0
1.4214682579040527 4321_0 9743_2
0.0 9264_0 13205_0
0.0 3696_0 7890_0
0.0 13414_0 12845_0
0.0 9668_2 11109_0
0.0 9822_0 12343_2
0.5560939311981201 9894_0 6978_0
0.0 11263_0 8364_0
0.0 268_3 294_0
0.0 5212_0 6472_0
0.6707882881164551 9714_1 9810_0
0.5536549091339111 9852_0 11248_0
0.0 4284_0 4895_0
0.0 11273_2 7001_2
0.0 5107_0 8974_0
0.0 13526_0 5855_0
0.0 7786_0 1649_1
0.0 1884_0 4395_0
0.0 3716_0 9879_0
0.0 9913_0 13166_0
0.48931407928466797 3245_0 9398_0
0.0 12022_3 1841_0
0.39438962936401367 9545_0 13377_0
1.1584408283233643 1707_0 2362_0
0.7593238353729248 9665_1 6016_2
0.35692310333251953 4041_1 8260_0
1.163100242614746 5288_0 1869_0
0.6517791748046875 7891_0 10373_0
0.0 11135_0 3334_0
0.18038058280944824 5669_0 277_0
0.9830617904663086 9682_0 3481_0
0.0 6604_0 8150_0
0.0 2046_0 5552_1
0.535729169845581 11352_3 9514_0
0.8759579658508301 11119_1 1815_0
0.0 7941_0 11662_0
0.868459939956665 12776_0 5423_0
0.0 3696_0 601_0
0.0 1517_0 10038_0
0.0 3688_2 2081_0
0.0 1292_0 5826_0
0.0 5798_1 9673_3
0.0 2907_0 7294_0
0.0 11248_0 3587_0
1.3042738437652588 1497_2 9649_0
0.0 8143_2 3659_0
0.0 1884_0 13646_0
0.0 7057_2 9634_0
0.0 9547_1 2928_0
0.0 9918_0 1481_0
0.5073223114013672 1507_1 7268_0
0.44737672805786133 1656_0 7057_2
0.0 12721_0 9916_0
0.0 9967_1 5076_0
0.0 3474_0 1963_0
0.386807918548584 5769_0 8626_0
0.0 1848_0 2883_0
0.0 11739_0 10012_0
0.0 4842_0 3264_0
0.0 5107_0 3562_0
1.0874390602111816 10174_0 7217_0
0.0 9992_1 9741_1
0.0 5168_0 6028_0
1.4156403541564941 9799_0 10066_0
0.36748671531677246 3082_0 4887_0
0.0 10816_0 232_0
0.0 9702_0 2515_0
0.0 8436_0 268_3
1.204430103302002 5739_0 3654_0
0.0914316177368164 13403_0 13413_0
0.0 947_0 8104_0
0.0 10698_0 13636_0
0.0 4934_4 4896_0
1.2522022724151611 9939_0 5542_0
0.0 5455_0 9744_2
0.0 13404_2 1658_0
0.09363031387329102 10971_2 9774_0
0.0 1788_0 7750_0
1.0063858032226562 9980_0 1691_0
0.0 9264_0 9946_0
2.0556235313415527 3676_1 3362_0
0.0 8736_0 920_0
0.0 1345_0 9973_0
0.6043579578399658 1944_0 8700_3
0.8377678394317627 4505_0 3760_2
0.0 10018_1 7866_0
0.0 2662_0 13726_0
0.0 2042_0 7491_0
0.0 1963_0 8376_0
0.0 1320_0 8357_0
0.0 947_0 9122_1
0.21721529960632324 10894_0 54_0
0.2683446407318115 35_0 13083_0
0.16306805610656738 1961_1 4692_0
0.0 852_0 13668_0
0.0 11739_0 1585_0
0.0 4911_0 13716_0
0.0 9842_1 2213_1
0.0 2706_1 10231_1
0.0 9716_1 1897_0
0.952862024307251 143_0 10530_0
0.0 3936_0 1995_3
0.0 1697_0 9894_0
1.9547739028930664 8363_0 626_0
0.619225025177002 13721_0 742_0
0.8524501323699951 10001_0 9271_0
0.0 9971_0 13129_0
0.0 8086_1 2737_1
0.0 5301_0 6983_0
0.13846969604492188 1746_0 6944_0
0.01120758056640625 11892_0 6926_0
1.4810211658477783 3688_1 1378_1
1.5671895742416382 13698_0 6734_0
0.0 1507_4 715_1
0.0 9968_1 10608_0
0.0 5666_1 13217_0
0.2390909194946289 1944_0 1468_0
0.8262515068054199 7780_0 10868_0
0.0 11066_0 5166_0
0.09102058410644531 1644_0 11071_0
0.35359692573547363 1699_0 5759_2
0.8223731517791748 6068_0 10634_0
0.7044262886047363 2865_0 6807_0
1.2822270393371582 3688_2 9767_2
0.0 9669_0 3218_0
0.0 8429_0 1417_0
0.9011602401733398 3362_0 10608_0
0.0 445_0 9882_1
0.0 1657_0 9149_0
0.0 925_1 474_0
0.0 2865_0 13430_0
1.229355812072754 6348_0 7339_0
0.0 4851_0 6904_0
0.0 10597_0 3734_0
0.0 4795_0 3452_0
0.0 8207_0 9658_2
0.3124823570251465 526_0 3680_0
0.0 5759_2 4886_2
0.0 5542_0 8961_0
0.4394419193267822 5241_0 3081_0
0.5927786827087402 1324_0 8534_0
0.7719457149505615 10871_1 10746_1
0.0 13622_0 5157_0
0.7163138389587402 5107_0 1713_0
0.0 5769_0 484_0
0.5721068382263184 10631_0 2365_0
0.4312906265258789 8700_1 6382_0
0.0 2374_2 9988_0
0.0 5113_0 13937_0
0.0 11231_0 4183_0
1.1519505977630615 2377_1 2894_0
0.0 10066_0 8330_0
0.3480997085571289 7899_0 1298_2
0.7576451301574707 5241_0 5958_0
0.0 616_0 10766_0
1.117450475692749 1746_0 2097_0
0.20167040824890137 3474_0 1492_1
0.0 13945_0 9582_0
0.4033045768737793 3684_2 12022_3
0.8242602348327637 5353_0 11352_2
0.0 11365_0 1240_0
0.0 6890_0 2928_0
0.2413628101348877 9821_0 9992_1
0.0 7257_0 8369_0
0.945554256439209 9699_0 8771_0
0.0 9621_0 4962_2
0.0 9530_0 9893_0
0.0 11480_1 13712_0
0.5463089942932129 11405_0 7144_2
0.0 2592_0 6968_0
0.0 499_0 4641_2
0.0 982_0 5241_0
1.3900339603424072 4019_0 13406_0
0.9017543792724609 2768_0 11652_0
0.8438444137573242 12385_0 12171_0
0.294097900390625 5448_1 12159_0
0.17770075798034668 2996_0 5695_0
0.3990795612335205 1898_0 11091_0
0.0 6699_1 9678_0
0.42978525161743164 9066_0 2374_1
0.0 1737_2 184_0
0.0 9521_0 3684_2
0.0 1419_4 2004_0
0.0 7193_0 12385_0
0.7513878345489502 143_0 9616_0
1.0772147178649902 5758_0 11127_0
0.0 294_0 4388_2
0.0 13422_0 9865_0
0.0 1585_0 4891_0
1.2939317226409912 1507_4 9715_2
0.0 13726_0 13415_0
0.0 7580_0 10014_0
0.0 8592_0 282_0
0.12415599822998047 10373_0 5224_0
0.0 9889_0 1869_0
0.335986852645874 8102_0 10022_1
0.2318406105041504 9724_0 148_0
1.2406213283538818 9702_0 10174_0
0.2674880027770996 13128_0 2907_0
0.21607589721679688 5448_2 713_0
0.0 9859_0 8727_4
0.0 9658_1 3246_0
0.0 5759_2 7454_0
0.0 7358_0 9910_0
0.0 9266_0 11776_0
0.0 9714_3 303_0
0.3183565139770508 11965_0 3676_2
