Test loss: 0.5087579901868414

Format: Loss TFAnchor TFNegative 
0.00801759958267212 1674_0 7773_0
0.3453447222709656 8982_0 11450_0
0.08526390790939331 9122_1 2372_0
0.36597567796707153 9743_1 12552_0
0.0 3246_0 3218_0
0.5439741015434265 9821_0 5293_0
0.5254414081573486 3688_1 7160_0
0.9577893018722534 1898_0 13165_0
0.7164642214775085 2515_0 7944_0
0.3717179298400879 1916_0 4418_0
0.6151232123374939 5306_0 9893_0
1.0546895265579224 10430_1 8121_0
0.8802712559700012 1907_0 13224_0
0.7657037377357483 11124_0 8617_0
0.0 7221_0 3696_0
1.018085241317749 9266_0 9126_0
0.3978770971298218 9753_1 2353_0
0.0 6926_0 12854_0
0.1450098752975464 5670_0 5094_0
0.3064501881599426 10222_0 9894_0
0.8350858688354492 9724_0 9935_0
0.46627628803253174 3688_2 11116_0
1.1334673166275024 9744_1 707_0
0.0 5580_0 9792_0
0.020911693572998047 9659_0 3653_0
0.0 7884_0 13610_0
0.35975968837738037 7900_0 3795_0
0.4326157569885254 9313_0 1898_0
0.3084866404533386 8845_0 10334_2
0.7103530168533325 10185_0 2520_0
0.8102436661720276 1825_0 5520_1
0.6196499466896057 9666_1 13636_0
0.6838156580924988 115_0 2297_2
0.27738261222839355 9814_0 8268_0
1.0843555927276611 4361_0 3940_0
0.28302109241485596 3082_0 9841_0
0.015539884567260742 13413_0 13543_0
0.0 3654_0 1374_2
0.0 10375_0 54_0
0.6400401592254639 9547_6 2737_1
0.3895294666290283 6699_1 10048_1
0.5429691672325134 5084_1 11124_0
0.3254395127296448 13634_0 12383_0
0.16093581914901733 282_0 2265_0
0.7265661954879761 7042_0 2515_0
0.8079216480255127 10015_0 3010_0
0.05292201042175293 133_0 8990_0
0.534777045249939 4705_0 3411_0
0.3061089515686035 4308_0 9911_0
0.89459228515625 10217_2 9831_0
0.22615480422973633 9493_0 13430_0
0.0 9080_0 13712_0
0.3265500068664551 11480_1 10631_0
0.7043906450271606 2046_0 12382_0
0.6386855244636536 4880_0 8727_4
0.6870150566101074 13343_0 4985_1
0.37750428915023804 6874_0 3317_0
0.4886094331741333 7109_0 11091_0
0.8740389347076416 1531_0 7057_4
0.47642242908477783 1657_0 1507_5
0.8338812589645386 13411_0 1635_1
0.7946773767471313 4276_0 1507_1
0.5132038593292236 4184_0 9626_0
0.5056219100952148 10631_0 13166_0
0.677136242389679 10035_0 1320_0
0.6009214520454407 10015_0 7950_1
0.8346419334411621 9774_0 5301_2
0.3265805244445801 4641_1 5301_1
0.7312639355659485 2706_1 7950_5
0.49351966381073 8088_0 2468_0
0.7419919967651367 6018_0 928_0
0.7149059772491455 13397_0 9921_1
0.0 13822_0 9353_0
0.0 10573_0 4505_0
0.04176211357116699 27_0 10358_0
0.0 13033_0 2081_0
0.16834181547164917 9738_3 5122_0
0.42749202251434326 1531_0 13734_0
0.6474326848983765 9487_0 1998_0
0.914902925491333 10205_0 11827_0
0.8563222885131836 454_0 1320_0
0.5094796419143677 5341_0 13611_1
0.6462306976318359 11348_0 13204_0
0.36689096689224243 6300_0 633_0
0.056733667850494385 49_0 13716_0
0.6665557026863098 2836_2 6740_0
0.2927585244178772 9772_2 232_0
0.686168909072876 1813_0 8068_0
0.6903433799743652 10761_0 8997_0
0.5638242363929749 4401_1 854_0
0.18968075513839722 8961_0 8233_0
0.7686599493026733 5655_0 1820_0
0.6111437082290649 8068_0 13885_0
0.8946996331214905 9730_1 8982_0
0.32507777214050293 5204_0 4464_0
0.6736758947372437 9757_0 5519_1
0.26815587282180786 9931_1 5465_0
0.521779477596283 7454_0 9980_0
0.2969696521759033 9744_5 7580_0
0.5093874931335449 6699_1 37_0
0.3683185577392578 928_0 8357_0
0.0 3352_0 7355_0
0.9718793630599976 7358_0 9487_0
0.7802194952964783 5742_0 8330_0
0.3330935835838318 4848_0 10628_0
0.3871145248413086 2374_2 11652_0
0.42608535289764404 9991_0 5419_0
0.5099148154258728 1242_0 2695_0
0.0 13704_0 7440_0
0.5348081588745117 5559_0 9772_1
0.6434756517410278 9703_0 8771_0
1.0500534772872925 5732_0 11212_0
0.8007428050041199 7071_0 10011_0
0.901591420173645 3352_0 12894_0
0.25317031145095825 10286_0 5958_0
0.3506275415420532 668_0 2768_0
0.09319049119949341 11273_2 5301_1
0.3272223472595215 5517_1 8631_0
0.6065395474433899 294_0 12382_0
0.8815018534660339 11716_0 10010_1
0.1850821077823639 5958_0 9948_0
0.6557998657226562 5759_4 395_0
0.39397132396698 10871_1 5122_0
0.6298450231552124 1507_2 9897_2
0.2764779329299927 11704_0 248_0
0.5753487348556519 4282_1 13193_0
0.38649672269821167 5518_0 7042_0
0.2721046209335327 713_0 9685_3
0.3883987069129944 9936_0 1687_0
0.7763074636459351 5100_0 5742_0
0.4720178246498108 4955_0 9547_2
0.8296748995780945 9797_0 9846_1
0.8239519000053406 4851_0 10011_0
1.1658114194869995 6745_0 37_0
0.10890752077102661 3654_0 11415_2
0.556460976600647 13186_0 9931_2
0.468936562538147 5084_1 4968_0
0.0 7208_0 5288_0
0.04187828302383423 9409_0 1699_0
0.3751753568649292 6619_0 5861_0
0.0 908_0 4726_0
0.4303162693977356 6957_0 5758_0
0.4140778183937073 7900_0 13634_0
0.683972179889679 8310_0 7746_0
0.7192370891571045 1507_1 11168_0
0.0 9706_0 4041_1
0.4727322459220886 713_0 9787_0
0.36932122707366943 115_0 1774_0
0.9453247785568237 9846_1 9485_0
0.46939152479171753 5798_1 10168_0
0.5714124441146851 5301_1 4418_0
0.6461517214775085 5758_0 9870_0
0.6040665507316589 950_0 2333_0
0.5513049364089966 9796_2 9926_1
0.3558048605918884 5995_0 10008_1
1.0509979724884033 920_0 1497_7
0.5313535332679749 11480_1 10430_2
0.6542574167251587 9815_0 5546_0
0.27767831087112427 2297_4 11066_0
0.0 13623_0 6698_0
0.7370837926864624 928_0 9163_0
0.4654894471168518 928_0 10014_0
0.6635099053382874 4921_1 5735_0
0.1814066767692566 9724_0 10259_0
0.8414542078971863 925_3 4756_0
0.3416210412979126 5855_0 4962_2
0.39764755964279175 13757_0 11455_0
0.6077732443809509 6619_0 13413_0
0.3608969449996948 2384_0 9179_2
0.07526391744613647 615_0 4046_0
0.5669435858726501 5743_0 9856_1
0.0 7221_0 1366_0
0.6373078227043152 3474_0 6028_0
0.1139339804649353 13206_0 4046_0
0.0 9621_0 1020_0
0.21446442604064941 6791_0 5744_12
0.2842475175857544 9669_0 6018_0
0.6930046677589417 8150_0 10002_2
0.569517195224762 12845_0 3017_0
0.6123844385147095 3500_0 9977_0
0.3717753291130066 3588_0 43_0
0.790776789188385 4560_0 7116_0
1.2489169836044312 5559_0 1212_0
0.2610716223716736 5670_0 5709_0
0.725037693977356 707_0 3023_0
0.7508461475372314 6165_0 4911_0
0.36687564849853516 371_0 1898_0
0.41934657096862793 6136_0 9703_0
0.6618238687515259 6619_0 1517_0
0.28309953212738037 3633_0 2374_2
0.8854674100875854 9741_2 2063_0
0.7384562492370605 7899_0 2675_0
0.23457098007202148 9491_0 1025_0
0.5086809396743774 13413_0 9675_0
0.9136916399002075 5798_1 526_0
0.46426284313201904 10049_0 8364_0
0.6760237216949463 9592_0 4031_0
0.9081488847732544 2865_0 7294_0
0.3142746686935425 9787_0 9657_0
0.5341750383377075 7780_0 5469_0
0.31678491830825806 9790_2 1320_0
0.7830999493598938 10513_0 1080_1
0.6741712093353271 7268_0 9712_1
0.0 7955_2 13204_0
0.19875073432922363 2427_0 750_1
0.8471869230270386 4425_0 10963_0
0.0 7257_0 7358_0
0.24820280075073242 12894_0 9547_2
0.15499958395957947 7884_0 8210_0
0.7094919681549072 13609_0 13403_0
0.9343814253807068 9741_2 13698_0
0.09085166454315186 10871_1 13410_0
0.5218938589096069 5419_0 12026_1
0.5868837833404541 10000_0 282_0
0.5882523655891418 819_0 1345_0
0.788772702217102 10121_0 11066_0
0.0 13623_0 4826_0
0.17202109098434448 9264_0 715_1
0.6913304328918457 2654_2 10597_0
0.5482395887374878 4842_0 11234_0
0.5673494935035706 1998_0 12114_0
0.0 6671_2 5122_0
0.9106323719024658 9389_0 11722_0
0.5723007321357727 6890_0 10002_2
0.0 13165_0 3396_1
0.7562269568443298 8700_3 7721_0
0.4297858476638794 2328_0 8233_0
0.6698641777038574 4048_0 11352_3
0.47592592239379883 9715_2 5241_0
0.5246757864952087 13396_0 5301_2
0.6669244170188904 9764_0 2359_0
0.7440935373306274 3475_0 4895_0
0.18365025520324707 4934_4 13713_0
0.8087615966796875 5744_1 3710_0
0.8847416043281555 5241_0 13404_2
0.6336061954498291 6056_1 2849_0
0.2305944561958313 1497_3 10634_0
0.4782785177230835 2463_0 8143_2
0.4665994346141815 5735_0 6671_2
0.7150515913963318 48_1 11890_0
0.6907438635826111 624_0 5315_0
0.7976130843162537 3916_0 12851_0
0.5018190145492554 9846_1 8859_0
1.0125433206558228 4936_0 9755_0
0.4387054443359375 10840_0 10018_1
0.7349650263786316 9893_0 8845_0
1.048300862312317 3696_0 13760_0
0.19152045249938965 7687_0 5554_0
1.0112922191619873 5556_0 913_0
0.7604026794433594 920_0 9735_2
0.5452920198440552 1687_0 11230_1
0.6049799919128418 9741_1 10345_0
0.6583811044692993 499_0 1675_0
0.5740538239479065 27_0 4968_0
0.7187151908874512 9064_0 9909_1
0.0 10013_0 9712_1
0.5103651881217957 5759_4 13166_0
0.6824142932891846 9313_0 10067_0
0.5983047485351562 1897_0 9490_0
0.4061868190765381 2063_0 7182_0
0.6919223666191101 9889_0 1471_0
0.911626935005188 7015_1 8287_0
0.6203659772872925 8078_0 9713_3
0.6022364497184753 9491_0 7016_0
0.31357109546661377 9967_1 3680_0
0.7305448055267334 2209_0 9742_1
0.45159047842025757 1212_0 9709_0
0.34236645698547363 13717_0 854_0
0.5191972255706787 13712_0 9772_1
0.523661196231842 4464_0 13734_0
0.9141939878463745 10816_0 10222_0
0.4994795024394989 9626_0 1240_0
0.08350026607513428 909_0 4138_4
0.9338988065719604 9909_1 1080_1
0.9231687784194946 1470_0 1776_0
0.3591141700744629 6607_0 7294_0
0.49946558475494385 9918_0 4911_0
0.5910670757293701 1975_0 9621_0
0.6922354102134705 4826_0 9744_2
0.4909929037094116 9666_4 9814_0
0.5909289121627808 3643_0 9188_0
0.5939110517501831 11405_0 908_0
0.543718159198761 9280_0 8443_0
0.6730654835700989 1738_0 9545_0
0.507743775844574 9776_1 3441_0
0.26180344820022583 7071_0 5166_0
0.22640037536621094 9965_0 2097_0
1.0303127765655518 865_0 152_0
0.0 9822_0 13636_0
0.5296325087547302 4968_0 4041_2
0.6274580955505371 6164_0 9421_0
0.4321523904800415 12296_0 11711_0
0.5447773337364197 5285_0 1079_0
0.5211805701255798 11965_0 1867_0
0.4345396161079407 4601_0 4895_0
0.6473560333251953 9352_1 7228_0
0.4896898865699768 4410_0 3940_0
0.7776942253112793 11324_0 5848_1
0.0 9971_0 10687_0
0.4361330270767212 1468_0 1961_1
0.43778401613235474 8813_1 925_3
0.5719944834709167 8264_0 2330_0
0.4372164011001587 12369_0 5224_0
0.6227524876594543 7529_0 2654_2
0.5533380508422852 210_0 5509_0
0.1788930892944336 3716_0 10687_0
0.5102164149284363 9869_0 9959_0
0.6514681577682495 4882_0 11167_0
0.16044014692306519 9191_0 470_3
0.5357493162155151 9955_1 1776_0
0.6623592376708984 1656_0 10634_0
0.3539244532585144 5855_0 7386_0
0.7057713270187378 1531_0 10186_0
0.33488327264785767 6430_0 3709_1
0.35429877042770386 10634_0 5899_0
0.7341760993003845 12723_0 4312_0
0.21009641885757446 2374_2 9384_0
0.05030012130737305 2051_0 9971_0
0.37678420543670654 9592_0 6904_0
1.152397632598877 5498_2 3653_0
0.9084860682487488 9853_0 9490_0
0.0 11221_0 13403_0
0.43385130167007446 8624_0 5953_0
0.20145732164382935 10746_2 4608_0
0.5443520545959473 11365_0 11069_0
0.47817540168762207 10513_0 10231_3
1.1660120487213135 925_3 3456_1
0.5692110061645508 4911_0 4922_0
0.4335605502128601 4756_0 906_0
0.37437015771865845 1829_0 3637_0
0.6524874567985535 8966_0 8435_0
0.3518609404563904 11250_0 1873_0
1.0131521224975586 2374_1 9732_0
0.214694082736969 1864_0 3575_0
0.6274760961532593 4962_1 2023_0
0.07668745517730713 10286_0 1944_0
0.7570672035217285 6766_0 7746_0
0.9297086000442505 1691_0 13343_0
0.2878972887992859 9691_0 8093_0
0.5778059363365173 2768_0 2694_1
1.0402889251708984 2095_0 9790_2
0.7984569668769836 7001_2 1339_0
0.5776863098144531 7116_0 10631_0
0.5509721636772156 11402_0 10011_0
0.8496084213256836 9666_1 5552_1
0.47172170877456665 1492_1 5758_0
0.7484205961227417 9722_2 5727_0
1.1952093839645386 9977_0 10068_0
0.028541505336761475 9782_0 9789_1
1.0193575620651245 2515_0 1636_0
0.0 1929_0 9149_0
0.7894856929779053 9744_2 1698_0
0.0 1517_0 1378_1
0.6148721575737 2663_0 9893_0
0.014687836170196533 3442_0 10597_0
0.567305862903595 5301_3 11397_0
0.49569475650787354 5036_0 5709_0
0.8086267709732056 10052_0 484_0
0.2866963744163513 6015_0 5455_0
0.43664491176605225 2265_0 8153_0
0.6632500290870667 9873_0 2362_0
0.1218956708908081 13206_0 3446_0
0.028233587741851807 908_0 1103_0
0.9810200333595276 4848_0 9789_1
0.4874510169029236 4825_0 9910_0
0.43849611282348633 288_2 5556_0
0.9000114798545837 12179_0 9384_0
0.730035126209259 9530_0 11655_0
0.4392833113670349 9994_0 10513_0
0.8429571986198425 7375_0 3680_0
0.32825708389282227 10554_0 5530_0
1.0693964958190918 8376_0 470_1
0.575461745262146 4030_0 3189_0
0.25231707096099854 7916_0 282_0
