Test loss: 0.20356235811591594

Format: Loss TFAnchor TFNegative 
0.0 11391_0 2297_2
0.0 8310_0 9714_4
0.0 9869_0 10816_0
0.0 1863_0 5550_0
0.0 12030_0 1674_0
0.0 1635_1 5666_5
0.0 1140_0 7057_4
0.0 5676_0 10371_0
0.0 11660_0 12337_0
0.0 7417_0 9339_1
0.17893743515014648 2352_3 1059_0
0.0 9271_0 1863_0
0.0 9845_1 48_1
0.0 3441_0 7894_0
0.0 8435_0 5291_1
0.4305081367492676 9516_0 5553_0
3.209887981414795 8700_3 12295_0
0.0 12344_0 3456_1
1.9201161861419678 6734_0 9783_0
0.0 8700_3 11722_0
0.0 7057_2 2129_0
0.0 5709_0 1419_2
0.0 10554_0 3623_0
0.0 13411_0 291_2
0.0 13165_0 13403_0
0.0 7492_1 11772_0
0.0 10971_2 3627_0
0.0 7803_0 1922_0
0.0 3623_0 5656_2
0.0 9253_0 6028_0
0.0 9398_0 5453_0
0.0 3716_0 1817_2
1.5106730461120605 8436_0 8626_0
0.0 10254_0 1299_0
0.0 11246_0 6619_0
0.0 8184_0 1737_2
0.0 7247_0 10043_0
0.0 5670_0 9216_0
1.8869984149932861 2297_2 4804_0
0.0 3643_0 4873_0
0.0 9744_5 7016_0
0.0 11452_0 1800_0
0.0 2063_0 4292_0
0.0 13721_0 8425_0
0.0 9898_0 7492_8
1.913114070892334 8770_0 852_0
0.0 11365_0 5595_0
0.0 541_0 6148_0
0.0 4693_0 4911_0
0.0 1292_0 4316_0
0.0 9981_0 9916_0
3.0835978984832764 3340_0 1481_0
0.0 3082_0 1842_0
0.0 5530_0 5407_0
0.0 13083_0 9521_0
0.0 9787_0 11892_0
0.0 13396_0 11466_0
0.0 13714_0 9955_2
0.0 10795_0 2614_0
0.0 5769_0 9948_0
0.0 2450_2 3575_0
0.0 5744_2 3754_0
0.7507481575012207 9815_0 4896_0
0.0 9675_0 11250_0
0.0 6148_0 11704_0
0.0 7015_1 9616_0
0.0 10056_0 3972_0
0.0 6148_0 3760_2
1.3597900867462158 2359_0 1869_0
0.0 13526_0 1774_0
0.0 1707_0 1895_0
0.4224205017089844 9694_1 3402_0
0.0 10259_0 5550_0
0.0 3557_0 5670_0
0.0 10035_0 3916_0
0.0 2192_0 3245_0
0.0 9790_1 7866_0
0.0 9744_5 1691_0
0.0 9794_0 4388_2
0.0 10372_2 3402_0
0.0 6740_0 10168_0
1.1024746894836426 1096_1 10054_0
0.0 9971_0 8194_0
0.2898387908935547 2530_0 2372_0
1.3378677368164062 1497_1 13628_0
0.0 6148_0 3688_2
0.0 8436_0 9880_1
0.0 9514_0 3206_0
0.0 5542_0 5855_0
0.0 5285_0 1881_0
0.0 207_0 8153_0
0.0 12552_0 9715_1
0.0 2097_0 9841_0
0.0 1934_0 11337_0
0.0 9421_0 6028_0
0.0 9967_2 7686_0
0.0 9122_1 9582_0
0.0 8617_0 8268_0
0.0 4003_0 9741_2
0.0 5551_0 12854_0
0.0 10894_0 13413_0
0.0 1644_0 7863_0
0.0 2209_0 9714_3
0.0 7614_0 10217_1
0.0 7355_0 10022_1
0.0 9772_2 10010_1
0.0 6056_3 7492_8
2.673177480697632 925_3 2260_0
0.0 12344_0 9772_2
0.8145644664764404 1507_6 4704_0
0.0 9939_0 906_0
3.9585325717926025 10075_0 2353_0
0.0 11271_0 10002_3
0.0 3760_2 11352_3
0.0 8310_0 4947_0
0.0 10217_2 7746_0
0.0 9658_1 11653_3
0.8151488304138184 11710_0 9714_1
0.0 7614_0 4895_0
0.0 7454_0 3317_0
0.0 7529_0 3824_0
0.0 2614_0 12345_0
0.0 1054_0 5877_0
0.0 11415_2 1708_0
0.0 294_0 9831_0
0.0 8449_0 11254_0
0.0 1601_0 10068_0
0.0 9757_0 13225_0
0.0 2017_0 1995_2
0.0 13885_0 5898_0
4.310277938842773 2768_0 2694_1
2.00563383102417 9741_1 5675_1
0.21058392524719238 12030_0 11066_0
0.0 9715_2 5208_0
0.0 7193_0 8425_0
0.0 5301_2 3481_0
0.0 470_2 13760_0
0.0 9672_0 10217_1
0.8356733322143555 8445_0 11739_0
0.0 3696_0 4361_0
0.0 2679_0 2134_0
0.0 1863_0 9880_1
0.0 6668_0 487_0
0.0 7529_0 9837_0
0.0 12717_0 5036_0
0.0 9880_1 9668_2
0.0 3643_0 10000_0
0.0 9889_0 1682_1
0.0 1636_0 10404_0
0.0 9927_0 4895_0
0.0 589_0 5423_0
0.0 2333_0 6348_0
0.0 4804_0 3802_0
0.0 13526_0 8357_0
0.0 13626_0 8990_0
0.0 9792_0 6136_0
0.9068255424499512 11365_0 3294_0
0.0 7042_0 8632_0
0.0 9853_0 5470_0
0.0 13721_0 7863_0
0.651120662689209 9893_0 5758_0
0.0 2374_4 4276_0
0.0 10971_2 10022_4
0.0 7491_0 690_0
0.0 5306_0 9669_0
1.6494402885437012 11135_0 1320_0
1.47930908203125 11124_0 9547_3
0.0 8363_0 9968_1
0.0 9474_0 8376_0
2.30360746383667 11127_0 10963_0
1.5266094207763672 5517_1 7066_1
0.0 2509_0 5553_0
0.0 5366_0 4002_0
0.0 920_0 11220_0
0.0 6056_1 905_0
0.0 5200_0 5759_2
0.0 9846_1 3017_0
3.2588272094726562 210_0 12275_0
0.0 10783_0 9696_7
0.0 7388_0 3662_0
0.0 1831_0 9658_5
0.0 5517_1 6300_0
0.5725674629211426 2865_0 8058_0
0.0 9547_1 9885_0
1.425546646118164 9799_0 6766_0
0.0 5448_1 288_2
0.0 7109_0 7000_0
0.0 11653_3 1585_0
0.0 5200_0 11407_1
0.0 288_2 9349_0
0.0 9033_0 115_0
0.0 10372_2 9946_0
1.5143051147460938 13090_0 12844_0
0.0 2023_0 7417_0
0.0 9713_1 2955_0
0.0 8078_0 3352_0
0.0 449_0 1419_4
0.0 10052_0 3362_0
0.0 7884_0 2439_0
0.0 1320_0 53_0
0.13899707794189453 12941_0 1848_0
0.0 12868_0 7866_0
0.0 5511_0 12277_0
0.0 1345_0 9665_1
0.0 9389_0 8143_2
0.9469308853149414 240_0 11348_0
0.0 1664_0 470_2
0.0 916_2 3953_0
0.0 6926_0 10217_2
0.0 11892_0 9444_0
0.0 3456_1 2385_0
0.5844907760620117 3676_1 9735_3
0.0 13413_0 7057_5
0.0 3802_0 5335_0
0.0 8961_0 3754_0
0.0 8651_0 8961_0
0.0 9686_1 9963_1
0.0 1922_0 1895_0
0.0 4041_4 4962_2
0.0 6740_0 10015_0
5.576199054718018 2450_2 11065_0
0.0 10226_0 5473_0
0.26130008697509766 2362_0 3411_0
0.0 4886_2 277_0
0.0 9253_0 4321_0
0.0 7221_0 8979_0
0.0 13814_0 9871_0
0.04212045669555664 4918_0 2374_4
0.0 2654_2 5166_0
0.0 2883_0 5407_0
0.0 4388_2 3557_0
0.0 8088_0 3081_0
0.0 1820_0 1744_0
0.0 9677_1 3553_0
0.0 7751_0 9901_0
0.0 3353_0 9826_0
0.0 1788_0 2662_0
0.0 9790_1 529_0
0.0 3218_0 1891_0
0.0 10971_2 10752_0
0.0 12382_0 13635_1
0.0 12385_0 9749_0
0.0 5113_0 2663_0
0.0 6148_0 9714_3
0.0 5281_0 9911_0
0.044245243072509766 1468_0 5308_0
0.0 8700_1 11658_0
0.0 11312_0 2740_0
1.730978012084961 6766_0 9981_0
0.0 6034_0 1472_1
0.0 8143_2 43_0
0.0 11109_0 4856_0
0.0 9547_2 9977_0
0.0 1299_0 7707_0
0.0 925_2 4019_0
0.0 1470_0 4031_0
0.0 7001_2 11656_0
0.0 13885_0 9884_0
0.0 3610_0 6472_0
0.0 3557_0 6148_0
0.0 9821_0 4358_0
0.0 2883_0 1079_0
0.0 4795_0 3456_1
0.0 5546_0 1417_0
0.0 9963_1 7955_1
0.0 2297_4 7764_0
0.0 9353_0 8566_0
0.0 10178_0 1826_0
0.5898904800415039 7071_0 6265_0
0.0 11742_0 707_0
0.0 1906_0 4138_1
0.0 499_0 11065_0
1.9441237449645996 13669_0 3678_0
0.0 9966_0 9700_1
3.221296787261963 9897_1 1320_0
0.0 10236_0 2246_0
0.0 11405_0 1697_0
0.0 9931_1 5595_0
0.0 4048_0 4406_0
0.0 277_0 1691_0
1.3824348449707031 6766_0 13211_0
0.0 4327_0 4821_0
0.0 4954_0 10371_0
0.0 13715_0 5798_1
0.0 9988_0 2509_0
0.0 9772_2 8261_0
0.9644556045532227 9530_0 2095_0
0.0 12159_0 10066_0
0.0 2213_1 1774_0
0.0 10372_2 6348_0
0.0 13221_0 4505_0
0.0 2530_0 4395_0
0.0 5511_0 5465_0
0.0 454_0 11337_0
0.0 6818_0 4003_0
1.3236126899719238 9776_1 3634_0
0.0 11415_2 13669_0
0.0 11135_0 4003_0
2.961719512939453 4891_0 1494_3
0.0 1746_0 9738_3
0.0 1881_0 9487_0
0.0 7454_0 8145_0
0.0 9967_1 6729_0
0.0 2129_0 13634_0
0.0 13635_1 13194_0
0.0 6604_0 11124_0
0.2452077865600586 8651_0 1497_7
0.0 8813_1 10925_0
0.0 11271_0 13262_0
0.0 7886_0 11069_0
0.0 601_0 13198_0
0.0 7899_0 3637_0
0.0 2039_0 5898_0
0.0 1884_0 5855_0
0.0 6716_0 9907_0
1.5898761749267578 8120_0 4505_0
0.0 3017_0 11722_0
0.0 2706_1 4002_0
0.3132500648498535 9753_1 9352_1
0.0 1078_0 7057_5
0.0 9714_3 4681_0
0.8785572052001953 4003_0 9675_0
0.0 529_0 8143_3
0.0 2674_0 1140_0
0.0 5958_0 88_0
0.0 9516_0 2592_0
0.0 7492_1 10005_0
0.0 1363_0 1746_0
0.0 4308_0 470_2
0.0 7066_1 4914_0
0.0 1080_1 6801_0
0.5822954177856445 4377_0 9722_2
0.0 3623_0 7017_0
0.0 2018_0 615_0
0.0 1674_0 743_0
0.0 3206_0 11263_0
0.0 6759_1 529_0
0.0 6791_0 4464_0
2.011795997619629 12179_0 7873_0
0.0 9714_1 8086_1
0.0 9679_4 615_0
0.967613697052002 7803_0 1657_0
0.0 5542_0 5224_0
0.0 7751_0 12337_0
0.0 2374_5 3456_2
0.0 12552_0 10362_0
0.0 9764_0 5291_1
0.0 11827_0 3625_0
0.0 11109_0 10168_0
0.0 3329_0 115_0
0.0 2297_3 9764_0
0.0 3444_0 7268_0
0.050263404846191406 9729_0 1897_0
0.0 9679_1 13565_0
0.0 1685_0 8700_1
0.0 5826_0 3694_0
0.0 10372_1 10622_0
0.0 11246_0 9767_1
0.5547332763671875 9582_0 1603_0
0.0 8260_0 4464_0
0.0 4962_1 4240_0
0.0 248_0 499_0
0.0 445_0 2097_0
0.0 1481_0 6874_0
0.0 3709_1 7388_0
0.0 12022_3 8194_0
1.7706754207611084 13725_0 2362_0
0.0 9417_0 9632_0
0.0 4968_0 13412_0
0.7431902885437012 9666_1 10573_0
0.0 3717_0 7746_0
0.0 2509_0 1472_1
0.0 5669_0 9676_0
0.0 13945_0 9845_1
1.2214481830596924 4395_0 9879_0
0.0 3780_0 11220_0
0.0 1324_0 10707_0
0.0 4636_0 10015_0
0.0 916_2 828_0
0.0 8078_0 13422_0
0.0 9822_0 1320_0
0.0 2297_4 9666_4
0.0 2662_0 624_0
0.0 7109_0 9897_1
2.660482883453369 3940_0 8624_0
0.0 10056_0 707_0
0.0 10050_0 12776_0
0.9330127239227295 1127_0 3334_0
0.0 4030_0 2099_0
0.0 9845_1 2463_0
0.0 9663_0 115_0
0.0 10217_2 3623_0
0.0 9807_1 10347_0
0.0 10059_1 13403_0
0.0 9821_0 4943_0
0.0 5744_12 8364_0
0.0 2450_2 9842_1
4.521419048309326 4051_0 12295_0
0.0 9550_0 9842_1
0.0 7974_0 5559_0
0.0 3717_0 541_0
0.0 11066_0 9967_1
0.49292898178100586 4955_0 9880_1
0.0 7745_0 7013_0
0.0 9264_0 143_0
0.0 3633_0 8264_0
0.0 12721_0 2070_0
0.0 5285_0 48_1
0.0 11263_0 2829_0
0.0 1182_0 9943_0
0.0 3441_0 12159_0
0.0 5759_2 3244_0
0.0 4601_0 4240_0
0.0 1934_0 1867_0
0.0 10043_0 9897_1
0.0 3688_2 10573_0
0.0 13194_0 13717_0
0.0 7890_0 4380_1
0.0 2297_3 10840_0
2.044255018234253 9906_0 1339_0
0.0 13628_0 12552_0
0.0 10141_0 9673_6
0.0 9713_1 7491_0
0.29759836196899414 8770_0 2084_0
0.0 5655_0 6331_3
0.0 9829_0 11246_0
0.0 8813_1 4747_0
0.0 13212_0 1815_0
0.0 1963_0 7820_0
0.5879850387573242 2384_0 9981_0
4.245932102203369 9767_1 1627_0
0.3060736656188965 2374_4 5301_0
0.0 1080_1 9769_0
0.0 13226_0 7182_0
0.0 13698_0 5448_1
0.0 5735_0 9742_1
0.0 13377_0 12868_0
0.0 9724_0 1103_0
0.0 6451_0 1967_0
1.718998908996582 925_3 3331_0
0.0 1378_1 1020_0
0.0 2129_0 6968_0
3.100771427154541 11213_0 11409_2
0.0 9409_0 11965_0
0.0 9963_1 9991_0
0.0 6300_0 953_0
0.0 10001_0 9755_0
0.0 4262_0 10628_0
3.5843124389648438 9981_0 1472_1
0.0 7375_0 13717_0
0.0 12854_0 13829_0
2.3491926193237305 9832_0 11652_0
0.6039683818817139 8357_0 3402_0
0.0 5094_0 1925_0
0.0 1907_0 9666_1
0.0 5530_0 4282_1
0.0 4826_0 8974_0
0.0 9792_0 1816_0
0.0 9814_0 3317_0
0.0 947_0 4748_0
0.0 1463_0 10573_0
0.0 7790_0 1472_3
0.0 7918_0 11965_0
0.0 7873_0 1774_0
0.0 11722_0 4705_0
0.0 10035_0 318_0
0.0 13128_0 10925_0
0.0 11198_0 10787_0
0.0 9516_0 9913_0
0.0 5744_12 3588_0
