Test loss: 0.5764717201402497

Format: Loss TFAnchor TFNegative 
0.0 9694_1 2091_0
0.0 9696_2 947_0
0.0294952392578125 13717_0 9514_0
0.0 13406_0 9831_0
0.0 10052_0 301_1
2.4771852493286133 8997_0 8429_0
1.0229711532592773 5518_0 6766_0
0.0 13223_0 1801_0
0.0 4041_4 3034_0
0.0 1299_0 8068_0
0.1056375503540039 4745_0 1540_0
0.0 9080_0 1324_0
0.0 5321_0 5552_1
0.0 387_0 11466_0
0.9424381256103516 2362_0 2996_0
0.0 8143_2 9814_0
0.0 48_1 13725_0
0.31467247009277344 1813_0 10049_0
0.0 5473_0 9414_0
1.2502384185791016 993_1 4196_0
0.1280660629272461 9744_1 9547_8
0.0 4505_0 7780_0
0.31237030029296875 9974_2 6573_0
0.2877340316772461 9869_0 10334_2
0.0 1507_1 11397_0
0.0 9938_0 2566_0
0.0 13033_0 13638_0
0.49128055572509766 2614_0 13530_0
0.22504138946533203 9547_8 5742_0
0.0 3716_0 11371_0
0.0 6604_0 5732_0
0.0 11397_0 9398_0
0.0 1690_0 4418_0
0.26667118072509766 3662_0 9991_0
4.1790313720703125 11450_0 9474_0
0.0 4880_0 10168_0
0.0 4464_0 7764_0
0.0 7750_0 11423_0
0.0 10226_0 7454_0
0.6983156204223633 9349_0 7916_0
0.0 2520_0 9910_0
0.0 1657_0 5524_0
0.0 13129_0 8150_0
0.8769035339355469 2374_2 9772_2
1.2395009994506836 8997_0 6551_0
0.0 8417_0 6926_0
0.0 1497_7 9954_0
0.0 13640_0 9991_0
0.0965738296508789 4608_0 5469_0
0.0 12344_0 534_0
0.0 1378_1 9738_3
4.609145164489746 9893_0 9853_0
0.0 9592_0 1713_0
0.0 10259_0 9489_0
0.0 9870_0 9682_0
0.0 11216_0 1995_2
0.0 4891_0 9769_0
0.33916664123535156 529_0 4705_0
0.0 8966_0 210_0
0.0 9720_0 13166_0
0.0 4292_0 7223_0
0.0 3362_0 371_0
0.0 9673_1 4804_0
0.0 3245_0 9389_0
1.6729917526245117 7355_0 10001_0
0.5188083648681641 10014_0 12114_0
0.0 1974_1 4636_0
4.6561689376831055 4282_2 11480_1
1.4704294204711914 10058_0 4898_0
1.0351190567016602 6740_0 40_0
0.4601907730102539 4308_0 9675_0
0.8241119384765625 9545_0 7695_0
0.0 4896_0 9873_0
0.0 5389_0 9815_0
0.0 6926_0 2492_0
0.42842674255371094 4240_0 12552_0
0.0 10205_0 9253_0
0.0 8435_0 8468_0
0.0 8417_0 7791_0
0.0 9622_0 1884_0
1.5058813095092773 6740_0 8145_0
0.0 5301_0 1212_0
0.0 9957_0 8093_0
4.007390975952148 9516_0 7730_0
0.0 13725_0 4401_1
0.0 13194_0 10530_0
0.0 10002_1 7071_0
0.0 2768_0 5559_0
0.0 5470_0 1690_0
0.0 2322_0 9668_5
9.187297821044922 8592_0 9822_0
0.0 9699_0 7386_0
0.0 7221_0 5524_0
0.0 9409_0 7580_0
3.8626441955566406 10766_0 1814_2
1.4122810363769531 2359_0 3441_0
0.0 2046_0 7899_0
0.0 8210_0 4922_0
0.0 9845_1 9444_0
1.5064544677734375 8264_0 5448_1
3.1765851974487305 2605_0 12087_0
0.0 5995_0 11283_0
1.1086921691894531 1898_0 277_0
0.5405759811401367 395_0 5341_0
0.0 7417_0 10766_0
3.552431106567383 2520_0 11343_0
1.0880517959594727 2654_2 13396_0
0.0 8417_0 1305_0
0.0 11273_2 9682_0
0.0 13262_0 6801_0
0.0 12616_0 8815_0
0.0 10075_0 1531_0
0.0 8143_2 9846_1
0.0 4003_0 9955_2
0.3963508605957031 6716_0 6267_0
0.0 5737_0 10628_0
0.30820369720458984 2614_0 5936_0
0.0 3082_0 9744_1
0.9168586730957031 12179_0 8744_0
0.251708984375 5676_0 2097_0
0.0 9783_0 9729_0
0.0 9927_0 9668_5
0.0 668_0 8684_0
0.0 4464_0 1662_2
0.235870361328125 6331_2 1643_0
0.5199871063232422 9819_1 3669_0
0.0 11324_0 7974_0
0.0 8143_3 9814_0
0.0 3608_0 8145_0
0.0 9703_0 11365_0
0.0 5759_7 4981_2
0.0 11352_2 9712_1
0.0 4851_0 3653_0
0.0 4891_0 7741_0
1.6032943725585938 9485_0 7529_0
0.0 13090_0 13206_0
0.08714962005615234 1497_2 9073_0
0.0 633_0 9730_1
3.1333189010620117 11662_0 9744_2
4.588134765625 702_0 9225_0
0.0 4880_0 1776_0
2.1416187286376953 9815_0 10707_0
0.0 9918_0 10321_0
0.0 7899_0 7492_1
0.0 5547_1 9835_1
0.0 6791_0 2213_1
1.1332311630249023 8309_0 2065_0
0.0 2328_0 484_0
0.0 9829_0 4968_0
1.046875 13565_0 1468_0
1.0698089599609375 5898_0 4922_0
0.0 5580_0 6144_0
0.0 9216_0 9179_2
0.0 9960_1 9810_0
0.0 3693_0 4641_2
0.0 5448_1 133_0
0.0 9977_0 5729_0
2.0304269790649414 2095_0 9655_0
0.0 5826_0 12894_0
0.0 11300_0 6068_0
0.0 4684_0 5735_0
2.3719587326049805 1240_0 9799_0
0.0 12386_0 12776_0
0.0 5113_0 9669_0
0.0 2463_0 12275_0
0.0 11116_0 7116_0
0.0 9991_0 4608_0
0.0 13217_0 12930_0
0.0 13186_0 5546_0
0.0 9666_4 5958_0
0.0 9567_1 9353_0
0.0 9691_0 8120_0
4.010285377502441 4918_0 1053_0
0.0 9954_0 11167_0
0.0 1656_0 1025_0
0.30596065521240234 2328_0 4842_0
0.0 9706_0 9904_0
2.982858657836914 9066_0 484_0
0.0 6527_0 9984_0
0.0 1872_0 2996_0
0.0 9080_0 7944_0
0.0 13422_0 13721_0
0.0 12797_0 9679_4
0.0 6148_0 13128_0
0.0 1975_0 11784_0
0.0 302_0 957_0
0.0 8624_0 9516_0
0.0 9673_5 1419_1
0.0 2018_0 1872_0
0.0 3608_0 8330_0
0.0 12295_0 3634_0
0.9181642532348633 8003_0 7057_4
1.747422218322754 8566_0 6124_0
0.0 9670_1 8843_0
0.0 10254_0 9516_0
0.25286865234375 6519_0 9703_0
0.0 6818_0 5655_0
0.4169654846191406 9852_0 9849_1
0.0 928_0 1848_0
0.18589401245117188 5877_0 7759_0
0.0 5366_0 8425_0
0.0 13814_0 1801_0
0.0 10746_2 9514_0
0.43965816497802734 2895_0 4887_0
0.0 474_0 13221_0
0.0 10372_1 1699_0
0.0 9865_0 1507_2
0.8965177536010742 5511_0 3634_0
0.0 13217_0 13193_0
0.0 1374_2 13823_0
0.0 624_0 1922_0
0.0 9971_0 1730_0
0.0 1547_0 2955_0
0.8468208312988281 12295_0 12087_0
0.9227066040039062 9702_0 10049_0
0.18610668182373047 5556_0 8736_0
0.2924308776855469 2123_0 7695_0
0.0 13033_0 8425_0
0.0 12527_0 7695_0
3.944869041442871 4749_0 148_0
0.10553455352783203 2865_0 8068_0
0.0 2674_0 13623_0
2.263887405395508 9353_0 2097_0
0.8457431793212891 3936_0 9935_0
0.0 6267_0 6124_0
0.0 5204_0 54_0
0.28620052337646484 9137_0 1746_0
0.0 10048_1 6946_0
0.0 9631_0 6451_0
0.0 6267_0 1777_0
0.0 9673_1 10231_3
0.1324625015258789 7974_0 9658_4
0.0 49_0 2374_2
0.690892219543457 9741_1 2018_0
0.0 9715_2 11352_2
0.0 9822_0 9686_1
0.0 8261_0 7173_0
0.0 9977_0 9897_1
0.1925182342529297 11135_0 541_0
0.0 5353_0 7057_2
0.6329135894775391 3411_0 8770_0
0.0 9706_0 8727_5
0.0 2948_0 207_0
0.0 11716_0 11213_0
0.0 5706_0 3587_0
0.2235097885131836 6165_0 7584_0
0.0 5759_4 9713_3
0.10397529602050781 6716_0 2146_0
0.0 5293_0 7294_0
0.0 6968_0 118_0
4.27701473236084 1242_0 11274_1
0.0 5826_0 10597_0
1.2714834213256836 13188_0 2080_0
0.0 3957_0 6165_0
0.7426662445068359 10064_0 9225_0
1.9604339599609375 10446_0 1632_0
0.0 12847_0 3331_0
0.0 4882_0 5706_0
0.0 3696_0 7299_0
0.5484943389892578 1906_0 13090_0
1.7221593856811523 9842_1 13698_0
0.0 7071_0 5084_1
0.0 3474_0 1054_0
0.0 13634_0 4969_0
0.9762811660766602 1727_0 11415_2
3.3349599838256836 3709_1 12847_0
1.3130559921264648 9696_2 11206_0
0.7006521224975586 1876_0 8588_0
4.064752578735352 8624_0 9163_0
0.0 1628_0 13838_0
0.0 13668_0 6763_0
0.0 1628_0 9066_0
0.0 1382_0 5732_0
0.0 13403_0 1733_0
0.0 8145_0 1961_1
0.0 10174_0 9837_0
2.04360294342041 7268_0 2883_0
0.0 8966_0 2363_1
2.9704790115356445 10259_0 5699_31
0.0 6745_0 3088_1
0.9652290344238281 5455_0 10024_0
0.0 9743_1 10476_0
0.0 1800_0 2002_0
0.0 5731_0 10816_0
1.0809412002563477 2363_1 4284_0
0.0 11220_0 2385_0
0.0 3017_0 5758_0
0.0 7955_2 6745_0
0.0 5465_0 1458_0
0.19359397888183594 8309_0 9163_0
0.0 13406_0 1744_0
1.1946191787719727 1727_0 10217_2
0.0 1507_5 5936_0
0.0 11116_0 9849_1
0.0 9264_0 11772_0
0.0 1884_0 9631_0
0.0 1929_0 3610_0
0.0 13343_0 12295_0
1.2104921340942383 5729_0 1703_0
1.1997289657592773 5200_0 11354_0
0.005939483642578125 12343_2 4985_1
0.0 6527_0 9421_0
0.0 10049_0 10362_0
0.0 6619_0 4882_0
0.0 10043_0 11365_0
0.0 2074_0 925_3
1.2777824401855469 2515_0 9935_0
0.598236083984375 1733_0 2143_0
0.0 13704_0 6983_0
1.1544904708862305 1644_0 11653_2
0.0760354995727539 3481_0 115_0
0.0 9930_1 8310_0
0.0 13704_0 3587_0
0.0 2463_0 5419_0
0.0 13712_0 10634_0
0.8997230529785156 7066_1 13413_0
1.1668901443481445 9271_0 6451_0
0.0 11221_0 12334_0
0.0 1643_0 13715_0
4.157217025756836 9713_1 9413_1
0.0 1299_0 4726_0
0.0 9716_1 11397_0
0.0 9672_0 1238_0
0.0 1657_0 9149_0
0.0 8584_0 7881_0
0.0 13640_0 819_0
0.0 1975_0 9939_0
0.0 7918_0 7221_0
5.242196083068848 2996_0 10404_0
1.0624818801879883 10446_0 9409_0
0.0 4795_0 5744_2
1.0093059539794922 5520_1 11890_0
0.0 2463_0 40_0
0.0 3474_0 4138_2
1.0790328979492188 1417_0 9846_3
0.0 4292_0 3334_0
0.3061408996582031 8102_0 9819_1
0.0 3245_0 11232_0
0.32812976837158203 586_0 1345_0
0.0 13822_0 1417_0
1.0991249084472656 2706_1 5453_0
0.30035972595214844 4652_0 6734_0
0.0 11740_0 2099_0
0.0 1660_0 2674_0
0.0 3824_0 11414_0
0.23024749755859375 9790_1 11415_2
0.0 2051_0 5419_0
1.2806320190429688 10024_0 5281_0
0.0 4192_0 1864_0
0.6430912017822266 10217_2 12114_0
0.0 7687_0 7362_0
0.0 4795_0 1497_2
0.0 5669_0 4425_0
0.09579086303710938 529_0 9972_1
0.0 9163_0 9669_0
0.0 4388_2 3734_0
4.080813407897949 5995_0 11396_0
0.0 7109_0 8310_0
3.274181365966797 2865_0 12344_0
0.3497323989868164 1497_3 1320_0
0.0 9673_3 5288_0
1.4788265228271484 4825_0 5530_0
0.017600059509277344 10015_0 5550_0
0.0 8207_0 2099_0
0.0 454_0 1884_0
0.0 9832_0 13569_0
0.0 7257_0 925_1
0.0 3717_0 1419_1
1.5831804275512695 2996_0 1813_0
0.0 10015_0 2372_0
0.0 9547_1 9677_1
0.0 4115_0 5509_0
0.3696479797363281 9753_1 5797_0
10.01386833190918 5861_0 9352_1
0.0 8588_0 8264_0
0.0 9965_0 12842_0
0.2034292221069336 10372_1 3072_0
1.738917350769043 1961_1 8376_0
0.029590606689453125 9906_0 633_0
0.0 916_2 9889_0
0.14518260955810547 5301_2 1925_0
1.6938447952270508 1287_0 13725_0
0.2620553970336914 13719_0 2725_0
0.34717845916748047 5861_0 7987_0
0.0 5473_0 7678_0
0.0 8974_0 1698_0
0.0 9918_0 1898_0
4.277545928955078 2520_0 9673_6
0.9028377532958984 152_0 4693_0
0.0 7013_0 4886_2
0.4586210250854492 9960_1 4149_0
3.8533153533935547 454_0 9735_1
0.5352592468261719 3734_0 5423_0
0.577580451965332 9821_0 9629_0
0.6063194274902344 1848_0 7759_0
0.0 9880_1 9712_1
0.0 474_0 5423_0
0.08888435363769531 586_0 8771_0
0.37564754486083984 8997_0 2039_0
1.3650102615356445 12776_0 133_0
0.5660467147827148 4749_0 7584_0
0.11045551300048828 9790_1 1468_0
0.0 9177_0 7454_0
0.45334720611572266 707_0 10046_0
1.0594673156738281 9682_0 27_0
1.4562435150146484 3266_1 10068_0
0.0 12844_0 13262_0
0.0 10761_0 9915_0
0.0 1463_0 8966_0
0.0 2257_0 9918_0
0.36600589752197266 9398_0 12855_0
0.5439472198486328 4282_1 4406_0
0.0 11397_0 12844_0
0.629704475402832 9965_0 13194_0
0.0 9670_1 9816_1
0.0 2333_0 12843_1
0.0 9690_0 7751_0
0.0 9884_0 9635_0
0.0 7751_0 1708_0
0.0 5759_4 10168_0
0.3678455352783203 6165_0 5524_0
0.11620044708251953 9668_2 10542_1
0.0 10174_0 908_0
0.5239238739013672 7759_0 1737_2
0.0 5759_7 4401_1
0.0 7751_0 11652_0
0.017818450927734375 7146_1 13822_0
0.0 1929_0 3634_0
0.6060943603515625 5523_0 10018_1
3.295039176940918 8632_0 5166_0
0.0 9547_3 8264_0
2.2450265884399414 5798_1 1744_0
0.0 7899_0 4704_0
0.0 13404_2 1922_0
0.0 1831_0 5936_0
0.06398963928222656 1738_0 1643_0
1.1781539916992188 2374_2 12836_0
9.294506072998047 6519_0 9703_0
