Test loss: 0.13284870469768098

Format: Loss TFAnchor TFNegative 
0.0 7941_0 9822_0
0.0 7193_0 1540_0
0.3256669044494629 9734_0 2586_0
0.0 4684_0 4902_0
0.0 9963_4 4985_1
0.20127296447753906 6382_0 6964_0
0.0 2374_2 2257_0
0.019368648529052734 4601_0 7042_0
0.0020101070404052734 10001_0 88_0
0.0 9796_2 3760_2
0.0 6604_0 3189_0
0.0 6267_0 615_0
0.0 4756_0 210_0
0.0 13165_0 10430_2
0.4132249355316162 1635_1 8145_0
0.0 13817_0 9685_4
0.0 3101_0 5899_0
0.12659883499145508 10871_1 54_0
0.586756706237793 13377_0 3082_0
0.0 1497_7 6136_0
0.0 1470_0 10777_3
0.0 487_0 4167_0
0.0 10783_0 10894_0
0.7882769107818604 3627_0 1730_0
0.3254423141479492 4332_1 9831_0
0.0 2033_0 13206_0
0.10233497619628906 9699_0 5542_0
0.0 1983_0 5706_0
0.0 9910_0 9767_1
0.0 4811_0 1470_0
0.0 12527_0 8815_0
0.0 1897_0 1682_1
0.4305708408355713 2353_0 1981_0
0.16585397720336914 4002_0 819_0
0.7240726947784424 1287_0 9771_0
0.1475052833557129 4115_0 13262_0
0.2176196575164795 11466_0 7182_0
0.4703885316848755 6668_0 7492_1
0.08731627464294434 3694_0 9800_1
0.0 9716_1 909_0
0.36607861518859863 288_2 6664_0
0.0 5036_0 9897_1
0.0 3802_0 1585_0
0.6814333200454712 11235_0 9865_0
0.0 925_1 4896_0
0.0 10013_0 3300_0
0.3503072261810303 5521_0 11352_4
0.5096043348312378 9722_2 1299_0
0.0 12855_0 6766_0
0.20752644538879395 3562_0 2374_4
0.0 1497_1 11892_0
0.10773038864135742 10597_0 7066_1
0.03908538818359375 11343_0 2004_0
0.1293858289718628 11066_0 7881_0
0.0 1547_0 9550_0
0.0 1299_0 5855_0
0.0 8771_0 5669_0
0.0 5301_0 3454_0
0.0 8260_0 9921_1
0.0 9714_3 10179_0
0.9680447578430176 1324_0 454_0
0.6593797206878662 3662_0 13411_0
0.13664746284484863 13719_0 11660_0
0.12850284576416016 13829_0 9675_0
0.40645408630371094 10054_0 9179_2
0.0 3710_0 6946_0
0.0 5293_0 9879_0
0.3622605800628662 13217_0 12277_0
0.06961476802825928 9709_0 2213_1
0.0 13712_0 1339_0
0.01938009262084961 5729_0 10056_0
0.0 4402_0 8813_1
0.0 13716_0 5223_0
0.0 7786_0 8443_0
0.11994099617004395 11653_3 5301_0
0.0 9521_0 2740_0
0.009399890899658203 11343_0 13698_0
0.02967047691345215 6890_0 9735_2
0.3704671859741211 9807_1 10260_0
0.0 1507_6 9992_6
0.0 7424_0 4918_0
0.0 1813_0 11784_0
0.0 9955_1 1963_0
0.0 13184_0 9792_0
0.0 5744_12 9179_2
0.0 4804_0 8760_0
0.0 9363_0 13945_0
0.0 9829_0 13411_0
0.0 13725_0 7339_0
0.3381209373474121 5353_0 5523_0
0.0 5735_0 11115_0
0.0 4939_0 294_0
0.5193127393722534 9363_0 1691_0
0.0 8003_0 11216_0
0.0 7299_0 11704_0
0.0 8143_2 48_1
0.13457369804382324 454_0 11283_0
0.0 2081_0 1497_1
0.415982723236084 4017_0 12179_0
0.0 499_0 10840_0
0.16439473628997803 3709_1 10178_0
0.11414003372192383 499_0 2192_0
0.0 5729_0 3625_0
0.0 11135_0 9142_0
0.3895719051361084 2708_0 3189_0
0.04837465286254883 2909_0 6056_3
0.656782865524292 2654_2 6926_0
0.0 4327_0 3654_0
0.0 4887_0 10236_0
0.0 9782_0 3795_0
0.04131007194519043 2774_0 9755_0
0.48413383960723877 6699_1 10597_0
0.0 13698_0 9694_1
0.0 3266_1 1708_0
0.0 9686_1 7492_5
0.6847801208496094 487_0 12382_0
0.15226280689239502 8451_0 9728_1
0.0 4377_0 7944_0
0.0 2427_0 10001_0
0.0 4641_2 5504_0
0.0325314998626709 10552_0 10260_0
0.25499844551086426 5455_0 4896_0
0.0 3676_2 6801_0
0.4355738162994385 10746_1 2023_0
0.33359622955322266 6573_0 10404_0
0.0 4882_0 4821_0
0.0 13721_0 248_0
0.858966588973999 10321_0 13626_0
0.26700830459594727 1635_1 9945_0
0.26995670795440674 13824_0 11283_0
0.0 6265_0 9992_6
0.0 9968_1 4196_0
0.31569600105285645 5936_0 4636_0
0.0 6664_0 5718_0
0.0 7339_0 8455_0
0.13891315460205078 8088_0 9722_3
0.1482851505279541 8104_0 8121_0
0.0 3246_0 10963_0
0.0 1382_0 4406_0
0.23480558395385742 9744_1 12619_0
0.0 9749_0 9824_0
0.0 10058_0 3654_0
0.0 12847_0 10121_0
0.0 13698_0 2830_1
0.0 13814_0 7678_0
0.0 9277_0 13187_0
0.0 129_0 13204_0
0.0 11740_0 2213_1
0.38677167892456055 1881_0 8771_0
0.0 9080_0 10186_0
0.0 9893_0 7492_5
0.035672664642333984 12112_0 9754_0
0.0 2605_0 9530_0
0.0 8364_0 2486_0
0.0 5204_0 4361_0
0.3914964199066162 11466_0 2883_0
0.0 5877_0 10260_0
0.3721942901611328 4887_0 2895_0
0.0 11276_0 1817_2
0.0 3340_0 240_0
0.5939199924468994 9753_1 2377_1
0.0 6926_0 13641_0
0.15874886512756348 9992_6 9735_3
0.0 2849_0 9994_0
0.0 526_0 9794_0
0.5250687599182129 1287_0 9904_0
0.0 9772_2 10554_0
0.5198992490768433 4914_0 10554_0
0.47919631004333496 1419_1 4388_2
0.20856988430023193 10043_0 8815_0
0.05980396270751953 5683_1 1813_0
0.29043149948120117 3696_0 5281_0
0.3221641778945923 2018_0 9277_0
0.10064983367919922 35_0 10371_0
0.10174906253814697 9033_0 11352_4
0.25647056102752686 10067_0 4388_2
0.0 9853_0 803_0
0.10356855392456055 7071_0 9757_0
0.2860250473022461 8429_0 13543_0
0.0 4041_4 43_0
0.0 5548_0 9349_0
0.0 7208_0 3218_0
0.0 5036_0 10068_0
1.0176048278808594 5301_3 5743_0
0.34183764457702637 9245_0 2145_0
0.04821300506591797 2566_0 8445_0
0.0 9772_2 12854_0
0.31859731674194336 1664_0 9880_1
0.0 6165_0 13723_0
0.14805221557617188 7891_0 4902_0
0.0 1628_0 2805_0
0.13499784469604492 10286_0 13270_0
0.09238266944885254 3940_0 9664_1
0.31125712394714355 9773_0 13415_0
0.16041886806488037 3594_0 1814_2
0.24010396003723145 9749_0 13829_0
0.0 9845_1 4377_0
0.0 9909_1 9685_4
0.04870748519897461 4051_0 9953_1
0.09887421131134033 7741_0 5479_0
0.4897758960723877 7751_0 7057_5
0.0 3717_0 13128_0
0.0 13829_0 5504_0
0.0 5546_0 9655_0
0.0 7193_0 13714_0
0.10739898681640625 10746_1 9948_0
0.07373499870300293 1657_0 12112_0
0.0023641586303710938 5455_0 13198_0
0.0 8075_0 4943_0
0.0 1863_0 9845_1
0.0 7918_0 4308_0
0.8018639087677002 9530_0 10058_0
0.0 1517_0 5727_0
0.0 13557_0 947_0
0.0 10746_2 2145_0
0.0 1603_0 3081_0
0.0 5580_0 9712_1
0.27643752098083496 1507_3 10567_0
0.0 13716_0 172_0
0.590768575668335 2004_0 10217_1
0.0 9832_0 4921_1
0.0 11754_0 11704_0
0.0 6136_0 3017_0
0.16162919998168945 10634_0 2559_0
0.07025861740112305 4681_0 11423_0
0.0 2520_0 13404_2
0.0 5157_0 8376_0
0.3269381523132324 9767_2 5699_15
0.17453575134277344 2679_0 5419_0
0.0 13343_0 10049_0
0.0 4184_0 4282_1
0.0 3329_0 10005_0
0.5087673664093018 291_2 13734_0
0.0 2209_0 11399_0
0.0 5200_0 7228_0
0.0 13033_0 10554_0
0.5771020650863647 2509_0 9363_0
0.0 1826_0 9621_0
0.5161157846450806 9713_1 8982_0
0.0 6573_0 12797_0
0.19632458686828613 5301_2 1495_0
0.31284868717193604 925_1 3659_0
0.060185790061950684 9724_0 9963_1
0.027984142303466797 10011_0 12619_0
0.0 1103_0 9822_0
0.0 2081_0 5200_0
0.0 9658_1 9939_0
0.0 3717_0 9772_2
0.6333441734313965 152_0 5798_1
0.0 1156_0 3266_1
0.0 11263_0 5112_0
0.0 7144_2 8104_0
0.0 9635_0 10761_0
0.4711264371871948 586_0 10002_2
0.0 8349_0 1730_0
0.9047935009002686 3264_0 6451_0
0.36268579959869385 9912_0 5166_0
0.0 2836_2 11348_0
0.3845663070678711 9774_0 1897_0
0.0 3334_0 9742_1
0.0 3334_0 6331_2
0.1403815746307373 2374_1 7017_0
0.050894737243652344 11704_0 10010_1
0.0 2213_1 1079_0
0.0 5995_0 9967_2
0.4875779151916504 5241_0 8068_0
0.0 8349_0 8363_0
0.0 10795_0 1815_0
0.0 6016_2 10599_0
0.0 4051_0 210_0
0.0 4692_0 9677_1
0.0 12894_0 9712_2
0.0 5547_1 1497_1
0.0 1664_0 8078_0
0.0 2330_0 6807_0
0.0 7146_1 11263_0
0.0 5200_0 5556_0
0.0 8445_0 9853_0
0.34720683097839355 690_0 2084_0
0.08517622947692871 1907_0 1601_0
0.0 7915_0 2928_0
0.05799293518066406 1507_1 11071_0
0.0 8588_0 1627_0
0.7286107540130615 9753_1 9080_0
0.0 5556_0 9984_0
0.0 3101_0 1378_1
0.021371006965637207 9846_1 3704_0
0.0 5517_1 10002_3
0.0 5518_0 10321_0
0.0 1974_1 13033_0
0.9260213375091553 1475_0 11028_0
0.0 742_0 9745_0
0.0 9550_0 4138_2
0.1972026824951172 9349_0 5285_0
0.6683813333511353 9965_0 9767_2
0.3148958683013916 7529_0 819_0
0.1996171474456787 10372_1 1928_0
0.0 13759_0 2694_1
0.0 11452_0 13726_0
0.0 2957_0 6664_0
0.0 8075_0 1697_0
0.0 1817_2 4464_0
0.0 4138_2 13634_0
0.0 1481_0 10168_0
0.0 1298_2 1542_0
0.0 9474_0 12114_0
0.0 11127_0 13717_0
0.36768388748168945 5448_1 13188_0
0.0 5521_0 8700_1
0.0 12894_0 1690_0
0.5127774477005005 5233_2 1156_0
0.389556884765625 5353_0 6300_0
0.11416983604431152 9871_0 6348_0
0.0 1292_0 11371_0
0.0 9744_2 5666_1
0.17272710800170898 819_0 9734_0
0.0 1497_7 6759_1
0.0 5732_0 9943_0
0.6948425769805908 5321_0 2520_0
0.0 8145_0 6056_3
0.0 11246_0 5898_0
0.13825464248657227 9974_2 3418_0
0.08913922309875488 9629_0 6300_0
0.1826012134552002 2674_0 9398_0
0.49785900115966797 9547_2 8997_0
0.369340181350708 240_0 5448_1
0.0 13557_0 9709_0
0.0 10573_0 1660_0
0.0 9706_0 3034_0
0.3143923282623291 668_0 12845_0
0.0 1419_4 9959_0
0.0 3717_0 5293_0
0.0 2033_0 13128_0
0.08007252216339111 5315_0 9664_1
0.0 7788_1 11397_0
0.0 13622_0 1463_0
0.9840093851089478 9679_4 2955_0
0.0 3591_0 13090_0
0.2878286838531494 586_0 2385_0
0.0 2046_0 12382_0
0.0 9161_0 7746_0
0.31181466579437256 8449_0 12022_2
0.15717482566833496 5759_5 2883_0
0.0 2297_2 9675_0
0.2384045124053955 7918_0 9734_0
0.0 288_1 172_0
0.0 5504_0 9821_0
0.0 3481_0 10513_0
0.0 13411_0 2018_0
0.10305500030517578 12295_0 2192_0
0.0 928_0 8700_1
0.22688186168670654 8150_0 13725_0
0.0 10546_0 3266_1
0.0 3588_0 8376_0
0.1439276933670044 499_0 10362_0
0.22523653507232666 10018_1 5470_0
0.0 2145_0 4934_4
0.0 2350_0 7016_0
0.39275479316711426 9664_1 9045_0
0.12263655662536621 10222_0 13726_0
0.1276543140411377 4756_0 5737_0
0.0 2051_0 6122_0
0.0 909_0 5727_0
0.3517756462097168 8626_0 12843_1
0.16036128997802734 11071_0 9102_0
0.2603243589401245 9741_2 8990_0
0.0 2002_0 4292_0
0.5374135971069336 8700_3 6957_0
0.0 9743_2 11651_0
0.0 3287_0 5509_0
0.0 9965_0 10001_0
0.0 2074_0 1419_2
0.0 9666_1 9126_0
0.0 10430_1 4887_0
0.0 9884_0 957_0
0.11009454727172852 4704_0 12854_0
0.1267232894897461 7866_0 4859_0
0.39994215965270996 6619_0 7339_0
0.0 10010_1 3676_1
0.0 6664_0 3287_0
0.1486663818359375 9865_0 4693_0
0.0 13033_0 12836_0
0.0 1848_0 9954_0
0.0 13885_0 9744_5
0.0 3246_0 7687_0
0.0631556510925293 1904_3 3456_1
0.0 5509_0 9389_0
0.34222888946533203 12369_0 4749_0
0.13062071800231934 6034_0 5548_0
0.0 1242_0 13838_0
0.24957048892974854 6716_0 9744_5
0.32235610485076904 586_0 5212_0
0.30801892280578613 3760_2 953_0
0.0 1531_0 9679_4
0.22887253761291504 8143_2 1884_0
0.0 3940_0 3246_0
0.0 9772_2 8866_0
0.08158302307128906 9665_1 2706_1
0.08772993087768555 5742_0 13721_0
0.0 4902_0 3402_0
0.0 2666_0 9659_0
0.0 9669_0 1658_0
0.11602115631103516 3562_0 12842_0
0.0 8997_0 7884_0
0.15989279747009277 601_0 11739_0
0.26067209243774414 3694_0 11167_0
0.170820951461792 2095_0 6034_0
0.0 13415_0 6430_0
0.0 9744_2 9722_3
0.13959503173828125 4872_1 7160_0
0.031716346740722656 1481_0 4873_0
0.10447907447814941 10205_0 5204_0
0.6421600580215454 12295_0 3710_0
0.0872044563293457 586_0 4002_0
0.0 12296_0 5769_0
0.01562643051147461 5407_0 5725_0
0.0 1096_1 9703_0
0.6390252113342285 6056_3 6016_2
0.07927823066711426 9815_0 11093_0
0.0 9516_0 10599_0
0.1250171661376953 1419_3 601_0
0.39629387855529785 10052_0 2566_0
0.32172560691833496 1995_3 6165_0
0.0 7491_0 4660_0
0.05697059631347656 9696_1 5389_0
0.0 13198_0 982_0
0.0 2265_0 13090_0
0.4786055088043213 8425_0 5899_0
