Test loss: 0.3180702433716376

Format: Loss TFAnchor TFNegative 
1.0337376594543457 6668_0 8436_0
0.19549846649169922 12171_0 9339_1
0.0 9664_1 277_0
0.0 4308_0 11414_0
0.0 13496_0 5511_0
0.0 7803_0 5291_1
0.0 10141_0 7687_0
1.1868324279785156 9622_0 5301_3
1.2828855514526367 11450_0 3633_0
0.0 7193_0 7057_5
0.0 13415_0 1831_0
0.0 633_0 9965_0
0.0 5504_0 13760_0
0.0 13623_0 10050_0
0.0 9672_0 9826_0
0.10672378540039062 5511_0 5759_5
0.0 6527_0 3081_0
0.6535992622375488 10121_0 11660_0
0.0 7648_0 12087_0
0.0 2957_0 915_0
0.0 4902_0 9749_0
0.042809486389160156 10259_0 7042_0
1.3162436485290527 1507_2 5523_0
0.0 9045_0 2907_0
1.1488595008850098 11178_0 9809_0
0.0 13166_0 9927_0
1.3561687469482422 8700_1 6573_0
0.0 1585_0 5759_7
0.0 4327_0 1463_0
0.0 11246_0 11653_2
0.0 10546_0 10025_2
0.15725231170654297 9880_1 2592_0
0.6947345733642578 9137_0 4962_1
1.624455451965332 1876_0 4804_0
0.0 6034_0 1242_0
0.0 8566_0 4361_0
0.0 1287_0 11230_1
0.0 2330_0 9134_0
0.1105966567993164 9966_0 3709_1
0.6653680801391602 9740_1 1788_0
0.0 10259_0 9967_1
2.057399272918701 11450_0 9489_0
0.0 5758_0 207_0
0.0 9735_1 5122_0
0.0 11115_0 13640_0
0.5471315383911133 6699_1 12894_0
0.0 6265_0 11127_0
0.0 7492_1 3017_0
0.0 920_0 3669_0
0.0 12847_0 1814_2
0.0 10217_1 11409_2
0.0 12836_0 9714_4
0.0 9953_1 1542_0
0.07104158401489258 9122_1 1814_2
0.9834136962890625 8449_0 11300_0
0.036922454833984375 6890_0 7900_0
0.558598518371582 9665_1 13712_0
0.0 3678_0 3454_0
0.4216337203979492 1507_6 1727_0
0.0 2333_0 12030_0
0.6780014038085938 1691_0 6164_0
0.0 152_0 2706_1
0.22600936889648438 10205_0 9859_0
0.0 13759_0 10011_0
0.8051719665527344 11124_0 12843_1
0.0 7071_0 9389_0
1.1257476806640625 8813_1 2948_0
0.0 9668_3 8264_0
0.0 445_0 10871_1
0.46132373809814453 143_0 8330_0
0.9209203720092773 4882_0 2679_0
0.00390625 9516_0 13557_0
0.8255796432495117 10050_0 3442_0
0.0 8845_0 4918_0
0.0 13165_0 5212_0
3.042823314666748 1872_0 3081_0
0.0 9819_1 595_0
0.0 2328_0 9906_0
0.0 148_0 4898_0
1.2142982482910156 10372_1 714_0
0.0 5666_1 9933_1
0.4680919647216797 5168_0 1507_1
0.0 9066_0 13641_0
0.06484174728393555 10707_0 9264_0
0.0 4692_0 993_1
0.0 8417_0 9754_0
0.0 5731_0 13221_0
0.28423309326171875 6698_0 10868_0
0.0 9822_0 13530_0
0.19793224334716797 8261_0 7160_0
0.0 6267_0 9835_1
0.0 1733_0 2377_1
0.0 13814_0 534_0
0.11969470977783203 8363_0 3587_0
1.3904156684875488 10334_1 1961_1
0.0 2145_0 9514_0
0.6189289093017578 7071_0 1978_0
0.0 1963_0 2246_0
0.9670419692993164 6607_0 13725_0
0.0 3246_0 10544_0
0.4440460205078125 4756_0 6716_0
0.0 12105_0 9744_1
0.0 10963_0 626_0
0.9595293998718262 534_0 1708_0
0.0 1363_0 7109_0
0.0 13194_0 1842_0
0.0 11221_0 11965_0
0.0 2074_0 8233_0
0.0 2427_0 11312_0
1.2408475875854492 8592_0 268_2
0.0 4693_0 4914_0
1.0568032264709473 10868_0 9126_0
0.0 7884_0 7942_1
0.0 3594_0 2322_0
0.4051079750061035 8626_0 9713_3
0.9812698364257812 8813_1 11312_0
1.4989352226257324 2662_0 13638_0
0.6085290908813477 5469_0 5306_0
0.0 12721_0 2372_0
0.0 13713_0 1345_0
0.0 9722_2 10766_0
0.0 1872_0 1876_0
0.8321313858032227 12344_0 4312_0
0.0 11402_0 5279_0
0.27606201171875 9064_0 7424_0
0.7092256546020508 9873_0 12619_0
0.0 474_0 9859_0
1.9381155967712402 9514_0 1547_0
0.6620979309082031 5241_0 1382_0
0.00193023681640625 10513_0 10542_1
0.0 10013_0 1079_0
0.0 9954_0 5168_0
0.0 1497_2 1421_0
0.7158336639404297 586_0 4934_4
0.30077171325683594 10002_1 4308_0
0.0 2297_3 8330_0
0.0 9668_2 12179_0
0.0 7873_0 9849_1
0.0 371_0 54_0
0.0 387_0 9398_0
0.3192720413208008 10002_1 3591_0
0.045348167419433594 5149_0 395_0
0.0 2663_0 7208_0
0.0 9870_0 9516_0
0.8367090225219727 6968_0 9622_0
1.5627598762512207 11396_0 1934_0
0.0 5455_0 10022_1
0.7776556015014648 6874_0 10260_0
0.0 5670_0 9521_0
0.0 6056_2 10050_0
0.0 10963_0 9616_0
0.0 7786_0 1675_0
0.0 9776_1 4316_0
0.6314249038696289 4282_1 3266_1
0.0 8845_0 2468_0
0.0 1697_0 5518_0
1.517932415008545 5532_0 10238_0
0.2767505645751953 395_0 8588_0
0.2165241241455078 1831_0 8632_0
0.7555551528930664 5448_1 9870_0
0.0 3688_1 8617_0
0.0 7144_2 12851_0
1.3245816230773926 2520_0 5759_7
0.5058193206787109 3694_0 2297_2
0.0 4284_0 6983_0
0.0 10963_0 9673_2
0.45987510681152344 13715_0 5676_0
0.0 9417_0 1054_0
0.0 4936_0 11704_0
1.4117803573608398 5076_0 4826_0
0.0 5498_2 2063_0
0.3778829574584961 2948_0 5223_0
0.0 13635_1 9149_0
1.0957508087158203 6056_3 9988_0
0.0 3694_0 10643_0
0.03493976593017578 9757_0 8813_1
0.9423184394836426 2042_0 8194_0
0.0 2509_0 4932_0
0.0 6160_0 7492_7
0.0 4030_0 7730_0
0.47985076904296875 10217_2 13543_0
0.0 210_0 1240_0
0.23931026458740234 7247_0 11246_0
0.0 13404_2 5473_0
1.4179415702819824 4932_0 10000_0
0.0 2909_0 5547_1
1.1576166152954102 3625_0 4804_0
0.0 8261_0 13410_0
0.0 9781_0 11220_0
0.2519111633300781 11892_0 5744_1
1.388075828552246 1916_0 3967_0
0.0 11274_1 1079_0
0.0 10015_0 5113_0
0.8606576919555664 2063_0 12854_0
0.48478031158447266 10286_0 9831_0
0.0 819_0 10001_0
1.0168228149414062 8093_0 3591_0
1.1824913024902344 9880_1 3588_0
0.0 3444_0 1925_0
0.0 302_0 6664_0
0.0 8445_0 1417_0
0.0 5532_0 11403_0
0.0 9730_1 1472_3
0.0 5523_0 3331_0
1.817603588104248 8194_0 9632_0
0.9539508819580078 9745_0 11662_0
0.0 9991_0 5742_0
0.0 2486_0 1299_0
0.8669834136962891 1182_0 1472_1
0.0 9550_0 9889_0
1.8977384567260742 5315_0 10597_0
0.33809566497802734 8194_0 13526_0
0.46876049041748047 5306_0 1744_0
0.0 2080_0 9911_0
0.0 13565_0 1419_4
0.0 12717_0 268_2
0.0 13757_0 6740_0
0.0 2384_0 3693_0
0.7269687652587891 6056_1 9417_0
1.4067096710205078 5739_0 4873_0
0.0 11740_0 13397_0
0.0 9673_5 8974_0
0.0 7955_2 1603_0
0.0 4842_0 8451_0
0.0 4344_0 9800_1
1.1242618560791016 2955_0 13212_0
0.0 10045_0 11234_0
0.5555200576782227 10205_0 11466_0
0.0 1374_2 7780_0
1.6853857040405273 1891_0 1140_0
0.0 5212_0 9629_0
0.5632514953613281 9107_0 9840_0
0.10055828094482422 2849_0 4292_0
1.027395248413086 3710_0 12022_3
0.0 7764_0 54_0
0.2633781433105469 616_0 11710_0
0.4308462142944336 12717_0 8859_0
0.046103477478027344 9675_0 7057_5
0.0 12343_2 9675_0
0.0 8445_0 7492_1
0.0661020278930664 1020_0 4601_0
0.0 268_3 950_0
0.8424291610717773 7001_1 3329_0
0.47707080841064453 4361_0 1657_0
0.0 3266_1 12941_0
0.0 12723_0 8261_0
0.0 9939_0 4030_0
0.3572831153869629 5559_0 5728_0
0.0 9906_0 9818_0
1.5385651588439941 10868_0 7116_0
0.0 6698_0 9547_1
0.0 9658_1 454_0
0.0 11452_0 6668_0
0.0 9649_0 9142_0
0.05054283142089844 10038_0 2377_1
0.0 9485_0 9045_0
0.0 49_0 10168_0
0.0 13716_0 10168_0
0.0 3362_0 7886_0
0.0 6267_0 11965_0
0.0 13726_0 1419_4
0.0 10816_0 13666_0
0.0 2509_0 909_0
0.61334228515625 9789_1 9664_1
0.23321056365966797 8700_3 4934_4
0.23363018035888672 4358_0 2675_0
0.10573387145996094 5546_0 2695_0
0.0 2362_0 3717_0
0.0 7786_0 9720_0
1.0829710960388184 3017_0 4954_0
0.0 13377_0 10002_1
0.0 2328_0 4322_0
0.0 2002_0 10411_0
0.0 6016_2 10597_0
0.6489114761352539 4282_1 13609_0
1.1796331405639648 5742_0 3334_0
0.0 10430_1 9677_1
0.0 13223_0 10766_0
0.0 12845_0 10000_0
0.0 9049_0 8104_0
0.0 10963_0 1379_0
0.0 3730_0 4041_4
0.6536960601806641 1419_3 7247_0
0.0 6068_0 8484_0
1.037135124206543 9789_1 5744_12
0.0 13198_0 9672_0
0.46942138671875 3710_0 4726_0
0.1357259750366211 6164_0 779_0
0.29302501678466797 1635_1 6015_0
0.0 6716_0 4153_0
1.4483776092529297 11466_0 11065_0
1.0007200241088867 13188_0 9787_0
0.2262744903564453 2530_0 9014_0
0.0 10038_0 6874_0
0.0 9870_0 4418_0
0.0 1292_0 698_0
0.0 3716_0 11124_0
0.5790243148803711 3010_0 2957_0
0.0 5532_0 4276_0
0.0 5877_0 6275_0
0.0 3082_0 4402_0
0.6479597091674805 1363_0 3760_2
0.0 1944_0 3760_2
0.0 8264_0 7417_0
0.0 3608_0 3287_0
0.0 4410_0 5554_0
1.1788673400878906 852_0 4344_0
1.3013925552368164 291_2 5669_0
0.0 5546_0 1517_0
0.5873098373413086 7750_0 12179_0
0.0 5683_1 1298_2
0.05910015106201172 925_3 905_0
0.0 3654_0 35_0
1.097463607788086 9592_0 925_3
0.0 2297_2 8435_0
0.0 4560_0 9824_0
0.0 9673_5 6016_2
0.28287601470947266 8429_0 3594_0
0.0 4902_0 9931_2
0.0 10217_1 6957_0
0.0 1240_0 9706_0
0.3614816665649414 2192_0 4282_2
0.0 13814_0 4692_0
1.4376258850097656 9188_0 5294_0
0.0 11352_3 11354_0
0.4328298568725586 993_1 1746_0
0.7152395248413086 288_2 10062_0
0.6210117340087891 4955_0 2510_0
1.4980463981628418 3418_0 8979_0
0.0 10347_0 1507_1
0.0 11273_2 13544_0
0.0 7899_0 9663_0
0.9286637306213379 9783_0 13404_1
0.0 950_0 2074_0
0.9326491355895996 2018_0 2708_0
0.0 12296_0 3479_0
0.0 11115_0 4464_0
1.2254810333251953 6740_0 3610_0
0.0 1345_0 7937_0
0.0 2509_0 11653_1
0.3996248245239258 48_1 2948_0
0.9263811111450195 3824_0 1974_1
0.0 9147_0 9846_3
0.0 5542_0 270_0
0.6273641586303711 12721_0 10567_0
0.0 6148_0 9933_1
0.9496736526489258 13262_0 8337_0
0.0 1737_2 1339_0
0.0 3189_0 11740_0
0.0 2103_0 698_0
0.0 9945_0 9216_0
0.2726125717163086 9631_0 9971_0
0.20573186874389648 9966_0 9545_0
0.0 10599_0 6056_2
0.0 11662_0 1080_1
0.0 1817_2 1831_0
0.0 5769_0 7358_0
0.45116376876831055 10321_0 10777_3
0.0 8120_0 1825_0
0.0 9715_2 9547_6
0.7902641296386719 5473_0 13715_0
0.39324283599853516 9699_0 10530_0
0.0 54_0 11415_2
0.2732968330383301 248_0 11065_0
0.0 8744_0 7863_0
1.3535432815551758 291_2 6148_0
0.0 8068_0 8309_0
1.805643081665039 6699_1 7950_5
0.08959627151489258 10963_0 4425_0
0.0 13626_0 4051_0
0.44397544860839844 1507_1 9789_1
0.6981916427612305 1507_5 9679_1
0.0 7873_0 10205_0
0.4615745544433594 3418_0 9014_0
1.6633415222167969 13716_0 9937_0
0.0 11757_0 5301_1
0.2450575828552246 3557_0 10254_0
0.2750053405761719 2662_0 9897_2
0.0 9897_2 4851_0
0.19460725784301758 3482_0 9767_1
0.6471414566040039 9514_0 2614_0
0.0 1292_0 9413_1
0.0 1382_0 9658_5
0.8420982360839844 11754_0 13698_0
0.0 9705_0 13420_0
0.9826231002807617 10014_0 4395_0
0.0 10476_0 48_1
0.0 1800_0 11455_0
0.6556024551391602 4851_0 11658_0
0.9112186431884766 9626_0 9810_0
0.1762847900390625 10038_0 9712_2
0.0 11772_0 2520_0
1.6616253852844238 3634_0 1103_0
0.5804071426391602 9815_0 6944_0
0.0 2145_0 1753_0
0.0 12296_0 10746_2
0.0 5076_0 9930_1
0.5907669067382812 5453_0 803_0
0.783935546875 3294_0 8429_0
0.0 3206_0 1182_0
0.0 2129_0 1471_0
1.5828990936279297 3610_0 3362_0
0.0 9352_1 982_0
1.1812362670898438 4332_1 5294_0
0.10250091552734375 7614_0 11472_0
1.9122600555419922 4880_0 10054_0
0.0 5699_15 5739_0
0.0 9673_1 9409_0
0.0 7786_0 9958_0
0.0 13221_0 9842_1
0.0 1863_0 9846_3
0.0 1733_0 6957_0
0.0 1906_0 10043_0
0.5787343978881836 1242_0 5861_0
0.0 13634_0 2070_0
0.0 5036_0 11093_0
0.0 4981_2 3500_0
0.0 5419_0 9582_0
0.7606468200683594 7417_0 4560_0
0.9742293357849121 10205_0 8284_0
0.0 7974_0 5709_0
0.0 5729_0 9626_0
0.0 9921_2 9840_0
0.0 3688_1 1822_0
1.1542181968688965 13217_0 4693_0
0.0 13634_0 8145_0
0.0 1744_0 4886_2
0.0 4887_0 10513_0
0.32190799713134766 9974_2 809_0
0.0 10347_0 4308_0
0.0 11109_0 8638_0
0.42472267150878906 6300_0 7648_0
