Test loss: 0.24525322643396494

Format: Loss TFAnchor TFNegative 
0.0 4041_1 8337_0
0.0 3101_0 13415_0
0.0 1458_0 2559_0
0.0 1904_3 9474_0
0.36080360412597656 854_0 9714_4
0.0 2654_2 11178_0
0.0 1507_1 7742_0
0.7658718824386597 4693_0 13717_0
0.0 7580_0 1054_0
0.5459387302398682 3730_0 2079_0
0.0 11722_0 947_0
0.0 10045_0 9714_1
0.800046443939209 9487_0 10231_1
0.6388591527938843 240_0 11661_0
0.0 10554_0 8584_0
0.16588830947875977 7916_0 12847_0
0.0 10766_0 1690_0
0.0 4410_0 9635_0
0.24013590812683105 906_0 6515_0
0.19458067417144775 9954_0 2559_0
0.0 5520_1 11135_0
0.0 5744_12 5385_0
0.0 9915_0 148_0
0.0 2363_1 10231_4
0.7411768436431885 5877_0 1841_0
0.0 9938_0 2372_0
0.0 9898_0 7884_0
0.0 8859_0 9767_1
0.0 10746_2 9962_4
0.0 9547_3 10544_0
0.0 5130_0 9816_1
0.0 9735_3 12797_0
0.0 6034_0 9658_5
0.0 9474_0 8357_0
0.9667472839355469 5168_0 3396_1
0.0 9730_1 3625_0
1.0203895568847656 5699_15 143_0
0.07056689262390137 10513_0 8078_0
0.0895235538482666 13129_0 13822_0
0.0 11246_0 4811_0
0.0 5366_0 9658_5
0.0 5655_0 6745_0
0.0 9720_0 9665_1
0.0 3608_0 13496_0
0.0 9409_0 1876_0
0.5551369190216064 1603_0 8997_0
0.0 11480_1 7937_0
0.0 2145_0 11109_0
0.0 13715_0 1908_0
0.0 9487_0 4322_0
0.0 1458_0 9946_0
0.0 4292_0 1895_0
0.13801026344299316 6451_0 9955_2
0.37711596488952637 8102_0 232_0
0.0 8357_0 9926_1
0.0 1737_2 1928_0
0.0 6515_0 6472_0
0.0 13622_0 9869_0
0.007805466651916504 9740_1 10628_0
0.1812586784362793 3627_0 4968_0
0.0 12369_0 2520_0
0.0 9129_0 10921_0
0.0 9147_0 4017_0
0.0 9936_0 8436_0
0.0 9045_0 9849_1
0.0 5036_0 2592_0
0.0 6699_1 9829_0
0.0 4641_2 1507_5
0.04424023628234863 13609_0 2333_0
0.0 1299_0 10121_0
0.0 5517_1 2605_0
0.3029623031616211 9716_1 5076_0
0.0 282_0 9948_0
0.31493163108825684 9353_0 5759_4
0.0 10254_0 9835_1
1.0473788976669312 1922_0 1690_0
0.8579771518707275 9789_1 11784_0
0.0 1925_0 3643_0
0.0 12527_0 4464_0
0.11514782905578613 4705_0 13212_0
0.0 11754_0 10067_0
0.42229163646698 1374_2 1963_0
0.0 10921_0 10035_0
0.7907142639160156 9757_0 2074_0
0.0 45_0 12382_0
0.06830620765686035 9722_3 6716_0
0.0 9658_1 1753_0
0.0 12855_0 7942_1
0.13435888290405273 10963_0 2353_0
0.5879132747650146 819_0 12385_0
0.0 11415_2 2297_1
0.594207763671875 2004_0 9245_0
0.0 12616_0 10542_1
0.0 13816_0 152_0
0.0 7955_2 7678_0
1.069997787475586 13496_0 7873_0
0.7168810367584229 9686_2 13717_0
0.0 4939_0 9444_0
0.0 5353_0 5419_0
0.04466962814331055 6549_0 2948_0
0.0 940_0 1699_0
0.0 207_0 12383_0
0.0 2654_2 4377_0
0.2557220458984375 9530_0 3936_0
0.0 5518_0 5453_0
0.30170369148254395 6740_0 11091_0
0.0 13377_0 9527_0
0.5764665603637695 906_0 7580_0
0.0 4030_0 6740_0
0.0 2080_0 12022_2
0.25447607040405273 9957_0 6791_0
0.14450883865356445 8337_0 7173_0
0.44737911224365234 4681_0 4748_0
0.6436920166015625 9663_0 8966_0
2.0251219272613525 8425_0 5707_0
0.0 865_0 3940_0
0.0 1507_6 9889_0
0.0 7955_2 1842_0
1.1484736204147339 3475_0 7955_1
0.0 5543_0 6144_0
0.0 13198_0 9264_0
0.0 9694_1 10345_0
1.200752854347229 240_0 7492_8
0.0 11271_0 5665_0
0.0 3680_0 7788_1
0.040195465087890625 1934_0 13377_0
0.0 1925_0 148_0
0.0 7042_0 1305_0
0.0 9930_1 11655_0
0.0 1547_0 11178_0
0.0 13271_0 916_2
0.16482174396514893 1497_7 13224_0
0.0 2384_0 7773_0
0.0 9409_0 10643_0
0.0 9744_2 11892_0
0.0 7915_0 3868_0
0.0 8651_0 10018_1
1.2576824426651 5559_0 4842_0
0.08524870872497559 5113_0 6946_0
0.2650585174560547 11704_0 11450_0
0.043241024017333984 9981_0 4327_0
0.0 13716_0 7173_0
0.0 4902_0 1419_4
0.0 11324_0 9714_3
0.2946755886077881 6034_0 3754_0
0.0 5729_0 7358_0
0.0 11348_0 12797_0
0.0 13397_0 4887_0
0.10355424880981445 13635_1 9822_0
0.4372427463531494 9994_0 2805_0
0.0 13822_0 35_0
0.07032442092895508 10185_0 690_0
0.0 2081_0 4932_0
0.0 7071_0 9635_0
0.4104117155075073 5315_0 13198_0
0.13544249534606934 232_0 9963_1
0.7041283845901489 1998_0 4160_0
0.8229875564575195 2530_0 10729_0
0.0 8961_0 10067_0
1.2357686758041382 6034_0 2328_0
0.30545878410339355 12854_0 11652_0
1.8926273584365845 3418_0 3287_0
0.0 8264_0 2372_0
0.32636070251464844 5543_0 5848_1
0.439957857131958 9677_1 13735_0
0.447019100189209 12295_0 2145_0
0.1490170955657959 10012_0 3972_0
0.0 7193_0 13217_0
0.0 1831_0 11235_0
0.5768164396286011 9753_1 9515_0
0.0 1080_1 2694_1
1.3858771324157715 13829_0 2695_0
0.0 9938_0 13204_0
0.0 1292_0 11352_4
0.0 13628_0 5100_0
0.0 2674_0 3936_0
0.0 5281_0 9363_0
0.42623066902160645 13396_0 8233_0
0.0 1738_0 7160_0
0.0 1841_0 9592_0
0.0 10064_0 2082_0
1.652717113494873 4051_0 1182_0
0.0 1363_0 9530_0
0.0 9527_0 9622_0
0.0 1657_0 2352_3
1.2753734588623047 1898_0 1020_0
0.0 49_0 6034_0
0.0 13623_0 526_0
0.7276033163070679 9073_0 9911_0
0.0 7899_0 9507_0
0.0 9968_1 9066_0
0.0 616_0 9807_1
0.0 6698_0 7015_1
0.0 9908_1 1497_7
0.0 11965_0 9658_5
0.0 1929_0 7730_0
0.0 1829_0 5301_2
0.0 9764_0 6160_0
0.423816442489624 4981_2 13734_0
0.5882816314697266 12797_0 13204_0
0.7471628189086914 8979_0 1302_0
0.0 1292_0 2666_0
0.0 7974_0 9792_0
1.5523122549057007 5107_0 3082_0
0.0 9764_0 4048_0
0.0 5448_2 11776_0
0.0 3688_2 3573_0
0.23489165306091309 9417_0 5695_0
0.0 13226_0 1916_0
0.0 5306_0 9735_3
0.0 9417_0 13193_0
0.0 9889_0 1825_0
0.40140652656555176 595_0 4932_0
0.0 10599_0 10000_0
1.2345056533813477 1895_0 11656_0
0.4478795528411865 3634_0 1463_0
0.0 5580_0 1916_0
0.0 1864_0 1540_0
0.0 2020_0 10334_1
0.0 13225_0 7015_1
0.0 13822_0 9738_3
0.021875381469726562 4138_1 9049_0
0.0 8813_1 2662_0
0.9432986974716187 9735_3 10816_0
0.40389883518218994 2074_0 152_0
0.19164681434631348 7016_0 9960_1
0.0 2257_0 3694_0
0.3188760280609131 7918_0 5082_0
0.0 4882_0 5082_0
0.6967482566833496 8194_0 13713_0
0.0 11124_0 9521_0
0.3390645980834961 9959_0 9666_4
0.8629269599914551 1876_0 5995_0
0.4560983180999756 11480_1 9634_0
0.0 9904_0 925_3
1.6597193479537964 9352_1 4138_4
0.0 7424_0 4003_0
0.3998451232910156 9789_1 11650_0
0.7623255252838135 1079_0 1080_1
0.0 4955_0 8684_0
0.0 13628_0 6056_2
0.0 9547_3 12295_0
0.0 1891_0 9666_4
0.0 6056_1 7160_0
0.0 4240_0 8238_0
0.0 11662_0 3654_0
0.6529467105865479 11126_1 4749_0
0.8359642028808594 3730_0 9988_0
0.6651906967163086 6527_0 1727_0
0.2968933582305908 8068_0 5739_0
0.0 5552_1 4914_0
0.0 3245_0 9668_5
0.0 6671_2 13166_0
0.0 4825_0 13823_0
0.0 7001_2 2463_0
0.0 7001_2 9685_3
0.9911491870880127 3411_0 7064_0
1.4160724878311157 10552_0 10067_0
0.9701249599456787 2520_0 5798_1
0.0 5509_0 9856_2
0.0 10226_0 2353_0
0.0 10783_0 10011_0
0.4458138942718506 3633_0 1339_0
0.8681070804595947 3678_0 2265_0
0.6416199207305908 6527_0 6759_1
0.0 13217_0 7160_0
0.0 9796_2 9728_1
0.8884105682373047 1374_2 10179_0
0.0 7375_0 9163_0
0.0 11415_2 4969_0
0.67732834815979 1470_0 12845_0
0.0 3940_0 9992_6
0.0 10971_2 277_0
0.5711169242858887 5877_0 5301_2
0.0 5233_2 13206_0
0.0 4745_0 8966_0
0.34727776050567627 152_0 11028_0
0.0 11352_3 4851_0
0.0 10777_3 2297_1
0.0 9126_0 9781_0
0.0 5036_0 4859_0
1.5889517068862915 13496_0 8262_0
0.0 6148_0 1363_0
0.5931427478790283 10000_0 1481_0
0.44917941093444824 4425_0 9271_0
0.0 1662_2 8813_1
0.0 668_0 11742_0
0.0 9884_0 4914_0
0.5769927501678467 1497_1 7492_6
0.0 3444_0 8700_1
0.4434138536453247 4019_0 9958_0
0.0 3334_0 10056_0
0.0 9659_0 819_0
0.0 1690_0 9147_0
0.0 9705_0 4887_0
0.31578588485717773 2362_0 8632_0
1.1191719770431519 3591_0 6018_0
0.0 277_0 1366_0
0.0 1690_0 10011_0
0.0 633_0 9889_0
0.20932841300964355 11452_0 5290_0
0.0 5523_0 13187_0
0.0 2654_2 2520_0
0.0 2103_0 10840_0
0.0 9897_2 2427_0
0.3676387071609497 152_0 3734_0
0.0 13221_0 7751_0
0.742577075958252 8744_0 1339_0
0.0 3760_2 8727_5
0.8547987937927246 4401_1 11126_1
0.2619497776031494 133_0 1867_0
0.0 3627_0 1963_0
0.0 1299_0 4681_0
0.35747504234313965 6745_0 10038_0
0.7434145212173462 1925_0 2492_0
0.0 10015_0 9819_1
0.0 3694_0 9781_0
0.0 6699_1 9935_0
0.1412487030029297 9766_0 3553_0
0.0 5233_2 9885_0
0.0 2374_5 8364_0
0.015062332153320312 7803_0 2133_0
0.8932379484176636 2948_0 13712_0
0.0 9702_0 3396_1
0.0 4017_0 9635_0
0.0 11704_0 7944_0
0.0 4882_0 6016_2
0.8788855075836182 9815_0 5204_0
0.9072492122650146 5294_0 13430_0
0.0 5520_1 2222_0
0.3121364116668701 9421_0 53_0
0.0 9658_1 303_0
0.0 10546_0 2297_4
0.0 9216_0 9931_2
1.6524287462234497 8104_0 4410_0
0.0 11827_0 4425_0
0.0 13412_0 9959_0
0.0 9910_0 13646_0
0.05179095268249512 10222_0 5377_3
0.0 5551_0 387_0
0.17232108116149902 9772_1 10045_0
0.0 6759_1 1436_0
0.7686423063278198 7873_0 248_0
0.0 3334_0 10010_1
0.0 2486_0 11216_0
0.3247201442718506 9992_6 9530_0
0.485302209854126 9776_1 13204_0
0.0 4921_1 5353_0
0.608283519744873 7584_0 1507_4
0.0 7891_0 9980_0
0.0 12171_0 7294_0
1.2357289791107178 3294_0 8990_0
0.43175697326660156 9547_8 7803_0
0.0 9753_1 908_0
0.30780112743377686 1825_0 10058_0
0.14976894855499268 9665_1 2695_0
0.31268298625946045 7791_0 2768_0
0.0 4041_4 9918_0
0.1594858169555664 6018_0 1287_0
0.35746192932128906 5321_0 3936_0
1.8644620180130005 6056_2 3676_2
1.1330513954162598 9933_1 13734_0
0.0 9783_0 8979_0
0.0 13716_0 2740_0
0.0 4891_0 13885_0
0.0 9715_1 1507_2
0.1326463222503662 3936_0 5448_2
0.0 908_0 10430_1
0.0 5100_0 4395_0
0.015562176704406738 8194_0 9870_0
0.0 10766_0 7742_0
0.035019874572753906 4608_0 207_0
0.10248446464538574 3676_2 626_0
0.0 10372_1 9545_0
0.0 12345_0 12851_0
0.0 1643_0 5758_0
0.0 9945_0 8700_3
0.069366455078125 3411_0 9673_2
0.0 8349_0 9567_1
0.0 13640_0 1738_0
0.0 1636_0 4922_0
0.8173561096191406 8149_0 9696_1
0.0 8143_3 1657_0
0.0 4914_0 9685_4
0.0 1078_0 13624_0
0.036867618560791016 4636_0 9897_1
0.0 9829_0 9474_0
0.0 9045_0 7001_2
0.0 11273_2 3244_0
0.0 9893_0 1820_0
0.0 3676_2 4947_0
0.0 9622_0 7492_7
0.3534785509109497 9735_1 13422_0
0.0 10008_1 3614_0
0.0 4745_0 4048_0
0.0 5407_0 4636_0
0.8675618171691895 5666_1 1904_3
0.9374160766601562 5543_0 601_0
0.3449699878692627 8966_0 916_2
0.08156895637512207 5826_0 7891_0
0.0 8770_0 48_1
0.0 7339_0 8075_0
0.0 3654_0 5580_0
0.0 3696_0 4692_0
0.0 1475_0 5168_0
0.0 9954_0 909_0
0.0 4425_0 9787_0
0.0 152_0 4051_0
0.0981149673461914 7492_1 11414_0
0.0 11722_0 4406_0
0.0 7743_0 13538_0
1.5074436664581299 449_0 4601_0
1.0669276714324951 7071_0 1292_0
0.0 7066_1 48_1
0.5414526462554932 3662_0 10267_0
0.2657451629638672 4361_0 5459_0
0.0 10050_0 9631_0
0.9500184059143066 4041_1 3694_0
0.0 1916_0 925_2
0.0 2957_0 1378_1
0.0 232_0 8184_0
0.31224822998046875 12843_1 3614_0
0.0 6699_1 11740_0
0.6792762279510498 2996_0 11109_0
0.0 4138_1 10746_1
0.0 2374_4 586_0
0.0 10050_0 11661_0
0.0 5233_2 6734_0
0.8619768619537354 9918_0 9821_0
0.7946195602416992 487_0 5759_2
0.6278164386749268 9856_2 13262_0
0.3969542980194092 6968_0 5122_0
0.0 5656_2 4825_0
0.0 7358_0 1305_0
0.43224501609802246 809_0 12112_0
0.0 12527_0 12723_0
