Test loss: 0.21487991638725049

Format: Loss TFAnchor TFNegative 
0.0 1820_0 1658_0
0.0 9216_0 7884_0
0.657397985458374 6016_2 2586_0
0.0 908_0 10226_0
0.0 10008_1 3218_0
0.0 8744_0 13823_0
0.0 8003_0 7109_0
0.0 13622_0 5826_0
0.0 4019_0 12030_0
0.0 7580_0 2362_0
0.0 4962_1 3481_0
0.7564373016357422 7362_0 2509_0
1.6847069263458252 11405_0 5675_1
0.0 10002_1 9852_0
0.0 9045_0 5419_0
0.0 2350_0 1080_1
0.0 1497_2 7386_0
0.0 12776_0 1601_0
0.0 12171_0 5554_0
0.0 1078_0 6472_0
0.0 9659_0 7182_0
0.0 13945_0 2894_0
0.2770087718963623 13422_0 779_0
0.0 1657_0 925_1
0.0 5670_0 7764_0
0.0 8584_0 5769_0
0.4364609718322754 9767_1 5448_2
0.0 302_0 10013_0
0.0 6136_0 7743_0
0.0 11109_0 8813_1
0.0 11178_0 152_0
0.5744118690490723 13128_0 13634_0
0.0 2017_0 5293_0
0.0 3362_0 4030_0
0.0 9706_0 12334_0
1.7871124744415283 12797_0 11754_0
0.14300012588500977 8184_0 2097_0
0.33152246475219727 3353_0 13193_0
0.0 9865_0 10062_0
0.0 13350_0 3218_0
0.0 6549_0 12344_0
0.0 9649_0 7031_0
0.0 4738_0 10608_0
0.0 5580_0 4167_0
0.08235526084899902 7916_0 3352_0
0.0 5759_7 7001_2
0.7440667152404785 1127_0 10045_0
0.0 1657_0 9738_3
0.0 4976_0 5718_0
0.4726228713989258 2515_0 690_0
0.0 1897_0 9754_0
0.0 11348_0 1777_0
0.0 10321_0 1943_0
0.0 9516_0 6668_0
0.0 9893_0 7362_0
0.0 5669_0 1287_0
0.39550065994262695 9794_0 6451_0
1.0555577278137207 5739_0 2675_0
0.0 7915_0 9363_0
0.0 3710_0 9743_1
0.0 13343_0 4138_2
0.0 1417_0 11028_0
0.49173784255981445 2895_0 11787_0
0.14597845077514648 9417_0 7017_0
0.0 7393_0 7886_0
0.0 10002_3 11965_0
0.0 809_0 9822_0
0.0 13412_0 4153_0
1.5277411937713623 9967_2 11704_0
0.0 3340_0 5519_1
0.0 5759_2 4726_0
0.0 720_0 6144_0
0.0 779_0 1822_0
0.0 9352_1 8990_0
0.0 11484_0 9980_0
0.0 4738_0 49_0
0.0 11450_0 9696_7
0.3042898178100586 8566_0 2084_0
0.0 9547_1 1339_0
0.0 3684_2 9696_5
0.0 2895_0 9972_1
0.0 7742_0 1374_2
0.0 3716_0 1507_2
0.0 5511_0 9102_0
0.3366270065307617 11115_0 2907_0
0.0 1848_0 1872_0
0.951138973236084 4505_0 107_0
0.7091426849365234 2297_2 12344_0
0.5454027652740479 1897_0 7950_5
0.0 9741_2 3760_2
0.0 11312_0 4962_1
0.0 35_0 1876_0
0.0 1127_0 2492_0
0.0 9264_0 3362_0
0.0 3684_2 10698_0
0.560455322265625 6604_0 9177_0
0.0 7492_1 1656_0
0.0 9550_0 9735_2
0.4424614906311035 9066_0 5301_0
0.27430295944213867 9967_2 3081_0
0.0 9916_0 8284_0
0.0 10430_1 6164_0
0.0 11276_0 11892_0
0.0 9772_2 9974_2
0.13094305992126465 12296_0 8453_1
0.0 1507_6 13090_0
0.0 2145_0 9963_4
0.0 11235_0 7562_0
0.0 1674_0 27_0
0.0 11742_0 1078_0
0.0 11263_0 1240_0
0.0 925_1 7221_0
0.0 6745_0 4825_0
0.0 4464_0 10046_0
0.0 2836_2 9122_1
0.0 5130_0 9744_4
0.0 4826_0 5552_1
0.5923881530761719 7393_0 5301_0
0.0 1632_0 9984_0
0.0 288_2 11232_0
0.0 9930_1 9705_0
0.0 1103_0 5516_0
0.0 7042_0 6607_0
0.0 9277_0 9745_0
0.0 2374_2 3362_0
1.12196683883667 2051_0 2004_0
0.0 10687_0 9865_0
0.0 5518_0 9698_0
0.0 8104_0 1967_0
0.0 2928_0 8349_0
0.0 148_0 11127_0
0.0 5455_0 9690_0
0.5447018146514893 10554_0 3717_0
0.0 1656_0 10963_0
0.0 6763_0 8143_2
0.0 3294_0 8261_0
0.0 9673_5 1507_3
0.0 5504_0 10698_0
0.0 1822_0 270_0
0.0 13396_0 9266_0
0.9051239490509033 2377_1 4842_0
1.2281811237335205 2352_3 9796_2
0.0 6267_0 4361_0
0.0 1470_0 13823_0
0.0 8075_0 10035_0
0.0 3557_0 10783_0
0.3510270118713379 5826_0 11722_0
0.0 865_0 5666_1
0.0 908_0 9807_1
0.08994078636169434 5743_0 1649_1
0.0 2350_0 9107_0
0.0 7899_0 7193_0
0.0 13090_0 2586_0
0.0 11126_1 129_0
0.0 4871_1 7873_0
0.0 9918_0 9474_0
0.0 9618_0 2333_0
1.2686176300048828 9963_4 3334_0
0.0 5470_0 2663_0
0.0 3643_0 10372_2
0.0 2063_0 1884_0
0.0 9953_1 690_0
0.0 1995_2 9664_1
0.0 9514_0 3088_1
1.3674848079681396 6068_0 4002_0
0.2427515983581543 9592_0 9801_0
0.0 9622_0 143_0
0.0 5729_0 4425_0
0.0 541_0 11772_0
0.0 12171_0 12894_0
0.0 10334_1 4976_0
0.0 1182_0 9826_0
0.0 9730_1 1928_0
0.0 11396_0 9216_0
1.524940013885498 9918_0 5057_0
0.0 1831_0 9997_0
0.0 6451_0 2260_0
0.0 6148_0 7863_0
0.0 1674_0 9635_0
0.0 9649_0 1978_0
0.0 7866_0 7057_3
0.0 2592_0 1436_0
0.0 5742_0 9829_0
0.0 5285_0 7606_0
0.0 2706_1 1656_0
0.0 9831_0 1703_0
0.815004825592041 2805_0 10048_1
0.0 10430_1 7386_0
0.0 9722_3 10404_0
0.0 11198_0 5547_1
0.0 586_0 6331_2
0.0 5744_12 13609_0
0.0 10013_0 3684_2
1.7820992469787598 1934_0 5473_0
2.445880889892578 1931_0 133_0
0.0 13698_0 4636_0
1.7333943843841553 6668_0 4002_0
0.87811279296875 2018_0 7144_2
0.0 9787_0 4308_0
0.0 1517_0 13217_0
0.31412839889526367 1788_0 1842_0
0.0 5301_2 10404_0
0.0 11742_0 7167_0
0.0 1419_1 8261_0
0.0 3780_0 4284_0
0.0 12843_1 5076_0
0.0 8337_0 3072_0
0.0 1292_0 7950_5
0.6836931705474854 2063_0 5958_0
0.7503664493560791 9177_0 6968_0
0.05926084518432617 13829_0 7870_0
0.0 2592_0 6890_0
0.29289960861206055 5241_0 12022_1
0.0110626220703125 5936_0 9676_0
0.1671276092529297 1975_0 9696_4
0.0 11221_0 4749_0
0.0 13712_0 1339_0
0.6665759086608887 9967_2 12343_2
1.3523740768432617 9126_0 11065_0
0.0 3101_0 11653_1
0.0 1240_0 9842_1
0.0 6671_2 2516_0
0.0 5769_0 4897_0
0.0 9696_1 8966_0
0.0 3594_0 10002_2
0.0 8982_0 3688_2
0.0 5504_0 9149_0
0.0 2679_0 2815_0
0.0 4795_0 11827_0
0.0 9921_2 10054_0
0.015045166015625 9994_0 9735_1
0.0 9137_0 10573_0
0.14188814163208008 707_0 11484_0
0.0 10014_0 7870_0
0.0 1628_0 906_0
0.0 2265_0 1817_2
0.0 9781_0 6607_0
0.0 449_0 982_0
0.0 4918_0 13184_0
0.0 1547_0 3688_2
0.0 1788_0 2051_0
0.0 2768_0 9794_0
0.0 589_0 8088_0
0.2331690788269043 9487_0 11230_1
0.0 9794_0 9665_1
0.0 9744_5 8058_0
0.0 9666_4 9781_0
0.0 4954_0 9676_0
0.0 1934_0 1471_0
0.0 13634_0 9845_1
0.0 8376_0 2133_0
0.0 4327_0 5744_2
0.4429283142089844 9781_0 9766_0
0.0 6551_0 8631_0
0.22240543365478516 13668_0 13221_0
0.0 10010_1 12930_0
0.0 4918_0 1928_0
0.0 1733_0 12112_0
0.0 8068_0 4748_0
0.07422280311584473 6807_0 1603_0
0.0 11651_0 9703_0
0.6931562423706055 10698_0 779_0
0.02052783966064453 13668_0 9835_1
0.0 9706_0 13422_0
0.0 2080_0 8619_1
0.23294281959533691 5735_0 13735_0
0.04069948196411133 5084_1 10186_0
0.0 8143_2 11066_0
0.0 4184_0 9800_1
0.31127500534057617 9739_1 2257_0
1.0543196201324463 10217_2 3246_0
0.0 9968_1 3475_0
0.8359553813934326 10226_0 2222_0
0.0 10236_0 1829_0
0.0 9705_0 8700_1
0.0 6664_0 9744_5
0.0 5742_0 1419_2
0.0 35_0 13824_0
0.0 11116_0 5543_0
0.0 5419_0 4711_2
0.0 7491_0 9728_1
0.0 9491_0 13411_0
0.0 6300_0 1685_0
0.0 10254_0 1140_0
0.0 4745_0 13760_0
0.0 8982_0 13668_0
0.0 1737_2 1585_0
0.9930000305175781 4002_0 10065_0
0.0 12369_0 10045_0
0.0 7890_0 3868_0
0.0 6698_0 9773_0
0.0 8078_0 10222_0
0.0 13942_0 10068_0
0.0 12855_0 10628_0
1.2369582653045654 3623_0 9713_1
0.8252682685852051 9735_1 2566_0
0.0 12941_0 1096_1
0.0 10045_0 8143_2
0.0 210_0 7741_0
0.11213397979736328 9188_0 5720_1
0.0 35_0 3653_0
0.0 2080_0 11065_0
0.0 5473_0 13616_0
0.0 13414_0 3317_0
0.0 8088_0 7751_0
0.0 3957_0 12105_0
0.7613115310668945 487_0 1507_5
1.1002206802368164 1156_0 7580_0
0.0 12344_0 152_0
0.9167797565460205 5212_0 9049_0
1.0383601188659668 3734_0 4842_0
0.0 9781_0 11452_0
0.0 13396_0 10334_2
2.086170196533203 4019_0 13735_0
0.0 2666_0 13212_0
0.0 9936_0 12022_3
0.0 13406_0 9792_0
0.2768731117248535 9897_1 4505_0
0.0 6551_0 1507_3
0.4113926887512207 1419_3 5301_3
1.7636001110076904 3936_0 13187_0
0.0 1507_2 8260_0
0.4095950126647949 230_0 13198_0
0.0 8638_0 8268_0
0.0 13616_0 5958_0
0.0 148_0 1863_0
0.17246580123901367 9967_2 13616_0
0.0 9921_1 3553_0
0.0 10554_0 1848_0
0.0 2836_2 601_0
0.0 690_0 7221_0
0.0 947_0 6978_0
0.2921628952026367 9967_2 13760_0
0.1883559226989746 4402_0 12295_0
0.19823694229125977 7299_0 9946_0
0.0 9352_1 10362_0
0.0 1182_0 9967_2
0.13382267951965332 13885_0 1813_0
0.0 3287_0 11231_0
0.0 7492_1 13128_0
0.22940921783447266 2566_0 2297_3
0.0 9960_1 13557_0
0.0 4684_0 3218_0
0.0 6745_0 9547_8
0.0 12855_0 7221_0
0.0 6671_2 2675_0
0.0 11220_0 5419_0
0.0 9699_0 3362_0
0.0 9706_0 1644_0
0.16475296020507812 9913_0 277_0
0.0 1627_0 9901_0
0.4166433811187744 10185_0 9664_1
0.9751553535461426 2849_0 13638_0
0.0 10066_0 4322_0
0.0 2297_4 6904_0
0.0 45_0 10795_0
0.0 11653_3 2385_0
0.7295284271240234 5453_0 8376_0
0.0 1585_0 8088_0
0.0 2694_1 13814_0
0.0 10599_0 9389_0
0.0 12386_0 1305_0
0.0 9945_0 2716_0
0.0 2265_0 940_0
0.0 5759_4 11246_0
0.023768901824951172 982_0 9936_0
0.0 9743_2 920_0
0.1433870792388916 9724_0 8369_0
0.0 5732_0 13538_0
0.0 2666_0 7786_0
0.0 819_0 13628_0
0.0 1664_0 589_0
0.026070594787597656 445_0 9992_1
0.0 4377_0 9696_5
0.0 2051_0 9913_0
0.0 148_0 9955_2
0.5278925895690918 3940_0 8143_3
0.0 940_0 9702_0
1.8997082710266113 9421_0 13397_0
0.0 9709_0 11655_0
0.8764126300811768 5036_0 9102_0
0.0 8617_0 3694_0
0.12275505065917969 4756_0 8843_0
0.6030616760253906 3710_0 11455_0
0.0 9797_0 9352_1
0.0 5759_4 10238_0
0.0 4464_0 4934_4
0.0 9910_0 7686_0
0.0 3017_0 2374_2
0.0 7492_8 10530_0
1.1403888463974 9694_1 1876_0
0.0 7042_0 2297_3
0.0 9819_1 6604_0
0.0 2374_5 9930_1
0.0 13712_0 4684_0
0.0 1298_2 11827_0
0.0 11220_0 1864_0
0.2177417278289795 8210_0 7016_0
0.0 9618_0 1495_0
0.366091251373291 9936_0 10925_0
0.0 9974_2 10628_0
1.7049415111541748 11452_0 3441_0
0.0 2955_0 10236_0
0.0 2486_0 5321_0
0.0 3716_0 9800_1
0.0 13090_0 4936_0
0.0 1963_0 779_0
0.753180980682373 1817_2 6926_0
0.0 3444_0 11232_0
1.9569538831710815 5855_0 4641_3
0.0 11216_0 8436_0
1.0698862075805664 4704_0 9618_0
1.2369575500488281 3710_0 12026_2
0.0 13669_0 3329_0
0.0 9796_2 4327_0
0.0 12344_0 10746_2
0.0 7257_0 9970_0
0.7400376796722412 5455_0 10226_0
0.0 4968_0 37_0
0.0 9807_1 9033_0
0.0 2051_0 13817_0
1.2895822525024414 3010_0 9797_0
0.0 3482_0 4312_0
0.0 1497_3 2740_0
0.0 9485_0 1777_0
0.0 940_0 4641_3
0.05199027061462402 9980_0 9066_0
0.0 3418_0 13403_0
0.0 5100_0 11650_0
0.0 1907_0 4934_4
0.0 9797_0 13609_0
0.0 10783_0 9698_0
3.040142059326172 10939_3 1096_1
1.5309033393859863 4041_2 3802_0
0.0 2909_0 10345_0
0.0 6018_0 9971_0
0.018596172332763672 1507_2 1817_2
0.0 11116_0 1238_0
0.0 909_0 10766_0
0.49176931381225586 1800_0 9665_5
0.0 3418_0 2740_0
0.0 1298_2 5548_0
0.25041866302490234 7071_0 2074_0
0.07826709747314453 720_0 9742_1
0.0 3694_0 12345_0
0.0 5281_0 9973_0
0.0 5341_0 4292_0
0.0 4048_0 4922_0
0.5673103332519531 9880_1 7790_0
0.0 302_0 2377_1
0.09085750579833984 9741_2 9837_0
1.350191593170166 736_0 13624_0
0.28783655166625977 12179_0 13623_0
0.1122429370880127 1302_0 9389_0
