Query: NLB074925_01, Tunefamily: 10000_0, average precision:[1.0] 
Query: NLB144409_01, Tunefamily: 10000_0, average precision:[1.0] 
Query: NLB128189_01, Tunefamily: 10001_0, average precision:[0.6739130434782609] 
Query: NLB140295_01, Tunefamily: 10001_0, average precision:[0.34478034955125175] 
Query: NLB142450_01, Tunefamily: 10001_0, average precision:[0.6739130434782609] 
Query: NLB072037_01, Tunefamily: 10002_1, average precision:[0.20067551274105525] 
Query: NLB075685_01, Tunefamily: 10002_1, average precision:[0.20076546369257714] 
Query: NLB075744_01, Tunefamily: 10002_1, average precision:[0.20642433553059172] 
Query: NLB075744_02, Tunefamily: 10002_1, average precision:[0.2029348864024305] 
Query: NLB076237_01, Tunefamily: 10002_1, average precision:[0.2112630985252035] 
Query: NLB074137_01, Tunefamily: 10002_2, average precision:[0.75] 
Query: NLB074229_01, Tunefamily: 10002_2, average precision:[1.0] 
Query: NLB135296_01, Tunefamily: 10002_3, average precision:[0.6681933842239186] 
Query: NLB137654_01, Tunefamily: 10002_3, average precision:[0.6681933842239186] 
Query: NLB138321_01, Tunefamily: 10002_3, average precision:[0.3356176910886872] 
Query: NLB070167_01, Tunefamily: 10004_0, average precision:[0.3755132512131392] 
Query: NLB160275_01, Tunefamily: 10004_0, average precision:[0.7121212121212122] 
Query: NLB180908_01, Tunefamily: 10004_0, average precision:[0.7666666666666666] 
Query: NLB123583_01, Tunefamily: 10005_0, average precision:[0.5000907111756169] 
Query: NLB140310_01, Tunefamily: 10005_0, average precision:[0.5002806623631771] 
Query: NLB112206_01, Tunefamily: 10008_1, average precision:[1.0] 
Query: NLB141113_01, Tunefamily: 10008_1, average precision:[1.0] 
Query: NLB070547_01, Tunefamily: 10010_1, average precision:[0.5005464480874317] 
Query: NLB140086_01, Tunefamily: 10010_1, average precision:[0.5003855050115652] 
Query: NLB072339_01, Tunefamily: 10011_0, average precision:[0.09404932858192147] 
Query: NLB072644_01, Tunefamily: 10011_0, average precision:[0.09375002954692224] 
Query: NLB073147_01, Tunefamily: 10011_0, average precision:[0.28106875725835745] 
Query: NLB073165_01, Tunefamily: 10011_0, average precision:[0.28106875725835745] 
Query: NLB073169_01, Tunefamily: 10011_0, average precision:[0.2713400174031489] 
Query: NLB073169_04, Tunefamily: 10011_0, average precision:[0.10230839823448216] 
Query: NLB073169_05, Tunefamily: 10011_0, average precision:[0.09950133481542714] 
Query: NLB075150_01, Tunefamily: 10011_0, average precision:[0.14929957235220592] 
Query: NLB075262_01, Tunefamily: 10011_0, average precision:[0.14757192532598093] 
Query: NLB075513_01, Tunefamily: 10011_0, average precision:[0.1421929910256206] 
Query: NLB076488_01, Tunefamily: 10011_0, average precision:[0.11832132678540887] 
Query: NLB070459_01, Tunefamily: 10012_0, average precision:[0.2074802194279436] 
Query: NLB073943_01, Tunefamily: 10012_0, average precision:[0.14709182519099687] 
